column,human_readable_label,units,definition,proxy_or_status,appears_in
G_two_step_nm,G Two Step Nm,nm,G Two Step Nm,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv
H_PR,H Pr,model-native or categorical; see definition/provenance,H Pr,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
H_dens,H Dens,model-native or categorical; see definition/provenance,H Dens,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
K_TJ,K Tj,relative factor unless source specifies otherwise,K Tj,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
Lambda_TJ,Lambda Tj,model-native or categorical; see definition/provenance,Lambda Tj,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
Lambda_over_K,Lambda Over K,model-native or categorical; see definition/provenance,Lambda Over K,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv
Lambda_over_K_TJ,Lambda Over K Tj,model-native or categorical; see definition/provenance,Lambda Over K Tj,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
N_GBseg,N Gbseg,count or model number-density proxy,N Gbseg,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
N_TJ,N Tj,count or model number-density proxy,N Tj,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
N_closed,N Closed,count or model number-density proxy,N Closed,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
N_connected,N Connected,count or model number-density proxy,N Connected,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
N_iso,N Iso,count or model number-density proxy,N Iso,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
N_open,N Open,count or model number-density proxy,N Open,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
OMML_or_LaTeX_label,Omml Or Latex Label,categorical/text,Omml Or Latex Label,measured/model-output/metadata,results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
PR_damage_contribution,Pr Damage Contribution,model-native or categorical; see definition/provenance,Pr Damage Contribution,measured/model-output/metadata,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
PR_damage_memory,Pr Damage Memory,model-native or categorical; see definition/provenance,Pr Damage Memory,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
PR_exposure,Pr Exposure,model-native or categorical; see definition/provenance,Pr Exposure,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv
PR_off_meaningful,Pr Off Meaningful,model-native or categorical; see definition/provenance,Pr Off Meaningful,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv
PR_off_pass_exact,Pr Off Pass Exact,model-native or categorical; see definition/provenance,Pr Off Pass Exact,measured/model-output/metadata,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv
PR_preparation_memory,Pr Preparation Memory,dimensionless/proxy,Pr Preparation Memory,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
PR_redistribution_rate,Pr Redistribution Rate,model-native or categorical; see definition/provenance,Pr Redistribution Rate,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv
P_comp_TJ,P Comp Tj,model-native or categorical; see definition/provenance,P Comp Tj,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
Pi_PR,Pi Pr,dimensionless/proxy,Pi Pr,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
Q_PR_delta_kJ,Q Pr Delta Kj,kJ mol^-1,Q Pr Delta Kj,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
Q_closed_delta_kJ,Q Closed Delta Kj,kJ mol^-1,Q Closed Delta Kj,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
Q_exchange_delta_kJ,Q Exchange Delta Kj,kJ mol^-1,Q Exchange Delta Kj,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
Q_growth_delta_kJ,Q Growth Delta Kj,kJ mol^-1,Q Growth Delta Kj,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
Q_nuc_delta_kJ,Q Nuc Delta Kj,kJ mol^-1,Q Nuc Delta Kj,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
Q_transport_delta_kJ,Q Transport Delta Kj,kJ mol^-1,Q Transport Delta Kj,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
R_TS,Matched-density high-temperature/two-step grain-size ratio,model-native or categorical; see definition/provenance,Matched-density high-temperature/two-step grain-size ratio,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv
R_fast,Matched-density reference/fast grain-size ratio,model-native or categorical; see definition/provenance,Matched-density reference/fast grain-size ratio,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv
R_fast_exact,R Fast Exact,model-native or categorical; see definition/provenance,R Fast Exact,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
S_closed_growth,S Closed Growth,model-native or categorical; see definition/provenance,S Closed Growth,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
T1_C,First-step temperature,degC,First-step temperature,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
T1_reached_flag,T1 Reached Flag,dimensionless/proxy,T1 Reached Flag,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
T2_C,Second-step temperature,degC,Second-step temperature,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
T2_success_range,T2 Success Range,dimensionless/proxy,T2 Success Range,dimensionless/proxy,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
T_C,Temperature,degC,Temperature,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv
Theta_nuc,Theta Nuc,dimensionless/proxy,Theta Nuc,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
X_J,X J,model-native or categorical; see definition/provenance,X J,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv
ablation,Ablation,model-native or categorical; see definition/provenance,Ablation,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv
accommodation_at_switch,Accommodation At Switch,model-native or categorical; see definition/provenance,Accommodation At Switch,measured/model-output/metadata,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
activity,Activity,dimensionless/proxy,Activity,dimensionless/proxy,results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv
annotation_id,Annotation Id,model-native or categorical; see definition/provenance,Annotation Id,measured/model-output/metadata,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv
artifact_flag,Artifact Flag,dimensionless/proxy,Artifact Flag,dimensionless/proxy,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
attained,Attained,dimensionless/proxy,Attained,dimensionless/proxy,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv
availability,Availability,model-native or categorical; see definition/provenance,Availability,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv
axis_variable,Axis Variable,model-native or categorical; see definition/provenance,Axis Variable,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv
behavior_class_or_total,Behavior Class Or Total,model-native or categorical; see definition/provenance,Behavior Class Or Total,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv
both_paths_attained,Both Paths Attained,dimensionless/proxy,Both Paths Attained,dimensionless/proxy,results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv
boundary_role,Boundary Role,categorical/text,Boundary Role,measured/model-output/metadata,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv
calibration_sequence,Calibration Sequence,dimensionless/proxy,Calibration Sequence,dimensionless/proxy,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv
candidate_id,Candidate Id,identifier,Candidate Id,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv;results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv;results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/units_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
candidate_parameters_frozen,Candidate Parameters Frozen,model-native or categorical; see definition/provenance,Candidate Parameters Frozen,measured/model-output/metadata,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
causal_status,Causal Status,categorical/text,Causal Status,measured/model-output/metadata,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv
censored_flag,Censored Flag,dimensionless/proxy,Censored Flag,dimensionless/proxy,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv
channel,Channel,model-native or categorical; see definition/provenance,Channel,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv
classification,Classification,categorical/text,Classification,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
closed_accommodation_at_switch,Closed Accommodation At Switch,model-native or categorical; see definition/provenance,Closed Accommodation At Switch,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/ablation_summary.csv
closed_accommodation_available,Closed Accommodation Available,model-native or categorical; see definition/provenance,Closed Accommodation Available,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv
closed_accommodation_capacity,Closed Accommodation Capacity,model-native or categorical; see definition/provenance,Closed Accommodation Capacity,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
closed_accommodation_factor,Closed Accommodation Factor,dimensionless/proxy,Closed Accommodation Factor,dimensionless/proxy,results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
closed_accommodation_fraction,Closed Accommodation Fraction,dimensionless/proxy,Closed Accommodation Fraction,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
closed_accommodation_used,Closed Accommodation Used,model-native or categorical; see definition/provenance,Closed Accommodation Used,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
