T2_C,classification,practical,rho_final,candidate_id
1110,mixed,True,0.9511990541389981,290218
1120,mixed,True,0.9797426955992427,290218
1125,grain_growth,True,0.9800479020703106,290218
1150,grain_growth,True,0.9800446600341056,290218
1200,grain_growth,True,0.9801871082539073,290218
1250,grain_growth,True,0.9805048263605357,290218
1300,grain_growth,True,0.9809765932947501,290218
1350,grain_growth,True,0.9802861766723537,290218
800,density_exhaustion,True,0.8799996332508844,937371
850,density_exhaustion,True,0.879999861146434,937371
900,density_exhaustion,True,0.8872207736131776,937371
950,density_exhaustion,True,0.9159408164340731,937371
1000,density_exhaustion,True,0.9511452316096056,937371
1050,density_exhaustion,True,0.9596582568016593,937371
1100,density_exhaustion,True,0.9612618022268185,937371
1150,density_exhaustion,True,0.9616075728400012,937371
1175,density_exhaustion,True,0.9755402201613859,937371
1185,success,True,0.9801080780350808,937371
1195,success,True,0.9801785194232246,937371
1200,success,True,0.9801716283782574,937371
1250,success,True,0.9805840153144864,937371
1300,success,True,0.9808751053777782,937371
1350,success,True,0.9802372054393372,937371
800,density_exhaustion,True,0.8799995682286119,152299
850,density_exhaustion,True,0.8801183858085293,152299
900,density_exhaustion,True,0.8806932827157999,152299
950,density_exhaustion,True,0.8835100263672889,152299
1000,density_exhaustion,True,0.8954252340265653,152299
1050,density_exhaustion,True,0.9411845281710135,152299
1060,density_exhaustion,True,0.960125034111315,152299
1070,success,True,0.9800051223663545,152299
1075,success,True,0.9800740499308639,152299
1100,success,True,0.9801555503818208,152299
1125,success,True,0.9800359752188815,152299
1135,success,True,0.9804605257371704,152299
1145,success,True,0.9803197087527377,152299
1150,grain_growth,True,0.9803080399050406,152299
1200,grain_growth,True,0.9812611032604528,152299
1250,grain_growth,True,0.9818410081782971,152299
1300,grain_growth,True,0.9818051819863183,152299
1350,grain_growth,True,0.98199936,152299
800,density_exhaustion,True,0.8799993617030306,538988
850,density_exhaustion,True,0.8799993785486311,538988
900,density_exhaustion,True,0.8799995251143536,538988
950,density_exhaustion,True,0.8801519824665158,538988
1000,density_exhaustion,True,0.8810293395940996,538988
1050,density_exhaustion,True,0.884928322876773,538988
1100,density_exhaustion,True,0.8975398232009351,538988
1125,density_exhaustion,True,0.9127931318841812,538988
1135,density_exhaustion,True,0.9244210229000719,538988
1145,mixed,True,0.9332813106310217,538988
1150,mixed,True,0.9369582056076309,538988
1200,mixed,True,0.9759016031510623,538988
1210,grain_growth,True,0.9800077441033315,538988
1220,grain_growth,True,0.9800204754831593,538988
