candidate_id,parameter,value
693168,stress_shear,2.9744176982051664
693168,stress_migration,79.86097139056368
693168,stress_nucleation,3.259746207045721
693168,stress_tau,252.27423221277863
650736,N_regions,16
650736,weight_sigma,1.2886526200513022
650736,rho_sigma,0.07567649613950035
650736,G_sigma,0.3181645350387136
650736,degree,5
650736,connected_init,0.4702043050488822
650736,closed_init,0.05228645614348888
650736,cluster,0.15811777490711615
650736,exchange_rate,1.9973912633895038e-05
650736,k_PR,0.000206192586677415
650736,Q_PR,335074.1515025743
650736,activity_mid,0.4419950984998671
650736,activity_width,0.17254051211375748
650736,PR_damaged,0.049922366347068946
650736,PR_large,0.31845808497489353
650736,PR_TJ,0.2682399050174674
650736,PR_iso,0.3560376975262026
650736,PR_closed,0.007341946134367448
650736,PR_tau,5962114.3908324875
650736,k_sweep_damaged,0.00011216879414151186
650736,k_sweep_connected,2.4299364782852934e-05
650736,sweep_exp,1.73816250782486
650736,coalescence_exp,4.850415826566749
650736,number_loss,0.07265172044172376
650736,detachment,6.909395451209331e-10
650736,recapture,7.508502961177312e-07
650736,closed_transition,0.0022897220436761756
650736,k_closed,3.897000100825814e-05
650736,Q_closed,652594.7840821386
650736,closed_capacity,0.8861726885852975
650736,capacity_tau,16489.20745256516
650736,gas_ratio,0.06492678039854104
650736,closed_radius_exp,2.6796974735376744
650736,attached_drag,485.83583972840637
650736,junction_drag,83.00549778814624
650736,XJ_prod,0.0022341074760154427
650736,XJ_tau,7727.08816365751
650736,lambda_TJ,16.214570900600823
650736,K_TJ,14.248326281594816
650736,q_TJ,0
650736,pore_relax,0.9153362035745708
650736,pore_drag_fraction,0.9130566491561245
650736,stress_PR,55.0933437559185
650736,stress_shear,28.517557789065357
650736,stress_migration,82.32993609046545
650736,stress_nucleation,8.002447078051679
650736,stress_tau,262.60785137447556
516308,N_regions,16
516308,weight_sigma,0.990535710817768
516308,rho_sigma,0.08552516488505485
516308,G_sigma,0.43952757453259095
516308,degree,5
516308,connected_init,0.08070579440271072
516308,closed_init,0.14530898459460226
516308,cluster,0.3882635860140982
516308,exchange_rate,1.4131170581158287e-06
516308,k_PR,0.003178991966054258
516308,Q_PR,172113.95843092754
516308,activity_mid,0.0859260763325005
516308,activity_width,0.2379910135819571
516308,PR_damaged,0.29510404718530836
516308,PR_large,0.22671653843541448
516308,PR_TJ,0.023589439259440174
516308,PR_iso,0.3680059677915895
516308,PR_closed,0.08658400732824738
516308,PR_tau,884852.3751751776
516308,k_sweep_damaged,1.8099360473135212e-05
516308,k_sweep_connected,4.194001663789255e-05
516308,sweep_exp,2.712796350200092
516308,coalescence_exp,5.073354793029448
516308,number_loss,0.36054056167424775
516308,detachment,3.309888900669885e-10
516308,recapture,0.002076352148940189
516308,closed_transition,0.00604420980638992
516308,k_closed,7.574811367531617e-05
516308,Q_closed,383508.52015115565
516308,closed_capacity,0.9728376937136513
516308,capacity_tau,77871.98823080899
516308,gas_ratio,0.2914282864710087
516308,closed_radius_exp,3.0449745948124587
516308,attached_drag,457.22137436462936
516308,junction_drag,384.18279046299796
516308,XJ_prod,0.00593367408193363
516308,XJ_tau,43273.58811653927
516308,lambda_TJ,0.5818201201354657
516308,K_TJ,4.030859088229535
516308,q_TJ,0
516308,pore_relax,0.6532158989118028
516308,pore_drag_fraction,0.43874468415253004
516308,stress_PR,21.04779341084231
516308,stress_shear,42.21813302923332
516308,stress_migration,2.34677841346103
516308,stress_nucleation,8.414863413788254
516308,stress_tau,1018.7122575585894
232887,N_regions,8
232887,weight_sigma,1.2378902852498395
232887,rho_sigma,0.05691745031562392
232887,G_sigma,0.20232250201830865
232887,degree,4
232887,connected_init,0.27745847755400255
232887,closed_init,0.06031003463079703
232887,cluster,0.5557089486662901
232887,exchange_rate,3.287694354495598e-06
232887,k_PR,0.00029153213112158023
232887,Q_PR,312200.14968613087
232887,activity_mid,0.31140659046285074
