attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,fingerprint
True,0.22188341594048078,0.25516544698955823,0.28093463514899075,0.029999999999996696,0.0,0.008794113052597736,Tier_C,,430,True,False,False,849401,True,0.9803008280969496,0.9803426493945403,5b0d5c68cb91efde
True,0.26406359451393224,0.30618216038877943,0.3500926715642737,0.029999999999996696,0.017099999999998117,0.010993807420552667,Tier_B,,200,True,True,True,765596,True,0.9819999999999999,0.9802709139124895,348baefacd105019
True,0.03513377490622227,0.06058689963502739,0.10604667549790281,0.0,0.0,0.0019849919600871163,Tier_C,,155,True,True,True,657912,True,0.98,0.9806933891050293,9fe826d9dfce2838
True,0.07736640052548349,0.10198139317642085,0.12212848138446031,0.0,0.0,0.0031870168899233633,Tier_C,,280,True,False,False,947758,True,0.9819999999999999,0.9808185752306515,fb4006be02e5e30d
False,0.21591218548794244,0.2953902244756419,0.3867032787857295,0.021899999999997588,0.010299999999998866,0.007783433418996821,Tier_C,,0.0,True,True,False,363769,True,0.9817548323450903,0.9718946388160902,8ab2cff4b9a444bd
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,732825,True,0.7952626530458042,0.7952626530458042,18c41752c0e9dbd8
True,0.3456307946911583,0.3786001770937897,0.39913019144855233,0.029999999999996696,0.029999999999996696,0.01420206733996451,Tier_B,,100,True,True,True,815685,True,0.9800000000001807,0.9800278932798496,4df9f2d99fa631f1
False,0.527597142424929,0.5602453257976965,0.5832687449491336,0.023499999999997412,0.023499999999997412,0.019199771420578493,Tier_B,,50,True,True,True,875258,True,0.9804850276111856,0.973453352562911,c42040197b71f387
True,0.3470339892775547,0.40581396671065784,0.4737469866174865,0.029999999999996696,0.029999999999996696,0.015746178855545176,Tier_B,,25,True,True,True,290262,True,0.9800027354836288,0.9800037793484887,82c7a0eb9a0658b3
True,0.8027493609095449,0.8084687578008386,0.8269343700883443,0.029999999999996696,0.029999999999996696,0.049832149106411205,Tier_B,,40,True,True,True,632916,True,0.9811825431715316,0.9805408144101633,4ce9ba34374e7bdf
False,nan,nan,nan,0.0,0.0,0.0,Tier_C,high_density_unattained,75,True,True,True,107840,True,0.9800066494795702,0.9415248058622154,2f8fd5647e25b78f
True,0.1206170068067558,0.17435888080713258,0.18624214724696742,0.0,0.0,0.005157023642873762,Tier_C,,255,True,False,False,963836,True,0.9804259481791354,0.9801173593580436,ff8d7a9fdb93973b
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,437660,True,0.9600065078925978,0.9485886626633065,d02b776ac6a5671b
