case_id,mode,path,subpopulation,t_s,rho_i,G_i_nm,pore_D50_i_nm,pore_D90_i_nm,connected_fine_i,large_pore_i,rho_dot_i,G_dot_i_nm_s,PR_work_i,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore,f_defect_large_pore,stored_PR_work
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,487.1999999999907,0.7000000000000686,135.00000000000003,23.742117291982165,9.496846916792866e-08,0.2969564845008176,0.5148147059627832,8.435349193432395e-15,7.448484581444729e-20,300.3793310746602,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,489.5999999999906,0.7000000000000902,135.00000000000003,23.74212527074786,9.496850108299144e-08,0.2969561732397297,0.5148155397091492,1.1024000894954001e-14,1.1804900133573781e-19,322.8774708460558,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,491.99999999999045,0.7000000000001185,135.00000000000003,23.742133752058006,9.496853500823202e-08,0.2969558423753631,0.5148164259637097,1.4381551814893267e-14,1.8644480982641392e-19,346.7921727638727,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,494.3999999999903,0.7000000000001555,135.00000000000003,23.74214275884977,9.496857103539908e-08,0.2969554910131962,0.5148173671223008,1.8729073276892875e-14,2.9345816181970796e-19,372.18802662647283,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,496.7999999999902,0.7000000000002037,135.00000000000003,23.74215231426445,9.49686092570578e-08,0.29695511825078025,0.5148183656019628,2.4349210740176776e-14,4.603229713083058e-19,399.1301871399304,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,499.19999999999004,0.7000000000002661,135.00000000000003,23.742162441546583,9.496864976618633e-08,0.2969547231816752,0.5148194238303962,3.160282989540035e-14,7.196347426340394e-19,427.68408865616516,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,501.5999999999899,0.7000000000003472,135.00000000000003,23.742173163929866,9.496869265571947e-08,0.29695430489990643,0.5148205442340213,4.09500478402608e-14,1.121261858094156e-18,457.9151222249686,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,503.99999999998977,0.7000000000004523,135.00000000000003,23.742184504508653,9.496873801803461e-08,0.29695386250497907,0.5148217292245423,5.2976782960277014e-14,1.7412455169848684e-18,489.8882722599438,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,506.39999999998963,0.7000000000005882,135.00000000000003,23.742196486094276,9.49687859443771e-08,0.2969533951074883,0.5148229811839171,6.842824811908021e-14,2.69514944571003e-18,523.6677100869609,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,508.7999999999895,0.7000000000007636,135.00000000000003,23.74220913105506,9.496883652422023e-08,0.2969529018353634,0.5148243024476298,8.825117818238923e-14,4.158028752587024e-18,559.3163416472491,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,511.19999999998936,0.7000000000009896,135.00000000000003,23.74222246113922,9.496888984455689e-08,0.29695238184078154,0.5148256952861685,1.1364704493786767e-13,6.394190841829753e-18,596.8953066769341,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,513.5999999999892,0.7000000000012807,135.00000000000003,23.742236497279652,9.49689459891186e-08,0.2969518343077876,0.5148271618846095,1.4613909597825943e-13,9.801413544411599e-18,636.4634267948436,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,515.9999999999891,0.7000000000016549,135.00000000000003,23.74225125937971,9.496900503751883e-08,0.29695125846065307,0.5148287043202252,1.8765679229948598e-13,1.497642456708486e-17,678.0766001183171,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,518.399999999989,0.7000000000021351,135.00000000000003,23.74226676607947,9.496906706431788e-08,0.29695065357300265,0.5148303245380342,2.4064215501811825e-13,2.2811561740407132e-17,721.7871403142209,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,520.7999999999888,0.7000000000027506,135.00000000000003,23.742283034501565,9.496913213800625e-08,0.2969500189777312,0.5148320243242338,3.081837200184218e-13,3.463701099665557e-17,767.6430584057044,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,523.1999999999887,0.7000000000035389,135.00000000000003,23.742300079976417,9.496920031990566e-08,0.29694935407772755,0.5148338052774717,3.941853121108631e-13,5.242943275239857e-17,815.687286225945,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,525.5999999999885,0.7000000000045465,135.00000000000003,23.742317915746753,9.4969271662987e-08,0.29694865835740913,0.514835668777947,5.0357878042027e-13,7.911703904222355e-17,865.956841175335,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,527.9999999999884,0.7000000000058335,135.00000000000003,23.7423365526514,9.496934621060559e-08,0.29694793139505776,0.5148376159543625,6.425923052609596e-13,1.1902429739346966e-16,918.4819329411308,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,530.3999999999883,0.7000000000074754,135.00000000000003,23.74235599878941,9.496942399515764e-08,0.29694717287593086,0.5148396476488042,8.190890515556224e-13,1.7851817750797992e-16,973.285014126752,0,0,0,0,0
