case_id,mode,rho0,G0_nm,defect_weight,defect_large_pore_factor,matrix_connected_fraction,stress_scale,tau_defect_over_matrix,peak_T_C,hold_h,fast_rate_C_min,both_paths_attained,max_ratio,median_ratio,meaningful_span,meaningful,strong,tail_only,classification,numerical_censored,trajectory_gate_passed
L009,evolving_defect_memory,0.65,75.0,0.05,12.0,0.7,0.5,3.0,1400.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L010,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.1,12.0,0.9,0.5,3.0,1400.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L010,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.1,12.0,0.9,0.5,3.0,1400.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L011,stress_retention_high,0.75,75.0,0.2,12.0,0.9,0.5,3.0,1400.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L011,stress_retention_high,0.75,75.0,0.2,12.0,0.9,0.5,3.0,1400.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L012,disabled_local_mixture,0.65,150.0,0.02,4.0,0.9,1.0,3.0,1400.0,2.0,20.0,False,0.9991931861731945,0.9976330664927618,0.0,False,False,False,negligible,False,False
L012,disabled_local_mixture,0.65,150.0,0.02,4.0,0.9,1.0,3.0,1400.0,2.0,100.0,False,0.9993750974360781,0.9977325172563044,0.0,False,False,False,negligible,False,False
L013,matrix_only,0.7,150.0,0.05,4.0,0.9,1.0,3.0,1400.0,2.0,20.0,False,0.9985116977409476,0.9964691464992241,0.0,False,False,False,negligible,False,False
L013,matrix_only,0.7,150.0,0.05,4.0,0.9,1.0,3.0,1400.0,2.0,100.0,False,0.9990798075437246,0.9966611997256508,0.0,False,False,False,negligible,False,False
L014,static_defect_mixture,0.75,150.0,0.1,4.0,0.9,1.0,10.0,1400.0,2.0,20.0,False,0.9775653546351963,0.9733216333474775,0.0,False,False,False,numerical_censored,True,False
L014,static_defect_mixture,0.75,150.0,0.1,4.0,0.9,1.0,10.0,1400.0,2.0,100.0,False,0.9783716493016796,0.9748294266874331,0.0,False,False,False,numerical_censored,True,False
L015,evolving_defect_memory,0.65,225.0,0.2,4.0,0.5,1.0,10.0,1400.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L015,evolving_defect_memory,0.65,225.0,0.2,4.0,0.5,1.0,10.0,1400.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L016,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.02,8.0,0.5,1.0,10.0,1450.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L016,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.02,8.0,0.5,1.0,10.0,1450.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L017,stress_retention_high,0.75,225.0,0.05,8.0,0.5,1.0,10.0,1450.0,2.0,20.0,False,0.9394143783711149,0.9365218091180803,0.0,False,False,False,numerical_censored,True,False
L017,stress_retention_high,0.75,225.0,0.05,8.0,0.5,1.0,10.0,1450.0,2.0,100.0,False,0.9394088706802807,0.9368759764932357,0.0,False,False,False,numerical_censored,True,False
L018,disabled_local_mixture,0.65,75.0,0.1,8.0,0.5,2.0,10.0,1450.0,2.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L018,disabled_local_mixture,0.65,75.0,0.1,8.0,0.5,2.0,10.0,1450.0,2.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L019,matrix_only,0.7,75.0,0.2,8.0,0.5,2.0,10.0,1450.0,2.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L019,matrix_only,0.7,75.0,0.2,8.0,0.5,2.0,10.0,1450.0,2.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L020,static_defect_mixture,0.75,75.0,0.02,12.0,0.7,2.0,10.0,1450.0,2.0,20.0,False,0.9720465879214256,0.966348511194539,0.0,False,False,False,numerical_censored,True,False
L020,static_defect_mixture,0.75,75.0,0.02,12.0,0.7,2.0,10.0,1450.0,2.0,100.0,False,0.9474759341082556,0.9404048114794086,0.0,False,False,False,numerical_censored,True,False
L021,evolving_defect_memory,0.65,150.0,0.05,12.0,0.7,2.0,30.0,1450.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L021,evolving_defect_memory,0.65,150.0,0.05,12.0,0.7,2.0,30.0,1450.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L022,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.1,12.0,0.7,2.0,30.0,1450.0,2.0,20.0,False,0.9877886879628568,0.9877211317621974,0.0,False,False,False,numerical_censored,True,False
L022,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.1,12.0,0.7,2.0,30.0,1450.0,2.0,100.0,False,0.9460279459843455,0.9460261453398814,0.0,False,False,False,numerical_censored,True,False
L023,stress_retention_high,0.75,150.0,0.2,12.0,0.7,2.0,30.0,1450.0,2.0,20.0,False,0.9861071134250785,0.9855310241401655,0.0,False,False,False,numerical_censored,True,False
L023,stress_retention_high,0.75,150.0,0.2,12.0,0.7,2.0,30.0,1450.0,2.0,100.0,False,0.9265970075095757,0.9255597275685478,0.0,False,False,False,numerical_censored,True,False
L024,disabled_local_mixture,0.65,225.0,0.02,4.0,0.7,0.0,30.0,1500.0,8.0,20.0,True,0.9885476858124562,0.9804096946171549,0.0,False,False,False,negligible,False,False
L024,disabled_local_mixture,0.65,225.0,0.02,4.0,0.7,0.0,30.0,1500.0,8.0,100.0,True,0.9872555791554206,0.9788352874065281,0.0,False,False,False,negligible,False,False
L025,matrix_only,0.7,225.0,0.05,4.0,0.9,0.0,30.0,1500.0,8.0,20.0,True,0.986828219920996,0.9837569927793315,0.0,False,False,False,negligible,False,False
L025,matrix_only,0.7,225.0,0.05,4.0,0.9,0.0,30.0,1500.0,8.0,100.0,True,0.9848097364878081,0.9816050028445256,0.0,False,False,False,negligible,False,False
L026,static_defect_mixture,0.75,225.0,0.1,4.0,0.9,0.0,30.0,1500.0,8.0,20.0,False,0.9765544396954025,0.9552161775726816,0.0,False,False,False,numerical_censored,True,False
L026,static_defect_mixture,0.75,225.0,0.1,4.0,0.9,0.0,30.0,1500.0,8.0,100.0,False,0.9756071295397312,0.9516665062786525,0.0,False,False,False,numerical_censored,True,False
L027,evolving_defect_memory,0.65,75.0,0.2,4.0,0.9,0.0,30.0,1500.0,8.0,20.0,False,1.731062205999927,1.4592425616481441,0.0,False,False,True,numerical_censored,True,False
L027,evolving_defect_memory,0.65,75.0,0.2,4.0,0.9,0.0,30.0,1500.0,8.0,100.0,False,1.599952220608976,1.4959101549205343,0.0,False,False,True,numerical_censored,True,False
L028,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.02,8.0,0.9,0.0,1.0,1500.0,8.0,20.0,False,1.033864811378115,0.9698863412353289,0.0,False,False,False,numerical_censored,True,False
L028,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.02,8.0,0.9,0.0,1.0,1500.0,8.0,100.0,False,1.0332763599793873,0.9697452086756666,0.0,False,False,False,numerical_censored,True,False
L029,stress_retention_high,0.75,75.0,0.05,8.0,0.9,0.0,1.0,1500.0,8.0,20.0,False,1.1262685867704254,0.9731314583970697,0.0,False,False,False,numerical_censored,True,False
L029,stress_retention_high,0.75,75.0,0.05,8.0,0.9,0.0,1.0,1500.0,8.0,100.0,False,1.1502305619397035,0.9862176538480074,0.0,False,False,False,numerical_censored,True,False
L030,disabled_local_mixture,0.65,150.0,0.1,8.0,0.5,0.5,1.0,1500.0,8.0,20.0,True,0.9822448260022625,0.9255731199363599,0.0,False,False,False,negligible,False,False
L030,disabled_local_mixture,0.65,150.0,0.1,8.0,0.5,0.5,1.0,1500.0,8.0,100.0,True,0.9797904110198586,0.9205747462825542,0.0,False,False,False,negligible,False,False
L031,matrix_only,0.7,150.0,0.2,8.0,0.5,0.5,1.0,1500.0,8.0,20.0,True,0.9801178177485224,0.9717939346081219,0.0,False,False,False,negligible,False,False
L031,matrix_only,0.7,150.0,0.2,8.0,0.5,0.5,1.0,1500.0,8.0,100.0,True,0.9786684957771545,0.9688343602653764,0.0,False,False,False,negligible,False,False
L032,static_defect_mixture,0.75,150.0,0.02,12.0,0.5,0.5,1.0,1350.0,8.0,20.0,False,0.9944359348792368,0.9942201603575813,0.0,False,False,False,negligible,False,False
L032,static_defect_mixture,0.75,150.0,0.02,12.0,0.5,0.5,1.0,1350.0,8.0,100.0,False,0.993943219049234,0.9937640721559803,0.0,False,False,False,negligible,False,False
L033,evolving_defect_memory,0.65,225.0,0.05,12.0,0.5,0.5,1.0,1350.0,8.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L033,evolving_defect_memory,0.65,225.0,0.05,12.0,0.5,0.5,1.0,1350.0,8.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L034,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.1,12.0,0.5,0.5,1.0,1350.0,8.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L034,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.1,12.0,0.5,0.5,1.0,1350.0,8.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L035,stress_retention_high,0.75,225.0,0.2,12.0,0.7,0.5,3.0,1350.0,8.0,20.0,False,0.9983999308505874,0.9981963012284938,0.0,False,False,False,negligible,False,False
L035,stress_retention_high,0.75,225.0,0.2,12.0,0.7,0.5,3.0,1350.0,8.0,100.0,False,0.9983353717939248,0.9981168749962217,0.0,False,False,False,negligible,False,False
L036,disabled_local_mixture,0.65,75.0,0.02,4.0,0.7,1.0,3.0,1350.0,20.0,20.0,False,1.0021470355483424,0.9987966085540365,0.0,False,False,False,negligible,False,False
L036,disabled_local_mixture,0.65,75.0,0.02,4.0,0.7,1.0,3.0,1350.0,20.0,100.0,False,1.0017385810009147,0.9982141230026605,0.0,False,False,False,negligible,False,False
L037,matrix_only,0.7,75.0,0.05,4.0,0.7,1.0,3.0,1350.0,20.0,20.0,True,1.0030166180000346,0.997741829913021,0.0,False,False,False,negligible,False,False
L037,matrix_only,0.7,75.0,0.05,4.0,0.7,1.0,3.0,1350.0,20.0,100.0,True,1.0024256318275173,0.9969353452459581,0.0,False,False,False,negligible,False,False
L038,static_defect_mixture,0.75,75.0,0.1,4.0,0.7,1.0,3.0,1350.0,20.0,20.0,False,0.9625711541498763,0.9534572200276296,0.0,False,False,False,numerical_censored,True,False
L038,static_defect_mixture,0.75,75.0,0.1,4.0,0.7,1.0,3.0,1350.0,20.0,100.0,False,0.9621935681134617,0.9533965003170302,0.0,False,False,False,numerical_censored,True,False
L039,evolving_defect_memory,0.65,150.0,0.2,4.0,0.7,1.0,3.0,1350.0,20.0,20.0,False,0.9360483628461171,0.9329670282973456,0.0,False,False,False,numerical_censored,True,False
L039,evolving_defect_memory,0.65,150.0,0.2,4.0,0.7,1.0,3.0,1350.0,20.0,100.0,False,0.9366558480422995,0.9335886589759945,0.0,False,False,False,numerical_censored,True,False
L040,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.9,1.0,3.0,1400.0,20.0,20.0,False,0.9898499122586636,0.9893649645670897,0.0,False,False,False,numerical_censored,True,False
L040,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.9,1.0,3.0,1400.0,20.0,100.0,False,0.9901495228341258,0.9898938187637358,0.0,False,False,False,numerical_censored,True,False
L041,stress_retention_high,0.75,150.0,0.05,8.0,0.9,1.0,3.0,1400.0,20.0,20.0,False,0.984847611748835,0.9817181651725704,0.0,False,False,False,numerical_censored,True,False
L041,stress_retention_high,0.75,150.0,0.05,8.0,0.9,1.0,3.0,1400.0,20.0,100.0,False,0.9853970458884409,0.9833368827494946,0.0,False,False,False,numerical_censored,True,False
L042,disabled_local_mixture,0.65,225.0,0.1,8.0,0.9,2.0,10.0,1400.0,20.0,20.0,True,1.0089916344691436,1.0027834417476509,0.0,False,False,False,negligible,False,False
L042,disabled_local_mixture,0.65,225.0,0.1,8.0,0.9,2.0,10.0,1400.0,20.0,100.0,True,1.0096156360683588,1.003242946478926,0.0,False,False,False,negligible,False,False
L043,matrix_only,0.7,225.0,0.2,8.0,0.9,2.0,10.0,1400.0,20.0,20.0,True,1.0038298538059045,0.9998738754387047,0.0,False,False,False,negligible,False,False
L043,matrix_only,0.7,225.0,0.2,8.0,0.9,2.0,10.0,1400.0,20.0,100.0,True,1.004729320221451,1.0001107511683993,0.0,False,False,False,negligible,False,False
L044,static_defect_mixture,0.75,225.0,0.02,12.0,0.9,2.0,10.0,1400.0,20.0,20.0,False,1.0013931051909695,0.9974484054528788,0.0,False,False,False,numerical_censored,True,False
L044,static_defect_mixture,0.75,225.0,0.02,12.0,0.9,2.0,10.0,1400.0,20.0,100.0,False,1.0011559045787233,0.9969794614066962,0.0,False,False,False,numerical_censored,True,False
L045,evolving_defect_memory,0.65,75.0,0.05,12.0,0.5,2.0,10.0,1400.0,20.0,20.0,False,1.0209033993702474,0.9949794918008488,0.0,False,False,False,numerical_censored,True,False
L045,evolving_defect_memory,0.65,75.0,0.05,12.0,0.5,2.0,10.0,1400.0,20.0,100.0,False,1.0018588696966622,0.9691128522335399,0.0,False,False,False,numerical_censored,True,False
L046,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.1,12.0,0.5,2.0,10.0,1400.0,20.0,20.0,False,1.0267763468280102,0.9950952378961032,0.0,False,False,False,numerical_censored,True,False
L046,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.1,12.0,0.5,2.0,10.0,1400.0,20.0,100.0,False,0.9967435966655022,0.9538041898416444,0.0,False,False,False,numerical_censored,True,False
L047,stress_retention_high,0.75,75.0,0.2,12.0,0.5,2.0,10.0,1400.0,20.0,20.0,False,1.0310629257269823,0.9942656978082012,0.0,False,False,False,numerical_censored,True,False
L047,stress_retention_high,0.75,75.0,0.2,12.0,0.5,2.0,10.0,1400.0,20.0,100.0,False,0.9858125009558146,0.9327411983368238,0.0,False,False,False,numerical_censored,True,False
L048,disabled_local_mixture,0.65,150.0,0.02,4.0,0.5,0.0,10.0,1450.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L048,disabled_local_mixture,0.65,150.0,0.02,4.0,0.5,0.0,10.0,1450.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L049,matrix_only,0.7,150.0,0.05,4.0,0.5,0.0,30.0,1450.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L049,matrix_only,0.7,150.0,0.05,4.0,0.5,0.0,30.0,1450.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L050,static_defect_mixture,0.75,150.0,0.1,4.0,0.7,0.0,30.0,1450.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L050,static_defect_mixture,0.75,150.0,0.1,4.0,0.7,0.0,30.0,1450.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L051,evolving_defect_memory,0.65,225.0,0.2,4.0,0.7,0.0,30.0,1450.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L051,evolving_defect_memory,0.65,225.0,0.2,4.0,0.7,0.0,30.0,1450.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L052,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.02,8.0,0.7,0.0,30.0,1450.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L052,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.02,8.0,0.7,0.0,30.0,1450.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L053,stress_retention_high,0.75,225.0,0.05,8.0,0.7,0.0,30.0,1450.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L053,stress_retention_high,0.75,225.0,0.05,8.0,0.7,0.0,30.0,1450.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L054,disabled_local_mixture,0.65,75.0,0.1,8.0,0.7,0.5,30.0,1450.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L054,disabled_local_mixture,0.65,75.0,0.1,8.0,0.7,0.5,30.0,1450.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L055,matrix_only,0.7,75.0,0.2,8.0,0.9,0.5,30.0,1450.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L055,matrix_only,0.7,75.0,0.2,8.0,0.9,0.5,30.0,1450.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L056,static_defect_mixture,0.75,75.0,0.02,12.0,0.9,0.5,1.0,1500.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L056,static_defect_mixture,0.75,75.0,0.02,12.0,0.9,0.5,1.0,1500.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L057,evolving_defect_memory,0.65,150.0,0.05,12.0,0.9,0.5,1.0,1500.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L057,evolving_defect_memory,0.65,150.0,0.05,12.0,0.9,0.5,1.0,1500.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L058,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.1,12.0,0.9,0.5,1.0,1500.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L058,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.1,12.0,0.9,0.5,1.0,1500.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L059,stress_retention_high,0.75,150.0,0.2,12.0,0.9,0.5,1.0,1500.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L059,stress_retention_high,0.75,150.0,0.2,12.0,0.9,0.5,1.0,1500.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L060,disabled_local_mixture,0.65,225.0,0.02,4.0,0.5,1.0,1.0,1500.0,2.0,20.0,False,0.9744205776640394,0.9728106121793894,0.0,False,False,False,negligible,False,False
L060,disabled_local_mixture,0.65,225.0,0.02,4.0,0.5,1.0,1.0,1500.0,2.0,100.0,False,0.9719070206808182,0.9703942857452926,0.0,False,False,False,negligible,False,False
L061,matrix_only,0.7,225.0,0.05,4.0,0.5,1.0,1.0,1500.0,2.0,20.0,False,0.977311867143724,0.975803464602808,0.0,False,False,False,negligible,False,False
L061,matrix_only,0.7,225.0,0.05,4.0,0.5,1.0,1.0,1500.0,2.0,100.0,False,0.9743092836202124,0.9730498905476568,0.0,False,False,False,negligible,False,False
L062,static_defect_mixture,0.75,225.0,0.1,4.0,0.5,1.0,1.0,1500.0,2.0,20.0,False,0.8787554200564986,0.8573067747405464,0.0,False,False,False,numerical_censored,True,False
L062,static_defect_mixture,0.75,225.0,0.1,4.0,0.5,1.0,1.0,1500.0,2.0,100.0,False,0.8754090381353143,0.8555349236790059,0.0,False,False,False,numerical_censored,True,False
L063,evolving_defect_memory,0.65,75.0,0.2,4.0,0.5,1.0,3.0,1500.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L063,evolving_defect_memory,0.65,75.0,0.2,4.0,0.5,1.0,3.0,1500.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L064,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.02,8.0,0.5,1.0,3.0,1350.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L064,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.02,8.0,0.5,1.0,3.0,1350.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L065,stress_retention_high,0.75,75.0,0.05,8.0,0.7,1.0,3.0,1350.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L065,stress_retention_high,0.75,75.0,0.05,8.0,0.7,1.0,3.0,1350.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L066,disabled_local_mixture,0.65,150.0,0.1,8.0,0.7,2.0,3.0,1350.0,2.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L066,disabled_local_mixture,0.65,150.0,0.1,8.0,0.7,2.0,3.0,1350.0,2.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L067,matrix_only,0.7,150.0,0.2,8.0,0.7,2.0,3.0,1350.0,2.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L067,matrix_only,0.7,150.0,0.2,8.0,0.7,2.0,3.0,1350.0,2.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L068,static_defect_mixture,0.75,150.0,0.02,12.0,0.7,2.0,3.0,1350.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L068,static_defect_mixture,0.75,150.0,0.02,12.0,0.7,2.0,3.0,1350.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L069,evolving_defect_memory,0.65,225.0,0.05,12.0,0.7,2.0,3.0,1350.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L069,evolving_defect_memory,0.65,225.0,0.05,12.0,0.7,2.0,3.0,1350.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L070,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.1,12.0,0.9,2.0,10.0,1350.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L070,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.1,12.0,0.9,2.0,10.0,1350.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L071,stress_retention_high,0.75,225.0,0.2,12.0,0.9,2.0,10.0,1350.0,2.0,20.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L071,stress_retention_high,0.75,225.0,0.2,12.0,0.9,2.0,10.0,1350.0,2.0,100.0,False,nan,nan,0.0,False,False,False,numerical_censored,True,False
L072,disabled_local_mixture,0.65,75.0,0.02,4.0,0.9,0.0,10.0,1400.0,8.0,20.0,False,0.9956416137479307,0.9939582213762354,0.0,False,False,False,negligible,False,False
L072,disabled_local_mixture,0.65,75.0,0.02,4.0,0.9,0.0,10.0,1400.0,8.0,100.0,False,0.9936212463396732,0.9918737603741151,0.0,False,False,False,negligible,False,False
L073,matrix_only,0.7,75.0,0.05,4.0,0.9,0.0,10.0,1400.0,8.0,20.0,True,0.9913612337343237,0.9901177810976243,0.0,False,False,False,negligible,False,False
L073,matrix_only,0.7,75.0,0.05,4.0,0.9,0.0,10.0,1400.0,8.0,100.0,True,0.9898917794815719,0.9885797521142339,0.0,False,False,False,negligible,False,False
L074,static_defect_mixture,0.75,75.0,0.1,4.0,0.9,0.0,10.0,1400.0,8.0,20.0,False,1.015955713334893,1.010979384850227,0.0,False,False,False,negligible,False,False
L074,static_defect_mixture,0.75,75.0,0.1,4.0,0.9,0.0,10.0,1400.0,8.0,100.0,False,1.0178632156140301,1.0116477334052052,0.0,False,False,False,negligible,False,False
L075,evolving_defect_memory,0.65,150.0,0.2,4.0,0.5,0.0,10.0,1400.0,8.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L075,evolving_defect_memory,0.65,150.0,0.2,4.0,0.5,0.0,10.0,1400.0,8.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L076,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.5,0.0,10.0,1400.0,8.0,20.0,False,0.9946362633062559,0.9928151524870581,0.0,False,False,False,negligible,False,False
L076,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.5,0.0,10.0,1400.0,8.0,100.0,False,0.994110905887638,0.9922167076841284,0.0,False,False,False,negligible,False,False
L077,stress_retention_high,0.75,150.0,0.05,8.0,0.5,0.0,30.0,1400.0,8.0,20.0,False,0.994972060131237,0.9906084809171373,0.0,False,False,False,negligible,False,False
L077,stress_retention_high,0.75,150.0,0.05,8.0,0.5,0.0,30.0,1400.0,8.0,100.0,False,0.9945700248973531,0.9901068961114418,0.0,False,False,False,negligible,False,False
