case_id,fast_rate_C_min,rho,G_mean_reference_nm,G50_reference_nm,G90_reference_nm,G_mean_fast_nm,G50_fast_nm,G90_fast_nm
L024,20.0,0.9,236.10553432327984,226.95423246448885,226.95423246448885,240.02218205429722,229.28008247980284,229.28008247980284
L024,20.0,0.92,258.988952835301,247.161295594343,247.161295594343,262.1826101027472,248.78932726447331,248.78932726447331
L024,100.0,0.85,214.76220207562918,209.2849351695752,209.2849351695752,220.43098945186605,212.98613034279194,212.98613034279194
L024,100.0,0.88,224.3414859341374,216.96791683307984,216.96791683307984,229.2305633429341,220.09437646950497,220.09437646950497
L024,100.0,0.9,236.10553432327984,226.95423246448885,226.95423246448885,240.36831372057924,229.54020585651108,229.54020585651108
L024,100.0,0.92,258.988952835301,247.161295594343,247.161295594343,262.51985758102524,249.03731733263572,249.03731733263572
L025,20.0,0.85,226.83081874565968,226.83081874565968,226.83081874565968,229.85846388120055,229.85846388120055,229.85846388120055
L025,20.0,0.88,229.58861753139507,229.58861753139507,229.58861753139507,233.3910101177022,233.3910101177022,233.3910101177022
L025,20.0,0.9,233.84776475518302,233.84776475518302,233.84776475518302,238.06926256555403,238.06926256555403,238.06926256555403
L025,20.0,0.92,244.10333907911698,244.10333907911698,244.10333907911698,247.8061891611541,247.8061891611541,247.8061891611541
L025,100.0,0.85,226.83081874565968,226.83081874565968,226.83081874565968,230.32958584936557,230.32958584936557,230.32958584936557
L025,100.0,0.88,229.58861753139507,229.58861753139507,229.58861753139507,233.87659936444538,233.87659936444538,233.87659936444538
L025,100.0,0.9,233.84776475518302,233.84776475518302,233.84776475518302,238.58965111736836,238.58965111736836,238.58965111736836
L025,100.0,0.92,244.10333907911698,244.10333907911698,244.10333907911698,248.4490902202757,248.4490902202757,248.4490902202757
L026,20.0,0.85,219.2220614443703,204.50038934766803,204.50038934766803,228.52367839819487,208.4874959827174,208.4874959827174
L026,20.0,0.88,226.73968704037435,208.64426625498058,208.64426625498058,238.41121294286634,214.02748457463653,214.02748457463653
L026,20.0,0.9,239.66445966224344,216.00405062906154,216.00405062906154,250.6656678316075,221.83113954102794,221.83113954102794
L026,20.0,0.92,267.66257105941037,234.1604462643655,234.1604462643655,275.67316812654286,239.62098576462643,239.62098576462643
L026,100.0,0.85,219.2220614443703,204.50038934766803,204.50038934766803,229.58962235223578,209.1306032140296,209.1306032140296
L026,100.0,0.88,226.73968704037435,208.64426625498058,208.64426625498058,239.29461129984364,214.6571728286022,214.6571728286022
L026,100.0,0.9,239.66445966224344,216.00405062906154,216.00405062906154,251.2837568973417,222.3823546640731,222.3823546640731
L026,100.0,0.92,267.66257105941037,234.1604462643655,234.1604462643655,275.91145302099466,240.05192862949178,240.05192862949178
L027,20.0,0.85,191.1969150280023,88.04865862187619,603.7899406525067,145.79709097863716,91.36888151169158,363.5099288464196
L027,20.0,0.88,288.2273387950845,113.82989652223432,985.817107886485,199.16502153570084,115.70957920077453,532.9867908754061
L027,20.0,0.9,426.5019477353811,164.95365040843848,1472.6951370431514,274.35837056373765,153.73801983979266,756.8397734595176
L027,100.0,0.85,191.1969150280023,88.04865862187619,603.7899406525067,137.21853825490382,92.6081500024951,315.66009126453855
L027,100.0,0.88,288.2273387950845,113.82989652223432,985.817107886485,185.73584867929097,118.15617307651418,456.05455109039804
L027,100.0,0.9,426.5019477353811,164.95365040843848,1472.6951370431514,332.4997706178573,137.44156095132135,1112.732609284001
L028,20.0,0.85,78.63007667313653,74.84680498639825,74.84680498639825,83.89740510292671,79.59744814827033,79.59744814827033
L028,20.0,0.88,90.00561611906267,81.97997702313937,81.97997702313937,93.42658154229586,87.2009338485069,87.2009338485069
L028,20.0,0.9,104.96394648328562,91.02864045304776,91.02864045304776,104.54945868659023,96.21887251091083,96.21887251091083
L028,20.0,0.92,128.21821500295826,105.87385721501235,105.87385721501235,124.01835674438585,112.18414273249833,112.18414273249833
L028,100.0,0.85,78.63007667313653,74.84680498639825,74.84680498639825,84.26403987482178,80.63336434832648,80.63336434832648
L028,100.0,0.88,90.00561611906267,81.97997702313937,81.97997702313937,93.55231678275672,88.40618233479921,88.40618233479921
L028,100.0,0.9,104.96394648328562,91.02864045304776,91.02864045304776,104.3829126670608,97.58491004974763,97.58491004974763
L028,100.0,0.92,128.21821500295826,105.87385721501235,105.87385721501235,124.0889852599706,114.43104967158848,114.43104967158848
L029,20.0,0.85,80.91440512872478,74.26058480024386,74.26058480024386,87.62491097940493,79.14496715848811,79.14496715848811
L029,20.0,0.88,96.52760387556721,81.71511065144135,81.71511065144135,100.85785784981546,87.73358458744823,87.73358458744823
L029,20.0,0.9,119.40686169317584,91.3268572589449,91.3268572589449,115.66433093777553,97.52931010379358,97.52931010379358
L029,20.0,0.92,158.46566643416415,107.95773096252634,107.95773096252634,141.77705354509558,115.00617230340562,115.00617230340562
L029,100.0,0.85,80.91440512872478,74.26058480024386,74.26058480024386,87.5586338104222,80.272265610257,80.272265610257
L029,100.0,0.88,96.52760387556721,81.71511065144135,81.71511065144135,99.64173200451415,88.84787925238905,88.84787925238905
L029,100.0,0.9,119.40686169317584,91.3268572589449,91.3268572589449,113.58720295401822,98.87939232856137,98.87939232856137
L029,100.0,0.92,158.46566643416415,107.95773096252634,107.95773096252634,138.84076164014107,117.23491485410517,117.23491485410517
L030,20.0,0.85,198.17942650426426,149.7790571688722,149.7790571688722,220.36703561281124,152.85564033947446,152.85564033947446
L030,20.0,0.88,231.6208247068386,161.47099205037097,161.47099205037097,252.10205182841852,163.60184161865604,163.60184161865604
L030,20.0,0.9,273.03734581399607,179.52934376262024,179.52934376262024,289.8187210690297,179.3689048434675,179.3689048434675
L030,20.0,0.92,360.8118313701303,227.72249413597453,227.72249413597453,368.46831684062926,220.60774118130277,220.60774118130277
L030,100.0,0.85,198.17942650426426,149.7790571688722,149.7790571688722,221.73010150411574,153.3338770196993,153.3338770196993
L030,100.0,0.88,231.6208247068386,161.47099205037097,161.47099205037097,253.47747565403608,164.03290013444607,164.03290013444607
L030,100.0,0.9,273.03734581399607,179.52934376262024,179.52934376262024,291.1355273336013,179.70675451131964,179.70675451131964
L030,100.0,0.92,360.8118313701303,227.72249413597453,227.72249413597453,369.49359719831165,220.65345137857645,220.65345137857645
L031,20.0,0.85,159.65352486215826,159.65352486215826,159.65352486215826,165.00489812908128,165.00489812908128,165.00489812908128
L031,20.0,0.88,166.8674238454272,166.8674238454272,166.8674238454272,171.8480819382771,171.8480819382771,171.8480819382771
L031,20.0,0.9,175.1846293776093,175.1846293776093,175.1846293776093,179.81087856144245,179.81087856144245,179.81087856144245
L031,20.0,0.92,190.85412915937667,190.85412915937667,190.85412915937667,194.8024199423693,194.8024199423693,194.8024199423693
L031,100.0,0.85,159.65352486215826,159.65352486215826,159.65352486215826,165.59209120776435,165.59209120776435,165.59209120776435
L031,100.0,0.88,166.8674238454272,166.8674238454272,166.8674238454272,172.3919227452483,172.3919227452483,172.3919227452483
L031,100.0,0.9,175.1846293776093,175.1846293776093,175.1846293776093,180.28833410391348,180.28833410391348,180.28833410391348
L031,100.0,0.92,190.85412915937667,190.85412915937667,190.85412915937667,195.10750300800734,195.10750300800734,195.10750300800734
L032,20.0,0.85,141.93771987334117,140.01421336226528,140.01421336226528,142.78002528683692,140.84933704337772,140.84933704337772
L032,100.0,0.85,141.93771987334117,140.01421336226528,140.01421336226528,142.84524129801542,140.9152212910507,140.9152212910507
L035,20.0,0.85,235.3998732550607,206.67961991935957,350.28088659786516,235.85806294254067,207.04882576772724,351.09501164179443
L035,100.0,0.85,235.3998732550607,206.67961991935957,350.28088659786516,235.87634742217998,207.0800419823523,351.06156918149065
L036,20.0,0.85,74.6202578037322,73.15756721140497,73.15756721140497,74.8595446517902,73.38224523094749,73.38224523094749
L036,20.0,0.88,78.13478887822427,76.53060967363044,76.53060967363044,78.21033216347882,76.5949201316317,76.5949201316317
L036,20.0,0.9,82.48854869299272,80.78077865584319,80.78077865584319,82.34830855534977,80.63055723477349,80.63055723477349
L036,100.0,0.85,74.6202578037322,73.15756721140497,73.15756721140497,74.9131588249724,73.4376827617195,73.4376827617195
L036,100.0,0.88,78.13478887822427,76.53060967363044,76.53060967363044,78.25542101010393,76.64211542094574,76.64211542094574
L036,100.0,0.9,82.48854869299272,80.78077865584319,80.78077865584319,82.38581671586157,80.67023130166882,80.67023130166882
L037,20.0,0.85,80.08191278945162,80.08191278945162,80.08191278945162,80.47756051429978,80.47756051429978,80.47756051429978
L037,20.0,0.88,83.02009910798294,83.02009910798294,83.02009910798294,83.23931259801132,83.23931259801132,83.23931259801132
L037,20.0,0.9,86.38759190824423,86.38759190824423,86.38759190824423,86.46367273472524,86.46367273472524,86.46367273472524
L037,100.0,0.85,80.08191278945162,80.08191278945162,80.08191278945162,80.54874660498682,80.54874660498682,80.54874660498682
L037,100.0,0.88,83.02009910798294,83.02009910798294,83.02009910798294,83.30710297509331,83.30710297509331,83.30710297509331
L037,100.0,0.9,86.38759190824423,86.38759190824423,86.38759190824423,86.53369953939819,86.53369953939819,86.53369953939819
L038,20.0,0.85,77.70924728907882,73.84360809897646,73.84360809897646,80.7309121554864,74.14554348806574,74.14554348806574
L038,20.0,0.88,81.796506203566,78.38500689285111,78.38500689285111,85.81532359951105,78.3397209541881,78.3397209541881
L038,20.0,0.9,86.89488994786605,84.04987771985115,84.04987771985115,91.72664650731943,83.5928389484773,83.5928389484773
L038,100.0,0.85,77.70924728907882,73.84360809897646,73.84360809897646,80.76259275089579,74.21118247454523,74.21118247454523
L038,100.0,0.88,81.796506203566,78.38500689285111,78.38500689285111,85.82194581501285,78.38764940067627,78.38764940067627
L038,100.0,0.9,86.89488994786605,84.04987771985115,84.04987771985115,91.71926434712631,83.62856830251674,83.62856830251674
L039,20.0,0.85,160.0142297562027,143.76778719496605,225.0000000011492,170.94654091340837,142.65448106765467,284.11478029642325
L039,100.0,0.85,160.0142297562027,143.76778719496605,225.0000000011492,170.8356704232913,142.6725544086391,283.48813448190003
L040,20.0,0.85,140.07141968136784,138.33818334833455,138.33818334833455,141.52916174650116,139.12910397897167,139.12910397897167
L040,20.0,0.88,143.4065982815252,141.74142681788288,141.74142681788288,144.9459823278607,142.18361711863847,142.18361711863847
L040,20.0,0.9,147.72686684336733,146.14986412588505,146.14986412588505,149.43240269353805,146.28370827861778,146.28370827861778
L040,20.0,0.92,156.37801083654472,154.97756207810687,154.97756207810687,158.63956182793663,154.87270457363448,154.87270457363448
L040,100.0,0.85,140.07141968136784,138.33818334833455,138.33818334833455,141.50310758800458,139.14869346123402,139.14869346123402
L040,100.0,0.88,143.4065982815252,141.74142681788288,141.74142681788288,144.86077984721024,142.16544217164454,142.16544217164454
L040,100.0,0.9,147.72686684336733,146.14986412588505,146.14986412588505,149.2928865037334,146.22973645070982,146.22973645070982
L040,100.0,0.92,156.37801083654472,154.97756207810687,154.97756207810687,158.49093218682242,154.8304584298443,154.8304584298443
L041,20.0,0.85,142.23758340059098,137.8816667374642,137.8816667374642,144.42699397739176,139.0371058184805,139.0371058184805
L041,20.0,0.88,146.0340943757042,141.87799407968865,141.87799407968865,148.66426219136855,142.52736717609747,142.52736717609747
L041,20.0,0.9,150.8733324148547,146.9719288577418,146.9719288577418,154.10056342386255,147.13898763538077,147.13898763538077
L041,20.0,0.92,160.43579483594792,157.03767877468204,157.03767877468204,165.19531834310894,156.8709994612378,156.8709994612378
L041,100.0,0.85,142.23758340059098,137.8816667374642,137.8816667374642,144.34556284037208,139.03870817420653,139.03870817420653
L041,100.0,0.88,146.0340943757042,141.87799407968865,141.87799407968865,148.47342831416705,142.47715474949422,142.47715474949422
L041,100.0,0.9,150.8733324148547,146.9719288577418,146.9719288577418,153.8059988653088,147.03654187411996,147.03654187411996
L041,100.0,0.92,160.43579483594792,157.03767877468204,157.03767877468204,164.79054759207324,156.7250498902458,156.7250498902458
L042,20.0,0.85,222.19463450349295,206.19432653487118,206.19432653487118,222.54085876161767,206.20445185097464,206.20445185097464
L042,20.0,0.88,228.5416881066969,210.9531085508612,210.9531085508612,228.10863265336008,210.521509734418,210.521509734418
L042,20.0,0.9,238.38041093542165,219.30072909221894,219.30072909221894,237.16194896391477,218.35175081539236,218.35175081539236
L042,20.0,0.92,264.2648981232414,243.5172948409138,243.5172948409138,261.9988371153443,241.76675325075573,241.76675325075573
L042,100.0,0.85,222.19463450349295,206.19432653487118,206.19432653487118,222.5069451263508,206.19523364050707,206.19523364050707
L042,100.0,0.88,228.5416881066969,210.9531085508612,210.9531085508612,228.00932789329613,210.47818866455094,210.47818866455094
L042,100.0,0.9,238.38041093542165,219.30072909221894,219.30072909221894,237.0156729300628,218.28571985608133,218.28571985608133
L042,100.0,0.92,264.2648981232414,243.5172948409138,243.5172948409138,261.8222337472218,241.69877959188662,241.69877959188662
L043,20.0,0.85,226.75607754461254,226.75607754461254,226.75607754461254,227.1728991311074,227.1728991311074,227.1728991311074
L043,20.0,0.88,228.90403109241115,228.90403109241115,228.90403109241115,229.01353444110927,229.01353444110927,229.01353444110927
L043,20.0,0.9,231.76014427012632,231.76014427012632,231.76014427012632,231.51467043226768,231.51467043226768,231.51467043226768
L043,20.0,0.92,237.6673798671613,237.6673798671613,237.6673798671613,236.80090925845184,236.80090925845184,236.80090925845184
L043,100.0,0.85,226.75607754461254,226.75607754461254,226.75607754461254,227.1651271551573,227.1651271551573,227.1651271551573
L043,100.0,0.88,228.90403109241115,228.90403109241115,228.90403109241115,228.96961983165673,228.96961983165673,228.96961983165673
L043,100.0,0.9,231.76014427012632,231.76014427012632,231.76014427012632,231.42138232854347,231.42138232854347,231.42138232854347
L043,100.0,0.92,237.6673798671613,237.6673798671613,237.6673798671613,236.5973156109083,236.5973156109083,236.5973156109083
L044,20.0,0.85,206.63709523298252,203.96642370712505,203.96642370712505,207.5868106767096,204.93552109868327,204.93552109868327
L044,20.0,0.88,209.1936880282415,206.57519186555254,206.57519186555254,209.8246652036995,207.219046126224,207.219046126224
L044,20.0,0.9,212.45570040422248,209.90377592267598,209.90377592267598,212.7252823565787,210.17885954752927,210.17885954752927
L044,20.0,0.92,219.00433545827244,216.5860565900739,216.5860565900739,218.72808221220438,216.30416552265754,216.30416552265754
L044,100.0,0.85,206.63709523298252,203.96642370712505,203.96642370712505,207.72844951009762,204.96180142459144,204.96180142459144
L044,100.0,0.88,209.1936880282415,206.57519186555254,206.57519186555254,209.92834623940175,207.206594005514,207.206594005514
L044,100.0,0.9,212.45570040422248,209.90377592267598,209.90377592267598,212.8037824214946,210.14071255866997,210.14071255866997
L044,100.0,0.92,219.00433545827244,216.5860565900739,216.5860565900739,218.76376975696442,216.22233228874123,216.22233228874123
L045,20.0,0.85,78.31417376790263,76.51491975568699,76.51491975568699,79.15436961589563,77.39933643778372,77.39933643778372
L045,20.0,0.88,83.55844058502971,82.03520061582077,82.03520061582077,84.09886569665125,82.60406915436857,82.60406915436857
L045,20.0,0.9,91.29610594957643,90.18011152586993,90.18011152586993,91.27056420295645,90.15322547679511,90.15322547679511
L045,20.0,0.92,111.98284142628219,111.95562255398126,111.95562255398126,109.87404350508372,109.73583526850803,109.73583526850803
L045,100.0,0.85,78.31417376790263,76.51491975568699,76.51491975568699,81.46008234161528,77.52822541699155,77.52822541699155
L045,100.0,0.88,83.55844058502971,82.03520061582077,82.03520061582077,86.38760254922643,82.71508879342433,82.71508879342433
L045,100.0,0.9,91.29610594957643,90.18011152586993,90.18011152586993,93.53393181795332,90.23754065524211,90.23754065524211
L045,100.0,0.92,111.98284142628219,111.95562255398126,111.95562255398126,112.0103434930228,109.68639505005208,109.68639505005208
L046,20.0,0.85,80.83343695636678,77.31492995151865,77.31492995151865,81.76185685079652,78.34650761199613,78.34650761199613
L046,20.0,0.88,86.71653281425762,83.85170312695291,83.85170312695291,87.24764411723561,84.44182679692847,84.44182679692847
L046,20.0,0.9,96.02033229160321,94.18925810178135,94.18925810178135,95.76230888012266,93.90256542235852,93.90256542235852
L046,100.0,0.85,80.83343695636678,77.31492995151865,77.31492995151865,85.6268672644534,78.48912318796702,78.48912318796702
L046,100.0,0.88,86.71653281425762,83.85170312695291,83.85170312695291,91.08819267687045,84.55726253509707,84.55726253509707
L046,100.0,0.9,96.02033229160321,94.18925810178135,94.18925810178135,99.53918014376009,93.94724860941892,93.94724860941892
L047,20.0,0.85,85.36508723446423,78.58135904308028,112.50000000000001,86.42665885939641,79.9083235742455,112.50000000000001
L047,20.0,0.88,92.84512848533534,87.93141060666917,112.50000000000001,93.36270074710316,88.57837593387896,112.50000000000001
L047,20.0,0.9,107.73470650810296,106.54338313512868,112.50000000000001,106.63211634922374,105.16514543652968,112.50000000000001
L047,100.0,0.85,85.36508723446423,78.58135904308028,112.50000000000001,92.62645505020302,80.0492324445618,142.93534547276784
L047,100.0,0.88,92.84512848533534,87.93141060666917,112.50000000000001,99.50403886557136,88.64621221377223,142.93534547276784
L047,100.0,0.9,107.73470650810296,106.54338313512868,112.50000000000001,112.57376057019272,104.98336434454892,142.93534547276784
L060,20.0,0.85,222.50619159710186,215.52555734896376,215.52555734896376,228.96902119646063,220.19347744859328,220.19347744859328
L060,100.0,0.85,222.50619159710186,215.52555734896376,215.52555734896376,229.52807550122506,220.6675672961785,220.6675672961785
L061,20.0,0.85,235.61033827772025,235.61033827772025,235.61033827772025,241.7325580077359,241.7325580077359,241.7325580077359
L061,20.0,0.88,244.56591835942334,244.56591835942334,244.56591835942334,250.40570030281523,250.40570030281523,250.40570030281523
L061,100.0,0.85,235.61033827772025,235.61033827772025,235.61033827772025,242.38363837191108,242.38363837191108,242.38363837191108
L061,100.0,0.88,244.56591835942334,244.56591835942334,244.56591835942334,251.1170297202174,251.1170297202174,251.1170297202174
L062,20.0,0.85,225.0902928355146,212.60032537279395,212.60032537279395,256.14669076071544,219.25894952471938,219.25894952471938
L062,20.0,0.88,235.20849478498207,223.84277198331336,223.84277198331336,277.4144342878389,228.9565575834224,228.9565575834224
L062,100.0,0.85,225.0902928355146,212.60032537279395,212.60032537279395,257.1258497798623,219.96040083182731,219.96040083182731
L062,100.0,0.88,235.20849478498207,223.84277198331336,223.84277198331336,278.25619258137226,229.6293273471227,229.6293273471227
L072,20.0,0.85,76.46550161488312,74.41924397310935,74.41924397310935,76.99981536666996,75.14535469593511,75.14535469593511
L072,20.0,0.88,81.79055566620998,79.18633005409511,79.18633005409511,82.17486083174786,79.95178988988569,79.95178988988569
L072,20.0,0.9,87.99697814379081,84.88454016508415,84.88454016508415,88.71595902705754,86.12690918127113,86.12690918127113
L072,100.0,0.85,76.46550161488312,74.41924397310935,74.41924397310935,77.12852471616162,75.34077530358215,75.34077530358215
L072,100.0,0.88,81.79055566620998,79.18633005409511,79.18633005409511,82.34377241384918,80.21442394601716,80.21442394601716
L072,100.0,0.9,87.99697814379081,84.88454016508415,84.88454016508415,89.0111581136031,86.54080599192427,86.54080599192427
L073,20.0,0.85,80.76344491475416,80.76344491475416,80.76344491475416,81.7325763795025,81.7325763795025,81.7325763795025
L073,20.0,0.88,85.09607312653644,85.09607312653644,85.09607312653644,85.85767293235355,85.85767293235355,85.85767293235355
L073,20.0,0.9,90.01627805246811,90.01627805246811,90.01627805246811,90.86787002146467,90.86787002146467,90.86787002146467
L073,20.0,0.92,98.57598006048504,98.57598006048504,98.57598006048504,100.17311849450724,100.17311849450724,100.17311849450724
L073,100.0,0.85,80.76344491475416,80.76344491475416,80.76344491475416,81.84390933072764,81.84390933072764,81.84390933072764
L073,100.0,0.88,85.09607312653644,85.09607312653644,85.09607312653644,85.9768676165195,85.9768676165195,85.9768676165195
L073,100.0,0.9,90.01627805246811,90.01627805246811,90.01627805246811,91.03776593250521,91.03776593250521,91.03776593250521
L073,100.0,0.92,98.57598006048504,98.57598006048504,98.57598006048504,100.53254938669058,100.53254938669058,100.53254938669058
L074,20.0,0.85,83.20413147172765,74.66470753820077,74.66470753820077,83.83703713587455,75.83246766611454,75.83246766611454
L074,20.0,0.88,93.31411798243516,81.32278238102137,81.32278238102137,92.25151268174773,82.19459586738873,82.19459586738873
L074,20.0,0.9,104.12670077139809,89.10259255272098,89.10259255272098,102.49394259838006,90.3993968676823,90.3993968676823
L074,100.0,0.85,83.20413147172765,74.66470753820077,74.66470753820077,83.75931553649521,76.00212114549929,76.00212114549929
L074,100.0,0.88,93.31411798243516,81.32278238102137,81.32278238102137,92.04620330855798,82.38556846386057,82.38556846386057
L074,100.0,0.9,104.12670077139809,89.10259255272098,89.10259255272098,102.31560623859424,90.7480101359869,90.7480101359869
L076,20.0,0.85,146.60415194364072,141.97256574610216,141.97256574610216,147.83941761152388,143.19737422880266,143.19737422880266
L076,20.0,0.88,151.71173118381924,145.9270342277171,145.9270342277171,152.67420961838735,146.99737059681777,146.99737059681777
L076,100.0,0.85,146.60415194364072,141.97256574610216,141.97256574610216,147.94063302242054,143.32813815124996,143.32813815124996
L076,100.0,0.88,151.71173118381924,145.9270342277171,145.9270342277171,152.75991329823017,147.11943905130042,147.11943905130042
L077,20.0,0.85,151.2970696938385,141.849986100475,141.849986100475,153.22972254079005,143.48873705050627,143.48873705050627
L077,20.0,0.88,158.4754096692618,146.21023399337577,146.21023399337577,159.8789588835766,147.6440316018125,147.6440316018125
L077,20.0,0.9,166.0389827551587,151.37885484797718,151.37885484797718,166.99301674299184,152.56740195487274,152.56740195487274
L077,100.0,0.85,151.2970696938385,141.849986100475,141.849986100475,153.3325858588857,143.6404291355929,143.6404291355929
L077,100.0,0.88,158.4754096692618,146.21023399337577,146.21023399337577,159.95705572736716,147.78621460038124,147.78621460038124
L077,100.0,0.9,166.0389827551587,151.37885484797718,151.37885484797718,167.0571260681143,152.70378552275326,152.70378552275326
L078,20.0,0.85,233.11016569446357,212.8077790393528,212.8077790393528,235.00515442829695,213.70046770701492,213.70046770701492
L078,100.0,0.85,233.11016569446357,212.8077790393528,212.8077790393528,235.12816718264537,213.81199088450202,213.81199088450202
L079,20.0,0.85,232.63350870115028,232.63350870115028,232.63350870115028,234.11401130389012,234.11401130389012,234.11401130389012
L079,20.0,0.88,237.19250120141734,237.19250120141734,237.19250120141734,238.53586508464866,238.53586508464866,238.53586508464866
L079,100.0,0.85,232.63350870115028,232.63350870115028,232.63350870115028,234.2996144321922,234.2996144321922,234.2996144321922
L079,100.0,0.88,237.19250120141734,237.19250120141734,237.19250120141734,238.75498497722685,238.75498497722685,238.75498497722685
L080,20.0,0.85,210.02278328604197,206.79682239963472,206.79682239963472,214.0770191233759,209.53803982570113,209.53803982570113
L080,20.0,0.88,214.73819720253857,211.60846925320266,211.60846925320266,219.5657231605904,214.07028660396495,214.07028660396495
L080,20.0,0.9,220.1971713934421,217.17885108065525,217.17885108065525,225.89289001264203,219.53893999799396,219.53893999799396
L080,20.0,0.92,231.02677608980437,228.2294681177596,228.2294681177596,237.00168185735876,229.94038801869866,229.94038801869866
L080,100.0,0.85,210.02278328604197,206.79682239963472,206.79682239963472,214.39137885742727,209.80432427559242,209.80432427559242
L080,100.0,0.88,214.73819720253857,211.60846925320266,211.60846925320266,219.85572299130948,214.32100340598046,214.32100340598046
L080,100.0,0.9,220.1971713934421,217.17885108065525,217.17885108065525,226.16570419453262,219.77752739874558,219.77752739874558
L080,100.0,0.92,231.02677608980437,228.2294681177596,228.2294681177596,237.43278645025416,230.1555989668056,230.1555989668056
L081,20.0,0.85,85.98941497304838,77.74294523256297,77.74294523256297,102.23871503293681,79.42712480066204,79.42712480066204
L081,20.0,0.88,92.71951664599784,84.82726278303609,84.82726278303609,117.37513437685264,86.05232342627811,86.05232342627811
L081,20.0,0.9,101.811976837474,94.39827351090571,94.39827351090571,134.9284017476262,94.6173896686767,94.6173896686767
L081,20.0,0.92,123.42887289080191,117.15290093546143,117.15290093546143,168.2149545668054,113.26429224450338,113.26429224450338
L081,100.0,0.85,85.98941497304838,77.74294523256297,77.74294523256297,102.18406738380604,79.76495360672384,79.76495360672384
L081,100.0,0.88,92.71951664599784,84.82726278303609,84.82726278303609,117.18300552962656,86.37915794169874,86.37915794169874
L081,100.0,0.9,101.811976837474,94.39827351090571,94.39827351090571,134.61304079270997,94.93818579975644,94.93818579975644
L081,100.0,0.92,123.42887289080191,117.15290093546143,117.15290093546143,167.65184487639118,113.52780358901583,113.52780358901583
L082,20.0,0.85,92.44799213147992,78.5762051326913,78.5762051326913,120.23815943162744,80.59288108188191,80.59288108188191
L082,20.0,0.88,100.17160696358265,87.15799939058321,87.15799939058321,145.24504243021033,88.42799665115992,88.42799665115992
L082,20.0,0.9,110.94593456979769,99.12947450859993,99.12947450859993,172.36020547110252,98.94152508947262,98.94152508947262
L082,20.0,0.92,141.2548052608904,132.80599749870294,132.80599749870294,197.04795695750798,126.3723600743676,126.3723600743676
L082,100.0,0.85,92.44799213147992,78.5762051326913,78.5762051326913,120.02142988243784,81.00767087429239,81.00767087429239
L082,100.0,0.88,100.17160696358265,87.15799939058321,87.15799939058321,144.7312645884456,88.81564068882457,88.81564068882457
L082,100.0,0.9,110.94593456979769,99.12947450859993,99.12947450859993,173.6884218843717,99.26010612556937,99.26010612556937
