case_id,mode,path,subpopulation,t_s,rho_i,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore
L000,disabled_local_mixture,reference,matrix_connected,30480.000000019638,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,30720.000000019856,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,30960.000000020074,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,31200.000000020293,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,31440.00000002051,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,31680.00000002073,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,31920.000000020947,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,32160.000000021166,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,32400.000000021384,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,32640.000000021602,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,32880.00000002182,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,33120.00000002204,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,33360.00000002226,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,33600.000000022475,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,33840.000000022694,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,34080.00000002291,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,34320.00000002313,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,34560.00000002335,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,34800.00000002357,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,35040.000000023785,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,35280.000000024,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,35520.00000002422,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,35760.00000002444,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,36000.00000002466,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,36240.00000002488,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,36480.000000025095,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,36720.00000002531,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,36960.00000002553,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,37200.00000002575,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,37440.00000002597,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,37680.000000026186,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,37920.000000026404,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,38160.00000002662,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,38400.00000002684,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,38640.00000002706,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,38880.00000002728,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,39120.000000027496,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,39360.000000027714,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,39600.00000002793,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,39840.00000002815,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,40080.00000002837,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,40320.00000002859,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,40560.000000028806,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,40800.000000029024,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,41040.00000002924,0.6500000000000001,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,41280.00000002946,0.6500000000000001,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,41520.00000002968,0.6500000000000004,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,41760.0000000299,0.6500000000000005,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,42000.000000030115,0.6500000000000008,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,42240.00000003033,0.6500000000000011,0,0,0
