case_id,mode,rho0,G0_nm,defect_weight,defect_large_pore_factor,matrix_connected_fraction,stress_scale,tau_defect_over_matrix,peak_T_C,hold_h
L025,matrix_only,0.7,225.0,0.05,4.0,0.9,0.0,30.0,1500.0,8.0
L026,static_defect_mixture,0.75,225.0,0.1,4.0,0.9,0.0,30.0,1500.0,8.0
L027,evolving_defect_memory,0.65,75.0,0.2,4.0,0.9,0.0,30.0,1500.0,8.0
L028,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.02,8.0,0.9,0.0,1.0,1500.0,8.0
L029,stress_retention_high,0.75,75.0,0.05,8.0,0.9,0.0,1.0,1500.0,8.0
L030,disabled_local_mixture,0.65,150.0,0.1,8.0,0.5,0.5,1.0,1500.0,8.0
L031,matrix_only,0.7,150.0,0.2,8.0,0.5,0.5,1.0,1500.0,8.0
L032,static_defect_mixture,0.75,150.0,0.02,12.0,0.5,0.5,1.0,1350.0,8.0
L033,evolving_defect_memory,0.65,225.0,0.05,12.0,0.5,0.5,1.0,1350.0,8.0
L034,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.1,12.0,0.5,0.5,1.0,1350.0,8.0
L035,stress_retention_high,0.75,225.0,0.2,12.0,0.7,0.5,3.0,1350.0,8.0
L036,disabled_local_mixture,0.65,75.0,0.02,4.0,0.7,1.0,3.0,1350.0,20.0
L037,matrix_only,0.7,75.0,0.05,4.0,0.7,1.0,3.0,1350.0,20.0
L038,static_defect_mixture,0.75,75.0,0.1,4.0,0.7,1.0,3.0,1350.0,20.0
L039,evolving_defect_memory,0.65,150.0,0.2,4.0,0.7,1.0,3.0,1350.0,20.0
L040,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.9,1.0,3.0,1400.0,20.0
L041,stress_retention_high,0.75,150.0,0.05,8.0,0.9,1.0,3.0,1400.0,20.0
L042,disabled_local_mixture,0.65,225.0,0.1,8.0,0.9,2.0,10.0,1400.0,20.0
L043,matrix_only,0.7,225.0,0.2,8.0,0.9,2.0,10.0,1400.0,20.0
L044,static_defect_mixture,0.75,225.0,0.02,12.0,0.9,2.0,10.0,1400.0,20.0
L045,evolving_defect_memory,0.65,75.0,0.05,12.0,0.5,2.0,10.0,1400.0,20.0
L046,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.1,12.0,0.5,2.0,10.0,1400.0,20.0
L047,stress_retention_high,0.75,75.0,0.2,12.0,0.5,2.0,10.0,1400.0,20.0
L048,disabled_local_mixture,0.65,150.0,0.02,4.0,0.5,0.0,10.0,1450.0,0.0
L049,matrix_only,0.7,150.0,0.05,4.0,0.5,0.0,30.0,1450.0,0.0
L050,static_defect_mixture,0.75,150.0,0.1,4.0,0.7,0.0,30.0,1450.0,0.0
L051,evolving_defect_memory,0.65,225.0,0.2,4.0,0.7,0.0,30.0,1450.0,0.0
L052,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.02,8.0,0.7,0.0,30.0,1450.0,0.0
L053,stress_retention_high,0.75,225.0,0.05,8.0,0.7,0.0,30.0,1450.0,0.0
L054,disabled_local_mixture,0.65,75.0,0.1,8.0,0.7,0.5,30.0,1450.0,0.0
L055,matrix_only,0.7,75.0,0.2,8.0,0.9,0.5,30.0,1450.0,0.0
L056,static_defect_mixture,0.75,75.0,0.02,12.0,0.9,0.5,1.0,1500.0,0.0
L057,evolving_defect_memory,0.65,150.0,0.05,12.0,0.9,0.5,1.0,1500.0,0.0
L058,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.1,12.0,0.9,0.5,1.0,1500.0,0.0
L059,stress_retention_high,0.75,150.0,0.2,12.0,0.9,0.5,1.0,1500.0,0.0
L060,disabled_local_mixture,0.65,225.0,0.02,4.0,0.5,1.0,1.0,1500.0,2.0
L061,matrix_only,0.7,225.0,0.05,4.0,0.5,1.0,1.0,1500.0,2.0
L062,static_defect_mixture,0.75,225.0,0.1,4.0,0.5,1.0,1.0,1500.0,2.0
L063,evolving_defect_memory,0.65,75.0,0.2,4.0,0.5,1.0,3.0,1500.0,2.0
L064,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.02,8.0,0.5,1.0,3.0,1350.0,2.0
L065,stress_retention_high,0.75,75.0,0.05,8.0,0.7,1.0,3.0,1350.0,2.0
L066,disabled_local_mixture,0.65,150.0,0.1,8.0,0.7,2.0,3.0,1350.0,2.0
L067,matrix_only,0.7,150.0,0.2,8.0,0.7,2.0,3.0,1350.0,2.0
L068,static_defect_mixture,0.75,150.0,0.02,12.0,0.7,2.0,3.0,1350.0,2.0
L069,evolving_defect_memory,0.65,225.0,0.05,12.0,0.7,2.0,3.0,1350.0,2.0
L070,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.1,12.0,0.9,2.0,10.0,1350.0,2.0
L071,stress_retention_high,0.75,225.0,0.2,12.0,0.9,2.0,10.0,1350.0,2.0
L072,disabled_local_mixture,0.65,75.0,0.02,4.0,0.9,0.0,10.0,1400.0,8.0
L073,matrix_only,0.7,75.0,0.05,4.0,0.9,0.0,10.0,1400.0,8.0
L074,static_defect_mixture,0.75,75.0,0.1,4.0,0.9,0.0,10.0,1400.0,8.0
L075,evolving_defect_memory,0.65,150.0,0.2,4.0,0.5,0.0,10.0,1400.0,8.0
L076,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.5,0.0,10.0,1400.0,8.0
L077,stress_retention_high,0.75,150.0,0.05,8.0,0.5,0.0,30.0,1400.0,8.0
L078,disabled_local_mixture,0.65,225.0,0.1,8.0,0.5,0.5,30.0,1400.0,8.0
L079,matrix_only,0.7,225.0,0.2,8.0,0.5,0.5,30.0,1400.0,8.0
L080,static_defect_mixture,0.75,225.0,0.02,12.0,0.7,0.5,30.0,1450.0,8.0
L081,evolving_defect_memory,0.65,75.0,0.05,12.0,0.7,0.5,30.0,1450.0,8.0
L082,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.1,12.0,0.7,0.5,30.0,1450.0,8.0
L083,stress_retention_high,0.75,75.0,0.2,12.0,0.7,0.5,30.0,1450.0,8.0
L084,disabled_local_mixture,0.65,150.0,0.02,4.0,0.7,1.0,1.0,1450.0,20.0
L085,matrix_only,0.7,150.0,0.05,4.0,0.9,1.0,1.0,1450.0,20.0
L086,static_defect_mixture,0.75,150.0,0.1,4.0,0.9,1.0,1.0,1450.0,20.0
L087,evolving_defect_memory,0.65,225.0,0.2,4.0,0.9,1.0,1.0,1450.0,20.0
L088,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.02,8.0,0.9,1.0,1.0,1500.0,20.0
L089,stress_retention_high,0.75,225.0,0.05,8.0,0.9,1.0,1.0,1500.0,20.0
L090,disabled_local_mixture,0.65,75.0,0.1,8.0,0.5,2.0,1.0,1500.0,20.0
L091,matrix_only,0.7,75.0,0.2,8.0,0.5,2.0,3.0,1500.0,20.0
L092,static_defect_mixture,0.75,75.0,0.02,12.0,0.5,2.0,3.0,1500.0,20.0
L093,evolving_defect_memory,0.65,150.0,0.05,12.0,0.5,2.0,3.0,1500.0,20.0
L094,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.1,12.0,0.5,2.0,3.0,1500.0,20.0
L095,stress_retention_high,0.75,150.0,0.2,12.0,0.7,2.0,3.0,1500.0,20.0
