topology_id,family,mode,TJ_drag_strength,pore_drag_strength,XJ_capacity,XJ_relaxation,lambda_ref,K_ref,q_TJ,pore_relax_fraction,pore_drag_fraction,XJ_prod_TJ,XJ_prod_sweep,Q_TJ_event
D0041,pore_relaxed_q1,pore_relaxed_q1,0,0,1,6.666666666666667e-06,30,1,1,0.5,0,8,2,280000.0
D0042,mixed_q0,mixed_q0,0,80,1,1e-07,30,4,0,0.25,0,0.5,0,360000.0
D0043,mixed_q1,mixed_q1,0,10,1,6.666666666666667e-06,13.5,12,1,0,0.25,1,0.25,460000.0
D0044,persistent_junction_only,persistent_junction_only,6,0,1,3.3333333333333335e-07,4.5,2,0,0,0,2,0.5,320000.0
D0045,structural_q0,structural_q0,0,0,1.5,2e-05,1.5,12,0,0,0,4,2,380000.0
D0046,structural_q1,structural_q1,0,0,1.5,7.407407407407407e-07,0.5,2,1,0,0,8,0,500000.0
D0047,persistent_q0,persistent_q0,48,0,1.5,0.0001,0.25,8,0,0,0,0.25,0.25,340000.0
D0048,persistent_q1,persistent_q1,80,0,1.5,2.222222222222222e-06,0.1,1,1,0,0,1,0.5,460000.0
D0049,pore_pinned_q0,pore_pinned_q0,0,3,1.5,0.0001,0.1,4,0,0,0.75,2,1,320000.0
D0050,pore_pinned_q1,pore_pinned_q1,0,0,0.25,2.222222222222222e-06,30,1,1,0,0,4,0,380000.0
D0051,pore_relaxed_q0,pore_relaxed_q0,0,0,0.25,1e-07,13.5,4,0,1,0,8,0.25,500000.0
D0052,pore_relaxed_q1,pore_relaxed_q1,0,0,0.25,6.666666666666667e-06,4.5,12,1,0.75,0,0.25,0.5,340000.0
D0053,mixed_q0,mixed_q0,0,80,0.25,3.3333333333333335e-07,1.5,2,0,0.5,0.75,0.5,1,420000.0
D0054,mixed_q1,mixed_q1,0,10,0.25,2e-05,0.5,8,1,0.25,1,2,2,280000.0
D0055,persistent_junction_only,persistent_junction_only,120,0,0.5,7.407407407407407e-07,0.25,2,0,0,0,4,0.25,360000.0
D0056,structural_q0,structural_q0,0,0,0.5,2e-05,0.25,8,0,0,0,8,0.5,500000.0
D0057,structural_q1,structural_q1,0,0,0.5,7.407407407407407e-07,0.1,1,1,0,0,0.25,1,340000.0
D0058,persistent_q0,persistent_q0,24,0,0.5,0.0001,30,4,0,0,0,0.5,2,420000.0
D0059,persistent_q1,persistent_q1,48,0,0.5,2.222222222222222e-06,13.5,12,1,0,0,1,0,280000.0
D0060,pore_pinned_q0,pore_pinned_q0,0,10,0.75,1e-07,4.5,4,0,0,0.5,4,0.5,360000.0
D0061,pore_pinned_q1,pore_pinned_q1,0,0,0.75,6.666666666666667e-06,1.5,12,1,0,0.75,8,1,460000.0
D0062,pore_relaxed_q0,pore_relaxed_q0,0,0,0.75,3.3333333333333335e-07,0.5,2,0,0,0,0.25,2,320000.0
D0063,pore_relaxed_q1,pore_relaxed_q1,0,0,0.75,6.666666666666667e-06,0.5,8,1,1,0,0.5,0,380000.0
D0064,mixed_q0,mixed_q0,0,80,0.75,3.3333333333333335e-07,0.25,1,0,0.75,0.25,1,0.25,280000.0
D0065,mixed_q1,mixed_q1,0,30,1,2e-05,0.1,8,1,0.75,0.75,2,1,360000.0
D0066,persistent_junction_only,persistent_junction_only,80,0,1,7.407407407407407e-07,30,1,0,0,0,8,2,460000.0
D0067,structural_q0,structural_q0,0,0,1,0.0001,13.5,4,0,0,0,0.25,0,320000.0
D0068,structural_q1,structural_q1,0,0,1,2.222222222222222e-06,4.5,12,1,0,0,0.5,0.25,380000.0
D0069,persistent_q0,persistent_q0,6,0,1,1e-07,1.5,2,0,0,0,1,0.5,500000.0
D0070,persistent_q1,persistent_q1,24,0,1.5,2.222222222222222e-06,1.5,12,1,0,0,2,2,340000.0
D0071,pore_pinned_q0,pore_pinned_q0,0,10,1.5,1e-07,0.5,2,0,0,0,4,0,420000.0
D0072,pore_pinned_q1,pore_pinned_q1,0,0,1.5,6.666666666666667e-06,0.25,8,1,0,0.25,0.25,0.25,320000.0
D0073,pore_relaxed_q0,pore_relaxed_q0,0,0,1.5,3.3333333333333335e-07,0.1,1,0,0.25,0,0.5,0.5,380000.0
D0074,pore_relaxed_q1,pore_relaxed_q1,0,0,1.5,2e-05,30,4,1,0,0,1,1,500000.0
D0075,mixed_q0,mixed_q0,0,0,0.25,7.407407407407407e-07,13.5,1,0,0,0,2,0,340000.0
D0076,mixed_q1,mixed_q1,0,30,0.25,0.0001,4.5,4,1,1,0.25,4,0.25,420000.0
D0077,persistent_junction_only,persistent_junction_only,48,0,0.25,7.407407407407407e-07,4.5,12,0,0,0,8,0.5,280000.0
D0078,structural_q0,structural_q0,0,0,0.25,0.0001,1.5,2,0,0,0,0.5,1,360000.0
D0079,structural_q1,structural_q1,0,0,0.25,2.222222222222222e-06,0.5,8,1,0,0,1,2,460000.0
D0080,persistent_q0,persistent_q0,2,0,0.5,1e-07,0.25,2,0,0,0,2,0.25,340000.0
D0081,persistent_q1,persistent_q1,6,0,0.5,6.666666666666667e-06,0.1,8,1,0,0,4,0.5,420000.0
D0082,pore_pinned_q0,pore_pinned_q0,0,10,0.5,3.3333333333333335e-07,30,1,0,0,0.75,8,1,280000.0
D0083,pore_pinned_q1,pore_pinned_q1,0,0,0.5,2e-05,13.5,4,1,0,1,0.25,2,360000.0
D0084,pore_relaxed_q0,pore_relaxed_q0,0,0,0.5,3.3333333333333335e-07,13.5,12,0,0.5,0,1,0,460000.0
D0085,pore_relaxed_q1,pore_relaxed_q1,0,0,0.75,2e-05,4.5,4,1,0.5,0,2,0.5,320000.0
D0086,mixed_q0,mixed_q0,0,0,0.75,7.407407407407407e-07,1.5,12,0,0.25,0.75,4,1,380000.0
D0087,mixed_q1,mixed_q1,0,30,0.75,0.0001,0.5,2,1,0,1,8,2,500000.0
D0088,persistent_junction_only,persistent_junction_only,12,0,0.75,2.222222222222222e-06,0.25,8,0,0,0,0.25,0,360000.0
D0089,structural_q0,structural_q0,0,0,0.75,1e-07,0.1,1,0,0,0,0.5,0.25,460000.0
D0090,structural_q1,structural_q1,0,0,1,6.666666666666667e-06,30,8,1,0,0,2,1,320000.0
D0091,persistent_q0,persistent_q0,120,0,1,1e-07,30,1,0,0,0,4,2,380000.0
D0092,persistent_q1,persistent_q1,2,0,1,6.666666666666667e-06,13.5,4,1,0,0,8,0,500000.0
D0093,pore_pinned_q0,pore_pinned_q0,0,10,1,3.3333333333333335e-07,4.5,12,0,0,0.25,0.25,0.25,340000.0
D0094,pore_pinned_q1,pore_pinned_q1,0,0,1,2e-05,1.5,2,1,0,0.5,0.5,0.5,420000.0
D0095,pore_relaxed_q0,pore_relaxed_q0,0,0,1.5,7.407407407407407e-07,0.5,12,0,1,0,1,2,280000.0
D0096,pore_relaxed_q1,pore_relaxed_q1,0,0,1.5,0.0001,0.25,2,1,0.75,0,4,0,380000.0
D0097,mixed_q0,mixed_q0,0,0,1.5,2.222222222222222e-06,0.1,8,0,0.5,0.25,8,0.25,500000.0
D0098,mixed_q1,mixed_q1,0,30,1.5,0.0001,0.1,1,1,0.25,0.5,0.25,0.5,340000.0
D0099,persistent_junction_only,persistent_junction_only,6,0,1.5,2.222222222222222e-06,30,4,0,0,0,0.5,1,420000.0
D0100,structural_q0,structural_q0,0,0,0.25,1e-07,13.5,1,0,0,0,1,0,280000.0
D0101,structural_q1,structural_q1,0,0,0.25,6.666666666666667e-06,4.5,4,1,0,0,2,0.25,360000.0
D0102,persistent_q0,persistent_q0,48,0,0.25,3.3333333333333335e-07,1.5,12,0,0,0,8,0.5,460000.0
D0103,persistent_q1,persistent_q1,80,0,0.25,2e-05,0.5,2,1,0,0,0.25,1,320000.0
D0104,pore_pinned_q0,pore_pinned_q0,0,10,0.25,7.407407407407407e-07,0.25,8,0,0,1,0.5,2,420000.0
D0105,pore_pinned_q1,pore_pinned_q1,0,3,0.5,2e-05,0.25,2,1,0,0.25,1,0.25,280000.0
D0106,pore_relaxed_q0,pore_relaxed_q0,0,0,0.5,7.407407407407407e-07,0.1,8,0,0,0,2,0.5,360000.0
D0107,pore_relaxed_q1,pore_relaxed_q1,0,0,0.5,0.0001,30,1,1,1,0,4,1,460000.0
D0108,mixed_q0,mixed_q0,0,0,0.5,2.222222222222222e-06,13.5,4,0,0.75,1,0.25,2,320000.0
D0109,mixed_q1,mixed_q1,0,30,0.5,1e-07,4.5,12,1,0.5,0,0.5,0,380000.0
D0110,persistent_junction_only,persistent_junction_only,120,0,0.75,6.666666666666667e-06,1.5,4,0,0,0,1,0.5,500000.0
D0111,structural_q0,structural_q0,0,0,0.75,3.3333333333333335e-07,0.5,12,0,0,0,2,1,340000.0
D0112,structural_q1,structural_q1,0,0,0.75,6.666666666666667e-06,0.5,2,1,0,0,4,2,460000.0
D0113,persistent_q0,persistent_q0,24,0,0.75,3.3333333333333335e-07,0.25,8,0,0,0,8,0,320000.0
D0114,persistent_q1,persistent_q1,48,0,0.75,2e-05,0.1,1,1,0,0,0.5,0.25,380000.0
D0115,pore_pinned_q0,pore_pinned_q0,0,30,1,7.407407407407407e-07,30,8,0,0,0.75,1,1,500000.0
D0116,pore_pinned_q1,pore_pinned_q1,0,3,1,0.0001,13.5,1,1,0,1,2,2,340000.0
D0117,pore_relaxed_q0,pore_relaxed_q0,0,0,1,2.222222222222222e-06,4.5,4,0,0.25,0,4,0,420000.0
D0118,pore_relaxed_q1,pore_relaxed_q1,0,0,1,1e-07,1.5,12,1,0,0,8,0.25,280000.0
D0119,mixed_q0,mixed_q0,0,0,1,2.222222222222222e-06,1.5,2,0,1,0.5,0.25,0.5,360000.0
D0120,mixed_q1,mixed_q1,0,80,1.5,1e-07,0.5,12,1,1,1,1,2,500000.0
D0121,persistent_junction_only,persistent_junction_only,80,0,1.5,6.666666666666667e-06,0.25,2,0,0,0,2,0,340000.0
D0122,structural_q0,structural_q0,0,0,1.5,3.3333333333333335e-07,0.1,8,0,0,0,4,0.25,420000.0
D0123,structural_q1,structural_q1,0,0,1.5,2e-05,30,1,1,0,0,8,0.5,280000.0
D0124,persistent_q0,persistent_q0,6,0,1.5,7.407407407407407e-07,13.5,4,0,0,0,0.25,1,360000.0
D0125,persistent_q1,persistent_q1,12,0,0.25,0.0001,4.5,1,1,0,0,0.5,0,460000.0
D0126,pore_pinned_q0,pore_pinned_q0,0,30,0.25,7.407407407407407e-07,4.5,4,0,0,0.25,2,0.25,320000.0
D0127,pore_pinned_q1,pore_pinned_q1,0,3,0.25,0.0001,1.5,12,1,0,0.5,4,0.5,380000.0
