model_style,G0_nm,rho0,matched_density,history_heating_rate_C_min,history_reached,followup_T_C,history_time_budget_h,followup_time_budget_h,followup_delta_rho,followup_growth_fraction,followup_initial_rho_dot,followup_initial_dGdt_nm_s,matched_rho,matched_G_nm,matched_pore_mean_radius_nm,matched_removable_fine_fraction,matched_large_pore_fraction,matched_f_pore,matched_connectivity,matched_connected_coverage,matched_isolated_fraction,matched_activity,matched_E_G,matched_cumulative_redistribution,followup_rho,followup_G_nm,followup_pore_mean_radius_nm,followup_removable_fine_fraction,followup_large_pore_fraction,followup_f_pore,followup_connectivity,followup_connected_coverage,followup_isolated_fraction,followup_activity,followup_E_G,followup_cumulative_redistribution
density,300.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.055307043345046436,0.6203817077639313,1.9208452933968538e-06,0.0002975305816747675,0.8500664527491641,305.8468000135081,61.1386338379215,0.2460202340349691,0.1105742828141907,0.4402912480267319,0.7305356416216262,0.3216484493775952,0.058740692178761246,0.7421853045791861,1.667344920215097,0.20346296107282064,0.9053734960942106,495.5885601200218,67.57491037338433,0.19863078544707588,0.1582616370373296,0.41391292195138574,0.22882816979086154,0.09471493638292332,0.5740825274140404,0.6497944515663899,0.031162486497161246,0.20346302622169793
density,300.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.05631441406786053,0.5418951219972301,2.1091902866793808e-06,0.0002317399856909285,0.8507334311820883,311.3511623731009,50.69756422125096,0.4123739093071211,0.07513162698897492,0.5272814330571458,0.7252515787532127,0.3824116917719514,0.06082324859877824,0.9050070839873204,1.0768781718654266,0.0026345207141647295,0.9070478452499489,480.07083849125183,58.068610556313914,0.3109167484550869,0.1132349914864681,0.46382582381055004,0.21722462687685948,0.1007543915130987,0.5966550424885602,0.675721971061495,0.03086003733822148,0.002634656143571622
connectivity,75.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.10064517380249605,2.2142853616398144,2.186976956872457e-06,0.0010086807161155207,0.8006930440866372,124.01906485098328,48.39616376242697,0.4359947634316725,0.061150820990124304,0.3378272435419186,0.9513059202502736,0.3213770568032582,0.0040015930799044575,0.698990194409972,0.19064565642106562,0.037166963050136476,0.9013382178891333,398.6326647147744,58.55614024388069,0.29591021246125826,0.11241822640532517,0.4164755301428519,0.2585480665019616,0.10767894306381379,0.518577803354825,0.6533594900568476,0.031718328264895734,0.037171751768669256
connectivity,75.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10139850087218494,1.545009654675842,3.0647794017702147e-06,0.0004223919404184397,0.8009111770590222,158.73778808643124,46.62785897909123,0.4810961451005858,0.05792654673941577,0.4247905645792509,0.9509001423035154,0.40393340830760033,0.004050183801359432,0.889464569421796,0.2364503621378586,0.00043098925008513153,0.9023096779312071,403.98920324185536,57.15960132002289,0.3226989648690743,0.10827528804487586,0.42953413266421336,0.2511690352271126,0.10788567369838506,0.5320349180297567,0.6602410637188054,0.031176849313294012,0.0004531307405574217
connectivity,75.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.05268432381028154,1.4335277978544347,9.84015027658057e-07,0.0008928500657166911,0.8503161851733935,172.81367024706498,52.30291927905473,0.37533193252590286,0.07869838464251443,0.32909563966697986,0.728564692882598,0.2397674636429753,0.059512502715583046,0.7454641040856533,0.10262012345454481,0.037167093964262245,0.903000508983675,420.5468703954825,58.825918217652486,0.29292679714710923,0.11403349469140564,0.4264616054609981,0.24600750712076302,0.10491275644217853,0.5415775035608513,0.6581873418041021,0.03077295976595216,0.03716835635366179
connectivity,75.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.05316110424739229,1.069097132700198,1.3862403831559782e-06,0.0005073627597243739,0.8509111770590223,207.05001649897403,50.611107576817474,0.4146740489688657,0.07499079321755867,0.3928297623010233,0.723832594213671,0.2843429859306894,0.06138978518685962,0.87889079434441,0.126039683779006,0.00043098943084889134,0.9040722813064146,428.40659546355585,57.460283608207135,0.3189625676906833,0.10996766628760296,0.4407317130968764,0.23814232656569523,0.10495687554817464,0.5563194480835774,0.6654316264311428,0.030362624047986904,0.0004334850531781493
connectivity,150.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.1005331883838918,1.640885030832949,2.772213477330356e-06,0.0005740352226090891,0.8005477300973409,159.61243634991217,55.76744403619286,0.3026189359716574,0.08138332245320527,0.3595245245129156,0.9515744700244191,0.3421143588741589,0.003969545989095248,0.6771156256914044,0.6439897081201652,0.17643863113076352,0.9010809184812327,421.5180938912599,65.37866027649348,0.21542495394909464,0.14343716043447127,0.38968281264011406,0.26052594588746086,0.10152248335915191,0.5150082468193123,0.6373901681325472,0.03195554161521797,0.1764414389114736
connectivity,150.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10205847430192383,1.3248994866198243,3.3312587167345744e-06,0.00030598887975253497,0.8006490825878345,176.267574415075,46.70883354698077,0.4787420394835746,0.058026317978781466,0.45851413427782084,0.9513873127171469,0.43622453005340506,0.0039918708573158865,0.8961150680550611,0.4147571423493598,0.002479612032562279,0.9027075568897583,409.8043932653295,57.31257163531029,0.3201289264289776,0.10891812534991849,0.43164129363843473,0.24818753233099536,0.10712798752028169,0.5375342123292697,0.6611953516449143,0.031021816411083758,0.00251730743646618
connectivity,150.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.052079987027561114,1.321923591072874,9.956441237419768e-07,0.0008496361619040565,0.8503300429396947,189.39242128040993,59.57816666926287,0.2626159650013263,0.10319547587569404,0.3092900340280078,0.7284550595289637,0.22530389014958765,0.059555607874495854,0.706268018713701,0.1387451883570139,0.1764389013851817,0.9024100299672558,439.754730941396,65.57670751297329,0.21403171983385944,0.1449533470894121,0.3974599778214247,0.2504148084965821,0.09952986423120784,0.533422723472266,0.6415609452297454,0.03116873622126312,0.17643939490598515
connectivity,150.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.053555172582217425,1.023039202209117,1.4546223792700303e-06,0.0004671998204356872,0.8506490825878348,212.9777163988295,50.68210192205895,0.4126812945487056,0.07507865816185523,0.4013035262353609,0.7259233654273375,0.29131560632263104,0.060556114924054556,0.880993518764746,0.1505219916902979,0.002479612311151783,0.9042042551700522,430.8622694718076,57.56699983530522,0.3169988965890243,0.11035968958061555,0.4412533478834513,0.23718588723273934,0.10465906681215298,0.5581284074897715,0.6656394032927356,0.030346924522383262,0.0024823078537982686
connectivity,300.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.10409699476775247,0.6123702366729489,4.058558160549175e-06,0.00014944444729518235,0.8007188913745553,301.9026056980015,57.34630915629424,0.2825556949717683,0.08762789905410957,0.5572572226104311,0.9512580049752735,0.5300953938384605,0.004007320293725086,0.7420723638595991,7.914818592899403,0.2031483954632136,0.9048158861423078,486.7787758014666,67.47539996478007,0.19928527956487446,0.15747338727235666,0.4106441684173944,0.2327879197936612,0.0955930017412831,0.5664911458892874,0.6481343644049918,0.031677633594603676,0.2031931255531183
connectivity,300.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10561647582436273,0.5396362788190571,4.074570901312375e-06,0.00011162237545840292,0.8007332282859116,304.6088475234277,46.72173381834375,0.4784455249771892,0.058061205205584956,0.6533030874369126,0.9512314081617264,0.6214424158190178,0.004010500570214191,0.9222361331485709,4.054454233590807,0.002635774280760794,0.9063497041102744,468.9868324963318,57.96240464743512,0.3121109532489117,0.11258732477444774,0.45917641744794835,0.2220105320366708,0.10194200073631146,0.5872870359965882,0.6737052527830654,0.03138219036062556,0.0028707505095949544
connectivity,300.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.055224046984155284,0.6182867538642776,1.8886654419389406e-06,0.00029305649667624487,0.8501141988947017,305.8603725384046,61.12620670624443,0.24615311061969575,0.11051968161996847,0.4402846306706829,0.7301595166460948,0.3214780131172102,0.05888752479152402,0.743016621673236,1.6602404048321804,0.20315939839812067,0.905338245878857,494.9697894108934,67.55344101520507,0.19878746547272863,0.15811142427855632,0.4137555937997771,0.22907708327523044,0.09478192461646395,0.5736036195947207,0.6497183352454329,0.031196649004111707,0.2031608722202155
connectivity,300.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.05622063821484513,0.5372379334216674,1.977244222693171e-06,0.00021724135020535255,0.8507332282859115,311.3511183905495,50.69760379095249,0.4123727552467502,0.07513166289863733,0.5272814144673958,0.7252531959279543,0.3824125309958911,0.06082260470214476,0.9050070816181709,1.0768869473729519,0.0026357757163465016,0.9069538665007566,478.62074980321324,58.0534746783982,0.31109090832684866,0.1131442372350203,0.46324608078526275,0.2178645049849366,0.10092487807649321,0.5953979265484166,0.67547286765595,0.03095670187927961,0.0026488320729825356
hybrid_topology,75.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.10069931006863364,2.227591402757787,2.20185200712947e-06,0.0010137208960329317,0.8007682574998933,123.4384108934553,47.92690243581847,0.44738705869200207,0.06025134356107422,0.3398705140186883,0.9511663665371974,0.3232734019122854,0.004018281481939648,0.699977567408431,0.1906498437643542,0.02751249531730091,0.901467567568527,398.4087537697995,58.15896181751862,0.3028110167546577,0.11112031410732809,0.41908167948068087,0.2575574479328203,0.10793760784244436,0.5203715993146997,0.6547909848264689,0.03163020664399319,0.027513119650826826
hybrid_topology,75.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10147526248446748,1.551972410352442,3.117861582560558e-06,0.00042971155283321426,0.8009217167333553,158.7379309009647,46.623444624662426,0.48122267004300506,0.05792058041183626,0.42481477097565046,0.9508804550611906,0.403948062742042,0.0040525464165863155,0.8894706617205659,0.23644193313852718,0.0003244444802438167,0.9023969792178228,405.09482013569425,57.16839814083941,0.32263266465818047,0.10833919486128898,0.4300838987481975,0.25051281006523335,0.10774152603922225,0.533242268626823,0.6605012320348445,0.031123706903917966,0.0003295101399955647
hybrid_topology,75.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.052952569386570336,1.4468503788797042,9.9605525674922e-07,0.0008967167026609933,0.8501557427690019,171.67901055380628,51.82239588122828,0.38562867876017426,0.07751227658438141,0.33100793037169085,0.7298319815225159,0.24158017372283813,0.0590155635639332,0.7461275894883685,0.10297050783784871,0.02751252046189233,0.9031083121555722,420.0728520192736,58.42833740368461,0.2997341643467575,0.1127059211076943,0.4289732464061742,0.24520853644371113,0.10518790192476543,0.543064042000549,0.659531169050518,0.030700815317297386,0.027512528946398968
hybrid_topology,75.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.05323406318889179,1.0746083127821264,1.4024481169956328e-06,0.000513421453968053,0.8509217167333553,207.05740960859964,50.607113331357844,0.4147829682803715,0.07498488953791518,0.3928558090847234,0.7237483114599513,0.28432872847230156,0.061423533153819695,0.8788979606527565,0.12600880932378417,0.0003244445226043817,0.904155779922247,429.56302319713456,57.469883002465714,0.318881033608315,0.11003418092787472,0.4412780416627492,0.23753688861717384,0.10481981303164906,0.5574641362166471,0.6656825552192336,0.030311860647815374,0.00032448278821296415
hybrid_topology,150.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.10100656579358536,1.6281811024145325,2.9088041410085644e-06,0.0005334868895081332,0.8005609435713494,158.22053391779298,52.22916599355967,0.35719458350656497,0.07008244254227454,0.38003805553293024,0.9515501088720789,0.36162525311789295,0.003972449450868044,0.6853600136633993,0.738234158517873,0.11234502387184712,0.9015675093649348,415.8322172566811,62.07571873029362,0.24806614807141997,0.12652148945438016,0.4040658174712547,0.25679374788798276,0.10376157566186504,0.5217572153090352,0.6459524509994242,0.03167607690907487,0.11234520608322483
hybrid_topology,150.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10209872327896263,1.331284240179423,3.412318443904166e-06,0.00031342427181944464,0.8007044063122546,176.2701440764589,46.68370612887616,0.4794547340168805,0.0579913587690966,0.4586676345970683,0.9512848626516405,0.4363235777804249,0.004004109704585444,0.8961474343605544,0.4147139997996982,0.0018803692972867827,0.9028031295912172,410.9358088996049,57.301478000822094,0.32047269545446094,0.10892409794989365,0.43235004062342497,0.24747490096378652,0.10699578348497117,0.5388538646174121,0.6615369895926625,0.030962744090733258,0.001889126854742974
hybrid_topology,150.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.052701527005593496,1.3408836817221013,1.0401709861186625e-06,0.0008289139057390993,0.8501031765039724,184.83545266547634,56.05299169437754,0.3082646473733829,0.08943738202043891,0.32296848386465316,0.7302463759959232,0.23584656490306077,0.058853597372763064,0.7129739460505858,0.14684098019979996,0.11234505354800421,0.9028047035095659,432.6782949483314,62.26596928597266,0.24643544279681137,0.12782151240290845,0.41145694267871713,0.24746317664998457,0.10182044208996595,0.5388755925193662,0.6497161199026134,0.03095279152659513,0.1123450545987748
hybrid_topology,150.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.05358873969782152,1.0280677370962148,1.4721913822235927e-06,0.0004734669818322168,0.8507044063122544,213.00931715223544,50.65920092753244,0.41329625401923437,0.0750432378763851,0.40144623616215447,0.7254828600702035,0.29124236357533817,0.060731202119395804,0.8810313376591277,0.1503155503633774,0.0018803693629917974,0.9042931460100759,431.99732381734407,57.55723809663348,0.3173111782531414,0.11036801454735076,0.4419348982111161,0.2365431721933382,0.10453668272579743,0.5593459641533967,0.6659594227156033,0.03029223620989197,0.0018804138933839908
hybrid_topology,300.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.10473786206215374,0.5928236237973283,4.33003705054785e-06,0.0001418702233316585,0.8007710343569493,301.661604727153,52.747997709882966,0.34828040024560464,0.07156022592602738,0.5932739831041294,0.9511612069993367,0.5642991978506278,0.0040188989378788864,0.746393678410451,8.992804548527754,0.1217774621291005,0.905508896419103,480.49373040202113,63.15773085435288,0.2378613142788745,0.13299055218911693,0.43037689385211175,0.227873832455819,0.0980716322025119,0.5759207707064837,0.6589628757076912,0.031441784756306136,0.1217799646336424
hybrid_topology,300.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10568956085838777,0.5459758636416908,4.271583183382236e-06,0.00011706454035846158,0.800803360062924,304.6121576649303,46.69586568784138,0.479186859332607,0.05802715993978857,0.6534543364199294,0.9511011061753092,0.6215011422040475,0.004026093768694048,0.9222529797066495,4.051401153358018,0.0020010055967089146,0.9064929209213117,470.9230435217995,57.94614010041299,0.31258095988917,0.11259213202271061,0.46024014248176826,0.22102264103046332,0.10172349179955716,0.5892141890951688,0.6741801143383691,0.031235983160546914,0.0020484304021375775
hybrid_topology,300.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.05575647078102708,0.5993034204791303,1.9962725614050886e-06,0.00027128670109558646,0.8502317924533147,305.1120462153864,56.56435870030886,0.30080115834245197,0.09121187322057217,0.4705656507452045,0.7292317516011511,0.34315141373626096,0.059250625968018465,0.7500422119567569,1.931648798980786,0.12177836589468218,0.9059882632343418,487.96673914165393,63.235098222896426,0.23722972350342741,0.13353469487906658,0.4332821601961985,0.22451771446025573,0.09727952032365286,0.5824116328173312,0.6603460095975197,0.030992538595592638,0.12177837591473988
hybrid_topology,300.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.05626553496859055,0.542428956323794,2.0785251274554025e-06,0.00022884753711698,0.8508033600629239,311.36466289735637,50.674472252210855,0.4130059732350673,0.0750992395581142,0.5273800260816865,0.7246938617391853,0.3821890677052497,0.061045549941617296,0.905023160070757,1.0742086828664363,0.0020010058993249363,0.9070688950315144,480.2578720288793,58.04668441296033,0.3113745551067821,0.11317374787442766,0.46408994133643555,0.21708149038060504,0.10074533613596098,0.596936443659296,0.6758442572748852,0.030842503267939483,0.0020013633607089227
