model_style,G0_nm,rho0,heating_rate_C_min,t_h,T_C,rho,G_nm,rho_dot,dGdt_nm_s,connected_coverage,activity,E_G
density,75.0,0.7,0.2,7.6,116.2,0.6999999999999995,75.00000000000001,1.3710558279153252e-85,2.4842060733083544e-79,0.35159254224610803,4.186882080951902e-14,1.371055827915325e-55
density,75.0,0.7,0.2,8.1,122.2,0.6999999999999994,75.00000000000001,6.651392768579555e-84,9.814444918526697e-78,0.3515925355787431,6.085474179262186e-14,6.651392768579554e-54
density,75.0,0.7,0.2,8.65,128.8,0.6999999999999995,75.00000000000001,4.1425675685987656e-82,4.911347834153322e-76,0.3515925268351131,9.198851992901014e-14,4.1425675685987656e-52
density,75.0,0.7,0.2,9.15,134.8,0.6999999999999996,75.00000000000001,1.571784642143959e-80,1.5367692009847797e-74,0.3515925173747122,1.3453442845396347e-13,1.5717846421439588e-50
density,75.0,0.7,0.2,9.65,140.8,0.6999999999999996,75.00000000000001,5.3473593035727685e-79,4.335772381087913e-73,0.3515925062183833,1.9810310100083367e-13,5.347359303572768e-49
density,75.0,0.7,0.2,10.15,146.8,0.6999999999999995,75.00000000000001,1.6389282830645455e-77,1.1079535243109846e-71,0.3515924930767127,2.9425320433571495e-13,1.6389282830645455e-47
density,75.0,0.7,0.2,10.65,152.8,0.6999999999999995,75.00000000000001,4.545593338660399e-76,2.575203202420885e-70,0.3515924776135853,4.413728197547354e-13,4.545593338660399e-46
density,75.0,0.7,0.2,11.15,158.8,0.6999999999999996,75.00000000000001,1.1456698625071653e-74,5.466028667669196e-69,0.3515924594391226,6.687006429809717e-13,1.1456698625071652e-44
density,75.0,0.7,0.2,11.7,165.4,0.6999999999999996,75.00000000000001,3.5869977103311204e-73,1.4244014130293927e-67,0.3515924357744644,1.0674231643083464e-12,3.58699771033112e-43
density,75.0,0.7,0.2,12.2,171.4,0.6999999999999997,75.00000000000001,7.489173130594234e-72,2.528859521723882e-66,0.35159241035093175,1.6461970035385766e-12,7.489173130594233e-42
density,75.0,0.7,0.2,12.7,177.4,0.6999999999999995,75.00000000000001,1.43759051409013e-70,4.145636503889261e-65,0.3515923805723279,2.5530261330945304e-12,1.4375905140901298e-40
density,75.0,0.7,0.2,13.2,183.4,0.6999999999999995,75.00000000000001,2.5456179150033844e-69,6.295296188400745e-64,0.35159234573135684,3.97261356085e-12,2.545617915003384e-39
density,75.0,0.7,0.2,13.7,189.4,0.6999999999999994,75.00000000000001,4.171482340950739e-68,8.882024344985005e-63,0.3515923050126812,6.188307833554374e-12,4.1714823409507386e-38
density,75.0,0.7,0.2,14.2,195.4,0.6999999999999993,75.00000000000001,6.345099482512622e-67,1.1676798408881301e-61,0.3515922574775704,9.630527616789942e-12,6.345099482512621e-37
density,75.0,0.7,0.2,14.75,202.0,0.6999999999999994,75.00000000000001,1.1666011551182984e-65,1.836479152059617e-60,0.35159219602294794,1.5614923310476915e-11,1.1666011551182983e-35
density,75.0,0.7,0.2,15.25,208.0,0.6999999999999993,75.00000000000001,1.531498631182694e-64,2.099613057173942e-59,0.35159213046766635,2.412134222816148e-11,1.531498631182694e-34
density,75.0,0.7,0.2,15.75,214.0,0.6999999999999993,75.00000000000001,1.8820202872050904e-63,2.2546835981376174e-58,0.35159205420136325,3.705992342297321e-11,1.8820202872050902e-33
density,75.0,0.7,0.2,16.25,220.0,0.6999999999999991,75.00000000000001,2.170251858978052e-62,2.2794798471611825e-57,0.3515919655725045,5.658272741695774e-11,2.1702518589780517e-32
density,75.0,0.7,0.2,16.75,226.0,0.6999999999999988,75.00000000000001,2.3538977973347064e-61,2.1744621846448056e-56,0.35159186269152987,8.57977163104092e-11,2.3538977973347062e-31
density,75.0,0.7,0.2,17.3,232.60000000000002,0.6999999999999988,75.00000000000001,3.0269894012310216e-60,2.436501662462566e-55,0.351591730475346,1.3448760954053498e-10,3.026989401231021e-30
density,75.0,0.7,0.2,17.8,238.60000000000002,0.6999999999999988,75.00000000000001,2.9073607189557525e-59,2.071204740434069e-54,0.3515915902714282,2.0076576375810463e-10,2.9073607189557525e-29
density,75.0,0.7,0.2,18.3,244.60000000000002,0.6999999999999987,75.00000000000001,2.643788359608771e-58,1.6716647336413713e-53,0.3515914280814167,2.974035042918744e-10,2.643788359608771e-28
density,75.0,0.7,0.2,18.8,250.60000000000002,0.6999999999999986,75.00000000000001,2.2804857745494678e-57,1.283323483604039e-52,0.3515912406659306,4.37150384836146e-10,2.2804857745494677e-27
density,75.0,0.7,0.2,19.3,256.6,0.6999999999999986,75.00000000000001,1.8693747863180536e-56,9.387264807368905e-52,0.35159102434216016,6.37605813101123e-10,1.8693747863180533e-26
density,75.0,0.7,0.2,19.8,262.6,0.6999999999999986,75.00000000000001,1.458792464701821e-55,6.553590433670647e-51,0.3515907749284039,9.228690212705336e-10,1.4587924647018208e-25
density,75.0,0.7,0.2,20.35,269.20000000000005,0.6999999999999985,75.00000000000001,1.3234316095708593e-54,5.275115828498673e-50,0.35159045667612615,1.3740135354302576e-09,1.3234316095708593e-24
density,75.0,0.7,0.2,20.85,275.20000000000005,0.6999999999999984,75.00000000000001,9.363609657406488e-54,3.3560507257736627e-49,0.35159012158466296,1.957671144584937e-09,9.363609657406487e-24
density,75.0,0.7,0.2,21.35,281.2,0.6999999999999984,75.00000000000001,6.338152728049859e-53,2.0474018231677305e-48,0.351589736564637,2.7690361157372106e-09,6.338152728049858e-23
density,75.0,0.7,0.2,21.85,287.2,0.6999999999999985,75.00000000000001,4.110481292892086e-52,1.1993796706728384e-47,0.35158929466811284,3.888910982614763e-09,4.1104812928920853e-22
density,75.0,0.7,0.2,22.35,293.20000000000005,0.6999999999999985,75.00000000000001,2.5576397950034795e-51,6.75561401329741e-47,0.3515887880565044,5.4238963849497345e-09,2.5576397950034794e-21
density,75.0,0.7,0.2,22.85,299.20000000000005,0.6999999999999987,75.00000000000001,1.5289157258800293e-50,3.663354238154433e-46,0.3515882078976221,7.513702231486655e-09,1.5289157258800293e-20
density,75.0,0.7,0.2,23.4,305.8,0.6999999999999986,75.00000000000001,1.0450711419453156e-49,2.2547267703048626e-45,0.35158747287743447,1.0671973975255942e-08,1.0450711419453154e-19
density,75.0,0.7,0.2,23.9,311.8,0.6999999999999985,75.00000000000001,5.766725625113479e-49,1.1333524469958322e-44,0.3515867044439767,1.4583387053331886e-08,5.766725625113478e-19
density,75.0,0.7,0.2,24.4,317.8,0.6999999999999986,75.00000000000001,3.0687585522715816e-48,5.504414472284631e-44,0.3515858274808227,1.980456035116709e-08,3.068758552271579e-18
density,75.0,0.7,0.2,24.9,323.8,0.6999999999999986,75.00000000000001,1.5766511396798613e-47,2.58581310248386e-43,0.3515848277720028,2.6732453360457964e-08,1.5766511396798557e-17
density,75.0,0.7,0.2,25.4,329.8,0.6999999999999988,75.00000000000001,7.829209840291605e-47,1.1761678374435608e-42,0.3515836894038294,3.587165296789726e-08,7.82920984029148e-17
density,75.0,0.7,0.2,25.95,336.40000000000003,0.6999999999999988,75.00000000000001,4.392923764913051e-46,6.004182551840605e-42,0.351582255752811,4.9244897928643545e-08,4.392923764912699e-16
density,75.0,0.7,0.2,26.45,342.40000000000003,0.699999999999999,75.00000000000001,2.0376250988631058e-45,2.560192314798807e-41,0.3515807658092353,6.530143695214185e-08,2.03762509886241e-15
density,75.0,0.7,0.2,26.95,348.40000000000003,0.6999999999999991,75.00000000000001,9.163207030315893e-45,1.0601152352895966e-40,0.35157907505112557,8.612624173795635e-08,9.16320703030294e-15
density,75.0,0.7,0.2,27.45,354.40000000000003,0.6999999999999991,75.00000000000001,3.998737204286496e-44,4.266530377350175e-40,0.3515771585463975,1.129962514073244e-07,3.998737204263748e-14
density,75.0,0.7,0.2,27.95,360.40000000000003,0.6999999999999991,75.00000000000001,1.6948637175855979e-43,1.6703328812793307e-39,0.35157498857016,1.474928244174262e-07,1.6948637175478511e-13
density,75.0,0.7,0.2,28.45,366.40000000000003,0.6999999999999992,75.00000000000001,6.983180030739118e-43,6.36632941005392e-39,0.35157253433243807,1.915652025313209e-07,6.983180030146355e-13
density,75.0,0.7,0.2,29.0,373.0,0.6999999999999992,75.00000000000001,3.211362634067998e-42,2.691786974947933e-38,0.3515694654845437,2.5397485207137726e-07,3.211362632915424e-12
density,75.0,0.7,0.2,29.5,379.0,0.699999999999999,75.00000000000001,1.2500730769253203e-41,9.722211811286433e-38,0.35156629874755957,3.265777238927597e-07,1.2500730753048568e-11
density,75.0,0.7,0.2,30.0,385.0,0.699999999999999,75.00000000000001,4.741877030358559e-41,3.4265468771236453e-37,0.3515627295201138,4.1801971080321677e-07,4.741877008694207e-11
density,75.0,0.7,0.2,30.5,391.0,0.6999999999999991,75.00000000000001,1.7540883357117034e-40,1.1792806626356493e-36,0.35155871112651765,5.32689492000127e-07,1.7540883081308708e-10
density,75.0,0.7,0.2,31.0,397.0,0.6999999999999993,75.00000000000001,6.332059760358809e-40,3.965861136682828e-36,0.35155419208251026,6.758801671686533e-07,6.33205942553123e-10
density,75.0,0.7,0.2,31.5,403.0,0.6999999999999993,75.00000000000001,2.2321641951367293e-39,1.3040621711002388e-35,0.35154911567675967,8.539507052376953e-07,2.232163807019345e-09
density,75.0,0.7,0.2,32.05,409.6,0.6999999999999992,75.00000000000001,8.690688662256508e-39,4.7098365910203335e-35,0.35154281324151354,1.0992400416551231e-06,8.690683204696807e-09
density,75.0,0.7,0.2,32.55,415.6,0.6999999999999991,75.00000000000001,2.920750979496016e-38,1.480273281851468e-34,0.3515363559657269,1.3770847642014593e-06,2.9207452148278762e-08
density,75.0,0.7,0.2,33.05,421.6,0.6999999999999991,75.00000000000001,9.604474254961316e-38,4.557512241722213e-34,0.3515291273320563,1.7184580470994865e-06,9.604415891970646e-08
density,75.0,0.7,0.2,33.55,427.6,0.6999999999999991,75.00000000000001,3.0920519844360196e-37,1.375329188859776e-33,0.35152104423560815,2.1363391187462356e-06,3.0919952842844686e-07
density,75.0,0.7,0.2,34.05,433.6,0.6999999999999991,75.00000000000001,9.751261945885246e-37,4.0701756180431025e-33,0.3515120157759365,2.646036832391191e-06,9.750732783287477e-07
density,75.0,0.7,0.2,34.6,440.20000000000005,0.6999999999999993,75.00000000000001,3.3704876785865186e-36,1.3134858362753728e-32,0.35150087381105277,3.3343215425383597e-06,3.3698975035677667e-06
density,75.0,0.7,0.2,35.1,446.20000000000005,0.6999999999999991,75.00000000000001,1.019668700047964e-35,3.7374017645736193e-32,0.3514895261394945,4.09911645621276e-06,1.0191608315825851e-05
density,75.0,0.7,0.2,35.6,452.20000000000005,0.6999999999999991,75.00000000000001,3.026772786474712e-35,1.0445310465377936e-31,0.35147689522220604,5.022122972707958e-06,3.0225632382846954e-05
density,75.0,0.7,0.2,36.1,458.20000000000005,0.6999999999999991,75.00000000000001,8.820022929045707e-35,2.8686976989528166e-31,0.35146285170804886,6.132461160968623e-06,8.786415502467078e-05
density,75.0,0.7,0.2,36.6,464.20000000000005,0.6999999999999992,75.00000000000001,2.524274307580948e-34,7.745655846740255e-31,0.35144725514185454,7.46392947799197e-06,0.00024984712430586685
density,75.0,0.7,0.2,37.1,470.20000000000005,0.6999999999999993,75.00000000000001,7.098741858310959e-34,2.056995762848691e-30,0.35142995323545356,9.055641841053351e-06,0.0006909244697416679
density,75.0,0.7,0.2,37.65,476.8,0.6999999999999993,75.00000000000001,2.1704980000708907e-33,5.911990382468616e-30,0.3514087543004381,1.116117598057219e-05,0.002011906384156733
density,75.0,0.7,0.2,38.15,482.8,0.6999999999999993,75.00000000000001,5.8914763578987755e-33,1.5184147880358172e-29,0.35138731855390754,1.345446585179513e-05,0.0048995387463060345
density,75.0,0.7,0.2,38.65,488.8,0.6999999999999992,75.00000000000001,1.5734406036251266e-32,3.8406629490257536e-29,0.3513636219427612,1.6171103497508786e-05,0.010405744867148377
density,75.0,0.7,0.2,39.15,494.8,0.6999999999999992,75.00000000000001,4.1363210546892113e-32,9.570829432443546e-29,0.35133745560180374,1.938023214304402e-05,0.018172759579689907
density,75.0,0.7,0.2,39.65,500.8,0.6999999999999993,75.00000000000001,1.0707461904217356e-31,2.3506285687240487e-28,0.3513085948200132,2.3160764369843284e-05,0.025899898198602094
density,75.0,0.7,0.2,40.15,506.8,0.6999999999999994,75.00000000000001,2.7304405113629165e-31,5.692041309591577e-28,0.3512767982201562,2.7602533349209183e-05,0.031788532316195585
density,75.0,0.7,0.2,40.7,513.4000000000001,0.6999999999999994,75.00000000000001,7.517737522752779e-31,1.4819728448346494e-27,0.3512381215942307,3.33743533175529e-05,0.03621324007525239
density,75.0,0.7,0.2,41.2,519.4000000000001,0.6999999999999993,75.00000000000001,1.8597082861387038e-30,3.487416528331577e-27,0.351199295305288,3.955297249130294e-05,0.03915267076467502
density,75.0,0.7,0.2,41.7,525.4000000000001,0.6999999999999992,75.00000000000001,4.536887534645456e-30,8.099895854834198e-27,0.3511566701857975,4.675492529587299e-05,0.041623351678198285
density,75.0,0.7,0.2,42.2,531.4000000000001,0.6999999999999993,75.00000000000001,1.0918742256248564e-29,1.8574088398744632e-26,0.3511099280400908,5.512919281546746e-05,0.04391129752346325
density,75.0,0.7,0.2,42.7,537.4,0.6999999999999991,75.00000000000001,2.593165223424695e-29,4.20653471448003e-26,0.3510587299485185,6.484331294575375e-05,0.04615229938390529
density,75.0,0.7,0.2,43.25,544.0,0.6999999999999991,75.00000000000001,6.615581200163567e-29,1.0194160633720511e-25,0.3509968346802584,7.730138800933318e-05,0.0486360611107014
density,75.0,0.7,0.2,43.75,550.0,0.6999999999999991,75.00000000000001,1.529601204340953e-28,2.2512947881585264e-25,0.3509350797032193,9.04679524937189e-05,0.05094041243263946
density,75.0,0.7,0.2,44.25,556.0,0.6999999999999992,75.00000000000001,3.4933683009012203e-28,4.914749873171312e-25,0.3508676789224532,0.00010563283328639049,0.05330131814214786
density,75.0,0.7,0.2,44.75,562.0,0.6999999999999992,75.00000000000001,7.883005961086394e-28,1.0609142552697996e-24,0.35079420147127227,0.00012306089970148874,0.05572398062892131
density,75.0,0.7,0.2,45.25,568.0,0.6999999999999991,75.00000000000001,1.7580953965245007e-27,2.2650998453565962e-24,0.35071419267246995,0.00014304670278647916,0.05821058582282635
density,75.0,0.7,0.2,45.75,574.0,0.6999999999999992,75.00000000000001,3.876273668917961e-27,4.7845144534352115e-24,0.35062717366068674,0.00016591711615539654,0.06076185386399606
density,75.0,0.7,0.2,46.3,580.6,0.6999999999999992,75.00000000000001,9.130834393413265e-27,1.0760166755994839e-23,0.35052275449552933,0.00019483945476053902,0.06364286184596793
density,75.0,0.7,0.2,46.8,586.6,0.6999999999999992,75.00000000000001,1.966970157998348e-26,2.2240914874275583e-23,0.3504193463174172,0.00022499137325104844,0.06632922486085217
density,75.0,0.7,0.2,47.3,592.6,0.6999999999999992,75.00000000000001,4.192301192628484e-26,4.5516447833302354e-23,0.35030728743986084,0.00025927773378972997,0.06907878059988531
density,75.0,0.7,0.2,47.8,598.6,0.6999999999999992,75.00000000000001,8.842597871099755e-26,9.225071172081729e-23,0.35018599829201286,0.0002981888742359639,0.07189042651089124
density,75.0,0.7,0.2,48.3,604.6,0.699999999999999,75.00000000000001,1.8462153369961684e-25,1.8520714474125137e-22,0.3500548750820161,0.0003422633526535666,0.07476282537374107
density,75.0,0.7,0.2,48.8,610.6,0.6999999999999991,75.00000000000001,3.816449262788405e-25,3.684095683294035e-22,0.34991329026288,0.0003920915258733083,0.07769440889830406
density,75.0,0.7,0.2,49.35,617.2,0.6999999999999993,75.00000000000001,8.38868923342964e-25,7.768709202817571e-22,0.3497446865866513,0.00045432063354180634,0.08098534973352185
density,75.0,0.7,0.2,49.85,623.2,0.6999999999999993,75.00000000000001,1.6994179100417348e-24,1.5167042603990112e-21,0.3495789880159111,0.000518404850789697,0.08403506225859057
density,75.0,0.7,0.2,50.35,629.2,0.6999999999999994,75.00000000000001,3.4109297088100486e-24,2.9358142444127106e-21,0.3494007397202955,0.0005904429345582528,0.0871375708161028
density,75.0,0.7,0.2,50.85,635.2,0.6999999999999995,75.00000000000001,6.78423435110191e-24,5.6353518563899054e-21,0.3492092258754816,0.0006712778201596125,0.09029029287389126
density,75.0,0.7,0.2,51.35,641.2,0.6999999999999995,75.00000000000001,1.3374299208292567e-23,1.0729151721292516e-20,0.34900371251148243,0.0007618244256891082,0.09349037646839489
density,75.0,0.7,0.2,51.9,647.8000000000001,0.6999999999999995,75.00000000000001,2.7935920318993616e-23,2.158626830311897e-20,0.348760582461113,0.0008738280319588743,0.09706142753456756
density,75.0,0.7,0.2,52.4,653.8000000000001,0.6999999999999996,75.00000000000001,5.40883193079736e-23,4.0424573869518484e-20,0.34852321101062794,0.0009880916216596317,0.1003504441052518
density,75.0,0.7,0.2,52.9,659.8000000000001,0.6999999999999994,75.00000000000001,1.0385810514101129e-22,7.513160033805635e-20,0.3482694706756375,0.001115406658663946,0.10367618741983052
density,75.0,0.7,0.2,53.4,665.8000000000001,0.6999999999999993,75.00000000000001,1.978114269155259e-22,1.386080120123398e-19,0.3479985751008756,0.0012570278801915546,0.10703462805105421
density,75.0,0.7,0.2,53.9,671.8000000000001,0.6999999999999993,75.00000000000001,3.7377657845458485e-22,2.538750063855702e-19,0.3477097319497254,0.0014143038471383033,0.1104214383878224
density,75.0,0.7,0.2,54.4,677.8000000000001,0.6999999999999993,75.00000000000001,7.008034361648162e-22,4.617353774992853e-19,0.34740214614290393,0.0015886811451926205,0.11383199179687108
density,75.0,0.7,0.2,54.95,684.4000000000001,0.6999999999999995,75.00000000000001,1.3869617595043232e-21,8.8450329604699e-19,0.3470412061041777,0.0018020997377015042,0.11760513772972711
density,75.0,0.7,0.2,55.45,690.4000000000001,0.6999999999999994,75.00000000000001,2.559701856929918e-21,1.585947565358918e-18,0.34669168084774254,0.002017557592365407,0.12104917177209354
density,75.0,0.7,0.2,55.95,696.4000000000001,0.6999999999999993,75.00000000000001,4.689801022055465e-21,2.825164702656322e-18,0.34632097034756204,0.0022552675524384106,0.12450073311269547
density,75.0,0.7,0.2,56.45,702.4000000000001,0.6999999999999993,75.00000000000001,8.531509705026967e-21,5.000728270266162e-18,0.34592830801373864,0.0025171191805094554,0.12795400855351205
density,75.0,0.7,0.2,56.95,708.4000000000001,0.6999999999999993,75.00000000000001,1.541233474085514e-20,8.796799317200135e-18,0.34551294523790455,0.0028051190321977623,0.13140291870636775
density,75.0,0.7,0.2,57.45,714.4000000000001,0.6999999999999993,75.00000000000001,2.7653178794207064e-20,1.5380977321749008e-17,0.3450741561874,0.0031213935894169147,0.13484113305483886
density,75.0,0.7,0.2,58.0,721.0,0.6999999999999991,75.00000000000001,5.2198377802389755e-20,2.824526909661606e-17,0.3445635986872059,0.003504640750572587,0.1386029753080972
density,75.0,0.7,0.2,58.5,727.0,0.6999999999999988,75.00000000000007,9.236413921163528e-20,4.878486821848749e-17,0.3440733816540868,0.003887761435735121,0.14199711291291
density,75.0,0.7,0.2,59.0,733.0,0.6999999999999988,75.00000000000021,1.6239378698416497e-19,8.378901877427312e-17,0.34355768769943745,0.004306536414896555,0.14535954952060082
density,75.0,0.7,0.2,59.5,739.0,0.6999999999999995,75.0000000000004,2.837343578955715e-19,1.4312366091466398e-16,0.34301593798663355,0.004763606024906793,0.14868315068355364
density,75.0,0.7,0.2,60.0,745.0,0.7000000000000002,75.00000000000072,4.92704360006919e-19,2.431736447463996e-16,0.3424476031335863,0.005261738844352592,0.1519606577392265
density,75.0,0.7,0.2,60.55,751.6,0.7000000000000015,75.00000000000136,8.978654903722839e-19,4.3304322076176535e-16,0.3417911643612998,0.005860574133813447,0.1555039048052833
density,75.0,0.7,0.2,61.05,757.6,0.7000000000000035,75.00000000000236,1.5397755514335643e-18,7.27862755142081e-16,0.3411655280525411,0.006454521177806831,0.15866063422212937
density,75.0,0.7,0.2,61.55,763.6,0.7000000000000071,75.00000000000402,2.6254213433029984e-18,1.2173637604047464e-15,0.3405120375953067,0.007098925532720284,0.1617483673756283
density,75.0,0.7,0.2,62.05,769.6,0.7000000000000131,75.00000000000679,4.4512931890759936e-18,2.026265736970585e-15,0.3398304217381121,0.007797074763889282,0.16475972676705425
density,75.0,0.7,0.2,62.55,775.6,0.7000000000000235,75.0000000000114,7.505297708626193e-18,3.3568251567176707e-15,0.3391204849385733,0.008552377903405108,0.16768741351350058
density,75.0,0.7,0.2,63.05,781.6,0.7000000000000408,75.00000000001906,1.2586122167493666e-17,5.535629951626696e-15,0.33838211186157735,0.009368362017938392,0.17052425303191754
density,75.0,0.7,0.2,63.6,788.2,0.7000000000000732,75.00000000003328,2.2090259506398757e-17,9.547370410071745e-15,0.3375370232114244,0.010340379830077946,0.17353149525159975
density,75.0,0.7,0.2,64.1,794.2,0.7000000000001233,75.00000000005492,3.6637350545368724e-17,1.559876803608626e-14,0.3367389383512272,0.01129577526091565,0.17615501971360026
density,75.0,0.7,0.2,64.6,800.2,0.7000000000002067,75.00000000009024,6.045476029809318e-17,2.537745288714215e-14,0.3359126118142781,0.012323486866433742,0.17866674967446006
density,75.0,0.7,0.2,65.1,806.2,0.7000000000003439,75.00000000014755,9.925751304369202e-17,4.1115059304262823e-14,0.33505829575524737,0.013427474716465682,0.18106050688633457
density,75.0,0.7,0.2,65.6,812.2,0.7000000000005691,75.00000000024023,1.6216791049475888e-16,6.634245353843497e-14,0.33417633883873304,0.014611788550379588,0.18333047149212775
density,75.0,0.7,0.2,66.1,818.2,0.7000000000009361,75.00000000038948,2.63679451189941e-16,1.0662548318122745e-13,0.3332671877636984,0.015880560261225814,0.1854712236636319
density,75.0,0.7,0.2,66.65,824.8000000000001,0.7000000000016083,75.00000000065965,4.476438144057615e-16,1.788944887304576e-13,0.33223636647280996,0.017378779845236576,0.18767087974025096
density,75.0,0.7,0.2,67.15,830.8000000000001,0.7000000000026165,75.00000000106058,7.207493680937819e-16,2.852199212510577e-13,0.33127200190650347,0.018838681583271268,0.1895246389897725
density,75.0,0.7,0.2,67.65,836.8000000000001,0.700000000004236,75.00000000169865,1.1552267352353279e-15,4.530648589442731e-13,0.3302824565727648,0.020396282486729,0.19123532411342647
density,75.0,0.7,0.2,68.15,842.8000000000001,0.7000000000068263,75.00000000271041,1.8433962154030387e-15,7.170905660077513e-13,0.329268580873314,0.022055962257359018,0.19279951893653804
density,75.0,0.7,0.2,68.65,848.8000000000001,0.7000000000109505,75.00000000430897,2.9287003704588192e-15,1.130979838215628e-12,0.3282313204805609,0.02382213739763334,0.19421436207349357
density,75.0,0.7,0.2,69.2,855.4000000000001,0.7000000000183233,75.00000000714593,4.849422660675202e-15,1.85948425845414e-12,0.32706456657260125,0.025893236142689888,0.19559547112684722
density,75.0,0.7,0.2,69.7,861.4000000000001,0.700000000029126,75.00000001127668,7.636254383109715e-15,2.911786768834139e-12,0.3259816842268088,0.0278975355222036,0.19668991045269887
density,75.0,0.7,0.2,70.2,867.4000000000001,0.7000000000461027,75.00000001773464,1.1975184320110454e-14,4.544551878414033e-12,0.32487892139592756,0.030022149423284235,0.19762978798562944
density,75.0,0.7,0.2,70.7,873.4000000000001,0.700000000072673,75.00000002779794,1.870372221033348e-14,7.069938657716451e-12,0.3237575791262847,0.03227154258353846,0.19841461633671734
density,75.0,0.7,0.2,71.2,879.4000000000001,0.700000000114092,75.00000004342908,2.909708847314188e-14,1.0963788715153842e-11,0.3226190333067303,0.03465016655386137,0.19904448119590376
density,75.0,0.7,0.2,71.7,885.4000000000001,0.7000000001784047,75.00000006763248,4.5089705203333546e-14,1.694931550462904e-11,0.32146472893131545,0.03716245019339364,0.19952002736487845
density,75.0,0.7,0.2,72.25,892.0,0.7000000002904088,75.00000010969572,7.267874501287108e-14,2.7272758605344375e-11,0.32017859442612623,0.04008558564083026,0.19986631945877736
density,75.0,0.7,0.2,72.75,898.0,0.7000000004504267,75.00000016971612,1.117312008900008e-13,4.1894536109079705e-11,0.3189961725534646,0.04289281736620835,0.20002226695849498
density,75.0,0.7,0.2,73.25,904.0,0.7000000006959854,75.00000026178313,1.7113430731447826e-13,6.416599328696443e-11,0.31780284228594835,0.045847195524304475,0.20002921229606274
density,75.0,0.7,0.2,73.75,910.0,0.7000000010714341,75.00000040259484,2.6116922389413373e-13,9.799243328324e-11,0.31660026418760995,0.04895296222932049,0.19988984088790418
density,75.0,0.7,0.2,74.25,916.0000000000001,0.7000000016434147,75.00000061734012,3.971502941067539e-13,1.492243984691967e-10,0.31539013375011526,0.052214292831330535,0.19960725329599444
density,75.0,0.7,0.2,74.75,922.0000000000001,0.7000000025117196,75.00000094391093,6.018112454376813e-13,2.266027088901255e-10,0.3141741743640495,0.055635288278235086,0.1991849267687601
density,75.0,0.7,0.2,75.3,928.6,0.7000000039888543,75.00000150092038,9.46847074744862e-13,3.5763632975613584e-10,0.31283196898584115,0.05958759051373135,0.19856352981652964
