material_id,topology_id,role,T2_C,t_h,T_C,rho,G_nm,rho_dot,G_dot,X_J,Lambda_over_K,pore_drag,migration_factor
E0142,D0087,upper_failure,1110,37.666666666666664,1110.0,0.9066372640289992,308.68915094453143,3.2220730358995695e-07,8.864313442487433e-05,0.7499247152152537,0.008529693618828159,14.50403153658917,0.06449935280639892
E0142,D0087,upper_failure,1110,38.0,1110.0,0.9070234983981864,308.79562253188783,3.2082747347657535e-07,8.897614917318205e-05,0.7499243942334893,0.008526752612048936,14.440678225481916,0.0647639945212827
E0142,D0087,upper_failure,1110,38.333333333333336,1110.0,0.9074080787536662,308.90249405057904,3.194535784051308e-07,8.931020979374004e-05,0.749924071915695,0.008523802597016022,14.377601042084837,0.06502964911517979
E0142,D0087,upper_failure,1110,38.666666666666664,1110.0,0.907791012209833,309.0097667561504,3.1808559288328533e-07,8.964531794611167e-05,0.7499237482567318,0.00852084355990876,14.314798798819389,0.06529631979736421
E0142,D0087,upper_failure,1110,39.0,1110.0,0.9081723058505233,309.1174419061355,3.167234915284469e-07,8.998147527904293e-05,0.7499234232514319,0.00851787548698911,14.252270313190795,0.06556400978122966
E0142,D0087,upper_failure,1110,39.333333333333336,1110.0,0.9085519667291473,309.2255207600432,3.1536724906727816e-07,9.031868343033717e-05,0.7499230968946003,0.008514898364602511,14.190014407765897,0.06583272228423627
E0142,D0087,upper_failure,1110,39.666666666666664,1110.0,0.9089300018688198,309.3340045793444,3.1401684033523714e-07,9.065694402672972e-05,0.7499227691810162,0.008511912179178734,14.128029910151039,0.06610246052785707
E0142,D0087,upper_failure,1110,40.0,1110.0,0.909306418262491,309.44289462745877,3.1267224027609916e-07,9.099625868376214e-05,0.7499224401054342,0.008508916917232738,14.066315652970026,0.06637322773752385
E0142,D0087,upper_failure,1110,40.333333333333336,1110.0,0.9096812228730756,309.5521921697411,3.11333423941494e-07,9.133662900565532e-05,0.7499221096625857,0.00850591256536555,14.004870473842344,0.06664502714257199
E0142,D0087,upper_failure,1110,40.666666666666664,1110.0,0.9100544226335829,309.66189847346794,3.1000036649043017e-07,9.167805658518355e-05,0.7499217778471791,0.008502899110265099,13.943693215361172,0.06691786197618559
E0142,D0087,upper_failure,1110,41.0,1110.0,0.9104260244472447,309.7720148078237,3.0867304318883466e-07,9.202054300354644e-05,0.7499214446539012,0.008499876538707108,13.882782725071849,0.06719173547534084
E0142,D0087,upper_failure,1110,41.333333333333336,1110.0,0.9107960351876443,309.8825424438868,3.073514294090983e-07,9.236408983024198e-05,0.7499211100774177,0.00849684483755595,13.822137855450118,0.06746665088074989
E0142,D0087,upper_failure,1110,41.666666666666664,1110.0,0.9111644616988435,309.9934826546153,3.060355006295954e-07,9.270869862293842e-05,0.7499207741123731,0.008493803993765514,13.761757463880633,0.06774261143680353
E0142,D0087,upper_failure,1110,42.0,1110.0,0.9115313107955096,310.1048367148331,3.047252324342443e-07,9.30543709273453e-05,0.7499204367533922,0.00849075399438008,13.701640412635594,0.06801962039151302
E0142,D0087,upper_failure,1110,42.333333333333336,1110.0,0.9118965892630428,310.2166059012152,3.0342060051203857e-07,9.340110827708548e-05,0.7499200979950795,0.008487694826535195,13.641785568853297,0.06829768099645221
E0142,D0087,upper_failure,1110,42.666666666666664,1110.0,0.912260303857701,310.32879149227335,3.021215806566006e-07,9.374891219356512e-05,0.7499197578320204,0.008484626477458537,13.582191804516995,0.06857679650669792
E0142,D0087,upper_failure,1110,43.0,1110.0,0.9126224613067256,310.44139476834135,3.008281487657203e-07,9.409778418584446e-05,0.7499194162587803,0.008481548934470793,13.522857996433677,0.06885697018077062
E0142,D0087,upper_failure,1110,43.333333333333336,1110.0,0.9129830683084672,310.55441701156,2.995402808409053e-07,9.444772575050811e-05,0.7499190732699064,0.008478462184986539,13.463783026212994,0.0691382052805743
E0142,D0087,upper_failure,1110,43.666666666666664,1110.0,0.9133421315325084,310.66785950586234,2.9825795298693755e-07,9.479873837153372e-05,0.7499187288599262,0.008475366216515122,13.404965780246387,0.0694205050713349
E0142,D0087,upper_failure,1110,44.0,1110.0,0.913699657619789,310.78172353695834,2.969811414114221e-07,9.515082352016242e-05,0.7499183830233488,0.008472261016661526,13.346405149686074,0.06970387282153968
E0142,D0087,upper_failure,1110,44.333333333333336,1110.0,0.9140556531827284,310.8960103923196,2.957098224243396e-07,9.55039826547668e-05,0.7499180357546649,0.008469146573127263,13.288100030424376,0.06998831180287438
E0142,D0087,upper_failure,1110,44.666666666666664,1110.0,0.9144101248053487,311.0107213611639,2.944439724376086e-07,9.585821722071977e-05,0.7499176870483464,0.008466022873711258,13.230049323072965,0.07027382529016077
E0142,D0087,upper_failure,1110,45.0,1110.0,0.9147630790433968,311.1258577344395,2.931835679646411e-07,9.621352865026292e-05,0.7499173368988468,0.008462889906310717,13.172251932942245,0.07056041656129337
E0142,D0087,upper_failure,1110,45.333333333333336,1110.0,0.9151145224244659,311.24142080480937,2.9192858561989704e-07,9.656991836237371e-05,0.7499169853006015,0.008459747658922028,13.114706770020934,0.07084808889717494
E0142,D0087,upper_failure,1110,45.666666666666664,1110.0,0.915464461448117,311.3574118666353,2.906790021184589e-07,9.692738776263383e-05,0.7499166322480274,0.008456596119641639,13.057412748955482,0.07113684558165255
E0142,D0087,upper_failure,1110,46.0,1110.0,0.9158129025859989,311.4738322159617,2.8943479427558634e-07,9.728593824309522e-05,0.7499162777355233,0.008453435276666945,13.00036878902992,0.07142668990145148
E0142,D0087,upper_failure,1110,46.333333333333336,1110.0,0.9161598522819692,311.5906831504994,2.8819593900628365e-07,9.764557118214819e-05,0.7499159217574697,0.008450265118297174,12.943573814145422,0.07171762514611024
E0142,D0087,upper_failure,1110,46.666666666666664,1110.0,0.9165053169522128,311.70796596960906,2.8696241332487127e-07,9.80062879443866e-05,0.7499155643082289,0.00844708563293428,12.887026752800315,0.07200965460791312
E0142,D0087,upper_failure,1110,47.0,1110.0,0.9168493029853619,311.8256819742848,2.8573419434455254e-07,9.8368089880475e-05,0.7499152053821453,0.008443896809083829,12.83072653806991,0.0723027815818236
E0142,D0087,upper_failure,1110,47.333333333333336,1110.0,0.917191816742614,311.94383246713727,2.845112592769846e-07,9.873097832701394e-05,0.7499148449735448,0.008440698635355891,12.774672107586552,0.07259700936541633
E0142,D0087,upper_failure,1110,47.666666666666664,1110.0,0.9175328645578498,312.0624187523768,2.832935854318523e-07,9.909495460640564e-05,0.7499144830767354,0.008437491100465933,12.718862403519736,0.07289234125880861
