smoothing_gate_mode,G0_nm,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,G1_nm,rho1,first_connected_coverage,T_lower_density_C,T_upper_no_growth_C,T_success_min_C,T_success_max_C,window_width_C,n_success
connectivity,50.00000000000001,1250.0,0.8,0.95,0.05,True,117.72025490829775,0.8002020594634571,0.321671015838254,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.8,0.95,0.1,True,117.72025490829775,0.8002020594634571,0.321671015838254,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.8,0.98,0.02,True,117.72025490829775,0.8002020594634571,0.321671015838254,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.8,0.98,0.05,True,117.72025490829775,0.8002020594634571,0.321671015838254,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.8,0.98,0.1,True,117.72025490829775,0.8002020594634571,0.321671015838254,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.9,0.02,True,156.43138970741705,0.8500579352093036,0.2309881418713317,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.9,0.05,True,156.43138970741705,0.8500579352093036,0.2309881418713317,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.9,0.1,True,156.43138970741705,0.8500579352093036,0.2309881418713317,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.95,0.02,True,156.43138970741705,0.8500579352093036,0.2309881418713317,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.95,0.05,True,156.43138970741705,0.8500579352093036,0.2309881418713317,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.95,0.1,True,156.43138970741705,0.8500579352093036,0.2309881418713317,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.98,0.02,True,156.43138970741705,0.8500579352093036,0.2309881418713317,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.98,0.05,True,156.43138970741705,0.8500579352093036,0.2309881418713317,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.85,0.98,0.1,True,156.43138970741705,0.8500579352093036,0.2309881418713317,nan,1100.0,nan,nan,nan,0
