T1_C,T2_C,switch_density,target_density,high_reached,two_step_reached,high_final_density,two_step_final_density,G_high_nm,G_two_step_nm,TS_pct,benefit_positive,high_damage_final,two_step_damage_final,high_redistributed_volume,two_step_redistributed_volume,high_mean_radius_nm,two_step_mean_radius_nm
1350.0,1250.0,0.88,0.9,True,True,0.9000050596482477,0.9000063400094827,394.7111080744383,352.4569784921525,10.705077388984236,True,0.0036055662757385693,0.004172390543481513,0.0,0.0,47.93673121949192,47.93628327066389
1350.0,1300.0,0.82,0.9,True,True,0.9000050596482477,0.9000126213271581,394.7111080744383,370.8054111973437,6.056504716504268,True,0.0036055662757385693,0.004513935191706893,0.0,0.0,47.93673121949192,47.934591369909285
1350.0,1300.0,0.85,0.9,True,True,0.9000050596482477,0.900001827324089,394.7111080744383,370.67079442702527,6.09060985506374,True,0.0036055662757385693,0.003937263965082121,0.0,0.0,47.93673121949192,47.934435122115794
1350.0,1300.0,0.88,0.9,True,True,0.9000050596482477,0.9000084692053532,394.7111080744383,371.9148247783233,5.775434952242558,True,0.0036055662757385693,0.0037140278736171764,0.0,0.0,47.93673121949192,47.93679518098001
1400.0,1200.0,0.82,0.9,True,False,0.9000559555314812,0.8893631503015802,421.4222529849556,nan,nan,False,0.0007887356802932798,0.018347484969869626,0.0,0.0,47.946586247208586,46.55068956317403
1400.0,1200.0,0.85,0.9,True,False,0.9000559555314812,0.8926869140775444,421.4222529849556,nan,nan,False,0.0007887356802932798,0.006755833531029787,0.0,0.0,47.946586247208586,46.9657527332131
1400.0,1200.0,0.88,0.9,True,False,0.9000559555314812,0.8989202976276103,421.4222529849556,nan,nan,False,0.0007887356802932798,0.002842553960372016,0.0,0.0,47.946586247208586,47.788937451329915
1400.0,1250.0,0.82,0.9,True,True,0.9000559555314812,0.9000068061827274,421.4222529849556,349.9194450940562,16.967022359270622,True,0.0007887356802932798,0.005289882219329513,0.0,0.0,47.946586247208586,47.931870783857256
1400.0,1250.0,0.85,0.9,True,True,0.9000559555314812,0.9000079640807206,421.4222529849556,349.8430348967403,16.985153864376176,True,0.0007887356802932798,0.0024443206251702296,0.0,0.0,47.946586247208586,47.93446262486984
1400.0,1250.0,0.88,0.9,True,True,0.9000559555314812,0.9000062040905574,421.4222529849556,354.8316907824905,15.801387262015878,True,0.0007887356802932798,0.0013155283138931576,0.0,0.0,47.946586247208586,47.93825655964734
1400.0,1300.0,0.82,0.9,True,True,0.9000559555314812,0.900005892847055,421.4222529849556,370.27698658899214,12.136346866758672,True,0.0007887356802932798,0.001809578943272962,0.0,0.0,47.946586247208586,47.93387448993272
1400.0,1300.0,0.85,0.9,True,True,0.9000559555314812,0.9000117469080408,421.4222529849556,370.480397004416,12.088079264850357,True,0.0007887356802932798,0.0011587233731427734,0.0,0.0,47.946586247208586,47.9360107856523
1400.0,1300.0,0.88,0.9,True,True,0.9000559555314812,0.9000189474115272,421.4222529849556,373.6480457868383,11.336422521528029,True,0.0007887356802932798,0.0009090971482525092,0.0,0.0,47.946586247208586,47.94025625914266
