figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,T1_C,T2_C,rho_switch,G0_nm,rho1,G1_nm,first_step_growth_fraction,closed_fraction_at_switch,accommodation_at_switch,candidate_parameters_frozen,target_density,time_budget_h,growth_tolerance,classification,final_density,final_grain_size_nm,growth_fraction,target_attained,numerical_censor,closed_fraction_final,closed_shrinkage_integral,open_shrinkage_integral
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,900,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.973293017204994,117.0753380327753,7.32278532509234e-05,False,False,0.000175738211682,0.0892423502652562,3.305429267769869e-05
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,910,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9761850621696736,117.07960838588394,0.0001097057818153,False,False,0.0002920830666943,0.0909159215346382,4.860534986690854e-05
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,920,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9794307255757928,117.08574439181456,0.0001621203668191,False,False,1.0808085451196634e-05,0.0928075547395819,6.949418153101809e-05
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,930,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000003074758,117.09005265905974,0.0001989221630191,True,False,2.317985056149165e-06,0.0934534101023167,8.174741728899707e-05
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,940,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.980000000450844,117.09424655980436,0.0002347470252441,True,False,2.681984726038027e-06,0.0939555697569059,9.22014421787878e-05
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,950,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000003823888,117.09910675582584,0.0002762634710207,True,False,5.880708535726592e-06,0.0944537116564071,0.0001032018689141
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,960,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.980000000151308,117.1046967423958,0.0003240138854683,True,False,2.2437216667788496e-06,0.0948189708366832,0.0001144555473531
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,970,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.980000000746308,117.1111671278008,0.0003792847847556,True,False,3.145352752726547e-06,0.0955554774588677,0.0001255281655646
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,980,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9799999999396576,117.11854135102806,0.0004422763878526,True,False,4.508726500819363e-07,0.0961769911619171,0.000135631589273
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,990,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000001377902,117.12702827407966,0.0005147728219725,True,False,7.368687047133435e-07,0.0971770500480385,0.000143590440194
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1000,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000001389056,117.13672231847444,0.0005975806483837,True,False,2.5533218881779845e-06,0.0984877541649056,0.0001474296632433
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1010,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.980000000096108,117.15018108332822,0.0007125472215014,True,False,0.0237350008703414,0.0997833661206019,0.0001511881068086
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1020,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000792416,117.17920394398394,0.0009604643868514,True,False,0.1508976116955711,0.0998183823867339,0.0001816074698743
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1030,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000699826,117.2183412886922,0.0012947808305165,True,False,0.2839754007554862,0.099786812931658,0.000213176915691
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1040,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.980000000119836,117.27097802338848,0.0017444108726405,True,False,0.4174494229915206,0.0997559826507744,0.0002440072464281
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1050,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000748238,117.34201807526782,0.0023512445165456,True,False,0.5461027398228285,0.0997272067192839,0.0002727831329064
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1060,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000001153604,117.43824139072704,0.0031731969729982,True,False,0.6641795922628209,0.0997011711765431,0.0002988187161839
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1070,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000898024,117.56920471581526,0.0042919032475399,True,False,0.766363872138403,0.0996775446782125,0.0003224451889563
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1080,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000003808,117.74849782107007,0.0058234489813975,True,False,0.8488211754846614,0.0996549601898664,0.0003450295878808
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1090,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.980000000095079,117.99657130422592,0.0079425259211967,True,False,0.9100074892510788,0.0996313878353332,0.0003686020371123
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1100,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000001251676,118.3382318671941,0.0108610362392458,True,False,0.9512201918908014,0.099604955916358,0.0003950339861759
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1110,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000001287812,118.8075070308255,0.0148696475790042,True,False,0.9760434990390832,0.0995742646396859,0.000425725266462
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1120,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000001204118,119.44874668923416,0.0203472026797439,True,False,0.9893114319349102,0.0995385172037262,0.0004614726940521
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1130,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000001047888,120.31904504236032,0.0277814078490905,True,False,0.9956368127417704,0.0994973329544707,0.0005026569276847
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1140,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000860406,121.49135886991594,0.0377954696769737,True,False,0.9983630858567132,0.0994504784438368,0.0005495114195704
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1150,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000666432,123.05858551626784,0.05118292972903,True,False,0.9994352026169993,0.0993977048646036,0.0006022849794061
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1160,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000475132,125.13804096508032,0.0689459168603483,True,False,0.999820630943698,0.0993386991779921,0.0006612906468874
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1170,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000236804,127.87528054748704,0.0923277842167238,True,False,0.9999473662860826,0.0992730738483166,0.0007269159527302
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1180,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000001830894,130.9808233657203,0.118855747173342,True,False,0.9999803428969468,0.0992003628230054,0.0007996271374505
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1190,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.9800000000937824,134.42790521122302,0.1483011822737827,True,False,0.999990619155351,0.0991200085862982,0.0008799812848509
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1200,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,SUCCESS,0.98000000008378,137.60262635647084,0.1754200757710036,True,False,0.9999924582742008,0.0990313340931372,0.0009686557680092
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,1210,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,GRAIN_GROWTH_FAILURE,0.9800000008911148,141.27353662426,0.2067774832519864,True,False,0.999993699080338,0.0989337271374784,0.001066263531003
