protocol,action_mode,t_s,T_C,rho,G_nm,f_GBseg,f_TJ,f_iso,action_propensity_GBseg_shrink,action_propensity_TJ_shrink,action_propensity_GBseg_smooth,action_propensity_GBseg_to_TJ,action_propensity_TJ_to_GBseg_capture,action_propensity_TJ_to_iso,action_propensity_clean_GB_growth,action_propensity_GBseg_pin_drag,action_propensity_TJ_pin_drag,action_weight_GBseg_shrink,action_weight_TJ_shrink,action_weight_GBseg_smooth,action_weight_GBseg_to_TJ,action_weight_TJ_to_GBseg_capture,action_weight_TJ_to_iso,action_weight_clean_GB_growth,action_weight_GBseg_pin_drag,action_weight_TJ_pin_drag,action_flux_GBseg_remove,action_flux_TJ_remove,action_flux_GB_smooth,action_flux_GB_to_TJ,action_flux_TJ_to_GBseg_capture,action_flux_TJ_to_iso,P_GBseg_dens,P_TJ_dens,P_clean_GB,P_GBseg_drag,P_TJ_drag,P_GBseg_to_TJ,P_TJ_to_GBseg_capture,P_TJ_iso,C_GBseg,C_TJ,f_clean_GB,sigma_GBseg_pore,sigma_TJ_pore,sigma_clean_GB,sigma_iso,sigma_act_total,activity,growth_mobility_factor,E_G
fast_20,action_evolving_no_capture,491.99999999999704,188.999999999999,0.7,150.0,0.6,0.3,0.09999999999999999,8.78922520405769e-48,1.2928576681016042e-48,2.8072868906245827e-14,2.3354719504414493e-14,0.0,2.26301283393374e-17,4.361606609449044e-11,104597.59046326824,6505302126.064075,1.3510646724206926e-57,1.987358704876359e-58,4.315313415250283e-24,3.590047555288676e-24,0.0,3.478664640144818e-27,6.704587114576022e-21,1.6078562787310014e-05,0.9999839214372126,6.169806859945153e-40,9.075523637627813e-41,5.704014405800072e-31,3.7413856612996466e-31,0.0,1.6125883362692956e-38,2.8880765845952277e-32,4.248237895571078e-33,1.4101263002593595e-31,2.668050923474187e-36,1.4100996196466242e-31,1.0684796843905995e-23,0.0,4.25368264079857e-31,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,9.78506201305893e-12,7.33984130112751e-11,7.077359221952926e-10
fast_20,action_evolving_no_capture,503.9999999999967,192.9999999999989,0.7,150.0,0.6,0.3,0.09999999999999999,3.0080854566670787e-47,4.4247658453005794e-48,2.8072868906162845e-14,2.3354719504345455e-14,0.0,2.26301283393374e-17,5.6386790130204904e-11,91481.04043483827,5031940730.468875,5.977874008411469e-57,8.793198571305276e-58,5.578833307536133e-24,4.6412102551586076e-24,0.0,4.497214522509924e-27,1.1205570187177364e-20,1.8179740627574284e-05,0.9999818202593724,1.6216837109107013e-39,2.385427807582439e-40,1.1152957671458534e-30,7.315464678814035e-31,0.0,3.484331953726264e-38,7.591075149380492e-32,1.1166148879062993e-32,3.5228461392376476e-31,7.536506413242925e-36,3.522770773839235e-31,2.0891792770902432e-23,0.0,9.19096462066317e-31,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.2741148412084483e-11,9.488936717471795e-11,1.860226490456483e-09
fast_20,action_evolving_no_capture,515.9999999999964,196.99999999999878,0.7,150.0,0.6,0.3,0.09999999999999999,1.0146476806031644e-46,1.4925036096284085e-47,2.80728689060539e-14,2.335471950425482e-14,0.0,2.26301283393374e-17,7.257889036470137e-11,80191.93122039735,3909321368.2264543,2.595404091879069e-56,3.817729099100816e-57,7.180860925660873e-24,5.9739883828441695e-24,0.0,5.788642581506689e-27,1.8565217526995132e-20,2.0512584851263792e-05,0.9999794874151487,4.1929461169898045e-39,6.167645513036208e-40,2.156019471746894e-30,1.4141795169511364e-30,0.0,7.430570050037149e-38,1.9627112770034728e-31,2.8870648616125467e-32,8.66489354741155e-31,2.0915688130040682e-35,8.664684389471938e-31,4.0386696821271184e-23,0.0,1.9600344441411427e-30,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.6621895382623422e-11,1.221379149450925e-10,4.809710660188027e-09
fast_20,action_evolving_no_capture,527.9999999999959,200.99999999999864,0.7,150.0,0.6,0.3,0.09999999999999999,3.3728062526158085e-46,4.961254633346135e-47,2.8072868905910914e-14,2.335471950413587e-14,0.0,2.26301283393374e-17,9.302364799991425e-11,70452.3286339988,3050120586.8409715,1.1057688549022927e-55,1.6265389838325683e-56,9.203642835943014e-24,7.656805493236922e-24,0.0,7.419249499040658e-27,3.0497646477002087e-20,2.3097677400946987e-05,0.9999769023225992,1.0668704569345375e-38,1.5693210938344116e-39,4.121864729986978e-30,2.7036196793102118e-30,0.0,1.5644995377991103e-37,4.994003305796253e-31,7.345966588093206e-32,2.0991231577390372e-30,5.705511278011725e-35,2.0990661022976533e-30,7.721103791952094e-23,0.0,4.126834093857742e-30,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.1715221528508736e-11,1.565429610483753e-10,1.2238025610703972e-08
fast_20,action_evolving_no_capture,539.9999999999966,204.99999999999886,0.7,150.0,0.6,0.3,0.09999999999999999,1.1047742733733603e-45,1.6250759966791174e-46,2.80728689057234e-14,2.3354719503979868e-14,0.0,2.26301283393374e-17,1.1873340230869543e-10,62029.876096125896,2389659384.8486743,4.6230253726064534e-55,6.800273817131446e-56,1.1747339557132694e-23,9.77298833247878e-24,0.0,9.469776769751113e-27,4.968503925900928e-20,2.595694866937869e-05,0.9999740430513305,2.6725021845549215e-38,3.931137116301203e-39,7.795325893987135e-30,5.113121820881946e-30,0.0,3.2532596011601238e-37,1.2509939381735005e-30,1.8401589083979268e-31,5.010525193628448e-30,1.530470651351883e-34,5.0103721455621694e-30,1.4602255110821297e-22,0.0,8.581442380689002e-30,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.839488031580472e-11,1.9980810011630932e-10,3.065615863256542e-08
fast_20,action_evolving_no_capture,551.9999999999973,208.9999999999991,0.7,150.0,0.6,0.3,0.09999999999999999,3.5654495726306186e-45,5.244624768605288e-46,2.8072868905477776e-14,2.3354719503775528e-14,0.0,2.26301283393374e-17,1.5093634634410775e-10,54729.80989101853,1879807892.2042236,1.89665432509666e-54,2.7898978931695095e-55,1.4933468316636915e-23,1.2423630977221576e-23,0.0,1.2038181979006062e-26,8.029115775619399e-20,2.9113728444890373e-05,0.9999708862715552,6.593367983666836e-38,9.698564046764784e-39,1.4587851555570102e-29,9.568485413304676e-30,0.0,6.683233461727562e-37,3.0863448596537295e-30,4.53988210060558e-31,1.1788518781386532e-29,4.038731127888609e-34,1.1788114905279457e-29,2.7326058311113573e-22,0.0,1.762902132004957e-29,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,3.7144245623936295e-11,2.54000171940704e-10,7.563224187918985e-08
fast_20,action_evolving_no_capture,563.999999999998,212.99999999999932,0.7,150.0,0.6,0.3,0.09999999999999999,1.133626928626883e-44,1.6675170261482308e-45,2.807286890515657e-14,2.3354719503508306e-14,0.0,2.26301283393374e-17,1.9111708847123643e-10,48388.45810277156,1484588195.0766354,7.635720021985824e-54,1.1231819588993804e-54,1.890891630753063e-23,1.5730933591777442e-23,0.0,1.5242873973547003e-26,1.2872987948081544e-19,3.259279653985392e-05,0.9999674072034602,1.6026650374652335e-37,2.357452147350475e-38,2.701954875976831e-29,1.7722702839212827e-29,0.0,1.356779903252646e-36,7.502049047437962e-30,1.1035195267242403e-30,2.734768943579395e-29,1.0488898260076944e-33,2.734664053717245e-29,5.061319428271016e-22,0.0,3.578911611876101e-29,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,4.858608996071861e-11,3.2161751962532413e-10,1.838410133781299e-07
fast_20,action_evolving_no_capture,575.9999999999986,216.99999999999955,0.7,150.0,0.6,0.3,0.09999999999999999,3.5506372430016123e-44,5.2228364613328005e-45,2.8072868904737342e-14,2.3354719503159535e-14,0.0,2.26301283393374e-17,2.4106377377114075e-10,42867.93251438858,1176986865.0909808,3.016607944032911e-53,4.437302061959505e-54,2.3850603019708906e-23,1.984208117085292e-23,0.0,1.9226471264414243e-26,2.0480686851631876e-19,3.642043298623525e-05,0.9999635795670138,3.839568467378455e-37,5.647842011102e-38,4.9545478577496476e-29,3.249794442026368e-29,0.0,2.7227828515503894e-36,1.797295772348452e-29,2.6437456854041482e-30,6.257734716621398e-29,2.6819431449205207e-33,6.257466519768334e-29,9.280891236816441e-22,0.0,7.182151755542525e-29,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,6.351970123966909e-11,4.0566928688568345e-10,4.4043519888147526e-07
fast_20,action_evolving_no_capture,587.9999999999993,220.99999999999977,0.7,150.0,0.6,0.3,0.09999999999999999,1.0954680505315649e-43,1.611386938448452e-44,2.8072868904191403e-14,2.3354719502705353e-14,0.0,2.26301283393374e-17,3.029226442308745e-10,38051.78253599079,936633484.017097,1.1695327643284984e-52,1.720332984254525e-53,2.9970878617791776e-23,2.493373462317024e-23,0.0,2.416015377260092e-26,3.2340327708610314e-19,4.0624467683333754e-05,0.9999593755323166,9.069412673096928e-37,1.334072053834504e-37,8.996530944204577e-29,5.901018034221523e-29,0.0,5.402805659653161e-36,4.245377362985282e-29,6.2447696472569095e-30,1.4128420704023071e-28,6.754112545021382e-33,1.4127745285566364e-28,1.6852360215113554e-21,0.0,1.4251511144650278e-28,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,8.29669473909232e-11,5.097672335592382e-10,1.0403480934707249e-06
fast_20,action_evolving_no_capture,600.0,225.0,0.7,150.0,0.6,0.3,0.09999999999999999,3.329207698997007e-43,4.897123014169755e-44,2.807286890348222e-14,2.3354719502115358e-14,0.0,2.26301283393374e-17,3.7926100741731837e-10,33841.42716044802,748102090.3110132,4.4500037463273915e-52,6.545766359319324e-53,3.7523754323976146e-23,3.121721402667349e-23,0.0,3.0248685271351596e-26,5.06941307492298e-19,4.523432938426429e-05,0.9999547656706157,2.112909916378449e-36,3.1080006758009418e-37,1.6180568364413282e-28,1.061318260499786e-28,0.0,1.0603430826872063e-35,9.890497050187898e-29,1.4548500756094394e-29,3.1484025089714374e-28,1.6758882008011576e-32,3.1482349181419473e-28,3.0309545785314047e-21,0.0,2.7969710946515247e-28,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.0822920489515741e-10,6.382317011621774e-10,2.4237079257118037e-06
fast_20,action_evolving_no_capture,612.0000000000007,229.00000000000023,0.7,150.0,0.6,0.3,0.09999999999999999,9.966313072652764e-43,1.4660022902510001e-43,2.8072868902563443e-14,2.3354719501351e-14,0.0,2.26301283393374e-17,4.731396801092164e-10,30153.217904028843,599662804.1043484,1.6619026371685807e-51,2.444588138565092e-52,4.681207034332094e-23,3.89444618553375e-23,0.0,3.773619160109099e-26,7.889698792226585e-19,5.028109390957153e-05,0.9999497189060905,4.8565865452401824e-36,7.143832374341827e-37,2.8830977853273395e-28,1.891085811981828e-28,0.0,2.058772796520913e-35,2.2733602851375304e-28,3.34401634815411e-29,6.926961513916079e-28,4.0985830734174443e-32,6.9265516500933975e-28,5.400637502951224e-21,0.0,5.4306272152317555e-28,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.4095742329225634e-10,7.962135231876317e-10,5.570958908475586e-06
fast_20,action_evolving_no_capture,624.0000000000014,233.00000000000045,0.7,150.0,0.6,0.3,0.09999999999999999,2.938998438561747e-42,4.32314177827529e-43,2.8072868901376507e-14,2.335471950036355e-14,0.0,2.26301283393374e-17,5.881960761708036e-10,26916.01488438313,482360282.3279396,6.092612840179587e-51,8.96197451575593e-52,5.819571704601004e-23,4.841488244421811e-23,0.0,4.691278793691073e-26,1.2193442906268484e-18,5.5797531478549716e-05,0.9999442024685213,1.1017126852783113e-35,1.6205725307269363e-36,5.090588571870248e-28,3.3390264707264064e-28,0.0,3.9556331593431246e-35,5.157099211582304e-28,7.585873732962043e-29,1.5051598844691322e-27,9.882878294297557e-32,1.5050610541963309e-27,9.535723586363189e-21,0.0,1.0434162101278637e-27,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.8323800904093465e-10,9.898338478501531e-10,1.2637643424420808e-05
