memory_model,T1_C,T2_C,switch_density,target_density,high_reached,two_step_reached,high_final_density,two_step_final_density,G_high_nm,G_two_step_nm,TS_pct,benefit_positive,high_damage_final,two_step_damage_final,high_redistributed_volume,two_step_redistributed_volume,high_mean_radius_nm,two_step_mean_radius_nm
none,1400.0,1250.0,0.88,0.9,True,True,0.9000626333742697,0.9000076012622186,421.32880652632775,354.63939598919364,15.828352940535733,True,0.0,0.0,0.0,0.0,47.947512797817645,47.93845174735437
none,1400.0,1300.0,0.82,0.9,True,True,0.9000626333742697,0.9000029982448345,421.32880652632775,369.8984299840771,12.206707859894905,True,0.0,0.0,0.0,0.0,47.947512797817645,47.93347881278155
none,1400.0,1300.0,0.85,0.9,True,True,0.9000626333742697,0.9000008001109686,421.32880652632775,370.13908944386964,12.149588703534185,True,0.0,0.0,0.0,0.0,47.947512797817645,47.93449808975909
none,1400.0,1300.0,0.88,0.9,True,True,0.9000626333742697,0.9000039151297091,421.32880652632775,373.31713816327624,11.39529688437085,True,0.0,0.0,0.0,0.0,47.947512797817645,47.93817832549178
empirical_topology_damage,1300.0,1200.0,0.82,0.9,True,False,0.9000140384829565,0.8870621197333091,373.06339938475753,nan,nan,False,0.01610256642646722,0.03634598706500757,0.0,0.0,47.934276522644005,46.274410799308846
empirical_topology_damage,1300.0,1200.0,0.85,0.9,True,False,0.9000140384829565,0.8901222396451282,373.06339938475753,nan,nan,False,0.01610256642646722,0.022639355855333686,0.0,0.0,47.934276522644005,46.6445279749944
empirical_topology_damage,1300.0,1200.0,0.88,0.9,True,False,0.9000140384829565,0.8959882574675688,373.06339938475753,nan,nan,False,0.01610256642646722,0.018107346417844568,0.0,0.0,47.934276522644005,47.390722376465185
empirical_topology_damage,1300.0,1250.0,0.82,0.9,True,True,0.9000140384829565,0.900003507355454,373.06339938475753,352.52524253018356,5.505272532348321,True,0.01610256642646722,0.02034504161908848,0.0,0.0,47.934276522644005,47.930937118564124
empirical_topology_damage,1300.0,1250.0,0.85,0.9,True,True,0.9000140384829565,0.9000066369507926,373.06339938475753,352.13484162684955,5.609919866816899,True,0.01610256642646722,0.01763623922546391,0.0,0.0,47.934276522644005,47.932360411663886
empirical_topology_damage,1300.0,1250.0,0.88,0.9,True,True,0.9000140384829565,0.9000084459543451,373.06339938475753,352.9780954320362,5.38388488011563,True,0.01610256642646722,0.01660789798073858,0.0,0.0,47.934276522644005,47.93330207564144
empirical_topology_damage,1300.0,1300.0,0.82,0.9,True,True,0.9000140384829565,0.9000140384829565,373.06339938475753,373.06339938475753,0.0,False,0.01610256642646722,0.01610256642646722,0.0,0.0,47.934276522644005,47.934276522644005
empirical_topology_damage,1300.0,1300.0,0.85,0.9,True,True,0.9000140384829565,0.9000140384829565,373.06339938475753,373.06339938475753,0.0,False,0.01610256642646722,0.01610256642646722,0.0,0.0,47.934276522644005,47.934276522644005
empirical_topology_damage,1300.0,1300.0,0.88,0.9,True,True,0.9000140384829565,0.9000140384829565,373.06339938475753,373.06339938475753,0.0,False,0.01610256642646722,0.01610256642646722,0.0,0.0,47.934276522644005,47.934276522644005
empirical_topology_damage,1350.0,1200.0,0.82,0.9,True,False,0.9000050596482477,0.8883604058860849,394.7111080744383,nan,nan,False,0.0036055662757385693,0.022797647742502102,0.0,0.0,47.93673121949192,46.4295371502316
empirical_topology_damage,1350.0,1200.0,0.85,0.9,True,False,0.9000050596482477,0.8915364853064984,394.7111080744383,nan,nan,False,0.0036055662757385693,0.010112854675255465,0.0,0.0,47.93673121949192,46.82120679611118
empirical_topology_damage,1350.0,1200.0,0.88,0.9,True,False,0.9000050596482477,0.8976881988755766,394.7111080744383,nan,nan,False,0.0036055662757385693,0.00573532491774102,0.0,0.0,47.93673121949192,47.620095601013894
empirical_topology_damage,1350.0,1250.0,0.82,0.9,True,True,0.9000050596482477,0.9000044127458307,394.7111080744383,350.3595653145557,11.236456702788908,True,0.0036055662757385693,0.008352196594980375,0.0,0.0,47.93673121949192,47.9314635406941
empirical_topology_damage,1350.0,1250.0,0.85,0.9,True,True,0.9000050596482477,0.900004131792024,394.7111080744383,350.0155581820795,11.323610858179782,True,0.0036055662757385693,0.00536405548854679,0.0,0.0,47.93673121949192,47.93379117621498
empirical_topology_damage,1350.0,1250.0,0.88,0.9,True,True,0.9000050596482477,0.9000063400094827,394.7111080744383,352.4569784921525,10.705077388984236,True,0.0036055662757385693,0.004172390543481513,0.0,0.0,47.93673121949192,47.93628327066389
empirical_topology_damage,1350.0,1300.0,0.82,0.9,True,True,0.9000050596482477,0.9000126213271581,394.7111080744383,370.8054111973437,6.056504716504268,True,0.0036055662757385693,0.004513935191706893,0.0,0.0,47.93673121949192,47.934591369909285
empirical_topology_damage,1350.0,1300.0,0.85,0.9,True,True,0.9000050596482477,0.900001827324089,394.7111080744383,370.67079442702527,6.09060985506374,True,0.0036055662757385693,0.003937263965082121,0.0,0.0,47.93673121949192,47.934435122115794
empirical_topology_damage,1350.0,1300.0,0.88,0.9,True,True,0.9000050596482477,0.9000084692053532,394.7111080744383,371.9148247783233,5.775434952242558,True,0.0036055662757385693,0.0037140278736171764,0.0,0.0,47.93673121949192,47.93679518098001
empirical_topology_damage,1400.0,1200.0,0.82,0.9,True,False,0.9000559555314812,0.8893631503015802,421.4222529849556,nan,nan,False,0.0007887356802932798,0.018347484969869626,0.0,0.0,47.946586247208586,46.55068956317403
empirical_topology_damage,1400.0,1200.0,0.85,0.9,True,False,0.9000559555314812,0.8926869140775444,421.4222529849556,nan,nan,False,0.0007887356802932798,0.006755833531029787,0.0,0.0,47.946586247208586,46.9657527332131
