case,t_s,rho,rho_dot_open_sinv,rho_dot_closed_sinv,bin_crossing_rate,isolation_rate,closure_rate
CS_thermal,3000.0,0.4840336134453783,6.089261539844508e-31,6.920123563811027e-50,5.677278314942308e-31,6.989099568428843e-38,5.4046659884935586e-39
CS_thermal,3120.0,0.4840336134453783,3.6715521340979996e-30,4.5732574911918275e-49,2.6724466205339822e-30,3.2907198326841724e-37,2.544711430025814e-38
CS_thermal,3240.0,0.4840336134453783,2.075750159393366e-29,2.8247724710661765e-48,1.1899920417055542e-29,1.4657161670309732e-36,1.1334373246764678e-37
CS_thermal,3360.0,0.4840336134453783,1.1041221539567903e-28,1.6366460054698784e-47,5.0270620981976876e-29,6.194000743136745e-36,4.7898166024640754e-37
CS_thermal,3480.0,0.4840336134453783,5.543065907982359e-28,8.924763776219082e-47,2.020226401783851e-28,2.490233482630627e-35,1.9256958747272764e-36
CS_thermal,3600.0,0.4840336134453783,2.634235428827463e-27,4.594793006695022e-46,7.742847877239525e-28,9.549063118870508e-35,7.384284077689785e-36
CS_thermal,3720.0,0.4840336134453783,1.1882993499669467e-26,2.239890948260258e-45,2.8368813349559694e-27,3.500772786171553e-34,2.7071452374684904e-35
CS_thermal,3840.0,0.4840336134453783,5.101294068437185e-26,1.0367154414557172e-44,9.958131460108297e-27,1.2297373044598684e-33,9.509550292027241e-35
CS_thermal,3960.0,0.4840336134453783,2.089114947468592e-25,4.567374848924292e-44,3.3558638759968436e-26,4.147692306486657e-33,3.2074076667710393e-34
CS_thermal,4080.0,0.4840336134453783,8.179929175863537e-25,1.919904377683535e-43,1.087817813404349e-25,1.34582821359722e-32,1.0407280510412136e-33
CS_thermal,4200.0,0.4840336134453783,3.0687283607239238e-24,7.717281710957746e-43,3.3979373141876332e-25,4.208738512718263e-32,3.254614656929958e-33
CS_thermal,4320.0,0.4840336134453783,1.1052205584537286e-23,2.97253184157415e-42,1.024505877925249e-24,1.270676531624979e-31,9.82613305993339e-33
CS_thermal,4440.0,0.4840336134453783,3.8285005336592446e-23,1.0992993509629759e-41,2.986346233897885e-24,3.7096700754366173e-31,2.8686853705464906e-32
CS_thermal,4560.0,0.4840336134453783,1.277782726889027e-22,3.910489619911538e-41,8.428236597669586e-24,1.0488359047093896e-30,8.110640986286616e-32
CS_thermal,4680.0,0.4840336134453783,4.115744115940595e-22,1.3403641594384437e-40,2.3062636416809818e-23,2.8758612869108015e-30,2.2239015960229367e-31
CS_thermal,4800.0,0.4840336134453783,1.2813735253893088e-21,4.434020132858613e-40,6.126677449397942e-23,7.657672440628812e-30,5.921672940223237e-31
CS_thermal,4920.0,0.4840336134453783,3.861655909244142e-21,1.4178212246850989e-39,1.5820453801370657e-22,1.9826277538391288e-29,1.5331647065698562e-30
CS_thermal,5040.0,0.4840336134453783,1.1280813765737697e-20,4.3885599681297394e-39,3.9755105550956454e-22,4.997091524271079e-29,3.864247509738749e-30
CS_thermal,5160.0,0.4840336134453783,3.198464665691061e-20,1.3167151809659814e-38,9.732387948078585e-22,1.227474795500642e-28,9.492054325485528e-30
CS_thermal,5280.0,0.4840336134453783,8.812743881544576e-20,3.834339236422873e-38,2.323502312564485e-21,2.9416274782748134e-28,2.27475854750542e-29
CS_thermal,5400.0,0.4840336134453783,2.3624055158481816e-19,1.0850435231141991e-37,5.41480241420898e-21,6.884592932495213e-28,5.32385107732048e-29
CS_thermal,5520.0,0.48403361344537843,6.168075574437774e-19,2.9871858377284935e-37,1.2329119964882279e-20,1.5750587559568534e-27,1.2179918750410127e-28
CS_thermal,5640.0,0.48403361344537865,1.5701815260057996e-18,8.00957887268149e-37,2.74512828012041e-20,3.5256061147535685e-27,2.726348833733532e-28
CS_thermal,5760.0,0.4840336134453791,3.901075807364474e-18,2.0938159858134866e-36,5.981688008672249e-20,7.727867339121954e-27,5.975954607945552e-28
CS_thermal,5880.0,0.4840336134453802,9.468051308059244e-18,5.3416386197787616e-36,1.2765691998552301e-19,1.660067029015714e-26,1.2837287153368902e-27
CS_thermal,6000.0,0.48403361344538287,2.2468038856142797e-17,1.3311336703657168e-35,2.6701395879337834e-19,3.4975595996061475e-26,2.7046604824618287e-27
CS_thermal,6120.0,0.4840336134453891,5.217534944522098e-17,3.2431245801737356e-35,5.477515296225864e-19,7.232607247081883e-26,5.592970312372177e-27
CS_thermal,6240.0,0.4840336134454034,1.1866163011820358e-16,7.731520332731634e-35,1.1027235689635558e-18,1.468980219170582e-25,1.1359614139974194e-26
CS_thermal,6360.0,0.48403361344543516,2.645038734324593e-16,1.8049785972141427e-34,2.1799153758897737e-18,2.932342198837225e-25,2.2675782471708773e-26
CS_thermal,6480.0,0.48403361344550455,5.782911498820966e-16,4.1296650597639516e-34,4.2339210031365595e-18,5.756566019971678e-25,4.4515486256916473e-26
CS_thermal,6600.0,0.48403361344565343,1.240951360259426e-15,9.266316448479567e-34,8.08351892509238e-18,1.1120439750732958e-24,8.599428568650585e-26
CS_thermal,6720.0,0.4840336134459673,2.615431831892899e-15,2.0405534342782032e-33,1.5178255028016436e-17,2.1151312528953103e-24,1.6356295731379925e-25
CS_thermal,6840.0,0.48403361344661733,5.417336920469676e-15,4.4128825713124085e-33,2.804147756703403e-17,3.963193749817803e-24,3.064735057177969e-25
CS_thermal,6960.0,0.4840336134479415,1.1034250819442401e-14,9.377825236204616e-33,5.099371131480011e-17,7.319320725527174e-24,5.660025786856303e-25
CS_thermal,7080.0,0.48403361345059515,2.2113796598928772e-14,1.9595061634099184e-32,9.131309362778571e-17,1.3329945408475697e-23,1.0308037805528821e-24
CS_thermal,7200.0,0.4840336134558306,4.362996895699744e-14,4.028130219272819e-32,1.6106421009345438e-16,2.3950966554276594e-23,1.852126630350227e-24
CS_thermal,7320.0,0.48403361346600526,8.478806548763197e-14,8.150970033767749e-32,2.799289750479925e-16,4.247668654272182e-23,3.2847193092276684e-24
CS_thermal,7440.0,0.4840336134854908,1.6237900298111002e-13,1.6243892758124688e-31,4.795087172835964e-16,7.438722202323137e-23,5.752358868620713e-24
CS_thermal,7560.0,0.48403361352228325,3.066041078954624e-13,3.1897905031085235e-31,8.097386181385117e-16,1.2869012489152542e-22,9.951598690115069e-24
CS_thermal,7680.0,0.48403361359080976,5.710546957691652e-13,6.17493363660113e-31,1.3482617858673453e-15,2.2002022926197487e-22,1.7014149510711385e-23
CS_thermal,7800.0,0.48403361371676057,1.049589058968377e-12,1.1789585168056524e-30,2.2138369988827393e-15,3.7189003561809973e-22,2.8758231411255277e-23
CS_thermal,7920.0,0.48403361394530264,1.9045172742049365e-12,2.2210098424700638e-30,3.585067689524858e-15,6.216674378287817e-22,4.807350111429215e-23
CS_thermal,8040.0,0.4840336143548747,3.4131010249443073e-12,4.130188500604921e-30,5.725871868650519e-15,1.0281202155896851e-21,7.950446708495251e-23
CS_thermal,8160.0,0.48403361508007914,6.043371995736744e-12,7.584568583172656e-30,9.019039544603054e-15,1.6827368644067494e-21,1.301259285751082e-22
CS_thermal,8280.0,0.4840336163492419,1.0576353649650826e-11,1.3759434459377847e-29,1.4008734875650024e-14,2.7265500955612638e-21,2.1084393580861367e-22
CS_thermal,8400.0,0.48403361854535276,1.8300924471567445e-11,2.4668305048302507e-29,2.1451551660904856e-14,4.37490415473388e-21,3.3831104523996275e-22
CS_thermal,8520.0,0.4840336223038958,3.1321192794861204e-11,4.3722100902972617e-29,3.237318342969391e-14,6.953587102228902e-21,5.377204268178909e-22
CS_thermal,8640.0,0.4840336286682576,5.303634804600604e-11,7.663614719964301e-29,4.812309882852072e-14,1.0951081191314062e-20,8.468463834285638e-22
CS_thermal,8760.0,0.48403363933413124,8.888227991839868e-11,1.3288608754598303e-28,7.041158831437019e-14,1.7093479840852835e-20,1.3218376783902011e-21
CS_thermal,8880.0,0.48403365703012824,1.4746664175033365e-10,2.2802137814682907e-28,1.0130036944434981e-13,2.6451020129807464e-20,2.045455693632537e-21
CS_thermal,9000.0,0.48403368610489317,2.422897088555053e-10,3.8730570917334763e-28,1.4309702282679127e-13,4.058836416666169e-20,3.138695696258733e-21
CS_thermal,9120.0,0.48403373342442413,3.943294229567145e-10,6.51391553941766e-28,1.9807124007693942e-13,6.177495536689083e-20,4.777053719259004e-21
CS_thermal,9240.0,0.48403380973120946,6.358898793018009e-10,1.0850852989117997e-27,2.6786216327215903e-13,9.327725576793064e-20,7.213125356597872e-21
CS_thermal,9360.0,0.48403393168489106,1.0162806784961272e-09,1.790768511215702e-27,3.523741480260005e-13,1.3976178336128625e-19,1.080777285123255e-20
CS_thermal,9480.0,0.4840341249000366,1.6101262141264388e-09,2.9287784597304154e-27,4.478540196929024e-13,2.078470389366661e-19,1.607280610186505e-20
CS_thermal,9600.0,0.4840344284303939,2.5294196440464797e-09,4.748114604182912e-27,5.436946159219452e-13,3.068541608011947e-19,2.372903195083718e-20
CS_thermal,9720.0,0.4840349013337478,3.940861282816894e-09,7.632367685164216e-27,6.173026191946808e-13,4.498211096329041e-19,3.4784683690058037e-20
CS_thermal,9840.0,0.4840356322039605,6.0905851053463486e-09,1.2167969593433729e-26,6.26086500631805e-13,6.548641437029019e-19,5.064070960980505e-20
CS_thermal,9960.0,0.4840367528973877,9.339111892815299e-09,1.9245043726768642e-26,4.952453138018601e-13,9.469942547101929e-19,7.323125015692818e-20
CS_thermal,10080.0,0.4840384581336118,1.4210301868329082e-08,3.020577572776888e-26,9.95574364772347e-14,1.3605262872171559e-18,1.0520996084737629e-19
CS_thermal,10200.0,0.4840409433427111,2.0710075828050428e-08,4.5952584249051604e-26,4.3455172493796074e-21,1.9422561675813178e-18,1.501957608149075e-19
CS_thermal,10320.0,0.4840445180822387,2.9789496063334836e-08,6.917736384611976e-26,0.0,2.755624109961342e-18,2.130948506819932e-19
CS_thermal,10440.0,0.48404962840689136,4.2586038771317645e-08,1.035728913108652e-25,1.4686972757925997e-20,3.8861515507716155e-18,3.0052134316056663e-19
CS_thermal,10560.0,0.4840568898509249,6.05120336132113e-08,1.5430997071573865e-25,2.121595906942972e-20,5.448499981133179e-18,4.213434737329804e-19
CS_thermal,10680.0,0.4840671465073184,8.547213661264174e-08,2.2893143547245086e-25,0.0,7.595597999500441e-18,5.873900547200615e-19
CS_thermal,10800.0,0.48408154849616747,1.200165737421532e-07,3.384994536144267e-25,2.613861962477403e-20,1.0530400311177206e-17,8.143610352308894e-19
CS_thermal,10920.0,0.4841016525264119,1.6753358537123374e-07,4.993818633360203e-25,2.442004144516234e-20,1.4520992207651797e-17,1.1229978168413871e-18
CS_thermal,11040.0,0.48412955090287246,2.3248647050351018e-07,7.361081136760302e-25,0.0,1.9919951446766837e-17,1.5405846880871344e-18
CS_thermal,11203.793720339927,0.4841884024650571,4.0780198465628106e-07,1.476429415751713e-24,0.0,3.433001959763556e-17,2.6552970964100974e-18
CS_thermal,11364.396309692242,0.48427967532536886,6.585060418540161e-07,2.8289761800397376e-24,1.35221935484457e-19,5.482957922714196e-17,4.2415044557000786e-18
CS_thermal,11514.03323170335,0.4844078132633459,9.886867048850412e-07,5.117264015776759e-24,2.1208145999887312e-19,8.195142191736034e-17,6.340949471541988e-18
CS_thermal,11653.459968285913,0.4845795175348192,1.4102281023628367e-06,8.931748915909708e-24,0.0,1.17050569429959e-16,9.05933174348635e-18
CS_thermal,11785.123213589171,0.4848043183742593,1.9397320998796957e-06,1.531504077373891e-23,1.3366234789496002e-19,1.6211131779121825e-16,1.2551636446453798e-17
CS_thermal,11911.51276006952,0.4850954477003251,2.600003311828673e-06,2.6137959173192513e-23,0.0,2.1998814408814164e-16,1.7041225712468564e-17
CS_thermal,12034.8274302885,0.48547111640823515,3.4220702992630763e-06,4.4828459775985856e-23,0.0,2.947804373598991e-16,2.2849666082230615e-17
CS_thermal,12156.965465793752,0.48595635739578436,4.447979946977201e-06,7.781934756534288e-23,0.0,3.9242368975195566e-16,3.044404681074508e-17
CS_thermal,12279.58383510607,0.48658567552924226,5.734652737681748e-06,1.374989852966111e-22,0.0,5.216398741785121e-16,4.051358379203203e-17
CS_thermal,12404.160421986786,0.48740685863915867,7.3591650816233295e-06,2.4839152170452053e-22,0.0,6.955047441772244e-16,5.4097076788128477e-17
CS_thermal,12532.044124102958,0.48848646243048743,9.425903483450837e-06,4.604754153076264e-22,1.4599430569381742e-18,9.34115545215009e-16,7.280230429968216e-17
CS_thermal,12654.470213339919,0.4897966793756755,1.1855300102898907e-05,8.366796022125389e-22,1.159668809366979e-18,1.240099311645086e-15,9.689374273983272e-17
CS_thermal,12783.153647411837,0.49153148173484107,1.4970540738617148e-05,1.5726014444379284e-21,0.0,1.674601507642683e-15,1.313002107582309e-16
CS_thermal,12909.304411896293,0.49366451902054964,1.8676858920796082e-05,2.921083929041142e-21,6.225687092278955e-19,2.2575977173666153e-15,1.77814282799182e-16
CS_thermal,13034.03393500833,0.49623698707295716,2.2158636504040772e-05,5.2502689246899224e-21,9.405319667321367e-10,3.0495618780154806e-15,2.4159721467371276e-16
CS_thermal,13158.131439605968,0.4992205562470614,2.571751059762901e-05,9.302058286554818e-21,2.6420047736968717e-09,4.1325763164345125e-15,3.297873273565877e-16
CS_thermal,13282.174603088084,0.502671383641184,2.9687332470216053e-05,1.6429303766600982e-20,4.894694726824465e-09,5.6316647785447145e-15,4.535151355705415e-16
CS_thermal,13406.600662062681,0.5066572429902605,3.411676081018532e-05,2.897857732553862e-20,7.787868039673514e-09,7.735769159235488e-15,6.300712554599103e-16
CS_thermal,13531.787622489315,0.5112560912739444,3.90581521832078e-05,5.113845469365412e-20,1.1414209373188305e-08,1.0736230871039175e-14,8.869739830676764e-16
CS_thermal,13658.359257099966,0.5165707815531193,4.458963112387618e-05,9.052860038289926e-20,1.5868123569372284e-08,1.5102754948388488e-14,1.2701295229757069e-15
CS_thermal,13778.376140174027,0.5222950637279159,5.0425432239789675e-05,1.546943335646769e-19,2.0807308171613846e-08,2.1083296891354447e-14,1.8100486567637925e-15
CS_thermal,13908.477144969944,0.5293571802975185,5.774821380856407e-05,2.7136744145122614e-19,2.6697774212972216e-08,3.0611317643591297e-14,2.7001942091013153e-15
CS_thermal,14037.889044645937,0.5374503797362182,6.676671102467939e-05,4.578555810442213e-19,3.256226135659635e-08,4.4958137066663536e-14,4.097242497628992e-15
CS_thermal,14166.474087014733,0.5468247333767893,7.802365059559296e-05,7.466447451552049e-19,3.794980404317018e-08,6.724726653556658e-14,6.376165548638434e-15
CS_thermal,14299.329852516234,0.5582413540838065,9.222972199520954e-05,1.2268814858373182e-18,4.279985516496213e-08,1.0531182853842982e-13,1.0506030566902666e-14
CS_thermal,14422.898609578488,0.5707313336908406,0.00010767625077005719,1.9718710907180567e-18,4.639170204722852e-08,1.6601897865791712e-13,1.7563490096159376e-14
CS_thermal,14547.663148907533,0.5854172557207462,0.00012509163117278456,3.2760595177235494e-18,4.8793895448542806e-08,2.743631555665939e-13,3.1213228097387157e-14
CS_thermal,14686.605515474477,0.6044331618826837,0.00014580396706836358,6.0675600980604475e-18,4.965140643197138e-08,5.06596113121905e-13,6.363090066254602e-14
CS_thermal,14814.0149522592,0.6244031518348884,0.00016484446621055268,1.135557380242493e-17,4.854991272797704e-08,9.3350149197888e-13,1.307280327658142e-13
CS_thermal,14944.88366986724,0.6473334511864031,0.00018294710614648473,2.3229478648996214e-17,4.55830277372976e-08,1.8252375211186466e-12,2.9118042602777743e-13
CS_thermal,15075.917642900597,0.6724433122556248,0.00019799765493907966,5.135891519654005e-17,4.107399382060517e-08,3.68606197530597e-12,6.831788837764452e-13
CS_thermal,15205.852774903415,0.6989728577959284,0.00020847218732545278,1.2123130090950748e-16,3.559250255986361e-08,7.492719156701886e-12,1.6454759586934294e-12
CS_thermal,15334.717540448803,0.7262529098558095,0.00021352690653373723,3.012993310878037e-16,2.9747752891849063e-08,1.493251927157156e-11,3.979321482078702e-12
CS_thermal,15463.224940298582,0.7537099636536961,0.00021291079988827234,7.749938096189656e-16,2.4106322009308304e-08,2.832268181751911e-11,9.480838782140489e-12
CS_thermal,15592.424358070248,0.7808505418973172,0.00020683029373696235,2.026287000956762e-15,1.9110652156778476e-08,4.942299964805579e-11,2.1858310284447334e-11
CS_thermal,15714.396639304321,0.8054528648402131,0.00019672259144946425,4.9571265213484315e-15,1.528206723041684e-08,7.488059945827279e-11,4.534370090684103e-11
CS_thermal,15840.40356703008,0.8293326273805696,0.00018279834833019807,1.2033397546021903e-14,1.2353771144527404e-08,1.0161785332308041e-10,8.839266844594776e-11
CS_thermal,15963.189550518828,0.8507500810333857,0.0001669061503373231,2.686087679059082e-14,1.0509738045793808e-08,1.2273539365965105e-10,1.5204975173542907e-10
CS_thermal,16084.837988081505,0.8699563176096186,0.00014995371879986827,5.495795220829164e-14,9.546442235990819e-09,1.3658913318342464e-10,2.3049244809715982e-10
CS_thermal,16207.305951598022,0.8871819163783694,0.00013261761498876734,1.0317042760515769e-13,9.21921575981833e-09,1.4408248307920722e-10,3.0920695032022676e-10
CS_thermal,16332.549522602108,0.9026282038536281,0.00011541610414298918,1.7857075173091301e-13,9.278244996255716e-09,1.469341203976672e-10,3.718853110436075e-10
CS_thermal,16453.06727416909,0.9155204132330893,9.992988617294005e-05,2.780147358145422e-13,9.484196410560356e-09,1.468499204473854e-10,4.0761222453950177e-10
CS_thermal,16579.18636019265,0.9271066211356386,8.52064895672043e-05,4.0835629648698794e-13,9.685561774327464e-09,1.4522647954701758e-10,4.220617284212237e-10
CS_thermal,16701.605780417107,0.9366797285370975,7.251373788587575e-05,5.557614657870717e-13,9.768396481125852e-09,1.4309515477698027e-10,4.2110913259142245e-10
CS_thermal,16830.350293231764,0.9451850381432105,6.086651275831284e-05,7.264419002817186e-13,9.684671364951247e-09,1.4090678576577078e-10,4.1174389554835995e-10
CS_thermal,16954.039085818236,0.9520486857020921,5.123391529698366e-05,8.993191848211844e-13,9.428807681189656e-09,1.3923119038735449e-10,3.9957963972520846e-10
CS_thermal,17083.01249565709,0.9580393305699002,4.267965905380033e-05,1.082939465578726e-12,8.99771709015864e-09,1.38189992777686e-10,3.8666937246264573e-10
CS_thermal,17204.615196670624,0.9627621114906287,3.586551741563213e-05,1.2545814377155538e-12,8.473004024054742e-09,1.3804704218359495e-10,3.759293441515442e-10
CS_thermal,17330.11043076656,0.9668441163973553,2.995518767359618e-05,1.4264459370648597e-12,7.855171620094404e-09,1.3890287986996937e-10,3.6732898991261293e-10
CS_thermal,17459.251288176205,0.9703434704404109,2.4903434968232004e-05,1.5948672630479414e-12,7.183355108119843e-09,1.4098028726248566e-10,3.6178167344222957e-10
CS_thermal,17591.80933875237,0.9733244666978468,2.0640115391271034e-05,1.7570128239223563e-12,6.495354144234158e-09,1.4449561333320736e-10,3.599914649088605e-10
CS_thermal,17700.0,0.9753769917210872,1.7739784746297574e-05,1.880966747438307e-12,5.954464792014618e-09,1.4848584236626835e-10,3.6162206060361966e-10
rate50_thermal,30.0,0.4840336134453783,2.2656310024830056e-65,0.0,1.1607298389399263e-60,1.427752963568733e-67,1.1040804050106695e-68
rate50_thermal,60.0,0.4840336134453783,2.1266796346792542e-59,6.736857977629953e-83,1.640807243448172e-55,2.0182711986989734e-62,1.5607277584709835e-63
rate50_thermal,90.0,0.4840336134453783,2.7699059095232916e-54,9.523287962701408e-78,4.2238961455487304e-51,5.195595905930528e-58,4.017750814365865e-59
rate50_thermal,120.0,0.4840336134453783,7.445236735607885e-50,9.034894933489273e-73,2.788465907760017e-47,3.4299528356482766e-54,2.6523802174322974e-55
rate50_thermal,150.0,0.4840336134453783,5.559588734020811e-46,2.1725738273920942e-68,6.100154966503575e-44,7.503533666017793e-51,5.80247752964254e-52
rate50_thermal,180.0,0.4840336134453783,1.447265765090905e-42,1.491821911552848e-64,5.378437503889969e-41,6.61587140057927e-48,5.116048897697436e-49
rate50_thermal,210.0,0.4840336134453783,1.566703008404034e-39,3.647432729874302e-61,2.2251224434971796e-38,2.7371551385535978e-45,2.1166402249290854e-46
rate50_thermal,240.0,0.4840336134453783,8.105160115072455e-37,3.770640811307784e-58,4.8698292019476154e-36,5.990890637126163e-43,4.63275169429859e-44
rate50_thermal,270.0,0.4840336134453783,2.2395006972712154e-34,1.8879443812125513e-55,6.2051501383190695e-34,7.634754655920172e-41,5.903950632745187e-42
rate50_thermal,300.0,0.4840336134453783,3.615807320451924e-32,5.104451323532007e-53,4.974154650080657e-32,6.121877362296888e-39,4.734043640642046e-40
rate50_thermal,330.0,0.4840336134453783,3.6715521340979996e-30,8.138882301725915e-51,2.6724466205339822e-30,3.2907198326841724e-37,2.544711430025814e-38
rate50_thermal,360.0,0.4840336134453783,2.4913806212990348e-28,8.225452276685217e-49,1.0139047812272938e-28,1.2495147770433949e-35,9.662489354297004e-37
rate50_thermal,390.0,0.4840336134453783,1.1882993499669467e-26,5.592550680743481e-47,2.8368813349559694e-27,3.500772786171553e-34,2.7071452374684904e-35
rate50_thermal,420.0,0.4840336134453783,4.156560711174872e-25,2.68825885892771e-45,6.070710197987735e-26,7.50669693409078e-33,5.804923682712645e-34
rate50_thermal,450.0,0.4840336134453783,1.1052205584537286e-23,9.524439909870906e-44,1.024505877925249e-24,1.270676531624979e-31,9.82613305993339e-33
rate50_thermal,480.0,0.4840336134453783,2.303240612554966e-22,2.5764128459580273e-42,1.3994730452505865e-23,1.7432699548234602e-30,1.3480694818195423e-31
rate50_thermal,510.0,0.4840336134453783,3.861655909244144e-21,5.483043603306425e-41,1.5820453801370657e-22,1.9826277538391288e-29,1.5331647065698562e-30
rate50_thermal,540.0,0.4840336134453783,5.327801825196059e-20,9.419126677339569e-40,1.5084028930372552e-21,1.905953744430838e-28,1.4738727467411055e-29
rate50_thermal,570.0,0.4840336134453783,6.168075574438465e-19,1.3353292872026812e-38,1.232911996488223e-20,1.5750587559568536e-27,1.2179918750410134e-28
rate50_thermal,600.0,0.48403361344537854,6.0949149548507435e-18,1.592479258328511e-37,8.760811484901613e-20,1.135445738687873e-26,8.78039424904892e-28
rate50_thermal,630.0,0.4840336134453801,5.217534944563763e-17,1.6244541031602e-36,5.477515296222952e-19,7.232607247081269e-26,5.592970312371669e-27
rate50_thermal,660.0,0.48403361344539186,3.9203157101978376e-16,1.438206581823381e-35,3.0446370830759658e-18,4.116980300393428e-25,3.1836580931463863e-26
rate50_thermal,690.0,0.48403361344547036,2.6154318327945548e-15,1.1193790110226427e-34,1.517825502737227e-17,2.115131252884439e-24,1.6356295731288842e-25
rate50_thermal,720.0,0.48403361344593987,1.5651917137654152e-14,7.7460627305739e-34,6.836795470879163e-17,9.894526803192528e-24,7.6514309120770165e-25
rate50_thermal,750.0,0.4840336134484835,8.478806632023798e-14,4.813678399508633e-33,2.799289744433345e-16,4.247668653446312e-23,3.284719308535141e-24
rate50_thermal,780.0,0.48403361346105767,4.191402052873189e-13,2.710356625424939e-32,1.0466948557414091e-15,1.685134946531333e-22,1.3031137190729956e-23
rate50_thermal,810.0,0.4840336135181931,1.9045176496859924e-12,1.3937109647724417e-31,3.585067413391703e-15,6.216674347034111e-22,4.8073500852108234e-23
rate50_thermal,840.0,0.4840336137583824,8.006310138494006e-12,6.5916972648247195e-31,1.1260157135168744e-14,2.1446344879702875e-21,1.6584444051493114e-22
rate50_thermal,870.0,0.4840336146980211,3.1321284906460756e-11,2.885797319936856e-30,3.2373115003316364e-14,6.953586447711199e-21,5.377203718978013e-22
rate50_thermal,900.0,0.4840336181369058,1.1462949144560457e-10,1.1761652834620439e-29,8.463940154149672e-14,2.128627136358977e-20,1.6460659341809217e-21
rate50_thermal,930.0,0.4840336299671907,3.9434283413662214e-10,4.485935317806266e-29,1.9806119328618508e-13,6.177487280193752e-20,4.7770467902491966e-21
rate50_thermal,960.0,0.48403366838839834,1.280706920806175e-09,1.6086294071538678e-28,3.9909431237844467e-13,1.705947244739508e-19,1.3192078918036319e-20
rate50_thermal,990.0,0.48403378665155883,3.942105348782863e-09,5.446642822481789e-28,6.163638670637946e-13,4.4981438650780805e-19,3.4784119416743124e-20
