case,t_s,T_K,rho,bin,radius_m,phi_open,phi_iso,phi_closed
CS_thermal,13778.376140174027,1445.4953854089686,0.5222950637279159,9,6.237510700730634e-08,0.0059485218851973685,1.2049450100975238e-14,7.716457811356584e-17
CS_thermal,13778.376140174027,1445.4953854089686,0.5222950637279159,10,7.818414472715056e-08,0.001155964999763901,1.4901028355681767e-15,6.073740309611059e-18
CS_thermal,13778.376140174027,1445.4953854089686,0.5222950637279159,11,9.8e-08,0.00015772158538517386,1.2939539960098691e-16,3.3569560727507333e-19
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,0,8.166666666666667e-09,9.281439597296859e-05,6.989595447343503e-14,2.5105461689354536e-14
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,1,1.0236517085738568e-08,0.002617239949842314,4.738194675575178e-13,1.14055348466678e-13
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,2,1.2830973311830731e-08,0.0176555078658493,1.4787503308485645e-12,2.310593441134162e-13
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,3,1.6082997248964597e-08,0.054422919995988285,2.5795383065412938e-12,2.584622629001335e-13
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,4,2.0159250138234185e-08,0.09909290722114682,2.8556838159343097e-12,1.8265085999193335e-13
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,5,2.526863369090349e-08,0.11815457789125276,2.1280395841670717e-12,8.673298883701549e-14
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,6,3.167299598084116e-08,0.09618055615785696,1.0944933159139089e-12,2.8405827228643087e-14
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,7,3.970055075686648e-08,0.05435846088832583,3.9254569415726404e-13,6.485633484675124e-15
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,8,4.976269789419122e-08,0.021475901095029726,9.859131230384109e-14,1.036858500179745e-15
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,9,6.237510700730634e-08,0.0059475658009111665,1.7370041218613487e-14,1.1627342240401918e-16
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,10,7.818414472715056e-08,0.0011558898550940774,2.148215838085033e-15,9.152678928719592e-18
CS_thermal,13908.477144969944,1456.2240195549903,0.5293571802975185,11,9.8e-08,0.00015771744347959173,1.8654854509360053e-16,5.058824650751236e-19
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,0,8.166666666666667e-09,4.674934295282168e-05,7.521072923208286e-14,2.7511007004910703e-14
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,1,1.0236517085738568e-08,0.0019937867272535378,5.876050651660665e-13,1.4699382046929533e-13
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,2,1.2830973311830731e-08,0.015827390843499378,2.004429328768763e-12,3.2802734581932655e-13
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,3,1.6082997248964597e-08,0.05207369846397942,3.642240231414441e-12,3.83283295354945e-13
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,4,2.0159250138234185e-08,0.09734008865391132,4.102329911169241e-12,2.7586382669552773e-13
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,5,2.526863369090349e-08,0.11730415637618166,3.0788200314830543e-12,1.3198389150317075e-13
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,6,3.167299598084116e-08,0.09589970295267514,1.5880885472094423e-12,4.335835863786253e-14
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,7,3.970055075686648e-08,0.05429414889050677,5.702459085681826e-13,9.911903692297946e-15
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,8,4.976269789419122e-08,0.02146561397190664,1.4329053071901115e-13,1.5854141619158381e-15
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,9,6.237510700730634e-08,0.005946412999674505,2.52501227944661e-14,1.7782475747336187e-16
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,10,7.818414472715056e-08,0.0011557992532754077,3.1230180146632704e-15,1.399896215103501e-17
CS_thermal,14037.889044645937,1466.781326139027,0.5374503797362182,11,9.8e-08,0.0001577124506363015,2.7120780082857283e-16,7.737697497356776e-19
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,0,8.166666666666667e-09,1.9724843853389915e-05,7.902989656933394e-14,2.935593620532695e-14
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,1,1.0236517085738568e-08,0.0014216093150050486,7.157479272395571e-13,1.8670748996530186e-13
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,2,1.2830973311830731e-08,0.013824988727289593,2.7114599430011633e-12,4.677198055981765e-13
