case,rho,G_um,pore_D90_nm,fine_pore_fraction,R_Z_eff_um
rate50_thermal,0.6900000000000001,0.189425917718025,83.5905453745785,0.18596877071263893,0.09115212545982282
rate50_thermal,0.7000000000000001,0.19748562373059295,87.26775299078044,0.17341804094623345,0.09549207519659997
rate50_thermal,0.7100000000000001,0.2055453297431609,90.94496060698238,0.16086731117982797,0.09983202493337713
rate50_thermal,0.7200000000000001,0.21360503575572884,94.62216822318432,0.1483165814134225,0.10417197467015428
rate50_thermal,0.7300000000000001,0.22166474176829679,98.29937583938626,0.135765851647017,0.10851192440693144
rate50_thermal,0.7400000000000001,0.23238630499439722,99.52539578838244,0.12379397192532328,0.1144397341978776
rate50_thermal,0.7500000000000001,0.244439259565531,99.52539578838244,0.11211161785349666,0.12116175005010203
rate50_thermal,0.7600000000000001,0.2564922141366648,99.52539578838244,0.10042926378167004,0.12788376590232647
rate50_thermal,0.7700000000000001,0.26854516870779854,99.52539578838244,0.08874690970984342,0.1346057817545509
rate50_thermal,0.7800000000000001,0.28059812327893235,99.52539578838244,0.0770645556380168,0.14132779760677536
rate50_thermal,0.7900000000000001,0.29549426845469423,99.52539578838244,0.0664535482729556,0.14991047983418282
rate50_thermal,0.8000000000000002,0.31449129213196786,99.52539578838244,0.057387798784833036,0.16117689586545597
rate50_thermal,0.8100000000000002,0.3334883158092415,99.52539578838244,0.048322049296710474,0.1724433118967291
rate50_thermal,0.8200000000000002,0.3524853394865151,99.52539578838244,0.03925629980858791,0.18370972792800228
rate50_thermal,0.8300000000000002,0.37148236316378874,99.52539578838244,0.03019055032046535,0.1949761439592754
rate50_thermal,0.8400000000000002,0.3970619003580118,99.52539578838244,0.023345260336027542,0.21110236287663076
rate50_thermal,0.8500000000000002,0.4281728171280312,99.52539578838244,0.01836585400164817,0.23131234316526977
rate50_thermal,0.8600000000000002,0.4592837338980505,99.52539578838244,0.013386447667268793,0.25152232345390885
rate50_thermal,0.8700000000000002,0.49039465066806986,99.52539578838244,0.008407041332889418,0.2717323037425478
rate50_thermal,0.8800000000000002,0.5271234290902107,99.52539578838244,0.00463311951525649,0.29679473282082564
two_level_best_map_case,0.65,0.16756730002089054,79.40110151373295,0.23491318487347645,0.07801423803942219
two_level_best_map_case,0.66,0.1739092268873841,79.40110151373295,0.2226410135414224,0.08114773500775586
two_level_best_map_case,0.67,0.1802511537538777,79.40110151373295,0.21036884220936838,0.08428123197608954
two_level_best_map_case,0.68,0.18659308062037128,79.40110151373295,0.19809667087731433,0.08741472894442322
two_level_best_map_case,0.6900000000000001,0.19293500748686487,79.40110151373295,0.1858244995452603,0.0905482259127569
two_level_best_map_case,0.7000000000000001,0.20135477556819933,83.08446024946086,0.17334775744308484,0.09491696603255198
two_level_best_map_case,0.7100000000000001,0.21017815821769947,87.48330062781942,0.1608312780681803,0.09952564851540914
two_level_best_map_case,0.7200000000000001,0.21900154086719958,91.88214100617796,0.14831479869327574,0.10413433099826629
two_level_best_map_case,0.7300000000000001,0.22782492351669972,96.28098138453652,0.13579831931837116,0.10874301348112345
two_level_best_map_case,0.7400000000000001,0.2374125975995952,99.52539578838244,0.12343924707537807,0.11379799375638219
two_level_best_map_case,0.7500000000000001,0.24914824668477772,99.52539578838244,0.11152255396913056,0.12010725539574808
two_level_best_map_case,0.7600000000000001,0.26088389576996024,99.52539578838244,0.09960586086288307,0.12641651703511397
two_level_best_map_case,0.7700000000000001,0.2727745206061763,99.52539578838244,0.0877404907885008,0.13281855847438664
two_level_best_map_case,0.7800000000000001,0.28772040519898834,99.52539578838244,0.07688692541774823,0.14104970147948317
two_level_best_map_case,0.7900000000000001,0.3026662897918004,99.52539578838244,0.06603336004699567,0.1492808444845797
two_level_best_map_case,0.8000000000000002,0.3194824028850191,99.52539578838244,0.05586944804803709,0.1586641493832775
two_level_best_map_case,0.8100000000000002,0.33792647656985847,99.52539578838244,0.04630585227295957,0.16905036604251258
two_level_best_map_case,0.8200000000000002,0.35860160151789344,99.52539578838244,0.03755581195223137,0.18084997945656733
two_level_best_map_case,0.8300000000000002,0.380808643486245,99.52539578838244,0.029364386965919104,0.19362008000414824
two_level_best_map_case,0.8400000000000002,0.406958359159059,99.52539578838244,0.0225007963692688,0.20895794780978294
two_level_best_map_case,0.8500000000000002,0.43585325487622417,99.52539578838244,0.016453377194601704,0.22613250528828202
two_level_best_map_case,0.8600000000000002,0.46852578805852224,99.52539578838244,0.011424468393530195,0.2458787804810219
two_level_best_map_case,0.8700000000000002,0.5060283281724365,99.52539578838244,0.00748050729261859,0.26900783784251286
two_level_best_map_case,0.8800000000000002,0.5488900151168282,99.52539578838244,0.004488969468564165,0.2960119025494365
two_level_best_map_case,0.8900000000000002,0.5994938852238526,99.52539578838244,0.002487004135676451,0.3288470602793801
two_level_best_map_case,0.9000000000000002,0.6589323090885932,99.52539578838244,0.001142360229923855,0.3712253103444113
two_level_best_map_case,0.9100000000000003,0.7397872190423146,99.52539578838244,0.00047165555914746604,0.4219974911549653
two_level_best_map_case,0.9200000000000003,0.8360675007414624,99.52539578838244,0.00016154447031871096,0.48561276406886844
