case,t_s,rho,G_um,R_Z_eff_m,S_Z,Gamma_growth,P_Z_Pa
CS_thermal,4440.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,4560.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,4680.0,0.4840336134453783,0.010200000000000002,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,4800.0,0.4840336134453783,0.01020000000000001,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,4920.0,0.4840336134453783,0.010200000000000025,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,5040.0,0.4840336134453783,0.01020000000000007,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,5160.0,0.4840336134453783,0.010200000000000185,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,5280.0,0.4840336134453783,0.010200000000000474,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,5400.0,0.4840336134453783,0.010200000000001194,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,5520.0,0.48403361344537843,0.010200000000002934,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,5640.0,0.48403361344537865,0.010200000000007042,4.4244985646047264e-08,1.0,1.0,11300715.611028088
CS_thermal,5760.0,0.4840336134453791,0.010200000000016527,4.424498564604729e-08,1.0,1.0,11300715.61102808
CS_thermal,5880.0,0.4840336134453802,0.010200000000037967,4.4244985646047363e-08,1.0,1.0,11300715.611028062
CS_thermal,6000.0,0.48403361344538287,0.010200000000085427,4.424498564604753e-08,1.0,1.0,11300715.611028021
CS_thermal,6120.0,0.4840336134453891,0.010200000000188423,4.424498564604791e-08,1.0,1.0,11300715.611027922
CS_thermal,6240.0,0.4840336134454034,0.01020000000040769,4.4244985646048826e-08,1.0,1.0,11300715.61102769
CS_thermal,6360.0,0.48403361344543516,0.010200000000865949,4.42449856460509e-08,1.0,1.0,11300715.61102716
CS_thermal,6480.0,0.48403361344550455,0.010200000001806793,4.42449856460555e-08,1.0,1.0,11300715.611025983
CS_thermal,6600.0,0.48403361344565343,0.010200000003705545,4.424498564606557e-08,1.0,1.0,11300715.611023413
CS_thermal,6720.0,0.4840336134459673,0.010200000007474562,4.4244985646087194e-08,1.0,1.0,11300715.61101789
