candidate_id,rho_target,initial_topology,heating_rate_C_min,peak_T_C,response_class,n_cases,HR_pct_median,PR_difference_median,fine_difference_median
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,1450.0,harmful,28,-3.3280077698982833,170513.93528189883,0.00253748196250515
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,1450.0,neutral,4,-0.08285249738169026,797795.049914386,0.0118384564773529
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,1450.0,unattainable,36,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,1500.0,harmful,38,-7.260711430619983,177733.43064345198,0.0036208877188371
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,1500.0,neutral,4,0.0048153465632286285,1079328.0670668532,0.011293415601408001
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,1500.0,unattainable,30,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1300.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1350.0,beneficial,2,2.4944888066924715,791178.0201513872,0.012836183252329651
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1350.0,neutral,10,-0.02506979748894805,159429.50387240422,0.002236389138375
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1350.0,unattainable,60,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1400.0,beneficial,4,2.6922361430101898,1107491.3889012146,0.015842365821560248
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1400.0,harmful,13,-1.746540605630904,172570.80412439635,0.0024713568068997
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1400.0,neutral,10,-0.4971863953091158,237698.33925545157,0.00280063073446665
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1400.0,unattainable,45,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1450.0,beneficial,2,2.2172207603270264,1119365.029985929,0.0104355367785491
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1450.0,harmful,28,-3.405538039617617,176119.34977862285,0.0024403449043297
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1450.0,neutral,6,0.2630456788051824,1115168.2492343232,0.0130877134996549
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1450.0,unattainable,36,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1500.0,beneficial,2,1.1602446122829897,1121105.4094256852,0.0104996700284536
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1500.0,harmful,40,-7.8729456223965055,187556.67719447575,0.0036636258964162
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,1500.0,unattainable,30,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1300.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1350.0,beneficial,3,1.2044565195210617,560018.1635956777,0.0100432323146708
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1350.0,neutral,9,-0.0399359935643362,148383.19124837118,0.0023983509136864
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1350.0,unattainable,60,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1400.0,beneficial,4,2.541674664725719,1122397.1533091832,0.01607721587223385
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1400.0,harmful,15,-1.4176494105733084,181149.9857242462,0.0029629695338274
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1400.0,neutral,8,-0.5152840538406641,138486.8428555898,0.0022291036596769
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1400.0,unattainable,45,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1450.0,beneficial,4,1.500439459664661,1136236.309604146,0.012019004735394249
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1450.0,harmful,28,-3.510258020744394,177990.67403025692,0.0023385094884169
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1450.0,neutral,4,-0.3374825251456598,841711.4259250988,0.0123375216192107
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1450.0,unattainable,36,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1500.0,harmful,40,-7.570515511955527,189536.33278279775,0.004018886231107801
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1500.0,neutral,2,0.868927743933407,1135604.2260578966,0.0103822691688337
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,1500.0,unattainable,30,,,
mech_009_PR_attrition_moderate,0.85,baseline,0.2,1300.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,baseline,0.2,1350.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,baseline,0.2,1400.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,baseline,0.2,1450.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,baseline,0.2,1500.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1300.0,neutral,4,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1300.0,unattainable,68,,,
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1350.0,neutral,21,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1350.0,unattainable,51,,,
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1400.0,neutral,35,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1400.0,unattainable,37,,,
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1450.0,neutral,45,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1450.0,unattainable,27,,,
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1500.0,neutral,58,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,baseline,1.0,1500.0,unattainable,14,,,
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1300.0,beneficial,1,1.0599015443835706,603542.9298058104,0.0057182423735129
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1300.0,neutral,3,0.0212801173006455,194384.9084282838,0.0028486748368366
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1300.0,unattainable,68,,,
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1350.0,beneficial,7,2.009062432027258,1026424.3395744304,0.0067007094907643
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1350.0,neutral,14,0.020538029738246352,216024.3623768791,0.00211677263989005
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1350.0,unattainable,51,,,
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1400.0,beneficial,9,1.9974646053818357,1534956.4803904656,0.0100437885049467
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1400.0,harmful,2,-1.487744338149806,350281.9536068893,0.003982012894726
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1400.0,neutral,24,-0.1749408449092083,289558.51550375385,0.002351392727318
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1400.0,unattainable,37,,,
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1450.0,beneficial,3,1.1314604757671252,1570066.0130110127,0.015817472320833
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1450.0,harmful,33,-2.2821568348400074,355962.53290089476,0.0031822375334899
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1450.0,neutral,6,-0.0046625214474752,1716203.173675119,0.0068175247696784
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1450.0,unattainable,30,,,
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1500.0,harmful,53,-6.667888992585229,361846.72666083416,0.0027666093120483
mech_009_PR_attrition_moderate,0.85,baseline,5.0,1500.0,unattainable,19,,,
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1300.0,beneficial,1,1.316687814622021,742269.8294209954,0.0070692629982719
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1300.0,neutral,3,0.0245602961514219,232926.4140044625,0.0033291978955133
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1300.0,unattainable,68,,,
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1350.0,beneficial,8,2.096951574616835,1257961.094508633,0.0087810233020485
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1350.0,neutral,13,0.0278623887134791,249783.81816815952,0.002413537361905
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1350.0,unattainable,51,,,
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1400.0,beneficial,7,4.2901309504493845,2057741.6988760713,0.0134748753514407
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1400.0,harmful,2,-1.5406351382965562,423963.8710613469,0.0054726286677748
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1400.0,neutral,26,-0.2121960217298261,428662.64471308206,0.0028728387486172
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1400.0,unattainable,37,,,
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1450.0,beneficial,3,1.842724250103085,2132722.041738133,0.0211472336580978
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1450.0,harmful,35,-2.643538558418885,429428.2183238816,0.0037094666680428
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1450.0,neutral,4,0.15817922824456848,2346305.1389692225,0.010641489622532349
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1450.0,unattainable,30,,,
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1500.0,harmful,48,-8.176182729355048,641670.8313486646,0.0035719784086106
mech_009_PR_attrition_moderate,0.85,baseline,20.0,1500.0,unattainable,24,,,
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1300.0,beneficial,1,1.2569365129318746,769863.8942486749,0.0068377669789589
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1300.0,neutral,3,0.0300037424292572,240767.6868244611,0.00380255899494
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1300.0,unattainable,68,,,
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1350.0,beneficial,9,2.3192499374262496,1285144.572873226,0.009103168121199
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1350.0,neutral,12,0.0098922848630504,250101.6455414093,0.00237570573652675
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1350.0,unattainable,51,,,
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1400.0,beneficial,9,2.659798423523861,2183938.436993396,0.0126720279826188
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1400.0,harmful,6,-1.0602334440843528,439058.66949090885,0.003762423278994
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1400.0,neutral,20,-0.1375121486448697,362995.4391415931,0.0025850409720585
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1400.0,unattainable,37,,,
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1450.0,beneficial,3,2.109923438546768,2273836.348002183,0.02261087885357
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1450.0,harmful,33,-2.749004944333191,444415.947926397,0.0035739605495825
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1450.0,neutral,6,-0.7339624815539321,2428948.7235531607,0.0081499331380852
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1450.0,unattainable,30,,,
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1500.0,harmful,48,-8.094450932655425,666593.5917599734,0.003434655585803
mech_009_PR_attrition_moderate,0.85,baseline,50.0,1500.0,unattainable,24,,,
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1300.0,beneficial,1,1.2852128573827086,779769.4633179463,0.0069779581317098
