candidate_id,base_mechanism,variant,G0_nm,rho0,initial_topology,heating_rate_C_min,reference_rate_C_min,peak_T_C,hold_time_h,rho_target,comparison_attained,response_class,HR_pct,G_at_target_nm,G_reference_nm,time_to_target_h,connected_fine_pore_fraction,pore_mean_radius_nm,large_pore_fraction,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference,connected_fine_difference,mean_radius_difference_nm
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1500.0,8.0,0.9,True,beneficial,4.768017196130891,402.7681877592032,422.9337412712565,6.278341537403668,0.0540570895371554,64.604174454577,0.0410108534699208,238396.9894797063,2647694.738193748,2409297.748714042,0.0072249607120927,-1.4165008153146914
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1500.0,8.0,0.9,True,beneficial,4.964806247837568,401.93590046040794,422.9337412712565,5.503923547032085,0.0544278233270751,64.51762878923545,0.0407937197806922,100819.3789709314,2647694.738193748,2546875.359222817,0.0075956945020124,-1.503046480656252
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1500.0,8.0,0.9,True,beneficial,4.499211324138869,403.9050584903759,422.9337412712565,5.2754875985508685,0.0541482648296502,64.58011097393884,0.0409044976456225,52724.97039075155,2647694.738193748,2594969.767802997,0.0073161360045875,-1.4405642959528535
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1500.0,20.0,0.88,True,beneficial,1.3133664682454391,297.5801509978879,301.5404825843361,8.436532079253373,0.0776826019750482,59.8353939403236,0.0321884702690032,818367.781943092,2647690.742619174,1829322.960676082,0.0060753406490208,-0.8073614696340456
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1500.0,20.0,0.88,True,beneficial,1.105996290372853,298.2054560329809,301.5404825843361,3.963963228547122,0.0792491338172812,59.610909961472714,0.0316863916584892,100814.26385780852,2647690.742619174,2546876.4787613656,0.0076418724912538,-1.0318454484849298
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1500.0,20.0,0.9,True,beneficial,5.16408491280508,401.0930837471054,422.9337412712565,9.990388326932395,0.0535587656619041,64.7019410472524,0.0413482641843923,818372.5328262552,2647694.738193748,1829322.205367493,0.0067266368368414,-1.3187342226392929
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1500.0,20.0,0.9,True,beneficial,4.768017196130891,402.7681877592032,422.9337412712565,6.278341537403668,0.0540570895371554,64.604174454577,0.0410108534699208,238396.9894797063,2647694.738193748,2409297.748714042,0.0072249607120927,-1.4165008153146914
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1500.0,20.0,0.9,True,beneficial,4.964806247837568,401.93590046040794,422.9337412712565,5.503923547032085,0.0544278233270751,64.51762878923545,0.0407937197806922,100819.3789709314,2647694.738193748,2546875.359222817,0.0075956945020124,-1.503046480656252
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1500.0,20.0,0.9,True,beneficial,4.499211324138869,403.9050584903759,422.9337412712565,5.2754875985508685,0.0541482648296502,64.58011097393884,0.0409044976456225,52724.97039075155,2647694.738193748,2594969.767802997,0.0073161360045875,-1.4405642959528535
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1500.0,20.0,0.92,True,beneficial,4.2157257619331014,551.4791967213756,575.7512922744525,13.158018599982505,0.0262316693251115,73.0131467723558,0.0612188099354932,818375.3221534984,2647697.0016902313,1829321.6795367328,0.0049802175175792,-2.015800051033537
