initial_topology,peak_T_C,hold_h,rho_target,rate,attained,base_mechanism,TJ_constraint_mode,HR_pct,beneficial,C_TJ_pore,C_TJ_constraint,C_TJ_relaxed,C_TJ_pinned,R_TJ_pore_drag,Lambda_TJ,K_TJ,Lambda_over_K_TJ,P_comp_TJ,P_TJ_multihit,P_TJ_pore_drag,P_TJ_assisted_densification
mixed_GBseg_TJ,1450.0,8.0,0.85,20.0,True,mech_009_q0,pore_relaxed_TJ,-2.130627185243394,False,0.4241157961896088,0.3136173694284413,0.25446947771376527,0.0,0.0,3.2393465270079926,1.0,3.2393465270079926,0.9608105039894628,13.991903327690807,0.0,125.01929401305263
mixed_GBseg_TJ,1450.0,8.0,0.85,100.0,True,mech_009_q0,pore_relaxed_TJ,-2.5724743519041695,False,0.42545015301078504,0.3138175229516178,0.25527009180647103,0.0,0.0,3.225110924560338,1.0,3.225110924560338,0.9602486280717972,14.05339650536202,0.0,124.29659624038025
mixed_GBseg_TJ,1450.0,8.0,0.9,20.0,True,mech_009_q0,pore_relaxed_TJ,1.316863252017228,True,0.45052325760787915,0.3175784886411819,0.27031395456472745,0.0,0.0,2.1806699976485975,1.0,2.1806699976485975,0.8870341815529451,11.566114684381121,0.0,37.775476935907875
mixed_GBseg_TJ,1450.0,8.0,0.9,100.0,True,mech_009_q0,pore_relaxed_TJ,0.8825313580543839,False,0.4512970112409904,0.3176945516861485,0.27077820674459424,0.0,0.0,2.1712457896116786,1.0,2.1712457896116786,0.8859645358136186,11.564671203244295,0.0,37.41876063591192
mixed_GBseg_TJ,1450.0,20.0,0.85,20.0,True,mech_009_q0,pore_relaxed_TJ,-2.130627185243394,False,0.4241157961896088,0.3136173694284413,0.25446947771376527,0.0,0.0,3.2393465270079926,1.0,3.2393465270079926,0.9608105039894628,13.991903327690807,0.0,125.01929401305263
mixed_GBseg_TJ,1450.0,20.0,0.85,100.0,True,mech_009_q0,pore_relaxed_TJ,-2.5724743519041695,False,0.42545015301078504,0.3138175229516178,0.25527009180647103,0.0,0.0,3.225110924560338,1.0,3.225110924560338,0.9602486280717972,14.05339650536202,0.0,124.29659624038025
mixed_GBseg_TJ,1450.0,20.0,0.9,20.0,True,mech_009_q0,pore_relaxed_TJ,1.316863252017228,True,0.45052325760787915,0.3175784886411819,0.27031395456472745,0.0,0.0,2.1806699976485975,1.0,2.1806699976485975,0.8870341815529451,11.566114684381121,0.0,37.775476935907875
mixed_GBseg_TJ,1450.0,20.0,0.9,100.0,True,mech_009_q0,pore_relaxed_TJ,0.8825313580543839,False,0.4512970112409904,0.3176945516861485,0.27077820674459424,0.0,0.0,2.1712457896116786,1.0,2.1712457896116786,0.8859645358136186,11.564671203244295,0.0,37.41876063591192
baseline,1350.0,8.0,0.85,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
baseline,1350.0,8.0,0.85,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
baseline,1350.0,8.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
baseline,1350.0,8.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
baseline,1350.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,1.2211244447678629,True,0.1955798083508119,0.24022100958245937,0.0,0.15646384668064953,0.5753232674448825,0.9368930079987787,1.0,0.9368930079987787,0.6081565996841269,69.79354587545696,102.47423033605607,26.073242708491033
baseline,1350.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,1.6041774213350408,True,0.1949188416614932,0.2402540579169253,0.0,0.15593507332919457,0.5756111013785036,0.9399240561163492,1.0,0.9399240561163492,0.6093424977201033,70.86800169951222,104.41987744426604,26.291687296003097
baseline,1350.0,20.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
baseline,1350.0,20.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
baseline,1400.0,8.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,0.7361362834256507,False,0.27088422473610685,0.23645578876319467,0.0,0.2167073797888855,0.3979642119574814,1.5542853377011956,1.0,1.5542853377011956,0.7886596343248325,55.46358993843297,104.44064384797693,49.1419089441689
baseline,1400.0,8.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,1.3888559265262024,True,0.26942191542755656,0.23652890422862216,0.0,0.21553753234204526,0.39843584456585524,1.5629648846721513,1.0,1.5629648846721513,0.7904860353230351,56.59675673634489,107.63089994837523,49.85385196324028
baseline,1400.0,8.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
baseline,1400.0,8.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
baseline,1400.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,0.7361362834256507,False,0.27088422473610685,0.23645578876319467,0.0,0.2167073797888855,0.3979642119574814,1.5542853377011956,1.0,1.5542853377011956,0.7886596343248325,55.46358993843297,104.44064384797693,49.1419089441689
baseline,1400.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,1.3888559265262024,True,0.26942191542755656,0.23652890422862216,0.0,0.21553753234204526,0.39843584456585524,1.5629648846721513,1.0,1.5629648846721513,0.7904860353230351,56.59675673634489,107.63089994837523,49.85385196324028
baseline,1400.0,20.0,0.9,20.0,True,mech_009_q0,pore_pinned_drag,1.9274407252410724,True,0.2914959369747916,0.23542520315126042,0.0,0.23319674957983327,0.2746314883066958,1.0269718434087973,1.0,1.0269718434087973,0.6419103279675207,24.365139830957173,18.686477542333584,14.635124058247285
baseline,1400.0,20.0,0.9,100.0,True,mech_009_q0,pore_pinned_drag,1.8565777013122882,True,0.2916047683428179,0.23541976158285913,0.0,0.23328381467425433,0.2745356555672515,1.026030773755709,1.0,1.026030773755709,0.641573182030063,24.421667906158444,18.705683482716584,14.61733508507954
baseline,1450.0,8.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,-1.7432667898201062,False,0.3596999031901196,0.232015004840494,0.0,0.28775992255209565,0.2761821208618081,2.4974845966078325,1.0,2.4974845966078325,0.9177082645879138,29.746759005471556,99.83412003351197,85.08270333450889
