candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,HR_pct,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference
mech_009_PR_attrition_moderate,0.92,TJ_rich,1.0,360,0.0,191629.8362439144,191629.8362439144,0.0
mech_009_PR_attrition_moderate,0.92,TJ_rich,5.0,360,-0.3548473631970678,39470.39924836788,191629.8362439144,152091.64561693044
mech_009_PR_attrition_moderate,0.92,TJ_rich,20.0,360,-0.3200925277251518,10226.1508919841,191629.8362439144,181539.88376841816
mech_009_PR_attrition_moderate,0.92,TJ_rich,50.0,360,-0.4574799865831578,4299.558372349339,191629.8362439144,187466.47628805297
mech_009_PR_attrition_moderate,0.92,TJ_rich,100.0,360,-0.4206248537205497,2321.27450334235,191629.8362439144,189444.7601570599
mech_009_PR_attrition_moderate,0.92,baseline,0.2,360,,,,
mech_009_PR_attrition_moderate,0.92,baseline,1.0,360,0.0,457939.6400629182,457939.6400629182,0.0
mech_009_PR_attrition_moderate,0.92,baseline,5.0,360,-0.1849744952741641,99733.16422420766,457939.6400629182,358914.0171609614
mech_009_PR_attrition_moderate,0.92,baseline,20.0,360,-0.3804498906858268,25861.75499720629,457939.6400629182,432494.2259682829
mech_009_PR_attrition_moderate,0.92,baseline,50.0,360,-0.3211266856120082,10797.53295773428,457939.6400629182,447483.5870945786
mech_009_PR_attrition_moderate,0.92,baseline,100.0,360,-0.2144389821120382,5750.2991460247085,457939.6400629182,452500.94227127905
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,0.2,360,,,,
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,1.0,360,0.0,291750.15330638917,291750.15330638917,0.0
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,5.0,360,-0.0643577991711293,60857.43536785655,291750.15330638917,230965.24516752237
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,20.0,360,-0.4224329016774804,16633.65109959726,291750.15330638917,276285.09061172314
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,50.0,360,-0.28028034590127526,7797.666013019971,291750.15330638917,285430.77607458655
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,100.0,360,-0.3327712685639257,4839.172999517792,291750.15330638917,288485.46220695006
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,1.0,360,0.0,1028781.5019961218,1028781.5019961218,0.0
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,5.0,360,-0.8380426459912309,273076.2950766025,1029237.0017687501,769634.8701241657
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,20.0,360,-0.2728256902389515,92336.35597591114,1029640.6015583328,958378.2909738048
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,50.0,360,-0.2208683582338254,53076.38601750178,1029640.6015583328,997750.0019877902
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,100.0,360,-0.2439257057256095,34536.0874338663,1029640.6015583328,1011071.4099622607
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,1.0,360,0.0,191598.09399243657,191598.09399243657,0.0
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,5.0,360,-1.879704296894417,39610.57345167237,191640.22954348102,152071.79164285318
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,20.0,360,-2.3696640263385023,10566.690313373761,191640.22954348102,181517.55690572783
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,50.0,360,-2.562212298997628,4782.817555110805,191640.22954348102,187443.79359272585
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,100.0,360,-2.582473388609097,3025.8337936680587,191640.22954348102,189421.9599607354
mech_009_q0_PR_attrition_moderate,0.85,baseline,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.85,baseline,1.0,360,0.0,460745.5874275216,460745.5874275216,0.0
mech_009_q0_PR_attrition_moderate,0.85,baseline,5.0,360,-1.7419584736321885,105787.10915684768,461384.50323982554,361607.71455310466
mech_009_q0_PR_attrition_moderate,0.85,baseline,20.0,360,-2.1675586001958873,33072.70673386394,461384.50323982554,435217.7989529323
mech_009_q0_PR_attrition_moderate,0.85,baseline,50.0,360,-2.331342010339447,18173.626244998948,461384.50323982554,450189.14841412375
mech_009_q0_PR_attrition_moderate,0.85,baseline,100.0,360,-2.543610090546378,11702.497199887453,461384.50323982554,455198.6049082084
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,1.0,360,0.0,291635.3323994172,291635.3323994172,0.0
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,5.0,360,-2.2118593007026197,61758.46888486527,291675.0701285618,230600.4420601917
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,20.0,360,-2.441573313585251,18748.128298482035,291714.8078577065,275971.3579084048
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,50.0,360,-2.7510047279364107,9548.480194633548,291714.8078577065,285103.7217029894
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,100.0,360,-2.6020019529808267,6190.674169003491,291714.8078577065,287997.63410472136
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,1.0,360,0.0,1028802.7819375616,1028802.7819375616,0.0
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,5.0,360,-0.788866157072661,269959.67522541684,1028902.3479047735,773866.529256654
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,20.0,360,-0.0754784279312955,84145.71115720744,1028902.3479047735,959599.0117940471
