candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,HR_pct,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference
mech_009_PR_comp,0.9,GBseg_rich,1.0,81,0.0,630249.6708997032,630249.6708997032,0.0
mech_009_PR_comp,0.9,GBseg_rich,20.0,81,0.0396964102722805,40983.4498695485,631461.4756758502,586617.9528161462
mech_009_PR_comp,0.9,GBseg_rich,100.0,81,0.0773309474786871,11424.72414906878,631461.4756758502,618218.9399889066
mech_009_PR_comp,0.9,TJ_rich,1.0,81,0.0,102119.0341003896,102119.0341003896,0.0
mech_009_PR_comp,0.9,TJ_rich,20.0,81,-1.0984761857763727,5569.695746061778,102119.0341003896,96469.12477589466
mech_009_PR_comp,0.9,TJ_rich,100.0,81,-0.9788852397173886,1259.5431656208652,102119.0341003896,100625.20465418321
mech_009_PR_comp,0.9,baseline,1.0,81,0.0,263922.1679693068,263922.1679693068,0.0
mech_009_PR_comp,0.9,baseline,20.0,81,-1.1254233095606443,14484.967101497154,263922.1679693068,248926.70357899478
mech_009_PR_comp,0.9,baseline,100.0,81,-1.2853367374211646,3211.7397957206113,263922.1679693068,260184.3243514467
mech_009_PR_comp,0.9,mixed_GBseg_TJ,1.0,81,0.0,160964.95706791527,160964.95706791527,0.0
mech_009_PR_comp,0.9,mixed_GBseg_TJ,20.0,81,-1.6153768707455218,8510.013098579038,160964.95706791527,149340.27635750934
mech_009_PR_comp,0.9,mixed_GBseg_TJ,100.0,81,-1.5903894125447215,1905.1095590966243,160964.95706791527,157379.12310209541
mech_009_PR_comp,0.92,GBseg_rich,1.0,81,0.0,630273.4194897892,630273.4194897892,0.0
mech_009_PR_comp,0.92,GBseg_rich,20.0,81,-0.0355493101936559,40981.20988269512,630273.4194897892,586611.6360929792
mech_009_PR_comp,0.92,GBseg_rich,100.0,81,0.1662961696515862,9381.119652106752,630273.4194897892,618211.7263235676
mech_009_PR_comp,0.92,TJ_rich,1.0,81,0.0,100709.47197948692,100709.47197948692,0.0
mech_009_PR_comp,0.92,TJ_rich,20.0,81,-1.0373757969542896,5474.465763303399,100709.47197948692,94820.98685306936
mech_009_PR_comp,0.92,TJ_rich,100.0,81,-1.0559984870717758,1249.4031314431834,100709.47197948692,98914.00318104976
mech_009_PR_comp,0.92,baseline,1.0,81,0.0,263669.9961941991,263669.9961941991,0.0
mech_009_PR_comp,0.92,baseline,20.0,81,-0.4456079143722889,14406.857896666843,263542.3734670084,248910.66750983745
mech_009_PR_comp,0.92,baseline,100.0,81,-0.8062416068621994,3196.4765769018086,263542.3734670084,260184.0572039297
mech_009_PR_comp,0.92,mixed_GBseg_TJ,1.0,81,0.0,159677.641534576,159677.641534576,0.0
mech_009_PR_comp,0.92,mixed_GBseg_TJ,20.0,81,-1.1927653725732297,8617.084904170148,159677.641534576,150812.21742539364
mech_009_PR_comp,0.92,mixed_GBseg_TJ,100.0,81,-0.8715008675398815,1914.8275576513406,159677.641534576,157382.82110318422
mech_009_disabled,0.85,GBseg_rich,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.85,GBseg_rich,20.0,81,-2.4244095174436397,0.0,0.0,0.0
mech_009_disabled,0.85,GBseg_rich,100.0,81,-2.4702602384011763,0.0,0.0,0.0
mech_009_disabled,0.85,TJ_rich,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.85,TJ_rich,20.0,81,-3.386045261676881,0.0,0.0,0.0
mech_009_disabled,0.85,TJ_rich,100.0,81,-3.2365211132483593,0.0,0.0,0.0
mech_009_disabled,0.85,baseline,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.85,baseline,20.0,81,-2.976168412634616,0.0,0.0,0.0
mech_009_disabled,0.85,baseline,100.0,81,-3.061272008030895,0.0,0.0,0.0
mech_009_disabled,0.85,mixed_GBseg_TJ,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.85,mixed_GBseg_TJ,20.0,81,-2.632834383360843,0.0,0.0,0.0
mech_009_disabled,0.85,mixed_GBseg_TJ,100.0,81,-2.743556571739563,0.0,0.0,0.0
mech_009_disabled,0.88,GBseg_rich,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.88,GBseg_rich,20.0,81,-2.141981500134901,0.0,0.0,0.0
mech_009_disabled,0.88,GBseg_rich,100.0,81,-2.0297381552475926,0.0,0.0,0.0
mech_009_disabled,0.88,TJ_rich,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.88,TJ_rich,20.0,81,-2.7449822075399135,0.0,0.0,0.0
mech_009_disabled,0.88,TJ_rich,100.0,81,-2.5955212625416566,0.0,0.0,0.0
mech_009_disabled,0.88,baseline,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.88,baseline,20.0,81,-2.509891106334799,0.0,0.0,0.0
mech_009_disabled,0.88,baseline,100.0,81,-2.7097504993064154,0.0,0.0,0.0
mech_009_disabled,0.88,mixed_GBseg_TJ,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.88,mixed_GBseg_TJ,20.0,81,-2.788188636402735,0.0,0.0,0.0
mech_009_disabled,0.88,mixed_GBseg_TJ,100.0,81,-2.9039758737244523,0.0,0.0,0.0
mech_009_disabled,0.9,GBseg_rich,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.9,GBseg_rich,20.0,81,-2.004675073375134,0.0,0.0,0.0
mech_009_disabled,0.9,GBseg_rich,100.0,81,-1.9844465984745865,0.0,0.0,0.0
mech_009_disabled,0.9,TJ_rich,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.9,TJ_rich,20.0,81,-2.3666561863375932,0.0,0.0,0.0
mech_009_disabled,0.9,TJ_rich,100.0,81,-2.6544706651644407,0.0,0.0,0.0
mech_009_disabled,0.9,baseline,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.9,baseline,20.0,81,-2.1057922801326825,0.0,0.0,0.0
mech_009_disabled,0.9,baseline,100.0,81,-2.1036462991849705,0.0,0.0,0.0
mech_009_disabled,0.9,mixed_GBseg_TJ,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.9,mixed_GBseg_TJ,20.0,81,-2.4688802120841866,0.0,0.0,0.0
mech_009_disabled,0.9,mixed_GBseg_TJ,100.0,81,-2.576540807916517,0.0,0.0,0.0
mech_009_disabled,0.92,GBseg_rich,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.92,GBseg_rich,20.0,81,-2.1767444078884153,0.0,0.0,0.0
mech_009_disabled,0.92,GBseg_rich,100.0,81,-2.2372755569978167,0.0,0.0,0.0
mech_009_disabled,0.92,TJ_rich,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.92,TJ_rich,20.0,81,-1.5150865689354704,0.0,0.0,0.0
mech_009_disabled,0.92,TJ_rich,100.0,81,-1.4366504760975864,0.0,0.0,0.0
mech_009_disabled,0.92,baseline,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.92,baseline,20.0,81,-1.78916360908004,0.0,0.0,0.0
mech_009_disabled,0.92,baseline,100.0,81,-1.847932021306177,0.0,0.0,0.0
mech_009_disabled,0.92,mixed_GBseg_TJ,1.0,81,0.0,0.0,0.0,0.0
mech_009_disabled,0.92,mixed_GBseg_TJ,20.0,81,-2.1216102436781847,0.0,0.0,0.0
mech_009_disabled,0.92,mixed_GBseg_TJ,100.0,81,-2.153997429667556,0.0,0.0,0.0
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,1.0,81,0.0,1012963.4830104992,1012963.4830104992,0.0
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,20.0,81,0.1996230596230511,72831.1631983371,1013305.770611526,940126.9590915248
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,100.0,81,0.2301341261386213,19104.97290929295,1013305.770611526,994007.3039900388
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,1.0,81,0.0,183484.24586784124,183484.24586784124,0.0
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,20.0,81,-1.3698171487875574,9960.438185749184,183484.24586784124,173112.00600313922
