candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,connected_fine_pore_fraction,connected_fine_difference,pore_mean_radius_nm,large_pore_fraction
mech_009_disabled,0.85,TJ_rich,100.0,81,0.980055818502811,2.2109040228701637e-05,52.32987200766532,0.019944181497189
mech_009_disabled,0.85,baseline,1.0,81,0.9799713812264412,0.0,52.048265063353085,0.0200286187735588
mech_009_disabled,0.85,baseline,20.0,81,0.9800622393065006,4.309129403878842e-05,51.94524650840825,0.0199377606934993
mech_009_disabled,0.85,baseline,100.0,81,0.9800005700374084,2.3699693621037632e-05,51.94818671361918,0.0199994299625916
mech_009_disabled,0.85,mixed_GBseg_TJ,1.0,81,0.9811723614889597,0.0,51.266059825942875,0.01882763851104035
mech_009_disabled,0.85,mixed_GBseg_TJ,20.0,81,0.98119375611397,2.2727979995196268e-05,51.25591435501384,0.018806243886030048
mech_009_disabled,0.85,mixed_GBseg_TJ,100.0,81,0.9811741256929654,1.63815153183533e-05,51.25243054136875,0.0188258743070345
mech_009_disabled,0.88,GBseg_rich,1.0,81,0.976136648393713,0.0,54.591680065072616,0.0238633516062869
mech_009_disabled,0.88,GBseg_rich,20.0,81,0.9761869068030762,4.397129246846987e-05,54.47245881480586,0.0238130931969237
mech_009_disabled,0.88,GBseg_rich,100.0,81,0.9761658526599152,4.587062454464163e-05,54.49482987489671,0.0238341473400847
mech_009_disabled,0.88,TJ_rich,1.0,81,0.9739952997041916,0.0,56.97641500779839,0.02600470029580825
mech_009_disabled,0.88,TJ_rich,20.0,81,0.9740900639256493,4.212063400954591e-06,56.91556956658119,0.0259099360743505
mech_009_disabled,0.88,TJ_rich,100.0,81,0.9741582262502058,2.9990909528376797e-05,56.85184342631169,0.0258417737497943
mech_009_disabled,0.88,baseline,1.0,81,0.9738648597730922,0.0,56.44054981359031,0.0261351402269077
mech_009_disabled,0.88,baseline,20.0,81,0.973907245841127,6.561375782487833e-05,56.29948122796221,0.026092754158873202
mech_009_disabled,0.88,baseline,100.0,81,0.9738413608651213,2.8475616120404723e-05,56.30349260044126,0.0261586391348787
mech_009_disabled,0.88,mixed_GBseg_TJ,1.0,81,0.9762378568793396,0.0,55.126500571938415,0.0237621431206603
mech_009_disabled,0.88,mixed_GBseg_TJ,20.0,81,0.9762685292555406,3.354972902225306e-05,55.095672147696156,0.02373147074445925
mech_009_disabled,0.88,mixed_GBseg_TJ,100.0,81,0.9763094390491422,2.4471177058948967e-05,55.079372080449694,0.0236905609508579
mech_009_disabled,0.9,GBseg_rich,1.0,81,0.9708681314903658,0.0,57.70426345707109,0.0291318685096342
mech_009_disabled,0.9,GBseg_rich,20.0,81,0.9709670099760974,-7.91223401142016e-06,57.74355932734905,0.0290329900239026
mech_009_disabled,0.9,GBseg_rich,100.0,81,0.9709672036365489,6.011012297579832e-05,57.66234908807592,0.0290327963634512
