mode,state_kind,T2_C,initial_rho,initial_G_nm,initial_closed_fraction,initial_A_closed,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,classification,strict_success,diagnostic_injection
renewal_m3_sensitivity,candidate_like_injected,1125,0.88,117.0,0.649,0.152,0.9219296417697733,0.14256733140059896,0.004219547963628711,0.053179684208188964,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1150,0.88,117.0,0.649,0.152,0.9367575071481594,0.16236253074357168,0.005923974692483912,0.06712360900141619,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1175,0.88,117.0,0.649,0.152,0.9566643759448313,0.1946759549070869,0.008066013315679323,0.08381341869110719,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1200,0.88,117.0,0.649,0.152,0.9649303905182415,0.24598739101390835,0.010244522725800941,0.12,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1225,0.88,117.0,0.649,0.152,0.9780891179288441,0.3259668892260091,0.012566864974973233,0.12,GRAIN_GROWTH_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1250,0.88,117.0,0.649,0.152,0.9853540359103659,0.45024144760644086,0.01515845391193284,0.12,GRAIN_GROWTH_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1275,0.88,117.0,0.649,0.152,0.9913970957222824,0.6442258329999312,0.018203760745405504,0.12,GRAIN_GROWTH_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1300,0.88,117.0,0.649,0.152,0.9968285880030073,0.9423356096287467,0.02296607353059456,0.12,GRAIN_GROWTH_FAILURE,False,True
renewal_m3_sensitivity,naturally_prepared,900,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8674453086304101,0.1367544498557835,7.90550769623546e-05,2.8285213627543577e-06,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,925,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8675748939387574,0.1369361237636003,0.00020226885114326933,7.501660034372745e-06,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,950,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8678841022127568,0.13734976904724167,0.0004959253012700039,1.8970913634551558e-05,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,975,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8685869449508288,0.13825832568850616,0.0011622282077070698,4.6268280252403896e-05,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1000,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8700909955414878,0.14018125688071248,0.002584372512775307,0.00010789216990933607,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1025,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8730545199037446,0.144088502145497,0.00537356433320164,0.0002414858271777184,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1050,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8782547260562735,0.1516617995460422,0.010221178211484107,0.000512284583068384,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1075,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8860365580189773,0.165552989559362,0.01734277610728255,0.0010356468457559504,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1100,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.89491189732502,0.1892988873735862,0.025133185942225057,0.0025388339929289993,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1125,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9045871405890867,0.22799445438495525,0.03371865125198479,0.004344508866396059,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1150,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.915595191284257,0.2885581256225409,0.04203634589124949,0.010627312703650199,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1175,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9253124938036423,0.38048469546058855,0.04976344709320794,0.022073561134760267,MIXED_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1200,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.937228412402025,0.5175410729007279,0.05684222565890936,0.03704579601625109,MIXED_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1225,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9460313576944974,0.718472624886428,0.06350216168201953,0.03903190117816101,MIXED_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1250,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9580370941982924,1.005796479122511,0.07051059631367122,0.047576288201333944,MIXED_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1275,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9654664092773808,1.4081937560686224,0.0793935372232642,0.07089552545713652,MIXED_FAILURE,False,False
renewal_m3_sensitivity,naturally_prepared,1300,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9756209920813568,1.9560873486629795,0.09251985682780672,0.13263767570032226,MIXED_FAILURE,False,False
GB_transport_m4,candidate_like_injected,900,0.88,117.0,0.649,0.152,0.999967165954372,0.11715373571310773,1.0938960587099565e-06,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,925,0.88,117.0,0.649,0.152,0.9999671708744822,0.1173717367402156,2.8068493556833044e-06,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,950,0.88,117.0,0.649,0.152,0.9999671826831991,0.11786709380395151,6.9282347244107985e-06,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,975,0.88,117.0,0.649,0.152,0.9999672099130618,0.11895333240964248,1.648464177350686e-05,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,1000,0.88,117.0,0.649,0.152,0.9999672701261233,0.12125057946558204,3.786963493223281e-05,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,1025,0.88,117.0,0.649,0.152,0.9999673971191868,0.12592368377925503,8.407811630880839e-05,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,1050,0.88,117.0,0.649,0.152,0.9999676488407649,0.13501953092626603,0.0001768720243945664,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,1075,0.88,117.0,0.649,0.152,0.9999681058707899,0.15184743278458243,0.0003487567107691134,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,1100,0.88,117.0,0.649,0.152,0.9999688624752329,0.18137237349845878,0.0006594736505792764,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,1125,0.88,117.0,0.649,0.152,0.9999693271517364,0.23072073633271806,0.00108730769037034,0.12,SUCCESS,True,True
GB_transport_m4,candidate_like_injected,1150,0.88,117.0,0.649,0.152,0.9999695090054387,0.3095616318221155,0.0017928714929308324,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m4,candidate_like_injected,1175,0.88,117.0,0.649,0.152,0.9999701251272306,0.43428289372615325,0.003035278975693436,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m4,candidate_like_injected,1200,0.88,117.0,0.649,0.152,0.9999724538474571,0.6314330428134421,0.004631288953321235,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m4,candidate_like_injected,1225,0.88,117.0,0.649,0.152,0.9999743628537231,0.9371323610756971,0.007153608160489091,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m4,candidate_like_injected,1250,0.88,117.0,0.649,0.152,0.9999761514918994,1.3878761785485736,0.010384443477056776,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m4,candidate_like_injected,1275,0.88,117.0,0.649,0.152,0.9999761747696817,2.008444012318235,0.014722062180335758,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m4,candidate_like_injected,1300,0.88,117.0,0.649,0.152,0.9999772268711191,2.800079445436658,0.02056492646633375,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m4,naturally_prepared,900,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9537154293574739,0.13691926588033337,3.773570626534089e-05,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,925,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.953749822307392,0.13733521188460762,9.666925570551333e-05,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,950,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9538330395530801,0.1382812014426173,0.00023771792631737572,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,975,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9540260380506579,0.14035439271603287,0.0005608882797713899,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,1000,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9544521338897827,0.14472402985718807,0.0012655463647251596,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,1025,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9553345245994901,0.15354090124611333,0.0027090751071729632,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,1050,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9570063166479952,0.1704584387963534,0.005427238835323314,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,1075,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9598117350316313,0.2011605166054716,0.009998463531508043,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,1100,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9637316408312531,0.2537998972652007,0.016168910039526273,0.13263767570032226,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m4,naturally_prepared,1125,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9681272162784644,0.3401410576444544,0.023372430449275988,0.13263767570032226,MIXED_FAILURE,False,False
GB_transport_m4,naturally_prepared,1150,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9736267226674975,0.4779002620429576,0.03103180966621677,0.13263767570032226,MIXED_FAILURE,False,False
GB_transport_m4,naturally_prepared,1175,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9789582790701296,0.6933465622672478,0.03872761951185891,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
GB_transport_m4,naturally_prepared,1200,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9834416976079353,1.021572250174001,0.046200000959929204,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
GB_transport_m4,naturally_prepared,1225,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9874184899212195,1.4988084048499861,0.053350293832031444,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
GB_transport_m4,naturally_prepared,1250,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9902461298524335,2.1429175039263826,0.06083909411552603,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
GB_transport_m4,naturally_prepared,1275,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9923213768032643,2.920376502498001,0.07044916578651297,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
GB_transport_m4,naturally_prepared,1300,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9940385839630822,3.8035369448206113,0.08529697216970826,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
GB_transport_m3,candidate_like_injected,900,0.88,117.0,0.649,0.152,0.999967165941176,0.11715373562559839,1.0938964529863695e-06,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,925,0.88,117.0,0.649,0.152,0.9999671708744822,0.1173717367402156,2.8068493556833044e-06,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,950,0.88,117.0,0.649,0.152,0.9999671826831991,0.11786709380395151,6.9282347244107985e-06,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,975,0.88,117.0,0.649,0.152,0.9999672099130618,0.11895333240964248,1.648464177350686e-05,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,1000,0.88,117.0,0.649,0.152,0.9999672701261233,0.12125057946558204,3.786963493223281e-05,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,1025,0.88,117.0,0.649,0.152,0.9999673971191868,0.12592368377925503,8.407811630880839e-05,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,1050,0.88,117.0,0.649,0.152,0.9999676488407649,0.13501953092626603,0.0001768720243945664,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,1075,0.88,117.0,0.649,0.152,0.9999681058707899,0.15184743278458243,0.0003487567107691134,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,1100,0.88,117.0,0.649,0.152,0.9999688624752329,0.18137237349845878,0.0006594736505792764,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,1125,0.88,117.0,0.649,0.152,0.9999693271517364,0.23072073633271806,0.00108730769037034,0.12,SUCCESS,True,True
GB_transport_m3,candidate_like_injected,1150,0.88,117.0,0.649,0.152,0.9999695090054387,0.3095616318221155,0.0017928714929308324,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m3,candidate_like_injected,1175,0.88,117.0,0.649,0.152,0.9999701251272306,0.43428289372615325,0.003035278975693436,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m3,candidate_like_injected,1200,0.88,117.0,0.649,0.152,0.9999724538474571,0.6314330428134421,0.004631288953321235,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m3,candidate_like_injected,1225,0.88,117.0,0.649,0.152,0.9999743628537231,0.9371323610756971,0.007153608160489091,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m3,candidate_like_injected,1250,0.88,117.0,0.649,0.152,0.9999761514918994,1.3878761785485736,0.010384443477056776,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m3,candidate_like_injected,1275,0.88,117.0,0.649,0.152,0.9999761747696817,2.008444012318235,0.014722062180335758,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m3,candidate_like_injected,1300,0.88,117.0,0.649,0.152,0.9999772268711191,2.800079445436658,0.02056492646633375,0.12,GRAIN_GROWTH_FAILURE,False,True
GB_transport_m3,naturally_prepared,900,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9537154293574739,0.13691926588033337,3.773570626534089e-05,0.04263598005894145,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,925,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.953749822307392,0.13733521188460762,9.666925570551333e-05,0.04442311013498323,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,950,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9538330395530801,0.1382812014426173,0.00023771792631737572,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,975,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9540260380506579,0.14035439271603287,0.0005608882797713899,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,1000,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9544521338897827,0.14472402985718807,0.0012655463647251596,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,1025,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9553345245994901,0.15354090124611333,0.0027090751071729632,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,1050,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9570063166479952,0.1704584387963534,0.005427238835323314,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,1075,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9598117350316313,0.2011605166054716,0.009998463531508043,0.04506693492503601,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,1100,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9637316408312531,0.2537998972652007,0.016168910039526273,0.13263767570032226,DENSIFICATION_EXHAUSTION_FAILURE,False,False
GB_transport_m3,naturally_prepared,1125,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9681272162784644,0.3401410576444544,0.023372430449275988,0.13263767570032226,MIXED_FAILURE,False,False
GB_transport_m3,naturally_prepared,1150,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9736267226674975,0.4779002620429576,0.03103180966621677,0.13263767570032226,MIXED_FAILURE,False,False
GB_transport_m3,naturally_prepared,1175,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9789582790701296,0.6933465622672478,0.03872761951185891,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
GB_transport_m3,naturally_prepared,1200,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9834416976079353,1.021572250174001,0.046200000959929204,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
GB_transport_m3,naturally_prepared,1225,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9874184899212195,1.4988084048499861,0.053350293832031444,0.13263767570032226,GRAIN_GROWTH_FAILURE,False,False
