attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,candidate_id,rho_high_final,rho_two_final,G_high_final_nm,G_two_final_nm,window_width_C,lower_bracketed,upper_bracketed,complete
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,26166,0.8316340765163396,0.8316340765163396,490.18053087819067,490.18053087819067,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,188984,0.8171051970018206,0.8171051970018206,496.0900792843617,496.0900792843617,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,151414,0.807805948523356,0.807805948523356,500.7296891145463,500.7296891145463,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,177381,0.823449398112832,0.823449398112832,493.4074418605859,493.4074418605859,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,61998,0.8068799356385631,0.8068799356385631,500.3498682223138,500.3498682223138,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,230346,0.8319872115887545,0.8319872115887545,490.0206910126575,490.0206910126575,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,48175,0.8108200687935322,0.8108200687935322,499.42494031364913,499.42494031364913,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,111511,0.8183948967029959,0.8183948967029959,495.85294119323214,495.85294119323214,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,24147,0.8163920630776571,0.8163920630776571,496.46396588364723,496.46396588364723,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,126179,0.8321982638633887,0.8321982638633887,490.20632985034007,490.20632985034007,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,15179,0.8174718730469468,0.8174718730469468,496.34537725721185,496.34537725721185,0.0,False,True,False
False,0.2642655058867779,0.31292293956189343,0.3699135578919789,0.026999999999997026,0.01689999999999814,0.010212738454551111,Tier_C,,64936,0.9949918768011016,0.9770251800504556,447.14462152537544,220.35120654795946,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,24808,0.8734295803213934,0.8734295803213934,482.21552493285213,482.21552493285213,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,28953,0.804382097600109,0.804382097600109,501.4420220710112,501.4420220710112,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,224135,0.8202379123626663,0.8202379123626663,495.2816107112731,495.2816107112731,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,243248,0.8124821412450811,0.8124821412450811,498.6496408289343,498.6496408289343,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,161736,0.8057701367125153,0.8057701367125153,500.88188340006275,500.88188340006275,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,211825,0.8211523087385244,0.8211523087385244,494.5354291729088,494.5354291729088,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,22957,0.808888973695923,0.808888973695923,499.4813009735235,499.4813009735235,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,211914,0.8438371042139862,0.8438371042139862,486.0035737966068,486.0035737966068,0.0,False,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,165948,0.8423074997382702,0.8423074997382702,485.85629916694734,485.85629916694734,0.0,False,True,False
