comparison_id,comparison_type,density_window,rho_lo,rho_hi,both_paths_attained,uncertainty_class,trajectory_class,max_ratio,median_ratio,integrated_separation,span_ratio_ge_1.2,span_ratio_ge_1.5,span_ratio_ge_2,budget_h
LS002,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS003,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS004,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS005,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS006,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS007,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS008,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS009,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS010,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS011,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS012,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS013,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS014,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS015,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS016,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS017,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS018,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS019,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,1.003781473463872,0.999742143580983,8.45455383393442e-05,0.0,0.0,0.0,96.0
LS020,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9809003447653315,0.8824220265013499,0.0,0.0,0.0,0.0,240.0
LS020,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9809003447653315,0.8824220265013499,0.0,0.0,0.0,0.0,500.0
LS020,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS020,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9925907478400043,0.9863633886083882,0.0,0.0,0.0,0.0,96.0
LS021,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9215015730268281,0.8611586139110242,0.0,0.0,0.0,0.0,240.0
LS021,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9215015730268281,0.8611586139110242,0.0,0.0,0.0,0.0,500.0
LS021,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS021,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9933668319356442,0.9757278826397563,0.0,0.0,0.0,0.0,96.0
LS022,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9174654800209953,0.882590727866373,0.0,0.0,0.0,0.0,240.0
LS022,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9174654800209953,0.882590727866373,0.0,0.0,0.0,0.0,500.0
LS022,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS022,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9933916817945536,0.9812419740533995,0.0,0.0,0.0,0.0,96.0
LS023,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9446696920117092,0.9105292514438795,0.0,0.0,0.0,0.0,240.0
LS023,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,0.9446696920117092,0.9105292514438795,0.0,0.0,0.0,0.0,500.0
LS023,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS023,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS024,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS025,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS026,fast_firing,open_transition,0.85,0.92,True,negligible,trajectory_negligible,1.027752443503241,0.9834147664395012,0.0002793899084073576,0.0,0.0,0.0,96.0
LS026,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS026,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS026,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
