rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G,case_id,budget_h,reference_rate_C_min
0.8170000000000001,301.04408061302473,310.1801981253935,0.9705457744640572,-3.0348105479319183,-0.02989671162851235,LS023,240.0,0.2
0.8180000000000001,301.09554605411046,310.44315164087135,0.9698894772284284,-3.104531338726949,-0.030573154978097757,LS023,240.0,0.2
0.8190000000000001,301.1492160817181,310.7111895566902,0.9692255258376284,-3.17516133675653,-0.031257953368803604,LS023,240.0,0.2
0.8200000000000001,301.20518033771884,310.98443975100315,0.9685538626269716,-3.246710233309917,-0.03195118319832234,LS023,240.0,0.2
0.8210000000000001,301.26353220033263,311.2630339619708,0.9678744320057618,-3.319187585900288,-0.03265291912210963,LS023,240.0,0.2
0.8220000000000001,301.32436894460756,311.5471079217499,0.9671871806310911,-3.392602799749524,-0.03336323387289436,LS023,240.0,0.2
0.8230000000000001,301.38779190996587,311.83680149563435,0.9664920575905318,-3.466965108125524,-0.03408219807001898,LS023,240.0,0.2
0.8240000000000001,301.4539066751345,312.13225882656127,0.9657890145940977,-3.5422835514732443,-0.034809880018134565,LS023,240.0,0.2
0.8250000000000001,301.5228232407906,312.4336284852067,0.9650780061758534,-3.6185669552791833,-0.03554634549476516,LS023,240.0,0.2
0.8260000000000001,301.5946562202704,312.7410636259039,0.9643589899055703,-3.6958239066055283,-0.03629165752623048,LS023,240.0,0.2
0.8270000000000001,301.6695250387035,313.05472214862647,0.9636319266108444,-3.774062729227376,-0.03704587615139413,LS023,240.0,0.2
0.8280000000000001,301.74755414095387,313.37476686729235,0.9628967806100918,-3.8532914573044463,-0.037809058172694046,LS023,240.0,0.2
0.8290000000000001,301.8288732087642,313.70136568465375,0.9621535199568615,-3.933517807515309,-0.03858125689388556,LS023,240.0,0.2
0.8300000000000001,301.9136173875217,314.0346917740498,0.9614021166959181,-4.014749149578796,-0.039362521843903535,LS023,240.0,0.2
0.8310000000000001,302.00192752308004,314.37492376831227,0.9606425471315554,-4.096992475084995,-0.04015289848623586,LS023,240.0,0.2
0.8320000000000001,302.09395040909584,314.72224595612727,0.9598747921086207,-4.18025436455453,-0.04095242791317373,LS023,240.0,0.2
