case_id,late_stage_mode,rho_close_mid,rho_close_width,k_closed_level,Q_closed_kJ_mol,q_closed,gas_pressure_ratio,residual_stress_coupling,pore_detachment_level,G0_nm,rho0,initial_topology,peak_T_C,hold_h,fast_rate_C_min,budget_h,reference_rate_C_min,rho_reference_final,rho_fast_final,max_ratio,meaningful,numerical_censored,non_universal
LS007,gas_limited_closed_pore,0.92,0.03,medium,400.0,1.0,0.0,disabled,low,75.0,0.65,GBseg_rich,1350.0,0.0,5.0,240.0,1.0,0.6999702515033364,0.6652706993574784,1.0,False,False,True
LS007,gas_limited_closed_pore,0.92,0.03,medium,400.0,1.0,0.0,disabled,low,75.0,0.65,GBseg_rich,1350.0,0.0,5.0,500.0,1.0,0.6999702515033364,0.6652706993574784,1.0,False,False,True
LS008,pore_detachment_and_closure,0.94,0.03,medium,400.0,1.0,0.0,disabled,low,100.0,0.7,TJ_rich,1350.0,0.0,20.0,96.0,1.0,0.7171279698657883,0.7009609672468098,1.0,False,False,True
LS008,pore_detachment_and_closure,0.94,0.03,medium,400.0,1.0,0.0,disabled,low,100.0,0.7,TJ_rich,1350.0,0.0,20.0,240.0,1.0,0.7171279698657883,0.7009609672468098,1.0,False,False,True
LS008,pore_detachment_and_closure,0.94,0.03,medium,400.0,1.0,0.0,disabled,low,100.0,0.7,TJ_rich,1350.0,0.0,20.0,500.0,1.0,0.7171279698657883,0.7009609672468098,1.0,False,False,True
LS009,combined_late_stage,0.9,0.01,medium,400.0,1.0,0.0,disabled,low,150.0,0.7,TJ_rich,1350.0,2.0,20.0,96.0,1.0,0.7480388196285761,0.7350417847520496,1.0,False,False,True
LS009,combined_late_stage,0.9,0.01,medium,400.0,1.0,0.0,disabled,low,150.0,0.7,TJ_rich,1350.0,2.0,20.0,240.0,1.0,0.7480388196285761,0.7350417847520496,1.0,False,False,True
LS009,combined_late_stage,0.9,0.01,medium,400.0,1.0,0.0,disabled,low,150.0,0.7,TJ_rich,1350.0,2.0,20.0,500.0,1.0,0.7480388196285761,0.7350417847520496,1.0,False,False,True
LS010,disabled,0.92,0.01,high,400.0,1.0,0.0,disabled,low,225.0,0.75,TJ_rich,1350.0,2.0,20.0,96.0,1.0,0.7901232108651451,0.7788768961278871,1.0,False,False,True
LS010,disabled,0.92,0.01,high,400.0,1.0,0.0,disabled,low,225.0,0.75,TJ_rich,1350.0,2.0,20.0,240.0,1.0,0.7901232108651451,0.7788768961278871,1.0,False,False,True
LS010,disabled,0.92,0.01,high,400.0,1.0,0.0,disabled,low,225.0,0.75,TJ_rich,1350.0,2.0,20.0,500.0,1.0,0.7901232108651451,0.7788768961278871,1.0,False,False,True
LS011,closed_pore_vacancy_transport,0.94,0.01,high,400.0,2.0,0.0,disabled,low,300.0,0.75,TJ_rich,1350.0,2.0,20.0,96.0,1.0,0.7922515917882522,0.7809472939608646,1.0,False,False,True
LS011,closed_pore_vacancy_transport,0.94,0.01,high,400.0,2.0,0.0,disabled,low,300.0,0.75,TJ_rich,1350.0,2.0,20.0,240.0,1.0,0.7922515917882522,0.7809472939608646,1.0,False,False,True
LS011,closed_pore_vacancy_transport,0.94,0.01,high,400.0,2.0,0.0,disabled,low,300.0,0.75,TJ_rich,1350.0,2.0,20.0,500.0,1.0,0.7922515917882522,0.7809472939608646,1.0,False,False,True
LS012,gas_limited_closed_pore,0.9,0.02,high,400.0,2.0,0.0,disabled,low,50.0,0.65,mixed_GBseg_TJ,1400.0,2.0,20.0,96.0,1.0,0.7558121446978914,0.7491140423453824,1.0,False,False,True
LS012,gas_limited_closed_pore,0.9,0.02,high,400.0,2.0,0.0,disabled,low,50.0,0.65,mixed_GBseg_TJ,1400.0,2.0,20.0,240.0,1.0,0.7558121446978914,0.7491140423453824,1.0,False,False,True
LS012,gas_limited_closed_pore,0.9,0.02,high,400.0,2.0,0.0,disabled,low,50.0,0.65,mixed_GBseg_TJ,1400.0,2.0,20.0,500.0,1.0,0.7558121446978914,0.7491140423453824,1.0,False,False,True
LS013,pore_detachment_and_closure,0.92,0.02,high,400.0,2.0,0.25,disabled,low,75.0,0.65,mixed_GBseg_TJ,1400.0,2.0,20.0,96.0,1.0,0.7669658102124562,0.7482087225563768,1.0,False,False,True
LS013,pore_detachment_and_closure,0.92,0.02,high,400.0,2.0,0.25,disabled,low,75.0,0.65,mixed_GBseg_TJ,1400.0,2.0,20.0,240.0,1.0,0.7669658102124562,0.7482087225563768,1.0,False,False,True
LS013,pore_detachment_and_closure,0.92,0.02,high,400.0,2.0,0.25,disabled,low,75.0,0.65,mixed_GBseg_TJ,1400.0,2.0,20.0,500.0,1.0,0.7669658102124562,0.7482087225563768,1.0,False,False,True
LS014,combined_late_stage,0.94,0.02,high,500.0,2.0,0.25,disabled,low,100.0,0.7,mixed_GBseg_TJ,1400.0,2.0,20.0,96.0,1.0,0.7994232867982154,0.7813175526263679,1.0,False,False,True
LS014,combined_late_stage,0.94,0.02,high,500.0,2.0,0.25,disabled,low,100.0,0.7,mixed_GBseg_TJ,1400.0,2.0,20.0,240.0,1.0,0.7994232867982154,0.7813175526263679,1.0,False,False,True
LS014,combined_late_stage,0.94,0.02,high,500.0,2.0,0.25,disabled,low,100.0,0.7,mixed_GBseg_TJ,1400.0,2.0,20.0,500.0,1.0,0.7994232867982154,0.7813175526263679,1.0,False,False,True
LS015,disabled,0.9,0.03,low,500.0,2.0,0.25,disabled,low,150.0,0.7,mixed_GBseg_TJ,1400.0,2.0,20.0,96.0,1.0,0.8015728620677767,0.7791527824661113,1.0,False,False,True
LS015,disabled,0.9,0.03,low,500.0,2.0,0.25,disabled,low,150.0,0.7,mixed_GBseg_TJ,1400.0,2.0,20.0,240.0,1.0,0.8015728620677767,0.7791527824661113,1.0,False,False,True
LS015,disabled,0.9,0.03,low,500.0,2.0,0.25,disabled,low,150.0,0.7,mixed_GBseg_TJ,1400.0,2.0,20.0,500.0,1.0,0.8015728620677767,0.7791527824661113,1.0,False,False,True
LS016,closed_pore_vacancy_transport,0.92,0.03,low,500.0,2.0,0.25,disabled,low,225.0,0.75,baseline,1400.0,2.0,50.0,96.0,1.0,0.8413992793761571,0.8223086869381372,1.0,False,False,True
LS016,closed_pore_vacancy_transport,0.92,0.03,low,500.0,2.0,0.25,disabled,low,225.0,0.75,baseline,1400.0,2.0,50.0,240.0,1.0,0.8413992793761571,0.8223086869381372,1.0,False,False,True
LS016,closed_pore_vacancy_transport,0.92,0.03,low,500.0,2.0,0.25,disabled,low,225.0,0.75,baseline,1400.0,2.0,50.0,500.0,1.0,0.8413992793761571,0.8223086869381372,1.0,False,False,True
LS017,gas_limited_closed_pore,0.94,0.03,low,500.0,2.0,0.25,assist_shrinkage,low,300.0,0.75,baseline,1400.0,2.0,50.0,96.0,1.0,0.8431878670358548,0.8223093235303732,1.0,False,False,True
LS017,gas_limited_closed_pore,0.94,0.03,low,500.0,2.0,0.25,assist_shrinkage,low,300.0,0.75,baseline,1400.0,2.0,50.0,240.0,1.0,0.8431878670358548,0.8223093235303732,1.0,False,False,True
LS017,gas_limited_closed_pore,0.94,0.03,low,500.0,2.0,0.25,assist_shrinkage,low,300.0,0.75,baseline,1400.0,2.0,50.0,500.0,1.0,0.8431878670358548,0.8223093235303732,1.0,False,False,True
LS018,pore_detachment_and_closure,0.9,0.01,low,500.0,2.0,0.25,assist_shrinkage,low,50.0,0.65,baseline,1450.0,8.0,50.0,96.0,1.0,0.8880568403894128,0.8930239474860883,1.0310743730650707,False,False,True
LS018,pore_detachment_and_closure,0.9,0.01,low,500.0,2.0,0.25,assist_shrinkage,low,50.0,0.65,baseline,1450.0,8.0,50.0,240.0,1.0,0.8880568403894128,0.8930239474860883,1.0310743730650707,False,False,True
LS018,pore_detachment_and_closure,0.9,0.01,low,500.0,2.0,0.25,assist_shrinkage,low,50.0,0.65,baseline,1450.0,8.0,50.0,500.0,1.0,0.8880568403894128,0.8930239474860883,1.0310743730650707,False,False,True
LS019,combined_late_stage,0.92,0.01,low,500.0,2.0,0.25,assist_shrinkage,medium,75.0,0.65,baseline,1450.0,8.0,50.0,96.0,1.0,0.8942437695168476,0.8933642979992098,1.0006973571476891,False,False,True
LS019,combined_late_stage,0.92,0.01,low,500.0,2.0,0.25,assist_shrinkage,medium,75.0,0.65,baseline,1450.0,8.0,50.0,240.0,0.2,0.9020548756153006,0.8933642979992098,1.087075938438946,False,False,True
LS019,combined_late_stage,0.92,0.01,low,500.0,2.0,0.25,assist_shrinkage,medium,75.0,0.65,baseline,1450.0,8.0,50.0,500.0,0.2,0.9020548756153006,0.8933642979992098,1.087075938438946,False,False,True
LS020,disabled,0.94,0.01,medium,500.0,2.0,0.25,assist_shrinkage,medium,100.0,0.7,GBseg_rich,1450.0,8.0,50.0,96.0,1.0,0.9328357841478183,0.9346758554496265,1.003781473463872,False,False,True
LS020,disabled,0.94,0.01,medium,500.0,2.0,0.25,assist_shrinkage,medium,100.0,0.7,GBseg_rich,1450.0,8.0,50.0,240.0,0.2,0.9382808386503247,0.9346758554496265,1.0486619603852314,False,False,True
LS020,disabled,0.94,0.01,medium,500.0,2.0,0.25,assist_shrinkage,medium,100.0,0.7,GBseg_rich,1450.0,8.0,50.0,500.0,0.2,0.9382808386503247,0.9346758554496265,1.0486619603852314,False,False,True
LS021,closed_pore_vacancy_transport,0.9,0.02,medium,600.0,2.0,0.25,assist_shrinkage,medium,150.0,0.7,GBseg_rich,1450.0,8.0,50.0,96.0,1.0,0.9362586551100552,0.9351827924311557,1.0,False,False,True
LS021,closed_pore_vacancy_transport,0.9,0.02,medium,600.0,2.0,0.25,assist_shrinkage,medium,150.0,0.7,GBseg_rich,1450.0,8.0,50.0,240.0,0.2,0.9447419689369793,0.9351827924311557,1.0,False,False,True
LS021,closed_pore_vacancy_transport,0.9,0.02,medium,600.0,2.0,0.25,assist_shrinkage,medium,150.0,0.7,GBseg_rich,1450.0,8.0,50.0,500.0,0.2,0.9447419689369793,0.9351827924311557,1.0,False,False,True
LS022,gas_limited_closed_pore,0.92,0.02,medium,600.0,3.0,0.25,assist_shrinkage,medium,225.0,0.75,GBseg_rich,1450.0,8.0,50.0,96.0,1.0,0.9468359770497718,0.9448055899173311,1.0039063596277238,False,False,True
LS022,gas_limited_closed_pore,0.92,0.02,medium,600.0,3.0,0.25,assist_shrinkage,medium,225.0,0.75,GBseg_rich,1450.0,8.0,50.0,240.0,0.2,0.9549660707739256,0.9448055899173311,1.0,False,False,True
LS022,gas_limited_closed_pore,0.92,0.02,medium,600.0,3.0,0.25,assist_shrinkage,medium,225.0,0.75,GBseg_rich,1450.0,8.0,50.0,500.0,0.2,0.9549660707739256,0.9448055899173311,1.0,False,False,True
LS023,pore_detachment_and_closure,0.94,0.02,medium,600.0,3.0,0.25,assist_shrinkage,medium,300.0,0.75,GBseg_rich,1450.0,8.0,50.0,96.0,1.0,0.9473489592069005,0.9443673241870005,1.0,False,False,True
LS023,pore_detachment_and_closure,0.94,0.02,medium,600.0,3.0,0.25,assist_shrinkage,medium,300.0,0.75,GBseg_rich,1450.0,8.0,50.0,240.0,0.2,0.9564203603011879,0.9443673241870005,1.0,False,False,True
LS023,pore_detachment_and_closure,0.94,0.02,medium,600.0,3.0,0.25,assist_shrinkage,medium,300.0,0.75,GBseg_rich,1450.0,8.0,50.0,500.0,0.2,0.9564203603011879,0.9443673241870005,1.0,False,False,True
LS024,combined_late_stage,0.9,0.03,medium,600.0,3.0,0.25,assist_shrinkage,medium,50.0,0.65,TJ_rich,1500.0,8.0,100.0,96.0,1.0,0.910745777731859,0.9106628605481838,1.1436951691320327,False,False,True
LS024,combined_late_stage,0.9,0.03,medium,600.0,3.0,0.25,assist_shrinkage,medium,50.0,0.65,TJ_rich,1500.0,8.0,100.0,240.0,0.2,0.9090850253144616,0.9106628605481838,2.0236810600710315,False,False,True
LS024,combined_late_stage,0.9,0.03,medium,600.0,3.0,0.25,assist_shrinkage,medium,50.0,0.65,TJ_rich,1500.0,8.0,100.0,500.0,0.2,0.9090850253144616,0.9106628605481838,2.0236810600710315,False,False,True
LS025,disabled,0.92,0.03,high,600.0,3.0,0.25,assist_shrinkage,medium,75.0,0.65,TJ_rich,1500.0,8.0,100.0,96.0,1.0,0.9144901833199168,0.9109711145872426,1.055310001840192,False,False,True
LS025,disabled,0.92,0.03,high,600.0,3.0,0.25,assist_shrinkage,medium,75.0,0.65,TJ_rich,1500.0,8.0,100.0,240.0,0.2,0.9202942283204134,0.9109711145872426,1.3147140427549902,False,False,True
LS025,disabled,0.92,0.03,high,600.0,3.0,0.25,assist_shrinkage,medium,75.0,0.65,TJ_rich,1500.0,8.0,100.0,500.0,0.2,0.9202942283204134,0.9109711145872426,1.3147140427549902,False,False,True
LS026,closed_pore_vacancy_transport,0.94,0.03,high,600.0,3.0,0.5,assist_shrinkage,medium,100.0,0.7,TJ_rich,1500.0,8.0,100.0,96.0,1.0,0.9261124094233271,0.9224031665476153,1.0306979703269725,False,False,True
LS026,closed_pore_vacancy_transport,0.94,0.03,high,600.0,3.0,0.5,assist_shrinkage,medium,100.0,0.7,TJ_rich,1500.0,8.0,100.0,240.0,0.2,0.9347778117033649,0.9224031665476153,1.1330910247066472,False,False,True
LS026,closed_pore_vacancy_transport,0.94,0.03,high,600.0,3.0,0.5,assist_shrinkage,medium,100.0,0.7,TJ_rich,1500.0,8.0,100.0,500.0,0.2,0.9347778117033649,0.9224031665476153,1.1330910247066472,False,False,True
LS027,gas_limited_closed_pore,0.9,0.01,high,600.0,3.0,0.5,assist_shrinkage,medium,150.0,0.7,TJ_rich,1500.0,20.0,100.0,96.0,1.0,0.9545172227955995,0.9534905695896674,1.0221943813575411,False,False,True
LS027,gas_limited_closed_pore,0.9,0.01,high,600.0,3.0,0.5,assist_shrinkage,medium,150.0,0.7,TJ_rich,1500.0,20.0,100.0,240.0,0.2,0.9589556973488784,0.9534905695896674,1.0777275895502707,False,False,True
LS027,gas_limited_closed_pore,0.9,0.01,high,600.0,3.0,0.5,assist_shrinkage,medium,150.0,0.7,TJ_rich,1500.0,20.0,100.0,500.0,0.2,0.9589556973488784,0.9534905695896674,1.0777275895502707,False,False,True
LS028,pore_detachment_and_closure,0.92,0.01,high,300.0,3.0,0.5,assist_shrinkage,medium,225.0,0.75,mixed_GBseg_TJ,1500.0,20.0,100.0,96.0,1.0,0.9692565449259307,0.9686306910142501,1.0212839973860737,False,False,True
LS028,pore_detachment_and_closure,0.92,0.01,high,300.0,3.0,0.5,assist_shrinkage,medium,225.0,0.75,mixed_GBseg_TJ,1500.0,20.0,100.0,240.0,0.2,0.9716916937814528,0.9686306910142501,1.0610347354798568,False,False,True
LS028,pore_detachment_and_closure,0.92,0.01,high,300.0,3.0,0.5,assist_shrinkage,medium,225.0,0.75,mixed_GBseg_TJ,1500.0,20.0,100.0,500.0,0.2,0.9716916937814528,0.9686306910142501,1.0610347354798568,False,False,True
LS029,combined_late_stage,0.94,0.01,high,300.0,3.0,0.5,assist_shrinkage,medium,300.0,0.75,mixed_GBseg_TJ,1500.0,20.0,100.0,96.0,1.0,0.9689455241919527,0.9684439722283382,1.016941680274395,False,False,True
LS029,combined_late_stage,0.94,0.01,high,300.0,3.0,0.5,assist_shrinkage,medium,300.0,0.75,mixed_GBseg_TJ,1500.0,20.0,100.0,240.0,0.2,0.9713524375334478,0.9684439722283382,1.0479654654988353,False,False,True
LS029,combined_late_stage,0.94,0.01,high,300.0,3.0,0.5,assist_shrinkage,medium,300.0,0.75,mixed_GBseg_TJ,1500.0,20.0,100.0,500.0,0.2,0.9713524375334478,0.9684439722283382,1.0479654654988353,False,False,True
LS030,disabled,0.9,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,50.0,0.65,mixed_GBseg_TJ,1300.0,20.0,100.0,96.0,1.0,0.7683021826473657,0.774585346186484,1.0175592247880114,False,False,True
LS030,disabled,0.9,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,50.0,0.65,mixed_GBseg_TJ,1300.0,20.0,100.0,240.0,1.0,0.7683021826473657,0.774585346186484,1.0175592247880114,False,False,True
LS030,disabled,0.9,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,50.0,0.65,mixed_GBseg_TJ,1300.0,20.0,100.0,500.0,1.0,0.7683021826473657,0.774585346186484,1.0175592247880114,False,False,True
LS031,closed_pore_vacancy_transport,0.92,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,75.0,0.65,mixed_GBseg_TJ,1300.0,20.0,100.0,96.0,1.0,0.7947264611492064,0.798521503775904,1.0077603463186284,False,False,True
LS031,closed_pore_vacancy_transport,0.92,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,75.0,0.65,mixed_GBseg_TJ,1300.0,20.0,100.0,240.0,1.0,0.7947264611492064,0.798521503775904,1.0077603463186284,False,False,True
LS031,closed_pore_vacancy_transport,0.92,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,75.0,0.65,mixed_GBseg_TJ,1300.0,20.0,100.0,500.0,1.0,0.7947264611492064,0.798521503775904,1.0077603463186284,False,False,True
LS032,gas_limited_closed_pore,0.94,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,100.0,0.7,baseline,1300.0,20.0,5.0,96.0,1.0,0.8324973370503641,0.8359400871256921,1.0079957948596765,False,False,True
LS032,gas_limited_closed_pore,0.94,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,100.0,0.7,baseline,1300.0,20.0,5.0,240.0,1.0,0.8324973370503641,0.8359400871256921,1.0079957948596765,False,False,True
LS032,gas_limited_closed_pore,0.94,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,100.0,0.7,baseline,1300.0,20.0,5.0,500.0,1.0,0.8324973370503641,0.8359400871256921,1.0079957948596765,False,False,True
LS033,pore_detachment_and_closure,0.9,0.03,low,300.0,1.0,0.5,assist_shrinkage,medium,150.0,0.7,baseline,1300.0,20.0,5.0,96.0,1.0,0.8411997905317254,0.8422297783491175,1.0026054410977407,False,False,True
LS033,pore_detachment_and_closure,0.9,0.03,low,300.0,1.0,0.5,assist_shrinkage,medium,150.0,0.7,baseline,1300.0,20.0,5.0,240.0,1.0,0.8411997905317254,0.8422297783491175,1.0026054410977407,False,False,True
LS033,pore_detachment_and_closure,0.9,0.03,low,300.0,1.0,0.5,assist_shrinkage,medium,150.0,0.7,baseline,1300.0,20.0,5.0,500.0,1.0,0.8411997905317254,0.8422297783491175,1.0026054410977407,False,False,True
LS034,combined_late_stage,0.92,0.03,low,300.0,1.0,0.5,oppose_or_crack_like,medium,225.0,0.75,baseline,1300.0,20.0,5.0,96.0,1.0,0.868144068026689,0.8677987943375696,1.001390410559901,False,False,True
LS034,combined_late_stage,0.92,0.03,low,300.0,1.0,0.5,oppose_or_crack_like,medium,225.0,0.75,baseline,1300.0,20.0,5.0,240.0,1.0,0.868144068026689,0.8677987943375696,1.001390410559901,False,False,True
LS034,combined_late_stage,0.92,0.03,low,300.0,1.0,0.5,oppose_or_crack_like,medium,225.0,0.75,baseline,1300.0,20.0,5.0,500.0,1.0,0.868144068026689,0.8677987943375696,1.001390410559901,False,False,True
LS035,disabled,0.94,0.03,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,300.0,0.75,baseline,1300.0,20.0,5.0,96.0,1.0,0.8698949069578248,0.8691280203845289,1.0006499938919973,False,False,True
LS035,disabled,0.94,0.03,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,300.0,0.75,baseline,1300.0,20.0,5.0,240.0,1.0,0.8698949069578248,0.8691280203845289,1.0006499938919973,False,False,True
LS035,disabled,0.94,0.03,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,300.0,0.75,baseline,1300.0,20.0,5.0,500.0,1.0,0.8698949069578248,0.8691280203845289,1.0006499938919973,False,False,True
LS036,closed_pore_vacancy_transport,0.9,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,50.0,0.65,GBseg_rich,1350.0,48.0,5.0,96.0,1.0,0.918551106975105,0.9240815561391029,1.0396816927562131,False,False,True
LS036,closed_pore_vacancy_transport,0.9,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,50.0,0.65,GBseg_rich,1350.0,48.0,5.0,240.0,0.2,0.9004425656121275,0.9240815561391029,1.2487294283726715,False,False,True
LS036,closed_pore_vacancy_transport,0.9,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,50.0,0.65,GBseg_rich,1350.0,48.0,5.0,500.0,0.2,0.9004425656121275,0.9240815561391029,1.2487294283726715,False,False,True
LS037,gas_limited_closed_pore,0.92,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,75.0,0.65,GBseg_rich,1350.0,48.0,5.0,96.0,1.0,0.9298272228719844,0.9330458100930498,1.0340386987991845,False,False,True
LS037,gas_limited_closed_pore,0.92,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,75.0,0.65,GBseg_rich,1350.0,48.0,5.0,240.0,0.2,0.9200434457424211,0.9330458100930498,1.1327013731812183,False,False,True
LS037,gas_limited_closed_pore,0.92,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,75.0,0.65,GBseg_rich,1350.0,48.0,5.0,500.0,0.2,0.9200434457424211,0.9330458100930498,1.1327013731812183,False,False,True
LS038,pore_detachment_and_closure,0.94,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,high,100.0,0.7,GBseg_rich,1350.0,48.0,5.0,96.0,1.0,0.9434223140514629,0.9458233609934745,1.0309564907235966,False,False,True
LS038,pore_detachment_and_closure,0.94,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,high,100.0,0.7,GBseg_rich,1350.0,48.0,5.0,240.0,0.2,0.9371818354182846,0.9458233609934745,1.0829268006207127,False,False,True
LS038,pore_detachment_and_closure,0.94,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,high,100.0,0.7,GBseg_rich,1350.0,48.0,5.0,500.0,0.2,0.9371818354182846,0.9458233609934745,1.0829268006207127,False,False,True
LS039,combined_late_stage,0.9,0.02,medium,400.0,1.0,0.75,oppose_or_crack_like,high,150.0,0.7,GBseg_rich,1350.0,48.0,5.0,96.0,1.0,0.949420430066978,0.9504426379768551,1.014854486051144,False,True,True
LS039,combined_late_stage,0.9,0.02,medium,400.0,1.0,0.75,oppose_or_crack_like,high,150.0,0.7,GBseg_rich,1350.0,48.0,5.0,240.0,0.2,0.9449937447770558,0.9504426379768551,1.0346684148406962,False,True,True
LS039,combined_late_stage,0.9,0.02,medium,400.0,1.0,0.75,oppose_or_crack_like,high,150.0,0.7,GBseg_rich,1350.0,48.0,5.0,500.0,0.2,0.9449937447770558,0.9504426379768551,1.0346684148406962,False,True,True
