figure_id,panel_id,run_id,path_label,case_id,initial_state_id,schedule_id,path_type,physical_time_s,physical_time_h,T_C,rho,G_nm,G_um,phi_open_total,phi_iso_total,phi_closed_total,pore_D50_nm,pore_D90_nm,connected_fine_pore_fraction,large_pore_fraction,rho_dot_open,rho_dot_closed,rho_dot_total,cumulative_open_density_gain,cumulative_closed_density_gain,PR_memory,PR_work,A_closed_available,A_closed_used,A_closed_recovered,activity,Gstar_eV,sigma_eff,tau_nuc,tau_exchange,tau_transport,tau_cycle,Gamma_migration,G_dot_intrinsic,G_dot_actual,mechanism_mode,closed_law_mode,mobility_case,densification_rate,sigma_eff_MPa
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,154628.6004902555,42.95238902507098,1464.60960995914,0.9991816944711409,4758.576935649027,4.758576935649027,1.917411850642732e-05,0.000787782309815292,1.1349100537359317e-05,40.0,40.0,1.0,,7.060803937581944e-11,2.039588929121798e-08,2.0466497330593802e-08,0.27330139428151234,0.07598264067756838,0.6301244261994214,0.0021777568668353586,0.9968876453849216,,,0.9446100450866932,,250000000.0,17.597021578735433,105.03372282057238,195.0626280953487,317.6933724946565,0.4722182484000114,4.0604752072207483e-10,1.9174304900254552e-10,defined_closed_laws_port,resolved_proxy_current,current_default,2.0466497330593802e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,155378.35952484573,43.16065542356826,1467.0877324141443,0.9992024154421597,4902.7665753761285,4.902766575376129,1.8509534094597357e-05,0.0007694709891337295,9.604034611939765e-06,40.0,40.0,1.0,,6.484649368290003e-11,7.745793726107432e-08,7.752278375475722e-08,0.27330144290075686,0.07604071546583059,0.6298882349763542,0.0021777568668425464,0.996959799563353,,,0.9480181823190776,,250000000.0,16.849129923114518,107.55007775018511,199.73585867891524,324.13506635221484,0.46956156212790534,4.101646015701085e-10,1.9259753104283006e-10,defined_closed_laws_port,resolved_proxy_current,current_default,7.752278375475722e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,156138.9439401121,43.37192887225336,1469.6156686701065,0.9992201445744132,5051.325305376601,5.051325305376601,1.7861406985949808e-05,0.0007513335914639851,1.066042713685819e-05,40.0,40.0,1.0,,5.954394438706527e-11,1.9413342322634783e-08,1.9472886267021848e-08,0.273301488188953,0.07605548095144941,0.6296487237535391,0.002177756866848951,0.9970988170510533,,,0.9512334392866101,,250000000.0,16.12099761440026,110.05884203032059,204.39499234202395,330.5748319867448,0.4744572071286587,4.14607670417759e-10,1.9671359736052932e-10,defined_closed_laws_port,resolved_proxy_current,current_default,1.9472886267021848e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,156914.38615199653,43.5873294866657,1472.1792267966362,0.9992405349708451,5204.385513454817,5.204385513454817,1.7226317384820723e-05,0.0007332851436011401,8.953568168920744e-06,40.0,40.0,1.0,,5.4667625416188095e-11,7.622007918303081e-08,7.6274746808447e-08,0.27330153058053736,0.0761145852182411,0.6294046272043615,0.002177756866854704,0.9971574145102521,,,0.9542631708736204,,250000000.0,15.41674737831779,112.58043204086172,209.07794521874322,337.0751246379227,0.4715530729792407,4.1928846061879616e-10,1.977167620695287e-10,defined_closed_laws_port,resolved_proxy_current,current_default,7.6274746808447e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,157700.22466758324,43.805617963217564,1474.7921479087536,0.9992579472967685,5362.083598898011,5.3620835988980105,1.660794322138483e-05,0.0007154406820381099,1.0004077971917125e-05,40.0,40.0,1.0,,5.018173285445616e-11,1.8450053643829422e-08,1.850023537668388e-08,0.27330157001527583,0.07612908398100907,0.6291573543946942,0.0021777568668598563,0.9972858511178727,,,0.9571183287284115,,250000000.0,14.732573321436318,115.09079375874482,213.7400455519547,343.56341263213585,0.4765098924529013,4.243050043238738e-10,2.0218553197759693e-10,defined_closed_laws_port,resolved_proxy_current,current_default,1.850023537668388e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,158500.76409879402,44.02799002744278,1477.4392204702262,0.9992779461870795,5524.560094028219,5.52456009402822,1.600285530329962e-05,0.0006977122293597277,8.33872825741534e-06,40.0,40.0,1.0,,4.605806458393517e-11,7.480098432354612e-08,7.484704238813005e-08,0.2733016068865727,0.07618896511845344,0.6289055553584947,0.0021777568668645076,0.9973326594148044,,,0.9598058426622443,,250000000.0,14.07235581019807,117.61299595369248,218.42413534257176,350.1094871064623,0.47337157762527526,4.2956131893111003e-10,2.0334211922921356e-10,defined_closed_laws_port,resolved_proxy_current,current_default,7.484704238813005e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,159311.23710152233,44.25312141708954,1480.1351009529849,0.9992949914246805,5691.959789437368,5.691959789437369,1.5414625013033684e-05,0.0006802151594227775,9.378790883760511e-06,40.0,40.0,1.0,,4.226606188447292e-11,1.7507170111525943e-08,1.7549436173410415e-08,0.2733016411420748,0.076203154207183,0.6286507342957813,0.0021777568668686917,0.9974518908520261,,,0.9623359860064834,,250000000.0,13.432277605854237,120.12069241288695,223.08128590964722,356.63425592838837,0.47839681559817715,4.3516401916033144e-10,2.081810810292067e-10,defined_closed_laws_port,resolved_proxy_current,current_default,1.7549436173410415e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,160136.22780128606,44.48228550035724,1482.8635582902057,0.9993145438497554,5864.43186301711,5.86443186301711,1.4839828080868968e-05,0.0006628588188769323,7.757503286801885e-06,40.0,40.0,1.0,,3.878151345236874e-11,7.321766979914717e-08,7.325645131259955e-08,0.2733016731364627,0.07626355810382567,0.6283914544451357,0.0021777568668724864,0.9974886010037903,,,0.9647152223828341,,250000000.0,12.815967959275703,122.63973518297462,227.75950819695288,363.21521133920317,0.47503564133823567,4.410088760598615e-10,2.094949342749508e-10,defined_closed_laws_port,resolved_proxy_current,current_default,7.325645131259955e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,160970.66215396748,44.71407282054652,1485.6401899277248,0.9993311755306139,6042.130012898392,6.042130012898392,1.4281915081932092e-05,0.0006457583288835354,8.784225420622616e-06,40.0,40.0,1.0,,3.55783883520348e-11,1.658189930727365e-08,1.6617477695625685e-08,0.27330170282429217,0.07627739461024036,0.6281293151966234,0.002177756866875914,0.9975999046522595,,,0.9669531123900523,,250000000.0,12.219628014875322,125.14136333330404,232.40538904756468,369.766380395744,0.4801383303528962,4.4721167656378636e-10,2.1472346769965583e-10,defined_closed_laws_port,resolved_proxy_current,current_default,1.6617477695625685e-08,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,161819.41464482129,44.949837401339245,1488.4477372149022,0.9993502353726684,6225.212594419226,6.225212594419226,1.3737478595100504e-05,0.0006288206411233324,7.206507613126749e-06,40.0,40.0,1.0,,3.26359499093322e-11,7.14981209191497e-08,7.153075686905903e-08,0.2733017305241359,0.07633807881846186,0.6278627897420681,0.002177756866879034,0.9976280831113764,,,0.9690556314157579,,250000000.0,11.64663540443739,127.65434713094184,237.07235895746345,376.37334149284266,0.47655793118372497,4.5365930812576614e-10,2.1619494134265516e-10,defined_closed_laws_port,resolved_proxy_current,current_default,7.153075686905903e-08,250.0
