case_id,mode,rho0,G0_nm,peak_T_C,fast_rate_C_min,both_paths_attained,max_ratio,median_ratio,meaningful_span,meaningful,strong,tail_only,classification
dis_r0.75_G75_T1500,disabled,0.75,75.0,1500.0,100.0,False,2.0380915349270103,1.6005055860493937,0.0,False,False,True,weak
dis_r0.75_G150_T1350,disabled,0.75,150.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G150_T1350,disabled,0.75,150.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G150_T1400,disabled,0.75,150.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G150_T1400,disabled,0.75,150.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G150_T1450,disabled,0.75,150.0,1450.0,20.0,False,1.426070128788144,1.3422200096689765,0.0,False,False,False,weak
dis_r0.75_G150_T1450,disabled,0.75,150.0,1450.0,100.0,False,1.4522077251207577,1.363845847706564,0.0,False,False,False,weak
dis_r0.75_G150_T1500,disabled,0.75,150.0,1500.0,20.0,False,1.9169342912976153,1.4837962718520767,0.0,False,False,False,weak
dis_r0.75_G150_T1500,disabled,0.75,150.0,1500.0,100.0,False,1.9652648207014416,1.5121182656940633,0.0,False,False,False,weak
dis_r0.75_G225_T1350,disabled,0.75,225.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G225_T1350,disabled,0.75,225.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G225_T1400,disabled,0.75,225.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G225_T1400,disabled,0.75,225.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G225_T1450,disabled,0.75,225.0,1450.0,20.0,False,1.3775093722757714,1.2868500896326598,0.0,False,False,False,weak
dis_r0.75_G225_T1450,disabled,0.75,225.0,1450.0,100.0,False,1.3992856140020873,1.3032918314986428,0.0,False,False,False,weak
dis_r0.75_G225_T1500,disabled,0.75,225.0,1500.0,20.0,False,1.8011132216263204,1.4033636656512747,0.0,False,False,False,weak
dis_r0.75_G225_T1500,disabled,0.75,225.0,1500.0,100.0,False,1.840244712577171,1.4225632370843424,0.0,False,False,False,weak
per_r0.65_G75_T1350,persistent_defect_memory,0.65,75.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G75_T1350,persistent_defect_memory,0.65,75.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G75_T1400,persistent_defect_memory,0.65,75.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G75_T1400,persistent_defect_memory,0.65,75.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G75_T1450,persistent_defect_memory,0.65,75.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G75_T1450,persistent_defect_memory,0.65,75.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G75_T1500,persistent_defect_memory,0.65,75.0,1500.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G75_T1500,persistent_defect_memory,0.65,75.0,1500.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G150_T1350,persistent_defect_memory,0.65,150.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G150_T1350,persistent_defect_memory,0.65,150.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G150_T1400,persistent_defect_memory,0.65,150.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G150_T1400,persistent_defect_memory,0.65,150.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G150_T1450,persistent_defect_memory,0.65,150.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G150_T1450,persistent_defect_memory,0.65,150.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G150_T1500,persistent_defect_memory,0.65,150.0,1500.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G150_T1500,persistent_defect_memory,0.65,150.0,1500.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G225_T1350,persistent_defect_memory,0.65,225.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G225_T1350,persistent_defect_memory,0.65,225.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G225_T1400,persistent_defect_memory,0.65,225.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G225_T1400,persistent_defect_memory,0.65,225.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G225_T1450,persistent_defect_memory,0.65,225.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G225_T1450,persistent_defect_memory,0.65,225.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G225_T1500,persistent_defect_memory,0.65,225.0,1500.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.65_G225_T1500,persistent_defect_memory,0.65,225.0,1500.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G75_T1350,persistent_defect_memory,0.7,75.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G75_T1350,persistent_defect_memory,0.7,75.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G75_T1400,persistent_defect_memory,0.7,75.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G75_T1400,persistent_defect_memory,0.7,75.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G75_T1450,persistent_defect_memory,0.7,75.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G75_T1450,persistent_defect_memory,0.7,75.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G75_T1500,persistent_defect_memory,0.7,75.0,1500.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G75_T1500,persistent_defect_memory,0.7,75.0,1500.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G150_T1350,persistent_defect_memory,0.7,150.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G150_T1350,persistent_defect_memory,0.7,150.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G150_T1400,persistent_defect_memory,0.7,150.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G150_T1400,persistent_defect_memory,0.7,150.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G150_T1450,persistent_defect_memory,0.7,150.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G150_T1450,persistent_defect_memory,0.7,150.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G150_T1500,persistent_defect_memory,0.7,150.0,1500.0,20.0,False,2.523329036103302,2.377265692916202,0.0,False,False,False,weak
per_r0.70_G150_T1500,persistent_defect_memory,0.7,150.0,1500.0,100.0,False,2.8566676353096914,2.6837274844089074,0.0,False,False,False,weak
per_r0.70_G225_T1350,persistent_defect_memory,0.7,225.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G225_T1350,persistent_defect_memory,0.7,225.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G225_T1400,persistent_defect_memory,0.7,225.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G225_T1400,persistent_defect_memory,0.7,225.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G225_T1450,persistent_defect_memory,0.7,225.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G225_T1450,persistent_defect_memory,0.7,225.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.70_G225_T1500,persistent_defect_memory,0.7,225.0,1500.0,20.0,False,2.1747381834099886,1.9935633703962374,0.0,False,False,False,weak
per_r0.70_G225_T1500,persistent_defect_memory,0.7,225.0,1500.0,100.0,False,2.3595056284167604,2.1508806653554173,0.0,False,False,False,weak
per_r0.75_G75_T1350,persistent_defect_memory,0.75,75.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G75_T1350,persistent_defect_memory,0.75,75.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G75_T1400,persistent_defect_memory,0.75,75.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G75_T1400,persistent_defect_memory,0.75,75.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G75_T1450,persistent_defect_memory,0.75,75.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G75_T1450,persistent_defect_memory,0.75,75.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G75_T1500,persistent_defect_memory,0.75,75.0,1500.0,20.0,False,3.125272669141246,2.7723934469619116,0.0,False,False,False,weak
per_r0.75_G75_T1500,persistent_defect_memory,0.75,75.0,1500.0,100.0,False,3.7299905147996912,3.2845644473315487,0.0,False,False,False,weak
per_r0.75_G150_T1350,persistent_defect_memory,0.75,150.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G150_T1350,persistent_defect_memory,0.75,150.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G150_T1400,persistent_defect_memory,0.75,150.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G150_T1400,persistent_defect_memory,0.75,150.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G150_T1450,persistent_defect_memory,0.75,150.0,1450.0,20.0,False,1.9131952913561092,1.8512368078228594,0.0,False,False,False,weak
per_r0.75_G150_T1450,persistent_defect_memory,0.75,150.0,1450.0,100.0,False,2.048122031689941,1.9769163314197484,0.0,False,False,False,weak
per_r0.75_G150_T1500,persistent_defect_memory,0.75,150.0,1500.0,20.0,False,2.612227325114279,2.143769876205268,0.0,False,False,False,weak
per_r0.75_G150_T1500,persistent_defect_memory,0.75,150.0,1500.0,100.0,False,2.954466659692379,2.396502445810466,0.0,False,False,False,weak
per_r0.75_G225_T1350,persistent_defect_memory,0.75,225.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G225_T1350,persistent_defect_memory,0.75,225.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G225_T1400,persistent_defect_memory,0.75,225.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G225_T1400,persistent_defect_memory,0.75,225.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
per_r0.75_G225_T1450,persistent_defect_memory,0.75,225.0,1450.0,20.0,False,1.7339075135831385,1.6434443578956324,0.0,False,False,False,weak
per_r0.75_G225_T1450,persistent_defect_memory,0.75,225.0,1450.0,100.0,False,1.8304413629338243,1.7270877616875775,0.0,False,False,False,weak
per_r0.75_G225_T1500,persistent_defect_memory,0.75,225.0,1500.0,20.0,False,2.3283065989310403,1.8667398084474123,0.0,False,False,True,weak
per_r0.75_G225_T1500,persistent_defect_memory,0.75,225.0,1500.0,100.0,False,2.5380325599270326,2.0062327418159103,0.0,False,False,True,weak
