case_id,mode,fast_rate_C_min,metric,rho,G_reference,G_fast,ratio,pct
dis_r0.65_G225_T1500,disabled,100.0,G_mean,0.861,924.844134222113,580.5317115751627,1.593098388566447,37.229237868989856
dis_r0.65_G225_T1500,disabled,100.0,G50,0.85,537.6436590197567,378.2087669238141,1.4215526080812901,29.654379703208566
dis_r0.65_G225_T1500,disabled,100.0,G50,0.851,548.396568707892,382.62199200590953,1.4332594052759575,30.228959508731666
dis_r0.65_G225_T1500,disabled,100.0,G50,0.852,559.325855025025,387.1863893801886,1.4445906942142228,30.77623966393162
dis_r0.65_G225_T1500,disabled,100.0,G50,0.853,572.6748683130462,391.93973228095535,1.4611299165314886,31.55981622949343
dis_r0.65_G225_T1500,disabled,100.0,G50,0.854,583.9957129695526,396.91282183506075,1.4713450431496393,32.03497679515426
dis_r0.65_G225_T1500,disabled,100.0,G50,0.855,597.8121064561475,402.0683298968406,1.4868420663958515,32.74336107371315
dis_r0.65_G225_T1500,disabled,100.0,G50,0.856,611.896532633561,407.4451453143855,1.501788743025568,33.41273833326537
dis_r0.65_G225_T1500,disabled,100.0,G50,0.857,626.2350794591242,413.0577977934518,1.5160955265932807,34.04109553393152
dis_r0.65_G225_T1500,disabled,100.0,G50,0.858,643.2933231642075,418.8896392632448,1.5357107525878424,34.88357112074071
dis_r0.65_G225_T1500,disabled,100.0,G50,0.859,658.1956623379579,424.982033866323,1.5487611472653255,35.43226457057518
dis_r0.65_G225_T1500,disabled,100.0,G50,0.86,675.9126572103494,431.35135557242256,1.5669654180485488,36.182382298814886
dis_r0.65_G225_T1500,disabled,100.0,G50,0.861,693.8543892554084,437.99575544614913,1.5841577929188784,36.87497517798038
dis_r0.65_G225_T1500,disabled,100.0,G90,0.85,1345.6567913119134,921.136349059684,1.4608660191138796,31.547452886434304
dis_r0.65_G225_T1500,disabled,100.0,G90,0.851,1381.9227660687222,938.2363261747214,1.4728941179488888,32.10645708921887
dis_r0.65_G225_T1500,disabled,100.0,G90,0.852,1418.6344499384081,955.9043945989474,1.4840756648405204,32.61799086858145
dis_r0.65_G225_T1500,disabled,100.0,G90,0.853,1463.2601958736777,974.2883923339565,1.5018758381882853,33.41659978988002
dis_r0.65_G225_T1500,disabled,100.0,G90,0.854,1500.903423888893,993.4677432467961,1.5107721756357422,33.8086829948934
dis_r0.65_G225_T1500,disabled,100.0,G90,0.855,1546.617172124899,1013.3244969883517,1.5262802554576724,34.48123328437223
dis_r0.65_G225_T1500,disabled,100.0,G90,0.856,1592.88870752119,1034.0105796051903,1.5404955606251076,35.08582396730721
dis_r0.65_G225_T1500,disabled,100.0,G90,0.857,1639.6968653954682,1055.5440193256345,1.5534140077294334,35.62566096196968
dis_r0.65_G225_T1500,disabled,100.0,G90,0.858,1694.9515507713131,1077.874027672554,1.5724950293414255,36.40679421296431
dis_r0.65_G225_T1500,disabled,100.0,G90,0.859,1742.826881807202,1101.1621240393981,1.582715972298413,36.81746962167795
dis_r0.65_G225_T1500,disabled,100.0,G90,0.86,1799.2632234134312,1125.4232968650442,1.598743538031798,37.45088088167706
dis_r0.65_G225_T1500,disabled,100.0,G90,0.861,1848.8031140889318,1150.675536091217,1.6067110632848045,37.76105593275916
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.85,419.8263500970458,283.1520082708681,1.482688936803982,32.55496988090062
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.851,429.69638371749295,287.2277546813851,1.4960127519506077,33.155649997225694
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.852,439.7024622168284,291.539789554148,1.508207380163324,33.69612076213883
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.853,449.8453971185873,295.9796142847487,1.5198526364920903,34.20414742918373
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.854,460.12810430854114,300.5505824100977,1.5309506327314373,34.68110737079384
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.855,473.17568492703117,305.143929267319,1.5506639311592179,35.51149414738513
