case_id,mode,path,t_s,rho,G_mean,G50,G90,pore_D90,large_pore_fraction,connected_fine_pore_fraction,cumulative_PR_desintering_work,f_defect_large_pore,f_crack_like_pore,defect_D90,defect_connectedness,stored_PR_work,stored_shear_coupled_stress,persistent_eligibility,persistent_growth_factor
dis_r0.65_G150_T1500,disabled,fast,3935.9999999999627,0.777665533709493,2.2191292989359804e-07,1.8995534958580352e-07,3.49743251124776e-07,2.0597671439071183e-07,0.8616867219948743,0.10173242856972564,29153.393158959007,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4034.399999999962,0.7793466522956316,2.2369248017735553e-07,1.9103008139067421e-07,3.543420753240806e-07,2.1847129726829564e-07,0.8633182887671182,0.10073974130090196,29164.471143449788,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4132.799999999961,0.7809699160908898,2.2546621102145057e-07,1.9210402268274232e-07,3.5891496437628336e-07,2.1847129726829564e-07,0.864880650894081,0.09978551762791274,29174.77863441081,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4231.19999999996,0.7825389358214071,2.2723414308179432e-07,1.9317728664675567e-07,3.6346156882194883e-07,2.1847129726829564e-07,0.8663789864782518,0.0988669923714041,29184.340320845346,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4329.5999999999585,0.7840520757172175,2.2899657441270956e-07,1.942499150813579e-07,3.679832117381162e-07,2.1847129726829564e-07,0.8678119895029094,0.09798524160259017,29193.20921197448,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4427.999999999958,0.785519632037127,2.3075437420985115e-07,1.9532208971016342e-07,3.72483512208602e-07,2.1847129726829564e-07,0.8691924625465375,0.09713319724872671,29201.507469476343,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4526.399999999957,0.7869390750301036,2.32507819806879e-07,1.9639384514041048e-07,3.7696371847275296e-07,2.1847129726829564e-07,0.8705179454856566,0.09631256477350919,29209.272609508444,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4624.7999999999565,0.78831788811572,2.3425726169252927e-07,1.9746531710712668e-07,3.8142504003413956e-07,2.1847129726829564e-07,0.8717978146858438,0.09551805284095534,29216.55623571828,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4723.199999999955,0.789652284342009,2.3600265215045138e-07,1.9853655258996905e-07,3.858670503923806e-07,2.1847129726829564e-07,0.8730284719415432,0.09475197358660706,29223.35326465442,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4821.599999999954,0.790950616704315,2.3774460194958351e-07,1.9960766630376253e-07,3.902923445328674e-07,2.1847129726829564e-07,0.8742200482117666,0.0940085725488742,29229.741482609796,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,4919.999999999954,0.7922114412239765,2.394834624295803e-07,2.0067872594252697e-07,3.9470240837779375e-07,2.1847129726829564e-07,0.8753713259908577,0.09328881788809942,29235.75613297802,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5018.399999999952,0.793436747262445,2.4121949714844815e-07,2.0174981497586568e-07,3.990982258387778e-07,2.1847129726829564e-07,0.8764850296926401,0.09259126265761002,29241.42568632571,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5116.799999999952,0.7946305414400612,2.429529544146803e-07,2.028210045392277e-07,4.0348075391649043e-07,2.1847129726829564e-07,0.8775660283431546,0.09191311128335525,29246.77947673474,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5215.199999999951,0.7957940151867227,2.4468407494787317e-07,2.0389236296133427e-07,4.0785092289402856e-07,2.1847129726829564e-07,0.8786160082219798,0.09125349117730794,29251.840287856452,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5313.599999999949,0.7969263622232501,2.4641311517661496e-07,2.0496398484080623e-07,4.122096365198498e-07,2.1847129726829564e-07,0.8796345414561901,0.0906128508540822,29256.62618801013,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5411.999999999949,0.7980298550115901,2.481403064300904e-07,2.0603593999181914e-07,4.165577721831752e-07,2.1847129726829564e-07,0.8806244669228187,0.08998958838818122,29261.158234129645,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5510.399999999948,0.7991069059204589,2.498658625198364e-07,2.071082828786709e-07,4.208961810844986e-07,2.1847129726829564e-07,0.8815886782652113,0.08938203356506387,29265.456057849657,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5608.7999999999465,0.8001585612492941,2.515900027485806e-07,2.0818108133482705e-07,4.2522568840359477e-07,2.1847129726829564e-07,0.8825285972431002,0.08878942668052195,29269.535900293617,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5707.199999999946,0.801185836447481,2.533129408167457e-07,2.0925440265413449e-07,4.2954709346719047e-07,2.1847129726829564e-07,0.8834455991113114,0.0882110242697299,29273.41271824135,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5805.599999999945,0.8021897160320187,2.5503488354783413e-07,2.1032831195522864e-07,4.3386116991825587e-07,2.1847129726829564e-07,0.8843409976093777,0.08764611093189484,29277.100292555082,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,5903.999999999944,0.8031711543716484,2.5675603104625e-07,2.1140287233564124e-07,4.3816866588868477e-07,2.1847129726829564e-07,0.8852160374183637,0.08709400583456495,29280.611328011208,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6002.399999999943,0.8041310767615707,2.58476577403181e-07,2.1247814570973767e-07,4.4247030417695424e-07,2.1847129726829564e-07,0.8860719070797924,0.08655405315343256,29283.957544515048,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6100.799999999942,0.8050703799364605,2.6019671038548034e-07,2.135541923738014e-07,4.4676678243219596e-07,2.1847129726829564e-07,0.8869097394920895,0.08602562204532771,29287.149759260174,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6199.199999999942,0.8059899325927458,2.619166110877528e-07,2.1463107052320113e-07,4.5105877334595956e-07,2.1847129726829564e-07,0.887730612500905,0.08550810657701849,29290.197961546124,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6297.59999999994,0.8068905759206103,2.6363645354571103e-07,2.1570883571893576e-07,4.5534692485281185e-07,2.1847129726829564e-07,0.8885355495856966,0.0850009256086677,29293.11138095802,,,,,,,,
