case_id,path,t_s,T_C,rho,G_mean,G50,G90,pore_D50,pore_D90,large_pore_fraction,connected_fine_pore_fraction,cumulative_PR_desintering_work,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore,sigma_res_crack_like,rho_dot,G_mean_dot_nm_s
C091,reference,30480.00000002772,533.000000000462,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7454147207984619,0.16450077026199936,2.168634699988859,2.528526715177196e-15,2.528526715177196e-15,49999938.086156055,99999876.17231211,4.336808689942018e-19,0.0
C091,reference,30600.00000002783,535.0000000004638,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7455571281950994,0.16442956843420084,2.326636244265331,2.9577241605043183e-15,2.9577241605043183e-15,49999933.50206763,99999867.00413527,0.0,0.0
C091,reference,30720.00000002794,537.0000000004657,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.745699565688194,0.1643583516845959,2.4952950113792576,3.457137150003989e-15,3.457137150003989e-15,49999928.60296878,99999857.20593756,0.0,0.0
C091,reference,30840.00000002805,539.0000000004675,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7458420333452696,0.16428711998726575,2.6752705697937182,4.037818596083608e-15,4.037818596083608e-15,49999923.36893034,99999846.73786068,0.0,0.0
C091,reference,30960.000000028158,541.0000000004693,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7459845312372764,0.16421587331501986,2.867259507363154,4.712492439938947e-15,4.712492439938947e-15,49999917.77887437,99999835.55774873,-4.336808689942018e-19,0.0
C091,reference,31080.000000028267,543.0000000004711,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7461270594387643,0.16414461163933186,3.0719972855428974,5.495795782628767e-15,5.495795782628767e-15,49999911.81051469,99999823.62102938,0.0,0.0
C091,reference,31200.000000028376,545.0000000004729,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7462696180280601,0.1640733349302737,3.2902601745292515,6.404554562889445e-15,6.404554562889445e-15,49999905.44029463,99999810.88058926,4.336808689942018e-19,0.0
C091,reference,31320.000000028485,547.0000000004748,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7464122070874557,0.16400204315644595,3.5228672722896164,7.458097213770535e-15,7.458097213770535e-15,49999898.64332199,99999797.28664398,0.0,0.0
C091,reference,31440.000000028595,549.0000000004766,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7465548267034017,0.16393073628490595,3.7706826105259754,8.678611286794552e-15,8.678611286794552e-15,49999891.3933011,99999782.7866022,0.0,0.0
C091,reference,31560.000000028704,551.0000000004784,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7466974769667122,0.1638594142810923,4.034617350700288,1.0091548655174893e-14,1.0091548655174893e-14,49999883.66246179,99999767.32492357,-4.336808689942018e-19,0.0
C091,reference,31680.000000028813,553.0000000004802,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.746840157972775,0.16378807710874627,4.315632073337001,1.1726085604090176e-14,1.1726085604090176e-14,49999875.4214852,99999750.8429704,-4.336808689942018e-19,0.0
C091,reference,31800.000000028922,555.000000000482,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.746982869821774,0.1637167247298305,4.614739163905995,1.3615644894318972e-14,1.3615644894318972e-14,49999866.63942641,99999733.27885282,0.0,0.0
C091,reference,31920.00000002903,557.0000000004839,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7471256126189184,0.16364535710444322,4.933005298678776,1.5798487754750822e-14,1.5798487754750822e-14,49999857.28363346,99999714.56726693,0.0,0.0
C091,reference,32040.00000002914,559.0000000004857,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7472683864746814,0.16357397419072983,5.271554034041642,1.8318384729413444e-14,1.8318384729413444e-14,49999847.31966309,99999694.63932618,4.336808689942018e-19,0.0
C091,reference,32160.00000002925,561.0000000004875,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7474111915050524,0.1635025759447905,5.6315685028418265,2.122537538673088e-14,2.122537538673088e-14,49999836.71119261,99999673.42238522,4.336808689942018e-19,0.0
C091,reference,32280.00000002936,563.0000000004893,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7475540278317935,0.16343116232058374,6.014294221436234,2.457662810492364e-14,2.457662810492364e-14,49999825.41992809,99999650.83985618,0.0,0.0
C091,reference,32400.000000029468,565.0000000004911,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.747696895582712,0.16335973326982664,6.421042011207428,2.8437412491187236e-14,2.8437412491187236e-14,49999813.40550861,99999626.81101722,0.0,0.0
C091,reference,32520.000000029577,567.000000000493,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7478397948919414,0.16328828874189039,6.853191038407764,3.2882198488308526e-14,3.2882198488308526e-14,49999800.62540633,99999601.25081266,0.0,0.0
C091,reference,32640.000000029686,569.0000000004948,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7479827259002335,0.1632168286836923,7.312191976290208,3.7995897886947923e-14,3.7995897886947923e-14,49999787.0348225,99999574.069645,0.0,0.0
C091,reference,32760.000000029795,571.0000000004966,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7481256887552629,0.16314535303958277,7.799570293583194,4.387526581280495e-14,4.387526581280495e-14,49999772.586578906,99999545.17315781,0.0,0.0
C091,reference,32880.000000029904,573.0000000004984,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7482686836119437,0.16307386175122873,8.316929673467017,5.063048181494353e-14,5.063048181494353e-14,49999757.23100498,99999514.46200997,0.0,0.0
