material_id,ablation_mode,rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G
E0021,full_material_model,0.787,749.1154172111368,417.1925438652116,1.7956107515027024,44.308642663053526,0.5853452156013552
E0021,full_material_model,0.788,753.0590512572443,419.86819347487045,1.7935606053529645,44.24498413850897,0.5842028090852711
E0021,full_material_model,0.789,756.990119824991,422.544227977074,1.7915050536817725,44.181011493946286,0.5830560786808978
E0021,full_material_model,0.79,760.9090807735706,425.2208177916806,1.7894445637098293,44.11673765814648,0.5819052720963329
E0021,full_material_model,0.791,764.8163819417971,427.8981325727032,1.7873795740668463,44.05217478654028,0.5807506221650731
E0021,full_material_model,0.792,768.7124616255699,430.57634129363726,1.7853104964291018,43.98733430402413,0.5795923476838052
E0021,full_material_model,0.793,772.5977490332263,433.2556123313102,1.7832377170510174,43.92222694494575,0.5784306541954777
E0021,full_material_model,0.794,776.4726647201758,435.9361135483747,1.7811615981982931,43.8568627904658,0.5772657347216
E0021,full_material_model,0.795,780.337621004131,438.61801237456217,1.7790824794895883,43.79125130348673,0.5760977704474171
E0021,full_material_model,0.796,784.1930223621519,441.3014758868089,1.7770006791531614,43.72540136132334,0.5749269313633031
E0021,full_material_model,0.797,788.0392658106425,443.9866708883652,1.7749164952043908,43.659321286275784,0.5737533768654577
E0021,full_material_model,0.798,791.8767412693649,446.6737639869923,1.7728302065496404,43.59301887425285,0.5725772563187407
E0021,full_material_model,0.799,795.7058319104601,449.36292167235155,1.770742074021499,43.5265014215809,0.5713987095842564
E0021,full_material_model,0.8,799.5269144934101,452.05431039268376,1.7686523413500672,43.459775750124585,0.5702178675141097
E0021,full_material_model,0.801,803.3403596868073,454.7480966308811,1.76656123607457,43.39284823083324,0.5690348524155424
E0021,full_material_model,0.802,807.1465323777531,457.4444469800415,1.7644689703993046,43.325724805820926,0.5678497784865263
E0021,full_material_model,0.803,810.9457919696479,460.1435282186045,1.7623757419975807,43.258411009076816,0.5666627522246943
E0021,full_material_model,0.804,814.7384926690952,462.8455073851582,1.760281734767079,43.19091198589752,0.565473872811377
E0021,full_material_model,0.805,818.524983762599,465.5505518530081,1.7581871195397882,43.12323251112466,0.56428323247237
E0021,full_material_model,0.806,822.3056098836888,468.25882940459735,1.7560920547494443,43.05537700626531,0.563090916816932
E0021,full_material_model,0.807,826.0807112710786,470.97050830586863,1.7539966870591948,42.98734955556667,0.5618970051564144
E0021,full_material_model,0.808,829.8506240184266,473.685757380651,1.7519011519520178,42.919153921111835,0.5607015708038137
E0021,full_material_model,0.809,833.6156803162311,476.40474608516433,1.7498055742862184,42.850793556997296,0.5595046813554401
E0021,full_material_model,0.81,837.376208686376,479.1276445827221,1.74771006881821,42.782271622650015,0.5583063989558281
E0021,full_material_model,0.811,841.1325342098025,481.85462381872367,1.7456147406945737,42.713590995335906,0.5571067805469071
E0021,full_material_model,0.812,844.8849787477706,484.5858555960194,1.7435196859153037,42.64475428190963,0.5559058781024059
E0021,full_material_model,0.8130000000000001,848.6338611571359,487.3215126507345,1.7414249917699725,42.57576382985024,0.5547037388483717
E0021,full_material_model,0.8140000000000001,852.37949750007,490.0617687286431,1.7393307372484497,42.5066217376254,0.5535004054706387
E0021,full_material_model,0.8150000000000001,856.1222012486048,492.8067986621723,1.7372369934277054,42.437329864423326,0.5522959163100207
E0021,full_material_model,0.8160000000000001,859.8622834843892,495.5567784481308,1.735143823836101,42.36788983928871,0.5510903055459407
E0021,full_material_model,0.8170000000000001,863.6000530940088,498.3118853262468,1.7330512847964812,42.2983030696963,0.5498836033691636
E0021,full_material_model,0.8180000000000001,867.3358169602244,501.0722978586102,1.7309594257493044,42.228570749593615,0.5486758361442579
E0021,full_material_model,0.8190000000000001,871.069880149453,503.83819601010106,1.7288682895569705,42.15869386694263,0.5474670265623719
E0021,full_material_model,0.8200000000000001,874.8025460958179,506.6097612299099,1.7267779127903824,42.0886732107864,0.5462571937848493
E0021,full_material_model,0.8210000000000001,878.534116782067,509.3871765342307,1.7246883259987793,42.01850937786728,0.5450463535782029
E0021,full_material_model,0.8220000000000001,882.2648929176644,512.1706265902359,1.7225995539637298,41.94820277881858,0.5438345184408986
E0021,full_material_model,0.8230000000000001,885.9951741143421,514.9602978014193,1.7205116159382108,41.8777536439537,0.5426216977224125
E0021,full_material_model,0.8240000000000001,889.7252590593827,517.7563783944206,1.7184245258715105,41.80716202867023,0.5414078977349279
E0021,full_material_model,0.8250000000000001,893.4554456869188,520.5590585074216,1.7163382926207993,41.73642781849092,0.5401931218581015
E0021,full_material_model,0.8260000000000001,897.1860313475012,523.368530280231,1.714252920150003,41.66555073375657,0.5389773706372096
E0021,full_material_model,0.8270000000000001,900.917312976201,526.1849879461615,1.712168407716682,41.59453033398844,0.5377606418750273
