T1_C,switch_density,hold_h,density_target,grain_threshold_um,T_lower_density_C,T_upper_growth_C,gap_C,lower_boundary_present,upper_boundary_present,success_band_present,finite_window_present,zero_width_or_isolated,lower_above_upper,lower_censored,upper_censored,success_count,gap_status,required_shift_C,desired_min_width_C
1300,0.9,5,0.976,0.29,,,,False,False,False,False,False,False,True,True,0,missing_lower,,25.0
1300,0.9,10,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1300,0.9,20,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1300,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1300,0.9,40,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1400,0.9,5,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1400,0.9,10,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1400,0.9,20,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1400,0.9,40,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1500,0.9,5,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1500,0.9,10,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1500,0.9,20,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1500,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
1500,0.9,40,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0,missing_upper,,25.0
