initial_class,rho0,target_density,heating_rate_C_min,slow_reached,current_reached,eligible_target,HR_pct_vs_0p2,current_time_to_target_h,current_G_at_target_nm,current_pore_mean_radius_nm,current_large_pore_fraction,current_removable_fine_pore_fraction,current_f_pore,current_isolated_pore_fraction,current_cumulative_redistributed_pore_volume,current_E_G
loose_fine,0.7,0.9,10.0,True,True,True,1.7649784045972987,6.685162194925864,447.06830523461764,51.909712876473655,0.29780961012507623,0.20191084095468317,0.5339328960079882,0.5000000006928517,0.004623540534013809,0.03224594503086442
loose_fine,0.7,0.9,20.0,True,True,True,1.83908207638811,5.550374639877453,446.7310588796911,51.86869278647541,0.2974674716001874,0.20280412982130389,0.5342710800425337,0.5000000004536613,0.0023186393453568854,0.03223921410266335
loose_fine,0.7,0.9,50.0,True,True,True,1.8828312762769173,4.8694948497808275,446.53195594947323,51.84420537799768,0.29726382169640375,0.20334519466896095,0.5344754981894189,0.5000000018434075,0.0009291138172227857,0.032235221422640306
loose_fine,0.7,0.92,0.2,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.92,0.5,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.92,1.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.92,5.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.92,10.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.92,20.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.92,50.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.95,0.2,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.95,0.5,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.95,1.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.95,5.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.95,10.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.95,20.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.95,50.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.98,0.2,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.98,0.5,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.98,1.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.98,5.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.98,10.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.98,20.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.98,50.0,False,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
baseline_intermediate,0.75,0.8,0.2,True,True,True,0.0,102.31454679486063,154.7859566737191,48.42873214358081,0.07529116099122567,0.30877473592645743,0.3920079019726469,0.003851395834776361,0.17032451644944724,0.860594402028242
baseline_intermediate,0.75,0.8,0.5,True,True,True,-0.012587438122936655,42.34405872853672,154.8054402602384,43.067474362146996,0.057466505524474125,0.4105311392817068,0.43534763698625084,0.0038518459803167284,0.07861317341057594,0.8252849319123461
baseline_intermediate,0.75,0.8,1.0,True,True,True,-0.5341253856217116,21.803937785463763,155.61270776169087,41.08428347865305,0.052903131118681265,0.46085244822621985,0.45568376691517054,0.003852443624118634,0.04149621808983752,0.6917459572734296
baseline_intermediate,0.75,0.8,5.0,True,True,True,-4.075819229300703,4.723694140954547,161.0947524600836,39.40474661743308,0.049652405241578816,0.5101080711562322,0.484411237828153,0.0038523664446266596,0.008689215327479174,0.3530835518750739
baseline_intermediate,0.75,0.8,10.0,True,True,True,-6.135820690184163,2.478100386488406,164.28334542880467,39.188416951224475,0.04926867561537667,0.5169282794244563,0.4934334134678051,0.0038524981143717866,0.004370346180761316,0.36691997595606746
baseline_intermediate,0.75,0.8,20.0,True,True,True,-7.043489919029609,1.3537352494072201,165.68828992810606,39.079907636758335,0.04907867106952432,0.520390549567455,0.49753820163774903,0.003851360504595246,0.0021916669493555196,0.3842339886555235
baseline_intermediate,0.75,0.8,50.0,True,True,True,-7.553568557777653,0.6788978296246764,166.4778200288805,39.01477624369528,0.04896564918738006,0.522483177565665,0.4998857011367416,0.0038524123222957287,0.0008782334655289494,0.3942213057788793
baseline_intermediate,0.75,0.85,0.2,True,True,True,0.0,106.92347970438526,179.0851290185315,51.69655093207918,0.09558334849549957,0.2680996310101187,0.3316354209383659,0.05854064343934817,0.17032820859237652,0.15162783907619765
