state_id,source,T_C,rho,G_nm,sigma_eff_Pa,Gstar_eV,Gstar_kJ_mol,Gstar_zero_stress_eV,Gstar_zero_stress_kJ_mol,r_nuc_sinv,barrier_temperature_extrapolated
history_5C,existing_history,1080.0,0.6644785718986955,50.729727433942834,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,9.767256764894883e-06,True
history_5C,existing_history,1090.0,0.6660299707777622,50.96709641543037,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.3018435010477018e-05,True
history_5C,existing_history,1100.0,0.6680676239708476,51.274949178687066,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.7279351411266526e-05,True
history_5C,existing_history,1110.0,0.6707243719025002,51.67213256457953,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.2841151734960216e-05,True
history_5C,existing_history,1120.0,0.6741601678923217,52.18167845498718,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,3.0072446043777857e-05,True
history_5C,existing_history,1138.0323413358442,0.681272360054711,53.23053019193242,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,4.8897615421159633e-05,True
history_5C,existing_history,1150.5476762900016,0.6885104564394358,54.300463848790265,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,6.802533188813332e-05,True
history_5C,existing_history,1164.569343730111,0.6995031671986607,55.94582220387245,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,9.780161569554428e-05,True
history_5C,existing_history,1175.5365622033603,0.7105598634776628,57.641036562471996,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0001292844871502,True
history_5C,existing_history,1187.4673955483076,0.725236378791986,59.98149378746497,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0001743126312346,True
history_5C,existing_history,1199.7631336918143,0.7431859564960452,63.0411527906364,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0002359830119744,True
history_5C,existing_history,1210.2236253335254,0.7603493524901886,66.25688515284851,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0003041448413501,True
history_5C,existing_history,1221.194255472422,0.7789735009287669,70.3330187058049,242105381.97170183,4.576693649895713,441.58380683683174,5.3646516047156325,517.6101918068358,0.0003671028108983,True
history_5C,existing_history,1232.573945607921,0.7965550866005485,75.40651577489706,229920954.5789644,4.591883791720846,443.04943271583,5.3646516047156325,517.6101918068358,0.0004271678607446,True
history_5C,existing_history,1242.8796909680036,0.8107232332819553,80.84599134148206,220792656.04386,4.6036465377713585,444.18436517519575,5.3646516047156325,517.6101918068358,0.0004965629044431,True
history_5C,existing_history,1253.7087313255488,0.8238607146286325,87.54462384727356,212976484.6029448,4.613997441232118,445.18307553338343,5.3646516047156325,517.6101918068358,0.0005893187771581,True
history_5C,existing_history,1263.7882235115271,0.8346162906066315,94.79828297470809,207158911.0727067,4.621878247754324,445.9434577680781,5.3646516047156325,517.6101918068358,0.0006988546170651,True
history_5C,existing_history,1274.4581404639152,0.8446567837262856,103.67948596520286,202323878.23001748,4.628548226053339,446.5870128395138,5.3646516047156325,517.6101918068358,0.0008455821427927,True
history_5C,existing_history,1284.5886190368235,0.8531050621097838,113.39272687962725,198799802.2793833,4.633481030226487,447.06295608845926,5.3646516047156325,517.6101918068358,0.0010214572696381,True
history_5C,existing_history,1295.3606904862254,0.8611240811094207,125.25611497194605,196007094.45536244,4.637434084720455,447.44436786421124,5.3646516047156325,517.6101918068358,0.0012573926940772,True
history_5C,existing_history,1305.7375863201437,0.8680684593520531,138.36067594106123,194102474.53279245,4.640152860230016,447.70668982221997,5.3646516047156325,517.6101918068358,0.0015442696864435,True
