state_id,source,T_C,rho,G_nm,sigma_eff_Pa,Gstar_eV,Gstar_kJ_mol,Gstar_zero_stress_eV,Gstar_zero_stress_kJ_mol,r_nuc_sinv,k_nuc_eff_sinv,k_transport_eff_sinv,k_PR_eff_sinv,k_closed_eff_sinv,k_growth_eff_sinv,closed_availability,A_closed,PR_memory,barrier_temperature_extrapolated,Q_closed_eff_kJ_mol,Q_closed_status,Q_nuc_eff_minus_Q_growth_kJ,Q_nuc_eff_minus_Q_PR_kJ,Q_nuc_eff_minus_Q_PR_separate_kJ,Q_nuc_eff_minus_Q_transport_kJ,Q_closed_eff_minus_Q_growth_kJ,Q_PR_minus_Q_closed_eff_kJ,Q_PR_separate_minus_Q_closed_eff_kJ,inside_both_pass_nuc_growth,inside_both_pass_nuc_PR,inside_both_pass_nuc_transport,inside_both_pass_closed_growth,inside_both_pass_PR_closed,inside_OAT_Delta_Q_nuc,inside_OAT_Delta_Q_closed,inside_OAT_Delta_Q_growth,inside_PR_prefactor_threshold,inside_growth_prefactor_threshold
history_5C,existing_history,1110.0,0.6707243719025002,51.67213256457953,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.2841151734960216e-05,2.2841151734960216e-05,0.06413307564009103,1.3559345778178346e-07,3.3491800281521866e-09,0.0005441429202477021,9.563894153178645e-16,0.0007271595652926,0.0092287946412059,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1120.0,0.6741601678923217,52.18167845498718,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,3.0072446043777857e-05,3.0072446043777857e-05,0.07948005036662141,1.8387349281676015e-07,5.202857754479964e-09,0.0006885706876828065,2.2325549883121215e-15,0.0010338929426229,0.0127898577119534,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1138.0323413358442,0.681272360054711,53.23053019193242,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,4.8897615421159633e-05,4.8897615421159633e-05,0.11469982226646598,2.9957431687366516e-07,1.2283984479306253e-08,0.0010348329739097572,9.938518012764987e-15,0.0016787019836871,0.0203059640586223,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1150.5476762900016,0.6885104564394358,54.300463848790265,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,6.802533188813332e-05,6.802533188813332e-05,0.1452403363105143,3.959882204930602e-07,2.0731562395350275e-08,0.001347229200056291,2.7437510918139122e-14,0.0023559751122589,0.0277880835954388,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1164.569343730111,0.6995031671986607,55.94582220387245,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,9.780161569554428e-05,9.780161569554428e-05,0.18529860982280819,5.034970414736554e-07,3.462271905306645e-08,0.0017722027456276764,8.279457641248055e-14,0.0034189670517676,0.0383870346311239,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1175.5365622033603,0.7105598634776628,57.641036562471996,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0001292844871502,0.0001292844871502,0.2203734829015777,5.760162099746935e-07,4.880749740420802e-08,0.0021579555698396924,1.8989278236350138e-13,0.0045172677999223,0.0479606651013261,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1187.4673955483076,0.725236378791986,59.98149378746497,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0001743126312346,0.0001743126312346,0.261181658197331,6.410345620413211e-07,6.700388454919624e-08,0.002623137192173234,4.5224062778339774e-13,0.0060076550297147,0.0591507677646891,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1199.7631336918143,0.7431859564960452,63.0411527906364,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0002359830119744,0.0002359830119744,0.30446017530243374,6.913779414715496e-07,8.798915939896073e-08,0.003137501644401005,1.07087778851558e-12,0.0078810065785416,0.0709836151155043,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1210.2236253335254,0.7603493524901886,66.25688515284851,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0003041448413501,0.0003041448413501,0.3406220581522514,7.197730174507813e-07,1.0710782486981565e-07,0.003586833435280636,2.1807954646154263e-12,0.0097440572207982,0.0808568725654292,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1221.194255472422,0.7789735009287669,70.3330187058049,242105381.97170183,4.576693649895713,441.58380683683174,5.3646516047156325,517.6101918068358,0.0003671028108983,0.0003671028108983,0.3643469375555083,7.429815381063612e-07,1.2335328390573477e-07,0.004051479624871396,4.312421752474814e-12,0.0119556143944936,0.0907373203529064,True,,proxy/unidentified,36.34541193283172,61.58380683683174,261.58380683683174,61.58380683683174,,,,True,True,True,False,False,True,False,True,True,True
