candidate_id,rho,G_highT_nm,G_two_step_nm,ratio,reduction
57209,0.955,531.2955650424545,316.48842464231353,1.678720369134859,0.40430817521124285
997537,0.95,269.0510181842092,172.98073249621856,1.5553814248652855,0.3570708869134066
997537,0.951,270.2478450097451,173.0315660062264,1.5618412943221034,0.35973008036387155
997537,0.952,271.5209606583752,173.09096782491952,1.5686604799218469,0.3625134228856065
997537,0.953,272.88949681730844,173.16354239939574,1.5759061811515627,0.3654444585849206
997537,0.954,274.3803022636312,173.24044706520564,1.5838120191432994,0.36861193884555155
438142,0.95,267.39267773931755,172.03267682254494,1.554313300694253,0.35662906599760946
438142,0.951,268.5721474645496,172.0781925735718,1.5607564412888746,0.3592850405446997
438142,0.952,269.82667099254917,172.13230429153552,1.5675539353470311,0.3620634177549903
438142,0.953,271.17528053782246,172.19988324559893,1.5747704088222902,0.36498679782288945
438142,0.954,272.64421651613475,172.29118984959513,1.5824617425542462,0.36807319058095944
438142,0.955,274.2717365724216,172.43336794559252,1.5905954853179107,0.3713046407898417
438142,0.956,276.11642692192027,172.60970353499613,1.5996576163861984,0.3748662277749726
