mode_id,ablation,parent_window_present,ablation_interpretable,ablation_result,reason_not_interpretable
closed_inventory_3x,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_3x,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_3x,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_3x,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_10x,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_10x,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_10x,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_10x,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_10x,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_10x,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_30x,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_30x,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_30x,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_30x,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_30x,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_30x,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
balanced_handoff,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
balanced_handoff,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
balanced_handoff,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
balanced_handoff,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
balanced_handoff,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
balanced_handoff,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
candidate_state_injection_diagnostic,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
candidate_state_injection_diagnostic,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
candidate_state_injection_diagnostic,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
candidate_state_injection_diagnostic,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
candidate_state_injection_diagnostic,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
candidate_state_injection_diagnostic,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
