mode,protocol,t_s,T_C,rho,P_GBseg_dens,P_TJ_dens,P_clean_GB,P_GBseg_drag,P_TJ_drag,P_GB_to_TJ_relocation,P_TJ_iso_conversion,P_iso,P_persistent_drag
static,slow_0p2,119880.0,424.6,0.7,9.450454927843576e-16,1.3901217498523617e-16,6.253047171271099e-16,1.4824154437780064e-18,6.238211809532239e-16,0.0,0.0,0.0,0.0
static,slow_0p2,120960.0,428.20000000000005,0.7,1.3859141814657281e-15,2.0386208513709662e-16,8.987433578809726e-16,2.2366418541627768e-18,8.965049328977661e-16,0.0,0.0,0.0,0.0
static,slow_0p2,122040.0,431.8,0.7,2.0245178270535903e-15,2.977979669591648e-16,1.2869764757616136e-15,3.360439192821586e-18,1.2836132129756967e-15,0.0,0.0,0.0,0.0
static,slow_0p2,123120.0,435.40000000000003,0.7,2.946011240012633e-15,4.3334573111239254e-16,1.8362041967313373e-15,5.028013961817645e-18,1.831171732458091e-15,0.0,0.0,0.0,0.0
static,slow_0p2,124200.0,439.0,0.7,4.270710001364071e-15,6.282032881524865e-16,2.6104226257145043e-15,7.49246889787224e-18,2.6029231748403767e-15,0.0,0.0,0.0,0.0
static,slow_0p2,125280.0,442.6,0.7,6.167987762664857e-15,9.07284782285091e-16,3.697972723909843e-15,1.1120085180287684e-17,3.686841734472015e-15,0.0,0.0,0.0,0.0
static,slow_0p2,126360.0,446.20000000000005,0.7,8.875422090842492e-15,1.3055368637598023e-15,5.220386843403875e-15,1.6438874747831575e-17,5.2039310146202904e-15,0.0,0.0,0.0,0.0
static,slow_0p2,127440.0,449.8,0.7,1.2725079001372871e-14,1.871805031975789e-15,7.344299680554343e-15,2.4207083068049248e-17,7.32006635298923e-15,0.0,0.0,0.0,0.0
static,slow_0p2,128520.0,453.40000000000003,0.7,1.8179473890121175e-14,2.6741233357003175e-15,1.0297433139371943e-14,3.550948071864988e-17,1.0261883208524457e-14,0.0,0.0,0.0,0.0
static,slow_0p2,129600.0,457.0,0.7,2.5880604636121528e-14,3.806926934067898e-15,1.4389979989141642e-14,5.1892220870548165e-17,1.433802568911169e-14,0.0,0.0,0.0,0.0
static,slow_0p2,130680.0,460.6,0.7,3.671658592030006e-14,5.400853721629105e-15,2.0043119751225095e-14,7.555102747021607e-17,1.996747385062414e-14,0.0,0.0,0.0,0.0
static,slow_0p2,131760.0,464.20000000000005,0.7,5.1911905753575315e-14,7.636020679990428e-15,2.7826927874961628e-14,1.0959287115886335e-16,2.7717190613239016e-14,0.0,0.0,0.0,0.0
static,slow_0p2,132840.0,467.8,0.7,7.314928314229047e-14,1.0759948622432051e-14,3.851061863899513e-14,1.5839855638108956e-16,3.835200122647367e-14,0.0,0.0,0.0,0.0
static,slow_0p2,133920.0,471.40000000000003,0.7,1.0273366728410704e-13,1.5111685778530072e-14,5.312893442454035e-14,2.281234019913077e-16,5.290048063120154e-14,0.0,0.0,0.0,0.0
static,slow_0p2,135000.0,475.00000000000006,0.7,1.4381225944710917e-13,2.1154172077349358e-14,7.306961055369597e-14,3.27386260197716e-16,7.274172750244574e-14,0.0,0.0,0.0,0.0
static,slow_0p2,136080.0,478.6,0.7,2.0066878267262537e-13,2.951752496990804e-14,1.0018827015408296e-13,4.682145458667335e-16,9.971931152978041e-14,0.0,0.0,0.0,0.0
static,slow_0p2,137160.0,482.20000000000005,0.7,2.791158561266709e-13,4.1056756028451166e-14,1.369589177693011e-13,6.673361232065644e-16,1.3629047148057552e-13,0.0,0.0,0.0,0.0
static,slow_0p2,138240.0,485.8,0.7,3.870166106276235e-13,5.692849837339672e-14,1.8667050348060902e-13,9.479396171519769e-16,1.857209137851222e-13,0.0,0.0,0.0,0.0
static,slow_0p2,139320.0,489.40000000000003,0.7,5.349760647025574e-13,7.869270515246445e-14,2.536829448864467e-13,1.3420653110787614e-15,2.5233843618700635e-13,0.0,0.0,0.0,0.0
static,slow_0p2,140400.0,493.00000000000006,0.7,7.372548396748648e-13,1.0844705314623443e-13,3.437596754427269e-13,1.89384226842337e-15,3.4186222843044825e-13,0.0,0.0,0.0,0.0
static,slow_0p2,141480.0,496.6,0.7,1.0129732477183723e-12,1.490040590028198e-13,4.644984231736871e-13,2.663857546187904e-15,4.618292668861503e-13,0.0,0.0,0.0,0.0
static,slow_0p2,142560.0,500.20000000000005,0.7,1.3876935403477917e-12,2.0412382126531857e-13,6.25887745881271e-13,3.7350353252279036e-15,6.221449497032988e-13,0.0,0.0,0.0,0.0
static,slow_0p2,143640.0,503.8,0.7,1.8954932830410856e-12,2.7881900496569254e-13,8.410241427526872e-13,5.220523830238155e-15,8.357922921498901e-13,0.0,0.0,0.0,0.0
static,slow_0p2,144720.0,507.40000000000003,0.7,2.5816748282675434e-12,3.7975339359033184e-13,1.1270336766430505e-12,7.274244175087556e-15,1.1197429590342406e-12,0.0,0.0,0.0,0.0
static,slow_0p2,145800.0,511.00000000000006,0.7,3.5062964384392063e-12,5.157613022568446e-13,1.5062534024392731e-12,1.0104958085899999e-14,1.4961245682135727e-12,0.0,0.0,0.0,0.0
static,slow_0p2,146880.0,514.6,0.7000000000000002,4.748761924285046e-12,6.985226940102159e-13,2.0077420239558538e-12,1.3994973947387958e-14,1.9937125621244114e-12,0.0,0.0,0.0,0.0
static,slow_0p2,147960.0,518.2,0.7000000000000002,6.413770385963971e-12,9.434383614506048e-13,2.6692067257565825e-12,1.9324949395916564e-14,2.649832127247099e-12,0.0,0.0,0.0,0.0
static,slow_0p2,149040.0,521.8,0.7000000000000004,8.639009070521455e-12,1.2707615133660112e-12,3.5394548122310554e-12,2.660668470904477e-14,3.512776888384594e-12,0.0,0.0,0.0,0.0
static,slow_0p2,150120.0,525.4000000000001,0.7000000000000006,1.1605074545711123e-11,1.7070571372305685e-12,4.681505559751673e-12,3.6526360905049296e-14,4.6448773145282165e-12,0.0,0.0,0.0,0.0
static,slow_0p2,151200.0,529.0,0.7000000000000011,1.5548235313999515e-11,2.287079325475968e-12,6.1765306659485904e-12,5.000139289825586e-14,6.126384029598419e-12,0.0,0.0,0.0,0.0
static,slow_0p2,152280.0,532.6,0.7000000000000015,2.0776808745472627e-11,3.05618025271034e-12,8.128832208461392e-12,6.825498274367884e-14,8.060370827971442e-12,0.0,0.0,0.0,0.0
