mode,protocol,t_s,T_C,rho,G_nm,f_GBseg,f_TJ,f_iso,C_GBseg,C_TJ,f_clean_GB,GBseg_mean_nm,TJ_mean_nm,iso_mean_nm,E_G,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_clean_GB,sigma_iso,sigma_act_total,P_GBseg_dens,P_TJ_dens,P_clean_GB,P_GBseg_drag,P_TJ_drag,P_GB_to_TJ_relocation,P_TJ_iso_conversion,P_iso,P_persistent_drag
static,slow_0p2,19440.0,89.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.03352970867036e-23,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.237900443280707e-45,1.820898933961747e-46,3.047515260975445e-44,1.1531472267715977e-50,3.047514107828155e-44,0.0,0.0,0.0,0.0
static,slow_0p2,20520.0,93.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.2405103412343898e-22,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,5.062183162140318e-45,7.446256258727418e-46,1.1573105637261826e-43,5.2375369531838295e-50,1.157310039972453e-43,0.0,0.0,0.0,0.0
static,slow_0p2,21600.0,97.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,4.935770169622435e-22,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.0141527091176568e-44,2.9627330216868224e-45,4.28234527234185e-43,2.3098566981489413e-49,4.282342962484967e-43,0.0,0.0,0.0,0.0
static,slow_0p2,22680.0,100.60000000000001,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.9122984321024036e-21,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,7.803566485663856e-44,1.1478714602594882e-44,1.545136688613674e-42,9.899835814443716e-49,1.545135698629997e-42,0.0,0.0,0.0,0.0
static,slow_0p2,23760.0,104.2,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,7.21993497785049e-21,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.946257847415796e-43,4.333820060131702e-44,5.4402503809939865e-42,4.1267797205291674e-48,5.440246254213787e-42,0.0,0.0,0.0,0.0
static,slow_0p2,24840.0,107.80000000000001,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,2.6583120422582793e-20,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.0847843837113229e-42,1.595671718675023e-43,1.870419769916326e-41,1.6744678626062253e-47,1.8704180954482302e-41,0.0,0.0,0.0,0.0
static,slow_0p2,25920.0,111.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,9.551684056142291e-20,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,3.897780823896545e-42,5.733469913170015e-43,6.283732073807105e-41,6.6184100160916e-47,6.283725455395989e-41,0.0,0.0,0.0,0.0
static,slow_0p2,27000.0,115.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.3515843780401726e-19,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.3676898483671542e-41,2.011813632025111e-42,2.0641155908737655e-40,2.550108880756257e-46,2.0641130407643805e-40,0.0,0.0,0.0,0.0
static,slow_0p2,28080.0,118.60000000000001,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.149213305897036e-18,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,4.689624949866005e-41,6.898238964403567e-42,6.633722186888679e-40,9.585112497091418e-46,6.633712601773935e-40,0.0,0.0,0.0,0.0
static,slow_0p2,29160.0,122.2,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.853054285980732e-18,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.5723259920506276e-40,2.312824701134797e-41,2.087116945145105e-39,3.516926201359956e-45,2.0871134282179286e-39,0.0,0.0,0.0,0.0
static,slow_0p2,30240.0,125.80000000000001,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.263942853326652e-17,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,5.1578048302693114e-40,7.586911668057654e-41,6.43209566196058e-39,1.2604927281180467e-44,6.432083057029177e-39,0.0,0.0,0.0,0.0
static,slow_0p2,31320.0,129.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,4.05902732403574e-17,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.6563779511870118e-39,2.4364615603180944e-40,1.9427433811188596e-38,4.415723172926936e-44,1.9427389653939892e-38,0.0,0.0,0.0,0.0
static,slow_0p2,32400.0,133.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.2768330447242916e-16,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,5.210406173185137e-39,7.664286007618065e-40,5.753976632245848e-38,1.5129041136711223e-43,5.753961503197895e-38,0.0,0.0,0.0,0.0
static,slow_0p2,33480.0,136.60000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.9364125639311696e-16,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.6063422236804123e-38,2.3628611319707987e-39,1.6719942229231684e-37,5.072516131716019e-43,1.6719891504043653e-37,0.0,0.0,0.0,0.0
static,slow_0p2,34560.0,140.2,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.190008236502758e-15,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,4.856097895675936e-38,7.14311359160332e-39,4.76905103487634e-37,1.665265459248618e-42,4.7690343822115245e-37,0.0,0.0,0.0,0.0
static,slow_0p2,35640.0,143.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.529415609339737e-15,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.440257906436834e-37,2.1185581608731312e-38,1.3358838665976556e-36,5.3558520396515955e-42,1.3358785107417926e-36,0.0,0.0,0.0,0.0
static,slow_0p2,36720.0,147.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.027477153164861e-14,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,4.192853031002895e-37,6.167508587506166e-38,3.676603863875661e-36,1.6884479026009598e-41,3.676586979382657e-36,0.0,0.0,0.0,0.0
static,slow_0p2,37800.0,151.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,2.9374055358564e-14,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.1986747993728018e-36,1.7631996790955208e-37,9.94629604497216e-36,5.220137251796558e-41,9.946243843549651e-36,0.0,0.0,0.0,0.0
static,slow_0p2,38880.0,154.6,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,8.250436110027673e-14,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,3.3667771535816955e-36,4.952386084939388e-37,2.646066628017202e-35,1.5835254996656908e-40,2.6460507927447073e-35,0.0,0.0,0.0,0.0
static,slow_0p2,39960.0,158.20000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,2.2777361842643437e-13,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,9.294817928166717e-36,1.3672282087493687e-36,6.925436857017396e-35,4.715455678901299e-40,6.92538970240062e-35,0.0,0.0,0.0,0.0
static,slow_0p2,41040.0,161.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,6.183428569976374e-13,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.5232879526091946e-35,3.7116493235980815e-36,1.7839254403190027e-34,1.3790419721218103e-39,1.7839116498791324e-34,0.0,0.0,0.0,0.0
static,slow_0p2,42120.0,165.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.651332300099966e-12,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,6.73863513007979e-35,9.912245844423719e-36,4.524386415771557e-34,3.962595101429933e-39,4.524346789754198e-34,0.0,0.0,0.0,0.0
static,slow_0p2,43200.0,169.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,4.340030055323732e-12,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.7710474744946092e-34,2.6051355549693414e-35,1.1302146643215834e-33,1.1192244841204864e-38,1.130203472055317e-33,0.0,0.0,0.0,0.0
static,slow_0p2,44280.0,172.60000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.122981098598519e-11,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,4.5825784919236855e-34,6.740778174879194e-35,2.7818897300729295e-33,3.1086430090324407e-38,2.781858643574947e-33,0.0,0.0,0.0,0.0
static,slow_0p2,45360.0,176.20000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,2.8617818481993485e-11,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.1678148423497552e-33,1.7178059940456574e-34,6.74917932283173e-33,8.494067437226669e-38,6.749094381946158e-33,0.0,0.0,0.0,0.0
static,slow_0p2,46440.0,179.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,7.185263720781814e-11,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.9321094564678472e-33,4.313008378437722e-34,1.6145204729493473e-32,2.2841323010018194e-37,1.6144976315618118e-32,0.0,0.0,0.0,0.0
static,slow_0p2,47520.0,183.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.7780492088554422e-10,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,7.255732151437989e-33,1.06728735831541e-33,3.8094512055145084e-32,6.047162652498342e-37,3.8093907336942867e-32,0.0,0.0,0.0,0.0
static,slow_0p2,48600.0,187.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,4.337981548678227e-10,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.7702115352686792e-32,2.6039059239003685e-33,8.868450584749984e-32,1.5767611037738714e-36,8.868292908068074e-32,0.0,0.0,0.0,0.0
static,slow_0p2,49680.0,190.60000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.0438014005795867e-09,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,4.25946781814578e-32,6.265496107870162e-33,2.037677339884732e-31,4.050587987022399e-36,2.037636833839031e-31,0.0,0.0,0.0,0.0
static,slow_0p2,50760.0,194.20000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,2.477840073846096e-09,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.0111387139835256e-31,1.4873420688827932e-32,4.622288824578141e-31,1.0255515385097803e-35,4.622186268950963e-31,0.0,0.0,0.0,0.0
static,slow_0p2,51840.0,197.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,5.804818089965644e-09,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.3687873834922787e-31,3.484385553616798e-32,1.0354768200927391e-30,2.559934865144402e-35,1.035451220611136e-30,0.0,0.0,0.0,0.0
static,slow_0p2,52920.0,201.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.3424389220110805e-08,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,5.478125827156199e-31,8.058090238937796e-32,2.2914431732650443e-30,6.301917428520638e-35,2.2913801537231202e-30,0.0,0.0,0.0,0.0
static,slow_0p2,54000.0,205.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.065615863257369e-08,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.250993938173838e-30,1.8401589083984225e-31,5.01052519362973e-30,1.5304706513523266e-34,5.0103721455634516e-30,0.0,0.0,0.0,0.0
static,slow_0p2,55080.0,208.60000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,6.914823888870561e-08,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.8217504315727297e-30,4.150674943729509e-31,1.0828774511131441e-29,3.6679032647742795e-34,1.0828407718119191e-29,0.0,0.0,0.0,0.0
static,slow_0p2,56160.0,212.20000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.5410047056868108e-07,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,6.2884187546058835e-30,9.249996692965373e-31,2.3137171727841623e-29,8.677197002487697e-34,2.3136304001040956e-29,0.0,0.0,0.0,0.0
static,slow_0p2,57240.0,215.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.39392314815975e-07,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.384967306291365e-29,2.037228038237284e-30,4.888614580251553e-29,2.026908437798282e-33,4.888411887557305e-29,0.0,0.0,0.0,0.0
static,slow_0p2,58320.0,219.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,7.389032779753488e-07,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,3.015262812628902e-29,4.435323430840262e-30,1.0216740442206272e-28,4.676302829303916e-33,1.0216272807167825e-28,0.0,0.0,0.0,0.0
static,slow_0p2,59400.0,223.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.5906323280576112e-06,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,6.490938775921539e-29,9.547895036019739e-30,2.1124835129181595e-28,1.0658649437756333e-32,2.1123769252182877e-28,0.0,0.0,0.0,0.0
static,slow_0p2,60480.0,226.60000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.386526889924296e-06,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.3819505708268684e-28,2.0327905485981424e-29,4.322441234293732e-28,2.4007483267640852e-32,4.322201156445881e-28,0.0,0.0,0.0,0.0
static,slow_0p2,61560.0,230.20000000000002,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,7.132545384702034e-06,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.9106038202417673e-28,4.2813745016661333e-29,8.754214652883815e-28,5.344986219963435e-32,8.753680146818538e-28,0.0,0.0,0.0,0.0
static,slow_0p2,62640.0,233.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.4864131899563151e-05,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,6.065676972052453e-28,8.92235299867492e-29,1.755304079237766e-27,1.176547579357904e-31,1.7551864226658093e-27,0.0,0.0,0.0,0.0
