mode,protocol,t_s,T_C,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_clean_GB,sigma_iso,sigma_act_total
evolving,fast_20,96.00000000000111,57.00000000000037,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,108.00000000000128,61.000000000000426,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,120.00000000000145,65.00000000000048,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,132.00000000000162,69.00000000000054,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,144.0000000000018,73.0000000000006,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,156.00000000000196,77.00000000000065,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,168.00000000000213,81.00000000000071,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,180.0000000000023,85.00000000000077,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,192.00000000000247,89.00000000000082,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,204.00000000000264,93.00000000000088,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,216.0000000000028,97.00000000000094,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,228.00000000000298,101.000000000001,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,240.00000000000315,105.00000000000105,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,252.00000000000333,109.00000000000111,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,264.0000000000035,113.00000000000117,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,276.0000000000032,117.00000000000105,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,288.00000000000284,121.00000000000094,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,300.0000000000025,125.00000000000082,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,312.00000000000216,129.0000000000007,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,324.0000000000018,133.0000000000006,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,336.0000000000015,137.00000000000048,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,348.00000000000114,141.00000000000037,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,360.0000000000008,145.00000000000026,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,372.00000000000045,149.00000000000014,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,384.0000000000001,153.00000000000003,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,395.9999999999998,156.99999999999991,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,407.99999999999943,160.9999999999998,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,419.9999999999991,164.9999999999997,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,431.99999999999875,168.99999999999957,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,443.9999999999984,172.99999999999946,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,455.99999999999807,176.99999999999935,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,467.9999999999977,180.99999999999923,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,479.9999999999974,184.99999999999912,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,491.99999999999704,188.999999999999,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,503.9999999999967,192.9999999999989,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,515.9999999999964,196.99999999999878,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,527.9999999999959,200.99999999999864,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
