analysis_design,descriptor,level,target_density,n_conditions,fraction_HR_attainable,fraction_TS_attainable,fraction_HR_positive,fraction_TS_positive,mean_HR_pct,mean_TS_pct,median_HR_crossover_density,fraction_with_HR_crossover
one_at_a_time,log_width,0.45,0.88,1,1.0,1.0,0.0,1.0,-2.976922929952735,8.952015116018758,0.9,1.0
one_at_a_time,log_width,0.45,0.9,1,1.0,1.0,1.0,1.0,7.46356852783576,11.45355139285079,0.9,1.0
one_at_a_time,log_width,0.45,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,log_width,0.65,0.8,1,1.0,1.0,0.0,0.0,-7.323524504877853,0.0,0.9,1.0
one_at_a_time,log_width,0.65,0.85,1,1.0,1.0,0.0,0.0,-11.319255922996419,0.0,0.9,1.0
one_at_a_time,log_width,0.65,0.88,1,1.0,1.0,0.0,1.0,-4.584381995207315,9.154166656444142,0.9,1.0
one_at_a_time,log_width,0.65,0.9,1,1.0,1.0,1.0,1.0,4.954590587271427,11.210508773730139,0.9,1.0
one_at_a_time,log_width,0.65,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,log_width,0.85,0.8,1,1.0,1.0,0.0,0.0,-8.080722336698031,0.0,0.9,1.0
one_at_a_time,log_width,0.85,0.85,1,1.0,1.0,0.0,0.0,-12.179443589644825,0.0,0.9,1.0
one_at_a_time,log_width,0.85,0.88,1,1.0,1.0,0.0,1.0,-5.999755845674801,9.208852564618029,0.9,1.0
one_at_a_time,log_width,0.85,0.9,1,1.0,1.0,1.0,1.0,2.9237345157903247,10.926998925939072,0.9,1.0
one_at_a_time,log_width,0.85,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
corner_factorial,rho0,0.65,0.8,8,1.0,1.0,0.0,0.0,-11.464968445613893,0.0,0.9,0.75
corner_factorial,rho0,0.65,0.85,8,1.0,1.0,0.0,0.0,-7.762949232450474,0.0,0.9,0.75
corner_factorial,rho0,0.65,0.88,8,1.0,1.0,0.125,1.0,-3.925332248683069,5.894168100886976,0.9,0.75
corner_factorial,rho0,0.65,0.9,8,1.0,0.875,0.75,1.0,3.1608222435035693,9.665732356344279,0.9,0.75
corner_factorial,rho0,0.65,0.92,8,0.0,0.0,nan,nan,nan,nan,0.9,0.75
corner_factorial,rho0,0.85,0.8,8,0.0,0.0,nan,nan,nan,nan,nan,0.0
corner_factorial,rho0,0.85,0.85,8,0.0,0.0,nan,nan,nan,nan,nan,0.0
corner_factorial,rho0,0.85,0.88,8,1.0,1.0,0.0,1.0,-12.34085416105028,6.8683995423561885,nan,0.0
corner_factorial,rho0,0.85,0.9,8,1.0,0.875,0.0,1.0,-8.079289189147987,9.62362594589473,nan,0.0
corner_factorial,rho0,0.85,0.92,8,0.0,0.0,nan,nan,nan,nan,nan,0.0
corner_factorial,G0_nm,75.0,0.8,8,0.5,0.5,0.0,0.0,-21.680492252521233,0.0,0.9,0.5
corner_factorial,G0_nm,75.0,0.85,8,0.5,0.5,0.0,0.0,-13.153136289230584,0.0,0.9,0.5
corner_factorial,G0_nm,75.0,0.88,8,1.0,1.0,0.125,1.0,-10.96511401520485,10.433571029596541,0.9,0.5
corner_factorial,G0_nm,75.0,0.9,8,1.0,0.75,0.5,1.0,-0.3440367262235702,11.71343761844033,0.9,0.5
corner_factorial,G0_nm,75.0,0.92,8,0.0,0.0,nan,nan,nan,nan,0.9,0.5
corner_factorial,G0_nm,300.0,0.8,8,0.5,0.5,0.0,0.0,-1.2494446387065523,0.0,0.9,0.25
corner_factorial,G0_nm,300.0,0.85,8,0.5,0.5,0.0,0.0,-2.3727621756703647,0.0,0.9,0.25
corner_factorial,G0_nm,300.0,0.88,8,1.0,1.0,0.0,1.0,-5.3010723945285,2.3289966136466234,0.9,0.25
corner_factorial,G0_nm,300.0,0.9,8,1.0,1.0,0.25,1.0,-4.574430219420847,8.093110300628883,0.9,0.25
corner_factorial,G0_nm,300.0,0.92,8,0.0,0.0,nan,nan,nan,nan,0.9,0.25
corner_factorial,pore_scale_nm,15.0,0.8,8,0.5,0.5,0.0,0.0,-15.42777636046494,0.0,0.9,0.25
corner_factorial,pore_scale_nm,15.0,0.85,8,0.5,0.5,0.0,0.0,-10.098376651140601,0.0,0.9,0.25
corner_factorial,pore_scale_nm,15.0,0.88,8,1.0,1.0,0.0,1.0,-8.677476909426437,6.146666964332626,0.9,0.25
corner_factorial,pore_scale_nm,15.0,0.9,8,1.0,1.0,0.25,1.0,-4.437739447178968,9.267189386758385,0.9,0.25
corner_factorial,pore_scale_nm,15.0,0.92,8,0.0,0.0,nan,nan,nan,nan,0.9,0.25
corner_factorial,pore_scale_nm,40.0,0.8,8,0.5,0.5,0.0,0.0,-7.502160530762847,0.0,0.9,0.5
corner_factorial,pore_scale_nm,40.0,0.85,8,0.5,0.5,0.0,0.0,-5.427521813760348,0.0,0.9,0.5
corner_factorial,pore_scale_nm,40.0,0.88,8,1.0,1.0,0.125,1.0,-7.588709500306912,6.615900678910538,0.9,0.5
corner_factorial,pore_scale_nm,40.0,0.9,8,1.0,0.75,0.5,1.0,-0.4807274984654488,10.14799883693433,0.9,0.5
corner_factorial,pore_scale_nm,40.0,0.92,8,0.0,0.0,nan,nan,nan,nan,0.9,0.5
corner_factorial,log_width,0.45,0.8,8,0.5,0.5,0.0,0.0,-12.373039299513296,0.0,0.9,0.375
corner_factorial,log_width,0.45,0.85,8,0.5,0.5,0.0,0.0,-7.856802969170246,0.0,0.9,0.375
corner_factorial,log_width,0.45,0.88,8,1.0,1.0,0.125,1.0,-7.398230494213012,6.29771346880378,0.9,0.375
corner_factorial,log_width,0.45,0.9,8,1.0,1.0,0.375,1.0,-1.4704930616747252,9.594137765770576,0.9,0.375
corner_factorial,log_width,0.45,0.92,8,0.0,0.0,nan,nan,nan,nan,0.9,0.375
corner_factorial,log_width,0.85,0.8,8,0.5,0.5,0.0,0.0,-10.55689759171449,0.0,0.9,0.375
corner_factorial,log_width,0.85,0.85,8,0.5,0.5,0.0,0.0,-7.669095495730702,0.0,0.9,0.375
corner_factorial,log_width,0.85,0.88,8,1.0,1.0,0.0,1.0,-8.867955915520337,6.464854174439385,0.9,0.375
corner_factorial,log_width,0.85,0.9,8,1.0,0.75,0.375,1.0,-3.447973883969693,9.712067664918075,0.9,0.375
corner_factorial,log_width,0.85,0.92,8,0.0,0.0,nan,nan,nan,nan,0.9,0.375
