design_id,design_type,varied_descriptor,rho0,G0_nm,pore_scale_nm,log_width,target_density,eligible_target,high_step_executed,slow_time_budget_h,fast_time_budget_h,high_time_budget_h,two_step_time_budget_h,HR_pct,TS_pct,HR_scored,TS_scored,initial_f_pore,initial_connectivity,initial_isolated_fraction,initial_pore_mean_radius_nm,initial_large_pore_fraction,initial_removable_fine_fraction,slow_reached,slow_time_to_target_h,slow_G_at_target_nm,slow_pore_mean_radius_nm,slow_large_pore_fraction,slow_removable_fine_pore_fraction,slow_f_pore,slow_isolated_pore_fraction,slow_cumulative_redistributed_pore_volume,slow_E_G,fast_reached,fast_time_to_target_h,fast_G_at_target_nm,fast_pore_mean_radius_nm,fast_large_pore_fraction,fast_removable_fine_pore_fraction,fast_f_pore,fast_isolated_pore_fraction,fast_cumulative_redistributed_pore_volume,fast_E_G,high_reached,high_time_to_target_h,high_G_at_target_nm,high_pore_mean_radius_nm,high_large_pore_fraction,high_removable_fine_pore_fraction,high_f_pore,high_isolated_pore_fraction,high_cumulative_redistributed_pore_volume,high_E_G,two_step_reached,two_step_time_to_target_h,two_step_G_at_target_nm,two_step_pore_mean_radius_nm,two_step_large_pore_fraction,two_step_removable_fine_pore_fraction,two_step_f_pore,two_step_isolated_pore_fraction,two_step_cumulative_redistributed_pore_volume,two_step_E_G
oat_rho0_0.85,one_at_a_time,rho0,0.85,150,25,0.65,0.8,False,False,126.75,9.1875,96.0,96.0,nan,nan,False,False,0.3519131860777932,0.7310585786300051,0.058536902874367754,41.77656829534832,0.0398868768987491,0.5724048606059914,True,0.0,150.00000000000003,41.77656829534832,0.0398868768987491,0.5724048606059914,0.3519131860777932,0.058536902874367754,0.0,9.687708064703298e-90,True,0.0,150.00000000000003,41.77656829534832,0.0398868768987491,0.5724048606059914,0.3519131860777932,0.058536902874367754,0.0,9.687708064703298e-90,True,0.0,150.00000000000003,41.77656829534832,0.0398868768987491,0.5724048606059914,0.3519131860777932,0.058536902874367754,0.0,0.06586055591037973,True,0.0,150.00000000000003,41.77656829534832,0.0398868768987491,0.5724048606059914,0.3519131860777932,0.058536902874367754,0.0,0.14105096429952177
oat_rho0_0.85,one_at_a_time,rho0,0.85,150,25,0.65,0.85,False,False,126.75,9.1875,96.0,96.0,nan,nan,False,False,0.3519131860777932,0.7310585786300051,0.058536902874367754,41.77656829534832,0.0398868768987491,0.5724048606059914,True,58.1,150.00000000000048,41.793977524940054,0.03991007386110209,0.571887985820386,0.35178089818100955,0.058536902874367754,0.00019239310220325507,0.14343569376944876,True,0.33000000000000224,150.00000000000003,41.776569763256894,0.039886878853344014,0.5724048170011683,0.35191317492032326,0.058536902874367754,1.6225666667675112e-08,2.3203685272707074e-07,True,0.0,150.00000000000003,41.77656829534832,0.0398868768987491,0.5724048606059914,0.3519131860777932,0.058536902874367754,0.0,0.06586055591037973,True,0.0,150.00000000000003,41.77656829534832,0.0398868768987491,0.5724048606059914,0.3519131860777932,0.058536902874367754,0.0,0.14105096429952177
oat_rho0_0.85,one_at_a_time,rho0,0.85,150,25,0.65,0.88,True,False,126.75,9.1875,96.0,96.0,-20.13686722998688,10.622424811659554,True,True,0.3519131860777932,0.7310585786300051,0.058536902874367754,41.77656829534832,0.0398868768987491,0.5724048606059914,True,109.04090341354765,226.01643489636052,44.4955645001241,0.049212644233080936,0.5179587920029278,0.3901413075260161,0.24766427232204477,0.0022493083275828885,0.04157265833738994,True,2.1656206765281505,271.5290643093904,44.287145720689544,0.04889304017185628,0.5238408046769009,0.4498198362998216,0.24766865112190897,2.26928967198724e-05,0.04995774519053239,True,3.791040063673424,238.55085171887538,44.284668719821894,0.04888940577819768,0.523911429025158,0.4084320272732032,0.2476647300347954,7.685728175465109e-10,0.051670160601987765,True,17.927810277689687,213.21096685746437,44.28317620121403,0.048887950599065394,0.5239557778217635,0.37451866566442854,0.24766386354769482,3.0190988491506323e-07,0.0550238383570802
oat_rho0_0.85,one_at_a_time,rho0,0.85,150,25,0.65,0.9,True,False,126.75,9.1875,96.0,96.0,-6.946034409278476,11.458270526235713,True,True,0.3519131860777932,0.7310585786300051,0.058536902874367754,41.77656829534832,0.0398868768987491,0.5724048606059914,True,116.37500653992151,415.13984597757553,46.76019017712216,0.05802042305365777,0.47697382449203957,0.5149312332620551,0.5000000000003783,0.0022493084223400572,0.02693591405642097,True,4.8064058112518895,443.9756025258036,46.54976356970366,0.057656939265981616,0.4826564220866404,0.5407871860570554,0.4999999978666706,2.2692897031365358e-05,0.0330872336127229,True,14.13054358060418,389.4328186353157,46.54586537713473,0.057651350714242336,0.48276507036955013,0.49475444624903653,0.5000000000228109,9.234152068080888e-10,0.033019481149072195,True,70.57522685379581,344.81055275813634,46.54389018157918,0.05764923184879191,0.48282181382085304,0.4536627399656468,0.5000000000000071,3.6915012362579193e-07,0.03316972620569846
oat_rho0_0.85,one_at_a_time,rho0,0.85,150,25,0.65,0.92,True,False,126.75,9.1875,96.0,96.0,nan,nan,False,False,0.3519131860777932,0.7310585786300051,0.058536902874367754,41.77656829534832,0.0398868768987491,0.5724048606059914,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,78.34105830917622,798.7125415794466,49.56888512147395,0.0703885197897966,0.43157985657433257,0.6516959491660155,0.7523361980437856,1.1624235457403227e-09,0.024168800761924833,False,nan,nan,nan,nan,nan,nan,nan,nan,nan
oat_G0_75,one_at_a_time,G0_nm,0.75,75.0,25,0.65,0.8,True,True,126.75,9.1875,96.0,96.0,-19.36998188680339,0.0,True,True,0.3033291256115713,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,105.00889935677522,122.77537782485771,55.80525791000539,0.07827275402390033,0.2986798582452301,0.2894987466274878,0.0038513290914889333,0.181193389859642,0.14427250166902367,True,1.5011102994367524,146.55694627098708,44.419218838067096,0.049094417062237765,0.5201024086979351,0.414660141350949,0.0038522885455831535,0.002370581348084493,0.16724168186093624,True,1.347403186212118,126.86055743564691,44.28537321567418,0.048890312788111345,0.5238913173371498,0.3720479607269808,0.0038524483179863725,1.0131712203065616e-06,0.17522909830585948,True,1.347403186212118,126.86055743564691,44.28537321567418,0.048890312788111345,0.5238913173371498,0.3720479607269808,0.0038524483179863725,1.0131712203065616e-06,0.17522909830585948
oat_G0_75,one_at_a_time,G0_nm,0.75,75.0,25,0.65,0.85,True,True,126.75,9.1875,96.0,96.0,-11.08016566640458,0.0,True,True,0.3033291256115713,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,109.01247170381308,180.1697233149958,59.52517091315807,0.09919853397377094,0.2595795619169699,0.29618932268481757,0.058541112121144274,0.1811942824940696,0.09737232252227941,True,1.9879199044130222,200.13282713900009,48.08081085811971,0.06362776278481745,0.4548857424691993,0.3993985787642251,0.05855293316015531,0.002370581460289806,0.12140812935501906,True,3.252860726970809,173.122654752991,47.94458231925114,0.06337669678807777,0.4584729800943665,0.357700614737153,0.058543616598887654,1.0706139440263477e-06,0.11864793659826117,True,3.252860726970809,173.122654752991,47.94458231925114,0.06337669678807777,0.4584729800943665,0.357700614737153,0.058543616598887654,1.0706139440263477e-06,0.1392223505865806
oat_G0_75,one_at_a_time,G0_nm,0.75,75.0,25,0.65,0.88,True,True,126.75,9.1875,96.0,96.0,-2.393318126156351,9.753071670317565,True,True,0.3033291256115713,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,112.82508226316753,282.92565427177595,62.51214267976209,0.11861418815908994,0.23351868332345824,0.34229860417711616,0.2476664759076406,0.18119428286249492,0.04529037162756951,True,2.897292682459537,289.6969652390088,51.23375742211819,0.07757561792671741,0.4039560827574862,0.4256207491171867,0.24767314348083158,0.002370581461345083,0.053458295418368156,True,6.909445895072845,252.82956489006585,51.09797338399111,0.07728189529941279,0.40728391434723415,0.38477111382079315,0.24766507418095315,1.0711535197050697e-06,0.05307841346684229,True,20.086860635581594,228.17091622258567,51.09557428424716,0.0772786732300694,0.4073474307180875,0.3549429885856086,0.24766383400589204,1.2677715536248052e-06,0.059087293309838355
oat_G0_75,one_at_a_time,G0_nm,0.75,75.0,25,0.65,0.9,True,True,126.75,9.1875,96.0,96.0,6.1051696356817375,11.244883760316739,True,True,0.3033291256115713,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,117.9990328702283,502.2781662989869,65.02167104762043,0.13678417131995435,0.21460141575611943,0.4482904454122886,0.5000000001847436,0.18119428286497982,0.027645839662424135,True,5.60537487428801,471.6132322034421,53.99049599703036,0.090992305812905,0.3635137003319816,0.5095586189136599,0.5000000020036133,0.002370581461557086,0.03263434179870594,True,17.660957660919955,413.3486164388562,53.858486889871266,0.09066182724227648,0.3665175288857131,0.4656760302075462,0.4999999999723187,1.0712614043945143e-06,0.03255346152397852,True,75.19250553849149,366.86804499542933,53.855545740307974,0.09065734469826588,0.3665910822304105,0.4266879243537572,0.5000000000001065,1.314639796960045e-06,0.03282743709391585
oat_G0_75,one_at_a_time,G0_nm,0.75,75.0,25,0.65,0.92,True,True,126.75,9.1875,96.0,96.0,nan,nan,False,False,0.3033291256115713,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,83.98637754032065,857.6061402996507,57.42964510844537,0.10984058601842198,0.319483199940799,0.6212527015740964,0.7523361980949912,1.071413374278725e-06,0.02377996931479241,False,nan,nan,nan,nan,nan,nan,nan,nan,nan
oat_G0_300,one_at_a_time,G0_nm,0.75,300.0,25,0.65,0.8,True,True,126.75,9.1875,96.0,96.0,-0.4928303373652211,0.0,True,True,0.7644350792803472,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,101.17093279668713,301.09373978854654,54.56711166826452,0.07358108815450294,0.31511108565905377,0.5769205784607374,0.003851600375877805,0.16372719668665905,9.017884109808408,True,1.2906293952926984,302.577621082132,44.40362388108539,0.04907059964790105,0.5205422789238046,0.6691816766127672,0.003851980854703576,0.0020986188567877653,4.043352914468849,True,0.5774749116848953,301.4836574685203,44.2855363586977,0.048890251433902396,0.5238856160128822,0.6690425465515776,0.00385103235593026,3.4934436519600574e-07,7.546956236012214,True,0.5774749116848953,301.4836574685203,44.2855363586977,0.048890251433902396,0.5238856160128822,0.6690425465515776,0.00385103235593026,3.4934436519600574e-07,7.546956236012214
oat_G0_300,one_at_a_time,G0_nm,0.75,300.0,25,0.65,0.85,True,True,126.75,9.1875,96.0,96.0,-1.4528330032597387,0.0,True,True,0.7644350792803472,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,104.85940726884057,304.627078690937,58.27846694693343,0.09351043470777065,0.2734254026636156,0.4560163991362791,0.058541129584864834,0.16373224645011192,1.8897325890151349,True,1.5619119584759455,309.052801427025,48.06495648306471,0.06359847293535945,0.45530136424995066,0.5450850099438285,0.05854899577462856,0.0020986189127892205,1.1569122995375292,True,1.5124161418063782,305.1256865318957,47.944870289072256,0.06337683482646714,0.45846422098589534,0.5417083212234027,0.058536902874367754,3.733619364922632e-07,2.0075450496281233,True,1.5124161418063782,305.1256865318957,47.944870289072256,0.06337683482646714,0.45846422098589534,0.5417083212234027,0.058536902874367754,3.733619364922632e-07,2.0075450496283307
