case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class,phi_open_total,phi_iso_total,phi_closed_total,pore_arrays_equal_across_paths
primary_146,0.66,35,15,0.45,0.1,0.0,primary_common_state,0.306,0.03399999999999999,0.0,True
primary_147,0.66,35,15,0.65,0.0,0.0,primary_common_state,0.34,0.0,0.0,True
primary_148,0.66,35,15,0.65,0.05,0.0,primary_common_state,0.32299999999999995,0.017,0.0,True
primary_149,0.66,35,15,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_150,0.66,35,15,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_151,0.66,35,15,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_152,0.66,35,15,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_153,0.66,35,25,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_154,0.66,35,25,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999994,0.0,True
primary_155,0.66,35,25,0.45,0.1,0.0,primary_common_state,0.306,0.03399999999999999,0.0,True
primary_156,0.66,35,25,0.65,0.0,0.0,primary_common_state,0.3400000000000001,0.0,0.0,True
primary_157,0.66,35,25,0.65,0.05,0.0,primary_common_state,0.32299999999999995,0.017,0.0,True
primary_158,0.66,35,25,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_159,0.66,35,25,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_160,0.66,35,25,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_161,0.66,35,25,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_162,0.66,35,40,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_163,0.66,35,40,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999998,0.0,True
primary_164,0.66,35,40,0.45,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_165,0.66,35,40,0.65,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_166,0.66,35,40,0.65,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999998,0.0,True
primary_167,0.66,35,40,0.65,0.1,0.0,primary_common_state,0.306,0.033999999999999996,0.0,True
primary_168,0.66,35,40,0.85,0.0,0.0,primary_common_state,0.33999999999999986,0.0,0.0,True
primary_169,0.66,35,40,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_170,0.66,35,40,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_171,0.66,35,60,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_172,0.66,35,60,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999998,0.0,True
primary_173,0.66,35,60,0.45,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_174,0.66,35,60,0.65,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_175,0.66,35,60,0.65,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_176,0.66,35,60,0.65,0.1,0.0,primary_common_state,0.306,0.033999999999999996,0.0,True
primary_177,0.66,35,60,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
