case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class
primary_282,0.7,35,15,0.65,0.0,0.0,primary_common_state
primary_283,0.7,35,15,0.65,0.05,0.0,primary_common_state
primary_284,0.7,35,15,0.65,0.1,0.0,primary_common_state
primary_285,0.7,35,15,0.85,0.0,0.0,primary_common_state
primary_286,0.7,35,15,0.85,0.05,0.0,primary_common_state
primary_287,0.7,35,15,0.85,0.1,0.0,primary_common_state
primary_288,0.7,35,25,0.45,0.0,0.0,primary_common_state
primary_289,0.7,35,25,0.45,0.05,0.0,primary_common_state
primary_290,0.7,35,25,0.45,0.1,0.0,primary_common_state
primary_291,0.7,35,25,0.65,0.0,0.0,primary_common_state
primary_292,0.7,35,25,0.65,0.05,0.0,primary_common_state
primary_293,0.7,35,25,0.65,0.1,0.0,primary_common_state
primary_294,0.7,35,25,0.85,0.0,0.0,primary_common_state
primary_295,0.7,35,25,0.85,0.05,0.0,primary_common_state
primary_296,0.7,35,25,0.85,0.1,0.0,primary_common_state
primary_297,0.7,35,40,0.45,0.0,0.0,primary_common_state
primary_298,0.7,35,40,0.45,0.05,0.0,primary_common_state
primary_299,0.7,35,40,0.45,0.1,0.0,primary_common_state
primary_300,0.7,35,40,0.65,0.0,0.0,primary_common_state
primary_301,0.7,35,40,0.65,0.05,0.0,primary_common_state
primary_302,0.7,35,40,0.65,0.1,0.0,primary_common_state
primary_303,0.7,35,40,0.85,0.0,0.0,primary_common_state
primary_304,0.7,35,40,0.85,0.05,0.0,primary_common_state
primary_305,0.7,35,40,0.85,0.1,0.0,primary_common_state
primary_306,0.7,35,60,0.45,0.0,0.0,primary_common_state
primary_307,0.7,35,60,0.45,0.05,0.0,primary_common_state
primary_308,0.7,35,60,0.45,0.1,0.0,primary_common_state
primary_309,0.7,35,60,0.65,0.0,0.0,primary_common_state
primary_310,0.7,35,60,0.65,0.05,0.0,primary_common_state
primary_311,0.7,35,60,0.65,0.1,0.0,primary_common_state
primary_312,0.7,35,60,0.85,0.0,0.0,primary_common_state
primary_313,0.7,35,60,0.85,0.05,0.0,primary_common_state
primary_314,0.7,35,60,0.85,0.1,0.0,primary_common_state
primary_315,0.7,50,10,0.45,0.0,0.0,primary_common_state
primary_316,0.7,50,10,0.45,0.05,0.0,primary_common_state
primary_317,0.7,50,10,0.45,0.1,0.0,primary_common_state
primary_318,0.7,50,10,0.65,0.0,0.0,primary_common_state
primary_319,0.7,50,10,0.65,0.05,0.0,primary_common_state
primary_320,0.7,50,10,0.65,0.1,0.0,primary_common_state
primary_321,0.7,50,10,0.85,0.0,0.0,primary_common_state
primary_322,0.7,50,10,0.85,0.05,0.0,primary_common_state
primary_323,0.7,50,10,0.85,0.1,0.0,primary_common_state
primary_324,0.7,50,15,0.45,0.0,0.0,primary_common_state
primary_325,0.7,50,15,0.45,0.05,0.0,primary_common_state
primary_326,0.7,50,15,0.45,0.1,0.0,primary_common_state
primary_327,0.7,50,15,0.65,0.0,0.0,primary_common_state
primary_328,0.7,50,15,0.65,0.05,0.0,primary_common_state
primary_329,0.7,50,15,0.65,0.1,0.0,primary_common_state
primary_330,0.7,50,15,0.85,0.0,0.0,primary_common_state
primary_331,0.7,50,15,0.85,0.05,0.0,primary_common_state
primary_332,0.7,50,15,0.85,0.1,0.0,primary_common_state
primary_333,0.7,50,25,0.45,0.0,0.0,primary_common_state
primary_334,0.7,50,25,0.45,0.05,0.0,primary_common_state
primary_335,0.7,50,25,0.45,0.1,0.0,primary_common_state
primary_336,0.7,50,25,0.65,0.0,0.0,primary_common_state
primary_337,0.7,50,25,0.65,0.05,0.0,primary_common_state
primary_338,0.7,50,25,0.65,0.1,0.0,primary_common_state
primary_339,0.7,50,25,0.85,0.0,0.0,primary_common_state
primary_340,0.7,50,25,0.85,0.05,0.0,primary_common_state
primary_341,0.7,50,25,0.85,0.1,0.0,primary_common_state
primary_342,0.7,50,40,0.45,0.0,0.0,primary_common_state
primary_343,0.7,50,40,0.45,0.05,0.0,primary_common_state
primary_344,0.7,50,40,0.45,0.1,0.0,primary_common_state
primary_345,0.7,50,40,0.65,0.0,0.0,primary_common_state
primary_346,0.7,50,40,0.65,0.05,0.0,primary_common_state
primary_347,0.7,50,40,0.65,0.1,0.0,primary_common_state
primary_348,0.7,50,40,0.85,0.0,0.0,primary_common_state
primary_349,0.7,50,40,0.85,0.05,0.0,primary_common_state
primary_350,0.7,50,40,0.85,0.1,0.0,primary_common_state
primary_351,0.7,50,60,0.45,0.0,0.0,primary_common_state
primary_352,0.7,50,60,0.45,0.05,0.0,primary_common_state
primary_353,0.7,50,60,0.45,0.1,0.0,primary_common_state
primary_354,0.7,50,60,0.65,0.0,0.0,primary_common_state
primary_355,0.7,50,60,0.65,0.05,0.0,primary_common_state
primary_356,0.7,50,60,0.65,0.1,0.0,primary_common_state
primary_357,0.7,50,60,0.85,0.0,0.0,primary_common_state
primary_358,0.7,50,60,0.85,0.05,0.0,primary_common_state
primary_359,0.7,50,60,0.85,0.1,0.0,primary_common_state
primary_360,0.7,75,10,0.45,0.0,0.0,primary_common_state
primary_361,0.7,75,10,0.45,0.05,0.0,primary_common_state
primary_362,0.7,75,10,0.45,0.1,0.0,primary_common_state
primary_363,0.7,75,10,0.65,0.0,0.0,primary_common_state
primary_364,0.7,75,10,0.65,0.05,0.0,primary_common_state
primary_365,0.7,75,10,0.65,0.1,0.0,primary_common_state
primary_366,0.7,75,10,0.85,0.0,0.0,primary_common_state
primary_367,0.7,75,10,0.85,0.05,0.0,primary_common_state
primary_368,0.7,75,10,0.85,0.1,0.0,primary_common_state
primary_369,0.7,75,15,0.45,0.0,0.0,primary_common_state
primary_370,0.7,75,15,0.45,0.05,0.0,primary_common_state
primary_371,0.7,75,15,0.45,0.1,0.0,primary_common_state
primary_372,0.7,75,15,0.65,0.0,0.0,primary_common_state
primary_373,0.7,75,15,0.65,0.05,0.0,primary_common_state
primary_374,0.7,75,15,0.65,0.1,0.0,primary_common_state
primary_375,0.7,75,15,0.85,0.0,0.0,primary_common_state
primary_376,0.7,75,15,0.85,0.05,0.0,primary_common_state
primary_377,0.7,75,15,0.85,0.1,0.0,primary_common_state
primary_378,0.7,75,25,0.45,0.0,0.0,primary_common_state
primary_379,0.7,75,25,0.45,0.05,0.0,primary_common_state
primary_380,0.7,75,25,0.45,0.1,0.0,primary_common_state
primary_381,0.7,75,25,0.65,0.0,0.0,primary_common_state
primary_382,0.7,75,25,0.65,0.05,0.0,primary_common_state
primary_383,0.7,75,25,0.65,0.1,0.0,primary_common_state
primary_384,0.7,75,25,0.85,0.0,0.0,primary_common_state
primary_385,0.7,75,25,0.85,0.05,0.0,primary_common_state
primary_386,0.7,75,25,0.85,0.1,0.0,primary_common_state
primary_387,0.7,75,40,0.45,0.0,0.0,primary_common_state
primary_388,0.7,75,40,0.45,0.05,0.0,primary_common_state
primary_389,0.7,75,40,0.45,0.1,0.0,primary_common_state
primary_390,0.7,75,40,0.65,0.0,0.0,primary_common_state
primary_391,0.7,75,40,0.65,0.05,0.0,primary_common_state
primary_392,0.7,75,40,0.65,0.1,0.0,primary_common_state
primary_393,0.7,75,40,0.85,0.0,0.0,primary_common_state
primary_394,0.7,75,40,0.85,0.05,0.0,primary_common_state
primary_395,0.7,75,40,0.85,0.1,0.0,primary_common_state
primary_396,0.7,75,60,0.45,0.0,0.0,primary_common_state
primary_397,0.7,75,60,0.45,0.05,0.0,primary_common_state
primary_398,0.7,75,60,0.45,0.1,0.0,primary_common_state
primary_399,0.7,75,60,0.65,0.0,0.0,primary_common_state
primary_400,0.7,75,60,0.65,0.05,0.0,primary_common_state
primary_401,0.7,75,60,0.65,0.1,0.0,primary_common_state
primary_402,0.7,75,60,0.85,0.0,0.0,primary_common_state
primary_403,0.7,75,60,0.85,0.05,0.0,primary_common_state
primary_404,0.7,75,60,0.85,0.1,0.0,primary_common_state
diagnostic_closed_0.02,0.66,50,25,0.65,0.0,0.02,diagnostic_closed_initial_state
diagnostic_closed_0.05,0.66,50,25,0.65,0.0,0.05,diagnostic_closed_initial_state
