case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class,final_rho_5,final_G_um_5,final_rho_50,final_G_um_50,HMS_density_miss,joint_rho_min,joint_rho_max,fast_smaller_G_fraction,fast_smaller_D90_fraction,span_ratio_ge_1p2,span_ratio_ge_1p5,barrier_mode,barrier_extrapolated
primary_010,0.62,35,15,0.45,0.05,0.0,primary_common_state,0.9812585261241298,2.1873746096849165,0.9699901013507419,0.6762181615376297,-0.010009898649258053,0.620033862502884,0.9699901013507419,0.28,0.48,0.0,0.0,nearest_slice_clamp,True
primary_011,0.62,35,15,0.45,0.1,0.0,primary_common_state,0.9629435315781197,2.187641684276415,0.9511541048240671,0.6769667415443675,-0.028845895175932834,0.6200320802658901,0.9511541048240671,0.44,0.44,0.0,0.0,nearest_slice_clamp,True
primary_012,0.62,35,15,0.65,0.0,0.0,primary_common_state,0.9994128290288192,2.1891663386152245,0.9873730014419542,0.6803359254913368,0.007373001441954186,0.6200356447398778,0.9873730014419542,0.28,0.68,0.0,0.0,nearest_slice_clamp,True
primary_013,0.62,35,15,0.65,0.05,0.0,primary_common_state,0.9816955157800203,2.189413974333204,0.9686274015350725,0.680974775377896,-0.011372598464927441,0.6200338625028838,0.9686274015350725,0.28,0.64,0.0,0.0,nearest_slice_clamp,True
primary_014,0.62,35,15,0.65,0.1,0.0,primary_common_state,0.9638545303375355,2.189683516809156,0.9498797404444909,0.6816672623976272,-0.03012025955550912,0.6200320802658899,0.9498797404444909,0.32,0.4,0.0,0.0,nearest_slice_clamp,True
primary_015,0.62,35,15,0.85,0.0,0.0,primary_common_state,0.9993607747257476,2.1902975691765487,0.9857989972048536,0.6829472584188343,0.005798997204853662,0.6200356447398778,0.9857989972048536,0.2,0.24,0.0,0.0,nearest_slice_clamp,True
primary_016,0.62,35,15,0.85,0.05,0.0,primary_common_state,0.9819276117712211,2.1905389622794744,0.9672598236678897,0.6835625354231126,-0.012740176332110331,0.620033862502884,0.9672598236678897,0.32,0.16,0.0,0.0,nearest_slice_clamp,True
primary_017,0.62,35,15,0.85,0.1,0.0,primary_common_state,0.9643500721388408,2.190791807568799,0.9487041536258475,0.6842191713219126,-0.0312958463741525,0.6200320802658901,0.9487041536258475,0.32,0.12,0.0,0.0,nearest_slice_clamp,True
primary_018,0.62,35,25,0.45,0.0,0.0,primary_common_state,0.9987899020811305,2.190176038104035,0.9794921418280749,0.683834306966677,-0.000507858171925113,0.6200356447398778,0.9794921418280749,0.48,0.2,0.0,0.0,nearest_slice_clamp,True
primary_019,0.62,35,25,0.45,0.05,0.0,primary_common_state,0.9799093790053627,2.1905758098903325,0.9612208667933932,0.6849438410126262,-0.018779133206606735,0.620033862502884,0.9612208667933932,0.48,0.24,0.0,0.0,nearest_slice_clamp,True
primary_020,0.62,35,25,0.45,0.1,0.0,primary_common_state,0.9610189838290487,2.19102356827504,0.942953450695385,0.686191045841828,-0.03704654930461493,0.6200320802658901,0.942953450695385,0.48,0.2,0.0,0.0,nearest_slice_clamp,True
primary_021,0.62,35,25,0.65,0.0,0.0,primary_common_state,0.9944974674464925,2.191641813801202,0.9549850843057816,0.6846298210340496,-0.02501491569421843,0.6200356447398778,0.9549850843057816,0.4,0.08,0.0,0.0,nearest_slice_clamp,True
primary_022,0.62,35,25,0.65,0.05,0.0,primary_common_state,0.9758969883816629,2.1921583632992236,0.9380187472145701,0.6867188433438731,-0.04198125278542986,0.6200338625028838,0.9380187472145701,0.4,0.08,0.0,0.0,nearest_slice_clamp,True
primary_023,0.62,35,25,0.65,0.1,0.0,primary_common_state,0.9572733773964185,2.192658527422801,0.9210789504933679,0.688613581997296,-0.05892104950663213,0.62003208026589,0.9210789504933679,0.4,0.12,0.0,0.0,nearest_slice_clamp,True
primary_024,0.62,35,25,0.85,0.0,0.0,primary_common_state,0.9901871333885635,2.189448749871045,0.9367822814613963,0.6741857081284345,-0.04321771853860368,0.6200356447398778,0.9367822814613963,0.44,0.24,0.0,0.0,nearest_slice_clamp,True
primary_025,0.62,35,25,0.85,0.05,0.0,primary_common_state,0.9718146099012694,2.190839820500159,0.9206062724096138,0.6792230573661872,-0.05939372759038619,0.620033862502884,0.9206062724096138,0.44,0.24,0.0,0.0,nearest_slice_clamp,True
primary_026,0.62,35,25,0.85,0.1,0.0,primary_common_state,0.9534132024940261,2.192051825125585,0.9044857674157829,0.6836982559494859,-0.07551423258421708,0.62003208026589,0.9044857674157829,0.48,0.24,0.0,0.0,nearest_slice_clamp,True
primary_027,0.62,35,40,0.45,0.0,0.0,primary_common_state,0.9860103591254807,2.1675447158968324,0.9123395291090726,0.6037651828576532,-0.06766047089092742,0.6200251052776533,0.9123395291090726,0.2,0.08,0.0,0.0,nearest_slice_clamp,True
primary_028,0.62,35,40,0.45,0.05,0.0,primary_common_state,0.9676042435488584,2.1716950607136445,0.8969271428571262,0.6159232234429767,-0.08307285714287382,0.6200238500137707,0.8969271428571262,0.24,0.08,0.0,0.0,nearest_slice_clamp,True
primary_029,0.62,35,40,0.45,0.1,0.0,primary_common_state,0.9492088768409365,2.175777930284289,0.8815804988242492,0.628261385999765,-0.09841950117575082,0.6200225947498881,0.8815804988242492,0.2,0.08,0.0,0.0,nearest_slice_clamp,True
primary_030,0.62,35,40,0.65,0.0,0.0,primary_common_state,0.9664367171223155,2.0909394054197836,0.8743518094074456,0.5248878961808437,-0.10564819059255437,0.6200195764968727,0.8743518094074456,0.24,0.2,0.0,0.0,nearest_slice_clamp,True
primary_031,0.62,35,40,0.65,0.05,0.0,primary_common_state,0.948727331991344,2.105783840480491,0.8606772696746281,0.5400234401742517,-0.11932273032537188,0.6200185976720289,0.8606772696746281,0.24,0.2,0.0,0.0,nearest_slice_clamp,True
primary_032,0.62,35,40,0.65,0.1,0.0,primary_common_state,0.9310545493761656,2.1199391358021935,0.8470673786967905,0.5561299279920695,-0.13293262130320949,0.6200176188471853,0.8470673786967905,0.24,0.2,0.0,0.0,nearest_slice_clamp,True
primary_033,0.62,35,40,0.85,0.0,0.0,primary_common_state,0.953164299711204,1.9567028708912568,0.8517707984053137,0.485574349164378,-0.12822920159468632,0.6200159525323734,0.8517707984053137,0.2,0.12,0.0,0.0,nearest_slice_clamp,True
primary_034,0.62,35,40,0.85,0.05,0.0,primary_common_state,0.9358644937178873,1.9862354444212469,0.8391795809309082,0.5006626949495928,-0.14082041906909182,0.6200151549057548,0.8391795809309082,0.2,0.12,0.0,0.0,nearest_slice_clamp,True
primary_035,0.62,35,40,0.85,0.1,0.0,primary_common_state,0.9186088822309391,2.0156278331065756,0.8266527053946278,0.5169045975842639,-0.15334729460537222,0.6200143572791361,0.8266527053946278,0.2,0.12,0.0,0.0,nearest_slice_clamp,True
primary_036,0.62,35,60,0.45,0.0,0.0,primary_common_state,0.9488367225266572,1.8137290649224789,0.8103608524476651,0.4214974597227571,-0.1696391475523349,0.620005887712973,0.8103608524476651,0.48,0.24,0.0,0.0,nearest_slice_clamp,True
primary_037,0.62,35,60,0.45,0.05,0.0,primary_common_state,0.9315424291583434,1.844916332783195,0.7995224221778082,0.4358972116791503,-0.18047757782219176,0.6200055933273245,0.7995224221778082,0.52,0.28,0.0,0.0,nearest_slice_clamp,True
primary_038,0.62,35,60,0.45,0.1,0.0,primary_common_state,0.9142907932865999,1.877100492234218,0.788774293129928,0.451617472111088,-0.191225706870072,0.6200052989416759,0.788774293129928,0.48,0.28,0.0,0.0,nearest_slice_clamp,True
primary_039,0.62,35,60,0.65,0.0,0.0,primary_common_state,0.919409184919558,1.4880175031089322,0.7801883959317194,0.39299069614768667,-0.19981160406828058,0.6200046498066745,0.7801883959317194,0.52,0.32,0.0,0.0,nearest_slice_clamp,True
primary_040,0.62,35,60,0.65,0.05,0.0,primary_common_state,0.9033291705692473,1.5249262150918121,0.7709558770762095,0.40680986091330534,-0.2090441229237905,0.6200044173163408,0.7709558770762095,0.52,0.32,0.0,0.0,nearest_slice_clamp,True
primary_041,0.62,35,60,0.65,0.1,0.0,primary_common_state,0.8872990384504758,1.5644207766887648,0.7618077056819338,0.421918711093881,-0.2181922943180662,0.6200041848260072,0.7618077056819338,0.52,0.32,0.0,0.0,nearest_slice_clamp,True
primary_042,0.62,35,60,0.85,0.0,0.0,primary_common_state,0.9005914966680878,1.3433716354624035,0.7630296693865826,0.37758716044833657,-0.21697033061341742,0.6200038312804212,0.7630296693865826,0.52,0.48,0.0,0.0,nearest_slice_clamp,True
primary_043,0.62,35,60,0.85,0.05,0.0,primary_common_state,0.8853409381771753,1.3794064790921055,0.7547126721726595,0.39096475865170244,-0.2252873278273405,0.6200036397164002,0.7547126721726595,0.48,0.52,0.0,0.0,nearest_slice_clamp,True
primary_044,0.62,35,60,0.85,0.1,0.0,primary_common_state,0.8701466393558688,1.4182309503586588,0.7464763406585266,0.40559938234881354,-0.23352365934147334,0.6200034481523791,0.7464763406585266,0.48,0.52,0.0,0.0,nearest_slice_clamp,True
primary_045,0.62,50,10,0.45,0.0,0.0,primary_common_state,0.9996123492978253,2.18480622505852,0.991705471309942,0.668923950994312,0.01170547130994204,0.6200249483778426,0.991705471309942,0.2,0.44,0.0,0.0,nearest_slice_clamp,True
primary_046,0.62,50,10,0.45,0.05,0.0,primary_common_state,0.9835820375658237,2.1850746183612895,0.9730209531575222,0.6696409058384857,-0.006979046842477743,0.6200237009589504,0.9730209531575222,0.2,0.44,0.0,0.0,nearest_slice_clamp,True
primary_047,0.62,50,10,0.45,0.1,0.0,primary_common_state,0.9673397057398012,2.185356157431429,0.9542932041935372,0.670397602888667,-0.025706795806462734,0.6200224535400584,0.9542932041935372,0.16,0.4,0.0,0.0,nearest_slice_clamp,True
primary_048,0.62,50,10,0.65,0.0,0.0,primary_common_state,0.9995500900526813,2.1868520720293003,0.9903832241682983,0.674017218982155,0.010383224168298288,0.6200249483778426,0.9903832241682983,0.16,0.92,0.0,0.0,nearest_slice_clamp,True
primary_049,0.62,50,10,0.65,0.05,0.0,primary_common_state,0.9844122881819174,2.1871143119763348,0.9719726243759016,0.6747085950985645,-0.008027375624098387,0.6200237009589505,0.9719726243759016,0.16,0.8,0.0,0.0,nearest_slice_clamp,True
primary_050,0.62,50,10,0.65,0.1,0.0,primary_common_state,0.9690674988669014,2.187382842855524,0.953470115069893,0.6754339437044822,-0.026529884930106995,0.6200224535400584,0.953470115069893,0.16,0.64,0.0,0.0,nearest_slice_clamp,True
primary_051,0.62,50,10,0.85,0.0,0.0,primary_common_state,0.9995071281709054,2.187948936290911,0.989513407533268,0.6767879354238674,0.009513407533268015,0.6200249483778426,0.989513407533268,0.2,0.16,0.0,0.0,nearest_slice_clamp,True
primary_052,0.62,50,10,0.85,0.05,0.0,primary_common_state,0.984776130997726,2.188228202750976,0.9712658852940783,0.6774783412535064,-0.00873411470592167,0.6200237009589505,0.9712658852940783,0.16,0.16,0.0,0.0,nearest_slice_clamp,True
primary_053,0.62,50,10,0.85,0.1,0.0,primary_common_state,0.9698484373992837,2.188513078466801,0.952897068929444,0.6781990360158264,-0.027102931070555947,0.6200224535400585,0.952897068929444,0.2,0.16,0.0,0.0,nearest_slice_clamp,True
primary_054,0.62,50,15,0.45,0.0,0.0,primary_common_state,0.999491546920209,2.186920157695769,0.9888041457402552,0.6746651326879033,0.008804145740255231,0.6200249483778426,0.9888041457402552,0.16,0.24,0.0,0.0,nearest_slice_clamp,True
primary_055,0.62,50,15,0.45,0.05,0.0,primary_common_state,0.9812586017517284,2.187202738700339,0.9699680037497842,0.6754206820976517,-0.01003199625021578,0.6200237009589507,0.9699680037497842,0.16,0.28,0.0,0.0,nearest_slice_clamp,True
primary_056,0.62,50,15,0.45,0.1,0.0,primary_common_state,0.9629434910948519,2.1874938755027116,0.9511352452031919,0.6762821842275584,-0.028864754796808056,0.6200224535400584,0.9511352452031919,0.16,0.28,0.0,0.0,nearest_slice_clamp,True
primary_057,0.62,50,15,0.65,0.0,0.0,primary_common_state,0.9994132378117844,2.1889492072218992,0.9873502112630164,0.67953190574125,0.007350211263016382,0.6200249483778427,0.9873502112630164,0.2,0.6,0.0,0.0,nearest_slice_clamp,True
primary_058,0.62,50,15,0.65,0.05,0.0,primary_common_state,0.9816956628190443,2.1892217603803474,0.9686068802010628,0.6802263278613983,-0.011393119798937201,0.6200237009589504,0.9686068802010628,0.2,0.6,0.0,0.0,nearest_slice_clamp,True
primary_059,0.62,50,15,0.65,0.1,0.0,primary_common_state,0.963854502997656,2.1895113342033983,0.9498609563360498,0.6809731717267012,-0.03013904366395015,0.6200224535400584,0.9498609563360498,0.2,0.72,0.0,0.0,nearest_slice_clamp,True
primary_060,0.62,50,15,0.85,0.0,0.0,primary_common_state,0.9993612566325363,2.1900891824147646,0.9857736244149674,0.6822095549562615,0.0057736244149674265,0.6200249483778427,0.9857736244149674,0.2,0.24,0.0,0.0,nearest_slice_clamp,True
primary_061,0.62,50,15,0.85,0.05,0.0,primary_common_state,0.9819278034229744,2.1903570132579286,0.9672371823411808,0.6828862240115544,-0.012762817658819148,0.6200237009589504,0.9672371823411808,0.24,0.12,0.0,0.0,nearest_slice_clamp,True
primary_062,0.62,50,15,0.85,0.1,0.0,primary_common_state,0.9643500711412405,2.190636954229465,0.9486842641267725,0.6835977524308252,-0.031315735873227446,0.6200224535400585,0.9486842641267725,0.24,0.12,0.0,0.0,nearest_slice_clamp,True
primary_063,0.62,50,25,0.45,0.0,0.0,primary_common_state,0.9987898209698497,2.1900081043273554,0.9794597920580818,0.6832171936629594,-0.0005402079419182249,0.6200249483778427,0.9794597920580818,0.4,0.16,0.0,0.0,nearest_slice_clamp,True
primary_064,0.62,50,25,0.45,0.05,0.0,primary_common_state,0.9799092588825382,2.190376062966577,0.9611838236583241,0.684225998180194,-0.018816176341675872,0.6200237009589507,0.9611838236583241,0.4,0.16,0.0,0.0,nearest_slice_clamp,True
primary_065,0.62,50,25,0.45,0.1,0.0,primary_common_state,0.9610188867470371,2.1907874082600296,0.9429090517463845,0.6853537945756194,-0.037090948253615474,0.6200224535400585,0.9429090517463845,0.4,0.16,0.0,0.0,nearest_slice_clamp,True
primary_066,0.62,50,25,0.65,0.0,0.0,primary_common_state,0.9944964003168395,2.191485572809644,0.9549270166874999,0.6840202558228413,-0.025072983312500075,0.6200249483778427,0.9549270166874999,0.36,0.32,0.0,0.0,nearest_slice_clamp,True
primary_067,0.62,50,25,0.65,0.05,0.0,primary_common_state,0.9758957661530688,2.191978899970475,0.9379517406930886,0.686019835009167,-0.04204825930691136,0.6200237009589505,0.9379517406930886,0.4,0.32,0.0,0.0,nearest_slice_clamp,True
primary_068,0.62,50,25,0.65,0.1,0.0,primary_common_state,0.9572720044920962,2.192443093351282,0.9209991702737241,0.6878072661125588,-0.05900082972627585,0.6200224535400585,0.9209991702737241,0.4,0.24,0.0,0.0,nearest_slice_clamp,True
primary_069,0.62,50,25,0.85,0.0,0.0,primary_common_state,0.9901853414570413,2.189280174003079,0.9367127217631083,0.673559035419447,-0.04328727823689171,0.6200249483778426,0.9367127217631083,0.36,0.12,0.0,0.0,nearest_slice_clamp,True
primary_070,0.62,50,25,0.85,0.05,0.0,primary_common_state,0.9718124917469771,2.1906485812989724,0.9205279413323753,0.6784933041479595,-0.05947205866762473,0.6200237009589507,0.9205279413323753,0.36,0.12,0.0,0.0,nearest_slice_clamp,True
primary_071,0.62,50,25,0.85,0.1,0.0,primary_common_state,0.9534107223033473,2.1918262841006397,0.9043942446881905,0.682849476767932,-0.07560575531180946,0.6200224535400584,0.9043942446881905,0.36,0.16,0.0,0.0,nearest_slice_clamp,True
primary_072,0.62,50,40,0.45,0.0,0.0,primary_common_state,0.9860091081667975,2.1673866109328084,0.9122596524506731,0.6032484728059423,-0.0677403475493269,0.620022840919241,0.9122596524506731,0.16,0.04,0.0,0.0,nearest_slice_clamp,True
primary_073,0.62,50,40,0.45,0.05,0.0,primary_common_state,0.9676024111655026,2.1715478085148376,0.8968448701801519,0.6153693841113803,-0.08315512981984807,0.620021698873279,0.8968448701801519,0.16,0.08,0.0,0.0,nearest_slice_clamp,True
primary_074,0.62,50,40,0.45,0.1,0.0,primary_common_state,0.9492066793184707,2.1756313640280154,0.8814953425163456,0.6276664325226724,-0.09850465748365433,0.6200205568273169,0.8814953425163456,0.16,0.0,0.0,0.0,nearest_slice_clamp,True
primary_075,0.62,50,40,0.65,0.0,0.0,primary_common_state,0.9664337557633911,2.0908172784129966,0.8742741284624787,0.5244824236505384,-0.10572587153752133,0.6200177783856503,0.8742741284624787,0.2,0.12,0.0,0.0,nearest_slice_clamp,True
primary_076,0.62,50,40,0.65,0.05,0.0,primary_common_state,0.9487249183654003,2.105632484124999,0.860598120872978,0.5395764325323852,-0.11940187912702194,0.6200168894663678,0.860598120872978,0.2,0.12,0.0,0.0,nearest_slice_clamp,True
primary_077,0.62,50,40,0.65,0.1,0.0,primary_common_state,0.9310519333423503,2.119779838042315,0.8469862648804094,0.555637575884151,-0.13301373511959058,0.6200160005470852,0.8469862648804094,0.16,0.12,0.0,0.0,nearest_slice_clamp,True
primary_078,0.62,50,40,0.85,0.0,0.0,primary_common_state,0.9531613612360358,1.9565704997794213,0.8516950039944388,0.48523182225506284,-0.12830499600556122,0.620014464258988,0.8516950039944388,0.16,0.2,0.0,0.0,nearest_slice_clamp,True
primary_079,0.62,50,40,0.85,0.05,0.0,primary_common_state,0.935861230813815,1.9861016077211169,0.8391023681030673,0.5002889044619205,-0.14089763189693272,0.6200137410460387,0.8391023681030673,0.16,0.2,0.0,0.0,nearest_slice_clamp,True
primary_080,0.62,50,40,0.85,0.1,0.0,primary_common_state,0.9186057339826186,2.015476771673649,0.8265744040364159,0.516486940590939,-0.15342559596358407,0.6200130178330892,0.8265744040364159,0.24,0.16,0.0,0.0,nearest_slice_clamp,True
primary_081,0.62,50,60,0.45,0.0,0.0,primary_common_state,0.9488308957238946,1.813503298341828,0.8101967855868281,0.4210469199515848,-0.16980321441317192,0.6200052899508846,0.8101967855868281,0.4,0.16,0.0,0.0,nearest_slice_clamp,True
primary_082,0.62,50,60,0.45,0.05,0.0,primary_common_state,0.9315364438127469,1.8446812244622035,0.7993588184564699,0.43541989651670937,-0.18064118154353004,0.6200050254533402,0.7993588184564699,0.4,0.16,0.0,0.0,nearest_slice_clamp,True
primary_083,0.62,50,60,0.45,0.1,0.0,primary_common_state,0.9142843029478709,1.8768630316672283,0.7886116961226373,0.45109263806781946,-0.19138830387736272,0.6200047609557962,0.7886116961226373,0.4,0.16,0.0,0.0,nearest_slice_clamp,True
primary_084,0.62,50,60,0.65,0.0,0.0,primary_common_state,0.9194018473744169,1.4878559366247694,0.780048403719763,0.392618419818122,-0.19995159628023695,0.6200041670692679,0.780048403719763,0.44,0.24,0.0,0.0,nearest_slice_clamp,True
primary_085,0.62,50,60,0.65,0.05,0.0,primary_common_state,0.9033219114876337,1.524751375431258,0.7708167183726734,0.40641371901926726,-0.20918328162732658,0.6200039587158044,0.7708167183726734,0.44,0.24,0.0,0.0,nearest_slice_clamp,True
primary_086,0.62,50,60,0.65,0.1,0.0,primary_common_state,0.8872915370731369,1.5642388239180096,0.761669352626348,0.4214878564770004,-0.21833064737365193,0.620003750362341,0.761669352626348,0.48,0.24,0.0,0.0,nearest_slice_clamp,True
primary_087,0.62,50,60,0.85,0.0,0.0,primary_common_state,0.9005841517088785,1.3432235002768134,0.762900680135381,0.37724168319464496,-0.21709931986461894,0.6200034258790016,0.762900680135381,0.44,0.4,0.0,0.0,nearest_slice_clamp,True
primary_088,0.62,50,60,0.85,0.05,0.0,primary_common_state,0.8853330244378333,1.379260769822467,0.7545848337251364,0.3905974984245118,-0.22541516627486358,0.6200032545850513,0.7545848337251364,0.44,0.4,0.0,0.0,nearest_slice_clamp,True
primary_089,0.62,50,60,0.85,0.1,0.0,primary_common_state,0.870138403737885,1.4180821837509068,0.746349524980206,0.40520130638942753,-0.23365047501979397,0.6200030832911014,0.746349524980206,0.44,0.4,0.0,0.0,nearest_slice_clamp,True
primary_090,0.62,75,10,0.45,0.0,0.0,primary_common_state,0.9996133435768043,2.183140062113919,0.9915833330632688,0.6639420986418043,0.011583333063268864,0.6200166274498091,0.9915833330632688,0.32,0.28,0.0,0.0,nearest_slice_clamp,True
primary_091,0.62,75,10,0.45,0.05,0.0,primary_common_state,0.9835792311791474,2.183494271438887,0.9729021426582417,0.664929301370314,-0.0070978573417582735,0.6200157960773187,0.9729021426582417,0.32,0.28,0.0,0.0,nearest_slice_clamp,True
primary_092,0.62,75,10,0.45,0.1,0.0,primary_common_state,0.9673340245155988,2.1838821649896962,0.9541784350672962,0.6659719466861286,-0.025821564932703822,0.6200149647048283,0.9541784350672962,0.32,0.28,0.0,0.0,nearest_slice_clamp,True
primary_093,0.62,75,10,0.65,0.0,0.0,primary_common_state,0.9995516432134367,2.1853178056361386,0.9902659237694066,0.6695038373538631,0.010265923769406604,0.6200166274498092,0.9902659237694066,0.36,0.48,0.0,0.0,nearest_slice_clamp,True
primary_094,0.62,75,10,0.65,0.05,0.0,primary_common_state,0.9844104054463111,2.1856623902290364,0.9718554405777693,0.670425057325257,-0.00814455942223069,0.6200157960773187,0.9718554405777693,0.4,0.56,0.0,0.0,nearest_slice_clamp,True
primary_095,0.62,75,10,0.65,0.1,0.0,primary_common_state,0.9690629505759148,2.1860317491071224,0.9533541665754737,0.6714023055878932,-0.02664583342452631,0.6200149647048283,0.9533541665754737,0.4,0.56,0.0,0.0,nearest_slice_clamp,True
primary_096,0.62,75,10,0.85,0.0,0.0,primary_common_state,0.9995089458906248,2.1865212433988868,0.9894006557257355,0.6725792737059445,0.009400655725735563,0.6200166274498091,0.9894006557257355,0.4,0.04,0.0,0.0,nearest_slice_clamp,True
primary_097,0.62,75,10,0.85,0.05,0.0,primary_common_state,0.9847748993337293,2.1868614975462752,0.9711504522042741,0.6734929418441765,-0.008849547795725887,0.6200157960773188,0.9711504522042741,0.4,0.04,0.0,0.0,nearest_slice_clamp,True
primary_098,0.62,75,10,0.85,0.1,0.0,primary_common_state,0.9698443873603911,2.1872216935101885,0.9527830235809867,0.67443664585876,-0.027216976419013328,0.6200149647048283,0.9527830235809867,0.32,0.0,0.0,0.0,nearest_slice_clamp,True
primary_099,0.62,75,15,0.45,0.0,0.0,primary_common_state,0.9994926492069178,2.185984548526635,0.9887158892074785,0.671782558601683,0.008715889207478567,0.6200166274498092,0.9887158892074785,0.2,0.08,0.0,0.0,nearest_slice_clamp,True
primary_100,0.62,75,15,0.45,0.05,0.0,primary_common_state,0.9812588781580532,2.186343437848639,0.9698871539954852,0.6727495618157147,-0.010112846004514786,0.6200157960773187,0.9698871539954852,0.16,0.12,0.0,0.0,nearest_slice_clamp,True
primary_101,0.62,75,15,0.45,0.1,0.0,primary_common_state,0.9629431742067487,2.1867255350772608,0.9510610290429043,0.6737651661078149,-0.028938970957095633,0.6200149647048283,0.9510610290429043,0.16,0.04,0.0,0.0,nearest_slice_clamp,True
primary_102,0.62,75,15,0.65,0.0,0.0,primary_common_state,0.9994147279438437,2.1880659486063223,0.9872654271500335,0.6768110398439361,0.007265427150033532,0.6200166274498091,0.9872654271500335,0.2,0.4,0.0,0.0,nearest_slice_clamp,True
primary_103,0.62,75,15,0.65,0.05,0.0,primary_common_state,0.9816960885673417,2.188408729744644,0.9685291335286881,0.6777128588158325,-0.011470866471311902,0.6200157960773187,0.9685291335286881,0.24,0.4,0.0,0.0,nearest_slice_clamp,True
primary_104,0.62,75,15,0.65,0.1,0.0,primary_common_state,0.9638541616222353,2.188767335750456,0.9497903870601061,0.678667224124904,-0.030209612939893882,0.6200149647048282,0.9497903870601061,0.2,0.36,0.0,0.0,nearest_slice_clamp,True
primary_105,0.62,75,15,0.85,0.0,0.0,primary_common_state,0.9993630594726585,2.1892259337120543,0.9856714464057874,0.6795866475984985,0.005671446405787428,0.6200166274498091,0.9856714464057874,0.2,0.04,0.0,0.0,nearest_slice_clamp,True
primary_106,0.62,75,15,0.85,0.05,0.0,primary_common_state,0.9819284524569316,2.189555111739919,0.9671453684439879,0.68043807432545,-0.012854631556012075,0.6200157960773187,0.9671453684439879,0.24,0.0,0.0,0.0,nearest_slice_clamp,True
primary_107,0.62,75,15,0.85,0.1,0.0,primary_common_state,0.9643498733921757,2.189888848303349,0.948602798722752,0.6813375955334324,-0.03139720127724799,0.6200149647048283,0.948602798722752,0.24,0.0,0.0,0.0,nearest_slice_clamp,True
primary_108,0.62,75,25,0.45,0.0,0.0,primary_common_state,0.9987897246703984,2.1896904696380095,0.9793862256274447,0.681860681683585,-0.0006137743725552758,0.6200166274498092,0.9793862256274447,0.2,0.08,0.0,0.0,nearest_slice_clamp,True
primary_109,0.62,75,25,0.45,0.05,0.0,primary_common_state,0.9799091476544705,2.190086557870616,0.9611203499021926,0.6830072095295395,-0.018879650097807343,0.6200157960773187,0.9611203499021926,0.2,0.08,0.0,0.0,nearest_slice_clamp,True
