mechanism_mode,A_J,XJ_capacity,XJ_prod_TJ,XJ_prod_relocation,XJ_prod_sweep,tau_J_ref_s,Q_relax_J_mol,J_size_exp,lambda_TJ_ref,Q_TJ_event_J_mol,K_TJ0,q_TJ,packet_G_ref,parameter_id
persistent_tj_multihit_q1,24.0,1.0,2.0,8.0,0.4,50000.0,380000.0,1.0,1.5,340000.0,2.0,1,1.5e-07,mech_014
persistent_junction,48.0,1.0,2.0,8.0,0.4,150000.0,380000.0,1.0,1.5,340000.0,2.0,0,1.5e-07,mech_015
tj_multihit_q0,48.0,1.0,2.0,8.0,0.4,150000.0,380000.0,1.0,1.5,340000.0,2.0,0,1.5e-07,mech_016
tj_multihit_q1,48.0,1.0,2.0,8.0,0.4,150000.0,380000.0,1.0,1.5,380000.0,2.0,1,1.5e-07,mech_017
persistent_tj_multihit_q0,48.0,1.0,2.0,8.0,0.4,450000.0,380000.0,1.0,1.5,380000.0,2.0,0,1.5e-07,mech_018
persistent_tj_multihit_q1,48.0,1.0,2.0,8.0,0.4,450000.0,380000.0,1.0,1.5,380000.0,2.0,1,1.5e-07,mech_019
persistent_junction,6.0,1.0,2.0,8.0,0.4,450000.0,380000.0,1.0,1.5,380000.0,2.0,0,1.5e-07,mech_020
tj_multihit_q0,6.0,1.0,4.0,8.0,0.4,1350000.0,380000.0,1.0,1.5,380000.0,2.0,0,1.5e-07,mech_021
tj_multihit_q1,6.0,1.0,4.0,8.0,0.4,1350000.0,380000.0,1.0,4.5,380000.0,2.0,1,1.5e-07,mech_022
persistent_tj_multihit_q0,6.0,1.0,4.0,8.0,0.4,1350000.0,380000.0,1.0,4.5,380000.0,2.0,0,1.5e-07,mech_023
persistent_tj_multihit_q1,6.0,1.0,4.0,8.0,0.4,50000.0,380000.0,1.0,4.5,380000.0,2.0,1,1.5e-07,mech_024
persistent_junction,12.0,1.0,4.0,8.0,0.4,50000.0,380000.0,1.0,4.5,380000.0,2.0,0,1.5e-07,mech_025
tj_multihit_q0,12.0,1.0,4.0,8.0,0.4,50000.0,380000.0,1.0,4.5,380000.0,4.0,0,1.5e-07,mech_026
tj_multihit_q1,12.0,1.0,4.0,8.0,0.4,150000.0,380000.0,1.0,4.5,380000.0,4.0,1,1.5e-07,mech_027
persistent_tj_multihit_q0,12.0,1.0,0.5,8.0,0.4,150000.0,380000.0,1.0,4.5,380000.0,4.0,0,1.5e-07,mech_028
persistent_tj_multihit_q1,12.0,1.0,0.5,8.0,0.4,150000.0,380000.0,1.0,4.5,380000.0,4.0,1,1.5e-07,mech_029
persistent_junction,24.0,1.0,0.5,8.0,0.4,450000.0,380000.0,1.0,4.5,380000.0,4.0,0,1.5e-07,mech_030
tj_multihit_q0,24.0,1.0,0.5,8.0,0.4,450000.0,380000.0,1.0,4.5,380000.0,4.0,0,1.5e-07,mech_031
tj_multihit_q1,24.0,1.0,0.5,8.0,0.4,450000.0,380000.0,1.0,4.5,380000.0,4.0,1,1.5e-07,mech_032
persistent_tj_multihit_q0,24.0,1.0,0.5,8.0,0.4,1350000.0,380000.0,1.0,13.5,380000.0,4.0,0,1.5e-07,mech_033
persistent_tj_multihit_q1,24.0,1.0,0.5,8.0,0.4,1350000.0,380000.0,1.0,13.5,420000.0,4.0,1,1.5e-07,mech_034
persistent_junction,48.0,1.0,1.0,8.0,0.4,1350000.0,380000.0,1.0,13.5,420000.0,4.0,0,1.5e-07,mech_035
tj_multihit_q0,48.0,1.0,1.0,8.0,0.4,50000.0,380000.0,1.0,13.5,420000.0,4.0,0,1.5e-07,mech_036
tj_multihit_q1,48.0,1.0,1.0,8.0,0.4,50000.0,380000.0,1.0,13.5,420000.0,4.0,1,1.5e-07,mech_037
persistent_tj_multihit_q0,48.0,1.0,1.0,8.0,0.4,50000.0,380000.0,1.0,13.5,420000.0,4.0,0,1.5e-07,mech_038
persistent_tj_multihit_q1,48.0,1.0,1.0,8.0,0.4,150000.0,380000.0,1.0,13.5,420000.0,8.0,1,1.5e-07,mech_039
persistent_junction,6.0,1.0,1.0,8.0,0.4,150000.0,380000.0,1.0,13.5,420000.0,8.0,0,1.5e-07,mech_040
tj_multihit_q0,6.0,1.0,1.0,8.0,0.4,150000.0,380000.0,1.0,13.5,420000.0,8.0,0,1.5e-07,mech_041
tj_multihit_q1,6.0,1.0,2.0,8.0,0.4,450000.0,380000.0,1.0,13.5,420000.0,8.0,1,1.5e-07,mech_042
persistent_tj_multihit_q0,6.0,1.0,2.0,8.0,0.4,450000.0,380000.0,1.0,13.5,420000.0,8.0,0,1.5e-07,mech_043
persistent_tj_multihit_q1,6.0,1.0,2.0,8.0,0.4,450000.0,380000.0,1.0,0.5,420000.0,8.0,1,1.5e-07,mech_044
persistent_junction,12.0,1.0,2.0,8.0,0.4,1350000.0,380000.0,1.0,0.5,420000.0,8.0,0,1.5e-07,mech_045
tj_multihit_q0,12.0,1.0,2.0,8.0,0.4,1350000.0,380000.0,1.0,0.5,420000.0,8.0,0,1.5e-07,mech_046
tj_multihit_q1,12.0,1.0,2.0,8.0,0.4,1350000.0,380000.0,1.0,0.5,420000.0,8.0,1,1.5e-07,mech_047
persistent_tj_multihit_q0,12.0,1.0,2.0,8.0,0.4,50000.0,380000.0,1.0,0.5,420000.0,8.0,0,1.5e-07,mech_048
persistent_tj_multihit_q1,12.0,1.0,4.0,8.0,0.4,50000.0,380000.0,1.0,0.5,420000.0,8.0,1,1.5e-07,mech_049
persistent_junction,24.0,1.0,4.0,8.0,0.4,50000.0,380000.0,1.0,0.5,420000.0,8.0,0,1.5e-07,mech_050
tj_multihit_q0,24.0,1.0,4.0,8.0,0.4,150000.0,380000.0,1.0,0.5,460000.0,8.0,0,1.5e-07,mech_051
tj_multihit_q1,24.0,1.0,4.0,8.0,0.4,150000.0,380000.0,1.0,0.5,460000.0,1.0,1,1.5e-07,mech_052
persistent_tj_multihit_q0,24.0,1.0,4.0,8.0,0.4,150000.0,380000.0,1.0,0.5,460000.0,1.0,0,1.5e-07,mech_053
persistent_tj_multihit_q1,24.0,1.0,4.0,8.0,0.4,450000.0,380000.0,1.0,0.5,460000.0,1.0,1,1.5e-07,mech_054
persistent_junction,48.0,1.0,4.0,8.0,0.4,450000.0,380000.0,1.0,1.5,460000.0,1.0,0,1.5e-07,mech_055
tj_multihit_q0,48.0,1.0,0.5,8.0,0.4,450000.0,380000.0,1.0,1.5,460000.0,1.0,0,1.5e-07,mech_056
tj_multihit_q1,48.0,1.0,0.5,8.0,0.4,1350000.0,380000.0,1.0,1.5,460000.0,1.0,1,1.5e-07,mech_057
persistent_tj_multihit_q0,48.0,1.0,0.5,8.0,0.4,1350000.0,380000.0,1.0,1.5,460000.0,1.0,0,1.5e-07,mech_058
persistent_tj_multihit_q1,48.0,1.0,0.5,8.0,0.4,1350000.0,380000.0,1.0,1.5,460000.0,1.0,1,1.5e-07,mech_059
persistent_junction,6.0,1.0,0.5,8.0,0.4,50000.0,380000.0,1.0,1.5,460000.0,1.0,0,1.5e-07,mech_060
tj_multihit_q0,6.0,1.0,0.5,8.0,0.4,50000.0,380000.0,1.0,1.5,460000.0,1.0,0,1.5e-07,mech_061
tj_multihit_q1,6.0,1.0,0.5,8.0,0.4,50000.0,380000.0,1.0,1.5,460000.0,1.0,1,1.5e-07,mech_062
persistent_tj_multihit_q0,6.0,1.0,1.0,8.0,0.4,150000.0,380000.0,1.0,1.5,460000.0,1.0,0,1.5e-07,mech_063
