parameter_id,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_act_total
nominal_persistent,0.7000000000005505,26666666.666661553,10820341.817579247,12733010.311944552,46809837.81563781
nominal_persistent,0.7000000000007985,26666666.666659236,10820341.817032425,12733010.312515708,46809837.81606125
nominal_persistent,0.700000000001153,26666666.66665592,10820341.816327177,12733010.313254634,46809837.81660955
nominal_persistent,0.7000000000016577,26666666.66665119,10820341.815420128,12733010.314207543,46809837.81731703
nominal_persistent,0.7000000000023731,26666666.66664449,10820341.814256731,12733010.315432526,46809837.81822682
nominal_persistent,0.7000000000033828,26666666.666635033,10820341.812768463,12733010.31700239,46809837.81939279
nominal_persistent,0.7000000000048026,26666666.66662173,10820341.810869534,12733010.319008088,46809837.82088209
nominal_persistent,0.7000000000067903,26666666.66660311,10820341.808452709,12733010.3215629,46809837.82277805
nominal_persistent,0.7000000000095628,26666666.66657713,10820341.805384247,12733010.324807515,46809837.825183734
nominal_persistent,0.7000000000134142,26666666.66654104,10820341.801497698,12733010.328916142,46809837.82822623
nominal_persistent,0.7000000000187445,26666666.666491076,10820341.796586284,12733010.334103853,46809837.83206152
nominal_persistent,0.7000000000260937,26666666.66642218,10820341.790393645,12733010.340635428,46809837.83688058
nominal_persistent,0.7000000000361893,26666666.66632752,10820341.782602489,12733010.34883591,46809837.842916146
nominal_persistent,0.700000000050007,26666666.666197926,10820341.7728208,12733010.359103182,46809837.85045096
nominal_persistent,0.7000000000688515,26666666.666021124,10820341.760565028,12733010.37192294,46809837.85982711
nominal_persistent,0.7000000000944617,26666666.665780775,10820341.745239656,12733010.387886433,46809837.87145699
nominal_persistent,0.7000000001291462,26666666.665455185,10820341.726112416,12733010.407711366,46809837.8858357
nominal_persistent,0.7000000001759608,26666666.66501559,10820341.7022841,12733010.432266615,46809837.90355523
nominal_persistent,0.7000000002389358,26666666.664424054,10820341.672652083,12733010.46260113,46809837.92532049
nominal_persistent,0.7000000003233711,26666666.66363067,10820341.63586604,12733010.499977818,46809837.95196716
nominal_persistent,0.7000000004362127,26666666.662569992,10820341.590274375,12733010.545913028,46809837.98448144
nominal_persistent,0.7000000005865357,26666666.66115648,10820341.5338594,12733010.602222444,46809838.02402166
nominal_persistent,0.70000000078616,26666666.659278635,10820341.464159006,12733010.671074249,46809838.071941435
nominal_persistent,0.7000000010504339,26666666.656791624,10820341.378172034,12733010.755050424,46809838.12981407
nominal_persistent,0.7000000013992271,26666666.653507814,10820341.272244096,12733010.857217325,46809838.19945781
nominal_persistent,0.7000000018581857,26666666.64918487,10820341.141929843,12733010.981206445,46809838.282960795
nominal_persistent,0.7000000024603146,26666666.643510737,10820340.981827045,12733011.131306581,46809838.38270485
nominal_persistent,0.7000000032479679,26666666.636084653,10820340.785376728,12733011.312568616,46809838.50138629
nominal_persistent,0.7000000042753391,26666666.62639348,10820340.54462281,12733011.53092397,46809838.64203177
nominal_persistent,0.7000000056115786,26666666.613781955,10820340.249923052,12733011.793318098,46809838.80800595
nominal_persistent,0.7000000073446735,26666666.597415645,10820339.889601951,12733012.10786003,46809839.00300765
nominal_persistent,0.7000000095862727,26666666.576234832,10820339.449534176,12733012.483989138,46809839.231049314
nominal_persistent,0.7000000124776651,26666666.54889731,10820338.912645103,12733012.932659997,46809839.49641379
nominal_persistent,0.7000000161971682,26666666.513707533,10820338.258312676,12733013.4665461,46809839.80358054
nominal_persistent,0.7000000209692356,26666666.468529243,10820337.461651605,12733014.100262778,46809840.157111734
nominal_persistent,0.7000000270756521,26666666.410677854,10820336.49265791,12733014.850609343,46809840.56148579
nominal_persistent,0.7000000348692585,26666666.336788304,10820335.315187499,12733015.736829957,46809841.0208637
nominal_persistent,0.7000000447907346,26666666.242653195,10820333.885738159,12733016.78089177,46809841.53876952
nominal_persistent,0.7000000573890643,26666666.123025157,10820332.15199882,12733018.007778324,46809842.11766289
nominal_persistent,0.7000000733464293,26666665.971375883,10820330.051123805,12733019.445794813,46809842.75837606
nominal_persistent,0.7000000935084081,26666665.779603355,10820327.507682737,12733021.126880465,46809843.45938275
nominal_persistent,0.7000001189205171,26666665.537676834,10820324.431228414,12733023.08692163,46809844.21585929
nominal_persistent,0.7000001508723106,26666665.233207498,10820320.713415628,12733025.36605713,46809845.018490724
nominal_persistent,0.7000001909504667,26666664.850930512,10820316.22459311,12733028.008964702,46809845.85196558
nominal_persistent,0.7000002411025257,26666664.372081682,10820310.809778376,12733031.06511475,46809846.693092436
nominal_persistent,0.7000003037132212,26666663.77364918,10820304.283911327,12733034.5889739,46809847.5084596
nominal_persistent,0.7000003816956613,26666663.027477387,10820296.42626652,12733038.64013669,46809848.25154455
nominal_persistent,0.7000004785999635,26666662.099196408,10820286.973886056,12733043.283359183,46809848.859165065
nominal_persistent,0.7000005987423619,26666660.946946222,10820275.613874814,12733048.588462485,46809849.247144334
nominal_persistent,0.7000007473582446,26666659.519859955,10820261.974377029,12733054.630067917,46809849.30504297
nominal_persistent,0.7000009307830976,26666657.756264962,10820245.61402789,12733061.487118151,46809848.88978645
nominal_persistent,0.7000011566658964,26666655.581554536,10820226.009645434,12733069.242130417,46809847.81799117
nominal_persistent,0.7000014342201154,26666652.90567577,10820202.541896714,12733077.980118245,46809845.85676169
nominal_persistent,0.7000017745182345,26666649.62017155,10820174.478637487,12733087.787107818,46809842.71269974
nominal_persistent,0.7000021908363872,26666645.59470589,10820140.955586474,12733098.748162853,46809838.0188285
nominal_persistent,0.7000026990566506,26666640.67299194,10820100.953953445,12733110.944818828,46809831.31909478
nominal_persistent,0.7000033181354082,26666634.668031503,10820053.274594683,12733124.451812753,46809822.05006809
nominal_persistent,0.7000040706472173,26666627.35656275,10819996.508219806,12733139.332978172,46809809.51940508
nominal_persistent,0.7000049834147218,26666618.472599804,10819929.00112049,12733155.636157926,46809792.880596094
nominal_persistent,0.7000060882363186,26666607.69993351,10819848.81583387,12733173.386967348,46809771.10345081
nominal_persistent,0.7000074227245487,26666594.663446862,10819753.686092084,12733192.581220219,46809742.939718924
nominal_persistent,0.7000090312695322,26666578.91908151,10819640.965343801,12733213.175806964,46809706.8831729
nominal_persistent,0.7000109661431745,26666559.94227325,10819507.5680646,12733235.077790882,46809661.12340898
nominal_persistent,0.700013288761371,26666537.11465418,10819349.903000493,12733258.131462408,46809603.492545344
nominal_persistent,0.7000160711229813,26666509.708797976,10819163.797413334,12733282.10306463,46809531.403915845
nominal_persistent,0.7000193974459512,26666476.87076135,10818944.411318645,12733306.662874915,46809441.78177257
nominal_persistent,0.7000233660226036,26666437.600150827,10818686.140626496,12733331.36429789,46809330.98092238
nominal_persistent,0.7000280913177772,26666390.727417566,10818382.508014672,12733355.619594539,46809194.6951304
nominal_persistent,0.7000337063351607,26666334.8880563,10818026.040282113,12733378.671840584,46809027.85302983
nominal_persistent,0.7000403652788041,26666268.493356124,10817608.130849775,12733399.56267508,46808824.50018162
nominal_persistent,0.7000482465383773,26666189.697321635,10817118.885998173,12733417.09536761,46808577.66583106
nominal_persistent,0.7000575560282367,26666096.35935337,10816546.953355836,12733429.792699246,46808279.21281247
nominal_persistent,0.7000685309117349,26665986.002246547,10815879.331084525,12733435.849119699,46807919.668959215
nominal_persistent,0.7000814437433824,26665855.765037373,10815101.156145656,12733433.07661011,46807488.038285375
nominal_persistent,0.7000966070624393,26665702.350197703,10814195.469981924,12733418.8436487,46806971.590120405
nominal_persistent,0.7001143784721516,26665521.96465153,10813142.959910672,12733390.006644879,46806355.62429997
nominal_persistent,0.7001351662391313,26665310.254062846,10811921.674504934,12733342.833176587,46805623.21044894
nominal_persistent,0.7001594354471796,26665062.229823682,10810506.71123852,12733272.916336117,46804754.89933756
nominal_persistent,0.7001877147390932,26664772.188156176,10808869.874697005,12733175.07946145,46803728.40425416
nominal_persistent,0.7002206036785241,26664433.620734192,10806979.303713553,12733043.270503154,46802518.25032041
nominal_persistent,0.7002587807616799,26664039.116231084,10804799.065882651,12732870.445252134,46801095.3896835
nominal_persistent,0.7003030121053473,26663580.25221172,10802288.718043882,12732648.438630022,46799426.780557916
nominal_persistent,0.7003541608332409,26663047.476812866,10799402.83152056,12732367.823223189,46797474.92816601
nominal_persistent,0.7004131971767957,26662429.979697917,10796090.481153876,12732017.754222583,46795197.385745525
nominal_persistent,0.7004812092989717,26661715.551833034,10792294.697504027,12731585.799915839,46792546.21396359
nominal_persistent,0.7005594148401753,26660890.433715276,10787951.882008199,12731057.756865656,46789467.39730776
nominal_persistent,0.700649173173675,26659939.15179112,10782991.18540622,12730417.448900254,46785900.21632499
nominal_persistent,0.7007519983435877,26658844.34293846,10777333.850384193,12729646.509039002,46781776.57495859
nominal_persistent,0.7008695726412157,26657586.567047663,10770892.520163307,12728724.143480573,46777020.28270054
nominal_persistent,0.7010037607548709,26656144.10792722,10763570.515694097,12727626.876794526,46771546.29184219
nominal_persistent,0.7011566244038521,26654492.762974482,10755261.08522826,12726328.277483566,46765259.890778825
nominal_persistent,0.7013304373385516,26652605.622286182,10745846.631351687,12724798.663126169,46758055.855107985
nominal_persistent,0.7015277005553304,26650452.838128123,10735197.922097666,12723004.784374032,46749817.55916595
nominal_persistent,0.7017511575364193,26648001.38592323,10723173.294540266,12720909.487172136,46740416.051666334
nominal_persistent,0.7020038092813927,26645214.818133302,10709617.861315679,12718471.352699896,46729709.10024065
nominal_persistent,0.7022889288475166,26642053.01257373,10694362.732852703,12715644.314710325,46717540.21091648
nominal_persistent,0.7026100750614612,26638471.916779004,10677224.27072544,12712377.254182572,46703737.62989057
