parameter_id,rho,P_persistent_junction_drag,P_TJ_multihit,P_clean_GB_discovery
nominal_persistent,0.7029711050047412,0.1396298116083918,0.0,1.6398792906867208
nominal_persistent,0.703376184810317,0.17736199040348694,0.0,1.859485186408017
nominal_persistent,0.7038297982390499,0.22457461197504425,0.0,2.1046170455055613
nominal_persistent,0.7043367524336235,0.28343312179642277,0.0,2.3775887536481672
nominal_persistent,0.7049021801762809,0.35653503933724584,0.0,2.6808232089199433
nominal_persistent,0.7055315379081777,0.44697928938948267,0.0,3.0168451287742513
nominal_persistent,0.7062305987060906,0.55844252987872,0.0,3.3882736098320057
nominal_persistent,0.7070054393614214,0.6952622982337443,0.0,3.7978152401115968
nominal_persistent,0.7078624206726589,0.8625266175802782,0.0,4.248258752320034
nominal_persistent,0.7088081600525612,1.0661695253689045,0.0,4.742472370958045
nominal_persistent,0.7098494955729959,1.3130718211900874,0.0,5.283405124636374
nominal_persistent,0.7109934406322151,1.6111661856276815,0.0,5.874093447329953
nominal_persistent,0.7122471285401442,1.9695457007242139,0.0,6.517674359708345
nominal_persistent,0.7136177464858597,2.3985746989397048,0.0,7.217406390580361
nominal_persistent,0.715112458585643,2.9100007636883922,0.0,7.97669916278528
nominal_persistent,0.7167383180158896,3.5170665691945393,0.0,8.799152230692863
nominal_persistent,0.7185021686157895,4.23462003465761,0.0,9.688603330660518
nominal_persistent,0.7204105367988011,5.0792209183774455,0.0,10.649185712565712
nominal_persistent,0.7224695151325979,6.069241422105512,0.0,11.685393686627304
nominal_persistent,0.724684639520373,7.2249575394192,0.0,12.802154972962297
nominal_persistent,0.7270607625200276,8.568626689573032,0.0,14.004907905330937
nominal_persistent,0.7296019259410431,10.12454556173758,0.0,15.299681029438545
nominal_persistent,0.7323112364223396,11.919079997716052,0.0,16.693172149969513
nominal_persistent,0.7351907481714214,13.98065612518222,0.0,18.192823401892536
nominal_persistent,0.7382413573839742,16.33969880009688,0.0,19.806888414287986
nominal_persistent,0.7414627130110529,19.028499731947782,0.0,21.54448704416091
nominal_persistent,0.744853148449441,22.080993481592596,0.0,23.415642411576
nominal_persistent,0.7484096383611487,25.532414903653613,0.0,25.431293979817635
nominal_persistent,0.7521277841585621,29.418806659935928,0.0,27.603279098323398
nominal_persistent,0.756001830723475,33.776340321330125,0.0,29.944273659080107
nominal_persistent,0.7600247156895216,38.64040955251881,0.0,32.46768020733837
nominal_persistent,0.7641881511661851,44.0444493142919,0.0,35.187448905538005
nominal_persistent,0.7684827362043027,50.018431492432434,0.0,38.11781311674914
nominal_persistent,0.7728980967058796,56.586985722581,0.0,41.272917053536496
nominal_persistent,0.7774230479861456,63.76709568231014,0.0,44.66630804170279
nominal_persistent,0.7820457739246998,71.56532757120709,0.0,48.310260768454285
nominal_persistent,0.7867540157035846,79.97456142112317,0.0,52.21489599783141
nominal_persistent,0.7915352626050475,88.97022066783813,0.0,56.387052643880914
nominal_persistent,0.7963769372757292,98.50603542243384,0.0,60.828871397849284
nominal_persistent,0.8012665682600771,108.50943531420347,0.0,65.53605271837087
nominal_persistent,0.8061919434251124,118.87675426084061,0.0,70.4957653116864
nominal_persistent,0.8110800820828307,121.55355082894829,0.0,71.06464784572444
nominal_persistent,0.8156649188727896,119.35969536119656,0.0,69.0882757680911
nominal_persistent,0.8199497164261125,116.9222139926328,0.0,67.24518640008613
nominal_persistent,0.8239670864800963,114.29591082183637,0.0,65.50564053278552
nominal_persistent,0.8277447276322576,111.52211025651053,0.0,63.84997881150348
nominal_persistent,0.831306416726938,108.63422519800197,0.0,62.26384359344166
nominal_persistent,0.8346726958660466,105.6605088710545,0.0,60.7359890483574
nominal_persistent,0.8378614128729696,102.62502631182299,0.0,59.25755713740045
nominal_persistent,0.8408881568175313,99.54839562683942,0.0,57.821544939909025
nominal_persistent,0.8437666115726363,96.44836228341858,0.0,56.42240638328246
nominal_persistent,0.8465088448146678,93.3402503015291,0.0,55.05575001917478
nominal_persistent,0.8491255457864877,90.2373213581356,0.0,53.71810653122617
nominal_persistent,0.8516262220981347,87.15106410301406,0.0,52.40674761762804
nominal_persistent,0.8540193635560218,84.09142996702158,0.0,51.11954324696148
nominal_persistent,0.8563125792821249,81.06702751267409,0.0,49.85484794917841
nominal_persistent,0.8585127130646628,78.0852843537961,0.0,48.611409347713675
nominal_persistent,0.8606259408663385,75.15258347907644,0.0,47.388293930006476
nominal_persistent,0.8626578536292675,72.27437920364976,0.0,46.18482633095578
nominal_persistent,0.8628788273697694,71.95815109209954,0.0,46.05229849549015
nominal_tj_q0,0.7,0.0,4.569111536451377e-57,0.0
nominal_tj_q0,0.7,0.0,8.662259602016678e-56,0.0
nominal_tj_q0,0.7,0.0,1.481707405476892e-54,0.0
nominal_tj_q0,0.7,0.0,2.298939273660204e-53,0.0
nominal_tj_q0,0.7,0.0,3.2514179994881244e-52,0.0
nominal_tj_q0,0.7,0.0,4.211164865302776e-51,0.0
nominal_tj_q0,0.7,0.0,5.016360569239899e-50,0.0
nominal_tj_q0,0.7,0.0,5.518039677035887e-49,0.0
nominal_tj_q0,0.7,0.0,5.626419098291834e-48,0.0
nominal_tj_q0,0.7,0.0,5.336664216472896e-47,0.0
nominal_tj_q0,0.7,0.0,4.72436180695556e-46,0.0
nominal_tj_q0,0.7,0.0,3.9157011450813156e-45,0.0
nominal_tj_q0,0.7,0.0,3.047515260975445e-44,0.0
nominal_tj_q0,0.7,0.0,2.2333365604743873e-43,0.0
nominal_tj_q0,0.7,0.0,1.545136688613674e-42,0.0
nominal_tj_q0,0.7,0.0,1.0117007358196628e-41,0.0
nominal_tj_q0,0.7,0.0,6.283732073807105e-41,0.0
nominal_tj_q0,0.7,0.0,3.710358302926713e-40,0.0
nominal_tj_q0,0.7,0.0,2.087116945145105e-39,0.0
nominal_tj_q0,0.7,0.0,1.1206295921782664e-38,0.0
nominal_tj_q0,0.7,0.0,5.753976632245848e-38,0.0
nominal_tj_q0,0.7,0.0,2.830276212696952e-37,0.0
nominal_tj_q0,0.7,0.0,1.3358838665976556e-36,0.0
nominal_tj_q0,0.7,0.0,6.060034981263971e-36,0.0
nominal_tj_q0,0.7,0.0,2.646066628017202e-35,0.0
nominal_tj_q0,0.7,0.0,1.113693709646e-34,0.0
nominal_tj_q0,0.7,0.0,4.524386415771557e-34,0.0
nominal_tj_q0,0.7,0.0,1.77641096086673e-33,0.0
nominal_tj_q0,0.7,0.0,6.74917932283173e-33,0.0
nominal_tj_q0,0.7,0.0,2.484224468752778e-32,0.0
nominal_tj_q0,0.7,0.0,8.868450584749984e-32,0.0
nominal_tj_q0,0.7,0.0,3.0738588962435266e-31,0.0
nominal_tj_q0,0.7,0.0,1.0354768200927391e-30,0.0
nominal_tj_q0,0.7,0.0,3.393424014284109e-30,0.0
