parameter_id,mechanism_mode,t_s,T_C,rho,G_nm,X_J,X_J_production,X_J_relaxation,Lambda_TJ,K_TJ,Lambda_over_K_TJ,P_comp_TJ,C_GBseg,C_TJ,f_clean_GB,f_iso,P_persistent_junction_drag,P_TJ_multihit,P_clean_GB_discovery,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_act_total,f_GBseg,f_TJ,f_iso_location
nominal_persistent,persistent_junction,38880.0,154.6,0.7,150.0,7.808543977905837e-30,5.588121168863935e-33,7.530364005102725e-57,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,2.646066628017202e-35,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,40500.0,160.0,0.7,150.0,2.296098069062528e-29,1.6005538442626035e-32,2.2142994008072984e-56,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,1.113693709646e-34,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,42120.0,165.4,0.7,150.0,6.576760035187451e-29,4.467201995344686e-32,6.342462458981484e-56,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,4.524386415771557e-34,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,43740.0,170.8,0.7,150.0,1.836747976537032e-28,1.216107696672078e-31,1.771313690246917e-55,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,1.77641096086673e-33,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,45360.0,176.20000000000002,0.7,150.0,5.006083050022254e-28,3.231991513719057e-31,4.827740960812585e-55,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,6.74917932283173e-33,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,46980.0,181.60000000000002,0.7,150.0,1.332703653209205e-27,8.392708433398374e-31,1.2852259842541062e-54,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,2.484224468752778e-32,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,48600.0,187.0,0.7,150.0,3.468284315353474e-27,2.1311909213016683e-30,3.344726422966827e-54,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,8.868450584749984e-32,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,50220.0,192.4,0.7,150.0,8.830458383236861e-27,5.296255958600463e-30,8.5158726320599e-54,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,3.0738588962435266e-31,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,51840.0,197.8,0.7,150.0,2.2012302647134663e-26,1.2890344778082896e-29,2.1228112691998364e-53,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,1.0354768200927391e-30,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,53460.0,203.20000000000002,0.7,150.0,5.376167750644759e-26,3.074800893309189e-29,5.184641365842299e-53,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,3.393424014284109e-30,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,55080.0,208.60000000000002,0.7,150.0,1.2873680953247676e-25,7.193172615267609e-29,1.2415055090656222e-52,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,1.0828774511131441e-29,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,56700.0,214.0,0.7,150.0,3.0244023912781193e-25,1.6514143593483363e-28,2.9166578261796914e-52,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,3.367815066327777e-29,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
