case_id,rho_target,G_mean_ref_nm,G_mean_fast_nm,G50_ref_nm,G50_fast_nm,G90_ref_nm,G90_fast_nm,G90_G50_ref,G90_G50_fast
C071,0.85,377.78454639938184,413.6698886607361,306.6375802041307,313.3286780898692,662.372411180386,815.0347309442035,2.1601149172239102,2.601213319868648
C074,0.85,242.50466752393376,245.4399237407135,235.96090369772793,236.37730781612296,235.96090369772793,236.37730781612296,1.0,1.0
C074,0.88,257.90399434095946,258.1201920676227,247.55762876353123,245.83495627234387,247.55762876353123,245.83495627234387,1.0,1.0
C074,0.9,276.6270412974302,273.1841240853101,262.82516711085196,257.97264835935346,262.82516711085196,257.97264835935346,1.0,1.0
C074,0.92,308.84503891502,299.98925335215176,290.7424632936619,280.9201241680199,290.7424632936619,280.9201241680199,1.0,1.0
C075,0.85,117.07764527528941,126.07523291124653,117.97793945087636,126.07339457869706,117.97793945087636,126.07339457869706,1.0,1.0
C075,0.88,146.92386803270736,153.87265099862773,148.41678109092192,154.11896114167533,148.41678109092192,154.11896114167533,1.0,1.0
C075,0.9,189.00575786150915,191.7520629667799,191.2295226755141,192.25861872824902,191.2295226755141,192.25861872824902,1.0,1.0
C075,0.92,301.87607156252153,286.87420032508675,305.84071680207796,287.89731103644726,305.84071680207796,287.89731103644726,1.0,1.0
C077,0.85,306.6030406699217,262.8164609624249,304.96509817635825,258.8645627115856,304.96509817635825,258.8645627115856,1.0,1.0
C086,0.85,237.7908423069399,242.94131840482123,234.0529624589669,235.79062596531426,234.0529624589669,235.79062596531426,1.0,1.0
C086,0.88,253.06447552484883,255.50427265892765,246.09138701442947,245.62958276596504,246.09138701442947,245.62958276596504,1.0,1.0
C087,0.85,114.45915113584434,120.82595157784671,114.65005804367887,120.60708437152951,114.65005804367887,120.60708437152951,1.0,1.0
C088,0.85,158.27276680342027,152.47350026049332,116.76167621009816,109.79229025448471,235.36479219101847,231.73860455736641,2.015770926134263,2.110700159548776
C089,0.85,247.74577970709893,250.01409872928303,242.4275726203418,244.87181814031078,242.4275726203418,244.87181814031078,1.0,1.0
C089,0.88,260.87319284390327,261.2108856959928,255.9562149995495,256.461405636259,255.9562149995495,256.461405636259,1.0,1.0
C090,0.85,289.944680960485,299.44489011248504,289.944680960485,299.44489011248504,289.944680960485,299.44489011248504,1.0,1.0
C091,0.85,641.53056108193,418.9610487466485,471.3182337403359,313.8920086283096,1322.3798704483058,839.237209220004,2.8057048842647716,2.67364949138853
C092,0.85,227.42801154923384,226.42135994095398,227.37638231374194,226.28426105635234,227.37638231374194,226.28426105635234,1.0,1.0
C092,0.88,230.9624412486909,228.34731293476412,231.14452169035678,228.2998515789689,231.14452169035678,228.2998515789689,1.0,1.0
C092,0.9,236.57806381151843,231.33401013016248,237.22139552890013,231.49455796164716,237.22139552890013,231.49455796164716,1.0,1.0
