audit_case,t_s,T_C,rho,phi_open,phi_precursor,phi_closed,PR_coarsening_flux,PR_to_precursor_flux,precursor_to_closed_flux,closure_rate
resolved_default,76828.52467356196,1100.0,0.8849583293926253,0.07293095165667127,0.004233494626183428,0.037877224324519954,1.5758175932554781e-10,5.544223563117157e-08,4.501731661250534e-07,4.501731661250534e-07
resolved_default,76948.52467356196,1100.0,0.8849885317286562,0.0728532231787007,0.004236859603824091,0.037921385488819015,1.5732413898584696e-10,5.539068066898964e-08,4.498260029194337e-07,4.498260029194337e-07
resolved_default,77068.52467356196,1100.0,0.8850187049336933,0.07277558932266492,0.004240215192771179,0.037965490550870604,1.5706708890798562e-10,5.5339163521177744e-08,4.494790092095574e-07,4.494790092095574e-07
resolved_default,77188.52467356196,1100.0,0.8850488491013605,0.07269804993569184,0.00424356140504967,0.038009539557898035,1.5681060732965525e-10,5.528768419981084e-08,4.491321853680071e-07,4.491321853680071e-07
resolved_default,77308.52467356196,1100.0,0.8850789643248524,0.07262060486531043,0.00424689825268013,0.03805353255715695,1.5655469249592824e-10,5.5236242716744844e-08,4.4878553176436213e-07,4.4878553176436213e-07
resolved_default,77400.0,1100.0,0.8851018989974057,0.07256164070395353,0.004249434783440228,0.03808702551520063,1.5629934265993306e-10,5.518483908361767e-08,4.4843904876521724e-07,4.4843904876521724e-07
resolved_M0_factor_0p3,120.0,950.0000000000001,0.6600186905990246,0.33998130940034993,6.254941408877169e-13,0.0,8.97437143055394e-11,5.212451174064308e-15,0.0,0.0
resolved_M0_factor_0p3,240.0,960.0000000000001,0.6600452476516073,0.33995475226530414,1.9269842274150222e-11,6.381875928222766e-11,1.402048616940885e-10,1.553695714123564e-13,5.318229940185639e-13,5.318229940185639e-13
resolved_M0_factor_0p3,360.0,970.0000000000001,0.6600827678281838,0.3399172318782837,6.608595298597432e-11,2.27446588196969e-10,2.174386357326273e-10,3.9013436805263017e-13,1.3635652410354704e-12,1.3635652410354704e-12
resolved_M0_factor_0p3,480.0,980.0000000000001,0.6601354824003954,0.3398645168968613,1.5664643781299597e-10,5.460968570147574e-10,3.3479124341369775e-10,7.546710920660845e-13,2.6554189075667156e-12,2.6554189075667156e-12
resolved_M0_factor_0p3,600.0,990.0000000000001,0.660209141371207,0.33979085721016966,3.1468708687923924e-10,1.103936235657791e-09,5.118144558739131e-10,1.3170063241475998e-12,4.6486614927274856e-12,4.6486614927274856e-12
resolved_M0_factor_0p3,720.0,1000.0000000000001,0.6603115162192391,0.33968848117608214,5.761745141329457e-10,2.028504216821228e-09,7.769167995809273e-10,2.1790637390683065e-12,7.704733192907072e-12,7.704733192907072e-12
resolved_M0_factor_0p3,840.0,1010.0000000000001,0.6604530536579769,0.33954694183470174,9.95317159143266e-10,3.5120041861830997e-09,1.1710172576975837e-09,3.4928587712523284e-12,1.2362499802654072e-11,1.2362499802654072e-11
resolved_M0_factor_0p3,960.0,1020.0000000000001,0.6606477198968687,0.3393522726070383,1.653430016438259e-09,5.842663007849248e-09,1.7524980280503887e-09,5.48427972131041e-12,1.9422157030693203e-11,1.9422157030693203e-11
resolved_M0_factor_0p3,1080.0,1030.0,0.660914082595051,0.3390859052820733,2.6720020138644802e-09,9.450873590851395e-09,2.6037774384571816e-09,8.488109901972054e-12,3.0068422066132146e-11,3.0068422066132146e-11
resolved_M0_factor_0p3,1200.0,1040.0,0.661276685398234,0.3387232953926365,4.231987404304131e-09,1.4977142061061736e-08,3.839787181383724e-09,1.2999894533899321e-11,4.6052238767418744e-11,4.6052238767418744e-11
resolved_M0_factor_0p3,1320.0,1050.0,0.6617677764094461,0.33823219361571966,6.602395502086082e-09,2.3372438763439616e-08,5.618466258051416e-09,1.9753427154334277e-11,6.996080993452874e-11,6.996080993452874e-11
resolved_M0_factor_0p3,1440.0,1060.0,0.6624294549143832,0.33757049885545276,1.0182940391349893e-08,3.604722369434674e-08,8.15294637263239e-09,2.983791641236352e-11,1.0562321840857913e-10,1.0562321840857913e-10
resolved_M0_factor_0p3,1560.0,1070.0,0.6633162962866128,0.3366836330504874,1.5568281247227547e-08,5.509461864050858e-08,1.172417833842893e-08,4.4877908514870907e-11,1.587283183012666e-10,1.587283183012666e-10
resolved_M0_factor_0p3,1680.0,1080.0,0.6644984968405276,0.33550139588495986,2.364603555830184e-08,8.362847693463741e-08,1.6690985381913116e-08,6.73147293677381e-11,2.377822197972242e-10,2.377822197972242e-10
resolved_M0_factor_0p3,1800.0,1090.0,0.6660655383100651,0.3339342996381668,3.574873432082794e-08,1.2630303366863585e-07,2.3491423275933514e-08,1.0085600360661911e-10,3.556214702758572e-10,3.556214702758572e-10
resolved_M0_factor_0p3,1920.0,1100.0,0.6681302900300421,0.3318694659503626,5.3893871727388565e-08,1.9012572352750424e-07,3.262428163622412e-08,1.5120978079212505e-10,5.318561416449355e-10,5.318561416449355e-10
resolved_M0_factor_0p3,2040.0,1110.0,0.6708333228914156,0.3291663101835951,8.117109202080228e-08,2.857538973170781e-07,4.4592210065954056e-08,2.2731069013985798e-10,7.969023716934042e-10,7.969023716934042e-10
resolved_M0_factor_0p3,2160.0,1120.0,0.6743469707048491,0.3256524773069645,1.2238041862395385e-07,4.2960776772417145e-07,5.977921132088433e-08,3.434119857438542e-10,1.1987843860984438e-09,1.1987843860984438e-09
resolved_M0_factor_0p3,2280.0,1130.0,0.6788782995237577,0.3211208679810769,1.851068410397511e-07,6.473883244298104e-07,7.823012519859103e-08,5.227219227929961e-10,1.8148428082444146e-09,1.8148428082444146e-09
resolved_M0_factor_0p3,2400.0,1140.0,0.6846695817903725,0.3153291565881848,2.8156397166909646e-07,9.80057471084849e-07,9.931410761290913e-08,8.03812823801522e-10,2.772253637371248e-09,2.772253637371248e-09
