attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,candidate_id,rho_high_final,rho_two_final,G_high_final_nm,G_two_final_nm,switched,projection_only
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,21221,0.7019110023700221,0.7019110023700221,5228.391246823624,5228.391246823624,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,394308,0.7147962718252554,0.7147962718252554,578.8598559584622,578.8598559584622,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,93559,0.9352623528390358,0.9949195693842721,6859.472736351169,6869.710048851771,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,344754,0.70800063898874,0.70800063898874,317.49588738057207,317.49588738057207,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,772690,0.7005807676772464,0.7005807676772464,705.6524182897156,705.6524182897156,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,401980,0.7000004603474039,0.7000004603474039,510.4955197407157,510.4955197407157,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,944950,0.7143059357966057,0.7143059357966057,703.2166184012631,703.2166184012631,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,56606,0.9949867823688391,0.9229137510322994,110.49180031964455,106.14987413915092,True,False
False,-2.598679462728626e-07,0.0,0.0,0.0,0.0,0.0,reject,reduction_below_threshold,279584,0.9542880829528777,0.9878687385009725,371.9178098576106,372.40156266111467,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,673957,0.9945807838625119,0.9191282861133914,3535.184313166526,3525.276742136157,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,437748,0.7000097262915276,0.7000097262915276,462.0151721151666,462.0151721151666,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,802408,0.7135553620839594,0.7135553620839594,18867.45904503012,18867.45904503012,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,966111,0.7125191240689154,0.7125191240689154,220.21577334133326,220.21577334133326,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,900774,0.7181465578038191,0.7181465578038191,233.55380270432494,233.55380270432494,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,203634,0.7167387854089062,0.7167387854089062,7328.358385570201,7328.358385570201,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,80411,0.7000244237078697,0.7000244237078697,539.3937475830816,539.3937475830816,False,False
False,0.010645936825711355,0.01725213394176006,0.024630655145478797,0.0,0.0,0.0005314524465994596,Tier_C,,929805,0.9921891037827987,0.9784136424152556,253.4853645716204,242.55361378324108,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,799067,0.7622114763141821,0.7622114763141821,9034.288887708171,9034.288887708171,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,672309,0.7000232967814723,0.7000232967814723,22454.536081547016,22454.536081547016,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,193235,0.7238862044065582,0.7238862044065582,818.3891034165534,818.3891034165534,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,492611,0.7008039081826675,0.7008039081826675,3586.3651489674126,3586.3651489674126,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,805304,0.8656579643321758,0.8656579643321758,8327.472006789281,8327.472006789281,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,156518,0.7241630924371067,0.7241630924371067,279.00814528944915,279.00814528944915,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,383225,0.7144656637992108,0.7144656637992108,1411.2393545017248,1411.2393545017248,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,166011,0.7000000000984742,0.7000000000984742,22307.036811947615,22307.036811947615,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,50890,0.7147393663961501,0.7147393663961501,17834.03210116057,17834.03210116057,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,720329,0.7000022788661682,0.7000022788661682,23422.42943553791,23422.42943553791,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,320441,0.7799044747009957,0.7799044747009957,237.57849796093075,237.57849796093075,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,132274,0.9948956196038291,0.9286639370904012,19031.1413704514,18861.19433000413,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,926751,0.7111596694258286,0.7111596694258286,2133.6308708097586,2133.6308708097586,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,479612,0.7309902356975241,0.7309902356975241,160.3801480071365,160.3801480071365,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,197039,0.7000000004514948,0.7000000004514948,2016.7929339081513,2016.7929339081513,False,False
