property_id,design_stage,pair_map,diagnostic_only,Q_nuc_delta_kJ,Q_exchange_delta_kJ,Q_transport_delta_kJ,Q_growth_delta_kJ,Q_PR_delta_kJ,Q_closed_delta_kJ,k_nuc_factor,k_exchange_factor,k_transport_factor,k_growth_factor,k_PR_factor,k_closed_factor,Theta_nuc,f_nuc,f_exchange,f_transport,I_low_slow,I_low_PR_slow,Pi_PR,S_closed_growth,A_closed_fraction,M_PR_closed,Gamma_mig,Q_nuc_minus_Q_growth_kJ,Q_nuc_minus_Q_PR_kJ,Q_nuc_minus_Q_transport_kJ,Q_closed_minus_Q_growth_kJ,Q_PR_minus_Q_closed_kJ,log10_kclosed_over_kgrowth,log10_kPR_over_kgrowth,log10_knuc_over_ktransport,R_fast_screen,span_fast_1p5_screen,fast_firing_pass_screen,reduction_TS_screen,span_TS_20_screen,Chen_window_width_C_screen,lower_boundary_present_screen,upper_boundary_present_screen,two_step_pass_screen,high_density_attainment_screen,classification_screen,artifact_flag,topology_parameters_modified
LHS00050,LHS,,False,97.2959581,73.6714502,-55.5409675,99.9635139,61.5063064,38.7771209,2.92245082,1.84395752,0.268592423,19.1453285,2.22051362,0.0312330486,1206.19289,0.999171632,0.000828368031,2.28976494e-12,39430.7115,2.66286753e-20,6.14665689e-22,0.00904089607,0.1674,0.520743043,0.649109414,-52.6675558,186.652941,242.836926,-287.997821,48.677325,-2.78744845,-0.935609381,1.03665345,1.06558091,0,False,0.0672727891,0.0100909184,0,True,True,False,False,neither,False,False
LHS00057,LHS,,False,-93.4602474,-9.28579495,70.5123099,92.6981364,-57.7021219,-59.640747,0.234616994,0.269698593,0.816252153,2.62837597,0.0425938696,13.1391654,18.0429761,0.9474872,0.0350080132,0.0175047871,36773.1827,1.28695549e-18,3.11213826e-22,47.6334051,0.1674,0.0153779735,0.928083894,-236.158384,115.105163,-73.9725573,-379.150312,27.8867646,0.698880293,-1.79034039,-0.541464874,1.01404091,0,False,0.969489354,0.03,409.469572,False,True,False,False,neither,False,False
LHS00064,LHS,,False,18.7299411,24.9515546,-72.4816025,92.5202338,-18.8518366,-95.1331542,1.70843813,23.1444404,5.20248388,0.0613505011,0.531705797,4.03645286,16.7834822,0.943768043,0.056231954,2.7236119e-09,36597.3777,9.57226038e-19,1.04093693e-22,773.394774,0.1674,0.199168544,0.998192646,-123.790293,188.445067,181.211544,-414.464816,102.229457,1.81818177,0.937853281,-0.483611488,1.0010844,0,False,0.997815164,0.03,531.033491,False,True,False,False,neither,False,False
LHS00065,LHS,,False,75.7020382,45.1018063,12.0436775,46.1338456,-55.6515226,-90.5441651,6.13055961,16.6130636,0.65298854,2.67936623,0.369039387,5.19179135,108.787983,0.990891535,0.00910845445,1.05865805e-08,38821.9703,1.00700135e-17,4.05726107e-21,16.8219919,0.1674,0.114647873,0.905642323,-20.4318074,282.21685,153.658361,-363.489439,60.8407821,0.287285152,-0.860959359,0.97259456,1.1420622,0,False,0.950400222,0.03,413.827749,False,True,False,False,neither,False,False
LHS00071,LHS,,False,-56.7723387,74.1941558,-36.0321534,-87.3832288,78.2523968,-30.8620761,9.86145271,28.9657735,0.169761944,21.1065991,0.0800190672,0.353103882,0.000167560751,0.000167532679,0.999832467,4.74795726e-10,13.2257346,6.20345846e-26,1.57137571e-30,0.0460471782,0.1674,0.0951807277,0.35519014,-19.3891099,15.8385534,69.2598147,-170.290276,135.062612,-1.77651577,-2.42122478,1.76410056,1.112587,0,False,0.141729322,0.0212593983,113.437217,True,True,False,True,neither,False,False
LHS00101,LHS,,False,95.131275,42.1509704,-0.586252711,57.9211748,-99.6571196,-98.4310335,0.234208325,13.2551313,0.232841595,0.185288482,0.533244799,12.275501,19753.0845,0.999949378,5.06224297e-05,1.25457825e-11,39489.0532,3.07121359e-16,1.85395198e-17,646.524865,0.1674,0.108967497,0.993327441,-12.7898998,345.651684,185.717528,-383.163637,24.7220535,1.8211908,0.459078204,0.00254176304,1.02897827,0,False,0.997164872,0.03,555.08777,False,True,False,False,neither,False,False
LHS00107,LHS,,False,-70.7022009,2.88332549,-13.0448826,45.3343737,8.38244732,-88.1459685,0.237530035,13.2316678,0.35654908,8.80928356,1.15581875,4.68724976,1.2243227,0.550424944,0.449573729,1.32717773e-06,25460.6122,1.24104106e-19,4.60019351e-24,4.53223942,0.1674,0.361342631,0.743944568,-166.036575,71.7786407,32.3426817,-360.291771,122.476555,-0.274022494,-0.882050855,-0.176400787,1.08820017,0,False,0.897404003,0.03,368.559626,False,True,False,False,neither,False,False
LHS00120,LHS,,False,-21.4101203,-24.2992462,20.1587411,26.6369556,74.0689743,-69.5473295,26.1567007,0.175158912,0.250665441,3.8063304,2.7326685,5.09388202,286.144068,0.996517428,0.00342820141,5.43709766e-05,39274.5807,1.56767953e-20,4.64160954e-22,9.13214713,0.1674,0.551465905,0.857483533,-98.0470758,55.3841944,48.4311386,-322.995714,169.564443,0.126542398,-0.143919533,2.0184885,1.49121239,0.0750804825,False,0.950471153,0.03,366.77637,False,True,False,False,neither,False,False
LHS00141,LHS,,False,12.2437394,2.39204905,-7.87718257,88.4430591,-49.2326889,42.2661653,1.09974032,0.118563354,1.87926763,7.35176916,0.377905931,0.0351202083,17346.4969,0.999942355,5.7491332e-05,1.53872179e-07,39489.8061,7.21945027e-18,5.0832919e-19,0.0242140835,0.1674,0.123032324,0.818132776,-126.19932,212.339717,110.120922,-272.988322,-65.5507146,-2.32083478,-1.28900815,-0.232698486,1.08093892,0,False,0.0937272092,0.0140590814,22.4369605,True,True,False,False,neither,False,False
LHS00145,LHS,,False,11.3614483,-71.2693799,49.7401654,25.3636133,-98.9865523,-35.1513568,5.27844825,0.356635255,26.0362531,1.16678509,8.52332787,22.2843433,1111.97329,0.999101506,3.17853053e-06,0.000895315626,39462.2474,4.68700192e-15,8.20561101e-17,105.42295,0.1674,0.496392019,0.951171812,-64.002165,261.211289,51.6212829,-287.326399,-37.8870558,1.28100897,0.863618325,-0.693072216,1.28719187,0.01157645,False,0.992066084,0.03,418.986104,False,True,False,False,neither,False,False
LHS00147,LHS,,False,-28.9714873,-62.137419,-31.7909357,11.7870191,-78.8512505,-67.0318908,0.155617228,0.366194184,0.15594987,0.121988348,1.88996584,16.2697989,236186.625,0.999995766,4.22713924e-06,6.78283992e-09,39493.3389,2.66846913e-16,2.17638318e-16,820.831379,0.1674,0.303151734,0.994215355,-90.7585064,200.743052,92.8194483,-305.630338,14.1287799,2.12506383,1.19013561,-0.000927341053,1.23031148,0,False,0.998118967,0.03,533.556547,False,True,False,False,neither,False,False
LHS00149,LHS,,False,0.51035455,-15.9043552,-68.6672962,84.5964417,28.0329828,-97.4023277,0.558754692,0.0450635833,0.189569534,15.732324,0.0585038977,15.0353721,148753.643,0.999993278,6.72229388e-06,1.85375612e-10,39493.1997,6.17934104e-21,1.31925318e-20,10.8627444,0.1674,0.0463810479,0.672629164,-134.086087,123.340661,159.177651,-408.810198,151.38345,-0.0196787018,-2.42960808,0.469452639,1.20361775,0,False,0.920506651,0.03,427.005316,False,True,False,False,neither,False,False
LHS00156,LHS,,False,31.1213293,-62.2322421,4.66472278,38.6378097,-83.166653,-89.940877,1.03553501,1.94234919,0.124648098,0.783287102,0.0364083686,2.19304751,665177.057,0.999998497,1.49743592e-06,5.9209463e-09,39493.489,6.88102723e-18,1.033087e-17,23.1635695,0.1674,0.0103339556,0.969136138,-57.5164804,265.151271,116.456606,-355.390115,32.7223636,0.447127065,-1.33271976,0.919479132,1.26515744,0.0047179495,False,0.94380635,0.03,409.909135,False,True,False,False,neither,False,False
LHS00172,LHS,,False,4.05667112,31.9587058,-62.3151672,36.7679137,-92.2696434,-44.8116224,0.239757619,0.188633108,0.243658414,0.929549068,9.17070984,12.358422,2796.90749,0.99964259,0.000357409832,1.26656165e-10,39474.6608,3.20114003e-15,5.05184755e-17,83.1781447,0.1674,0.512023642,0.963190705,-82.7112426,247.189603,156.371838,-308.390965,-21.5098815,1.1236907,0.994130633,-0.00700899567,1.16681565,0,False,0.990621014,0.03,416.480116,False,True,False,False,neither,False,False
LHS00191,LHS,,False,-39.0033322,-7.75510253,71.9365993,57.3863254,-80.9832784,-85.5669309,0.312402995,7.39626297,0.853428417,0.600153377,0.0330028074,5.72314586,41.6007655,0.976526243,0.0230381316,0.000435625006,38332.1015,4.82936926e-18,1.30226273e-21,85.9347052,0.1674,0.00958036381,0.978639202,-146.389658,192.843235,-20.9399315,-369.764685,30.5317921,0.97937256,-1.25971137,-0.436451911,1.02848016,0,False,0.979334106,0.03,458.120575,False,True,False,False,neither,False,False
LHS00245,LHS,,False,-95.4969632,64.7845063,-53.9588149,-26.5714881,4.41885689,-66.9737698,2.05792594,3.22303573,0.665928493,0.0602385838,0.190338325,11.0329771,0.000767277336,0.000766689073,0.999233302,8.72291514e-09,42.7302242,5.02170253e-23,1.27218123e-27,897.035718,0.1674,0.107660728,0.996403863,-118.925475,50.9474688,48.4618517,-267.21371,97.3407663,2.26281796,0.499651491,0.490002143,1.00058322,0,False,0.997812147,0.03,553.256473,False,True,False,False,neither,False,False
LHS00259,LHS,,False,-89.7271164,0.206673835,-41.2186114,3.45559768,38.280057,-37.5470363,0.0399908374,8.40583079,6.15575393,0.22180555,1.22011263,9.99579859,3.27996694,0.766353336,0.233643996,2.6686647e-06,31583.6025,3.51673976e-20,2.42123033e-24,221.506805,0.1674,0.415200727,0.989005834,-143.182714,22.8561155,41.491495,-267.814062,101.775233,1.65384509,0.740427515,-2.18732075,1.0885943,0,False,0.995188789,0.03,450.847925,False,True,False,False,neither,False,False
LHS00275,LHS,,False,8.14766471,-9.75733781,-53.5231906,95.9577984,-52.1852381,-54.576587,6.49079844,0.108084327,0.038202835,1.0689279,9.30853329,20.1701307,5983.37384,0.999832898,0.00016710109,7.70258658e-10,39481.8518,2.16843666e-16,4.95173991e-18,177.882043,0.1674,0.550925167,0.970017863,-137.810134,211.196192,151.670855,-377.345814,28.3394885,1.2757603,0.939932842,2.23020253,1.01458718,0,False,0.995173932,0.03,445.920227,False,True,False,False,neither,False,False
LHS00310,LHS,,False,-54.6078797,-10.5643352,-72.6335499,77.3417389,-6.78131014,64.8624299,0.0416711796,0.858959168,12.4029562,18.5476277,0.943208746,0.0974925522,1028.70359,0.999028847,0.000971108135,4.51247138e-08,39446.4873,1.02624993e-18,6.75953612e-21,0.0218058451,0.1674,0.304496627,0.625355346,-181.949619,103.036719,108.02567,-239.290737,-45.6956005,-2.27931693,-1.29368055,-2.47368941,1.17148305,0,False,0.10401236,0.015601854,36.6310826,True,True,False,True,neither,False,False
LHS00323,LHS,,False,29.2809683,-5.15369368,15.6253107,66.6233576,37.1780558,8.38013844,0.0399946047,16.962488,0.238833033,7.44578962,3.22523841,0.0400198118,21894.9818,0.99995433,4.56693142e-05,1.16586917e-09,39490.0567,1.85483623e-19,1.31692202e-19,0.0292701146,0.1674,0.534187147,0.79597208,-87.3423893,142.966201,103.655658,-285.054648,54.746057,-2.26963572,-0.363348937,-0.776092984,1.22020978,0,False,0.158539762,0.0237809643,36.8619414,True,True,False,True,neither,False,False
LHS00338,LHS,,False,-98.920718,1.16758077,-48.2618959,-15.0981796,-17.2459469,-96.428807,4.51430851,3.62142094,0.150654165,22.815826,3.18370311,3.6328028,0.0310300843,0.0300961968,0.969903462,3.41275116e-07,3191.61713,8.49748909e-20,2.18079275e-24,0.994675519,0.1674,0.473447085,0.439205332,-133.822538,69.1885178,39.3411779,-308.142056,105.131,-0.797994373,-0.855303635,1.47661009,1.2135531,0,False,0.744583959,0.03,330.72488,False,True,False,False,neither,False,False
LHS00348,LHS,,False,-5.89474657,-3.40597792,16.9359245,76.7023987,-4.34656382,-22.9605957,0.121134658,0.481770109,12.6927102,0.636518204,0.13289064,14.8580043,14459.336,0.999930845,6.61009634e-05,3.05372274e-06,39489.464,1.23206387e-19,8.65516315e-21,162.615814,0.1674,0.0733714933,0.979779387,-132.597145,149.315106,67.169329,-326.474423,44.5621714,1.36814965,-0.680316436,-2.02028595,1.02712295,0,False,0.990894751,0.03,408.821889,False,True,False,False,neither,False,False
LHS00368,LHS,,False,-89.0828205,21.1540453,16.5179742,-84.2811586,-70.1673409,-78.4846697,27.7114216,1.72551295,4.53529579,5.29115367,0.142195839,24.9288897,0.00487994559,0.00485624736,0.994464806,0.000678946209,502.930871,2.37219311e-20,6.01981406e-25,17.5327952,0.1674,0.0434453234,0.691190543,-54.8016619,131.947809,-15.6007947,-221.01494,34.2654684,0.67315256,-1.57066349,0.786053189,1.49171128,0.0752357674,False,0.943837332,0.03,422.327642,False,True,False,False,neither,False,False
LHS00398,LHS,,False,47.2846186,-34.8814702,-60.4141486,28.7907831,46.9139971,-35.2226604,17.3813187,2.46837409,17.973111,0.950959538,0.222735085,21.2745731,13305.2496,0.999924847,7.51239012e-05,2.87550848e-08,39485.2957,6.75940072e-21,1.17562148e-20,126.08362,0.1674,0.169102817,0.960619201,-31.5061645,151.23391,197.698767,-290.824872,108.084797,1.34969882,-0.630373406,-0.0145405354,1.29097281,0.012753318,False,0.990422442,0.03,424.292737,False,True,False,False,neither,False,False
LHS00423,LHS,,False,-23.3610966,-69.1355987,12.1051133,87.4855923,-4.30784279,-86.7436969,8.39417438,0.0526570857,9.46382598,22.1277202,1.27860051,2.77239682,2341.38534,0.999573085,1.24992427e-05,0.000414415998,39478.22,1.18189762e-18,3.75149105e-20,1.35979942,0.1674,0.357669102,0.597765873,-160.846689,131.810035,54.5337902,-401.040718,108.383994,-0.902081279,-1.2382018,-0.0520887586,1.13586347,0,False,0.768910693,0.03,320.873678,False,True,False,False,neither,False,False
LHS00439,LHS,,False,45.8773313,-50.3329057,4.88106538,52.6455341,14.5770477,-39.6051681,0.599428205,0.165942756,0.719449698,0.0302707783,8.98109277,19.7620012,15143633,0.999999934,5.95253279e-08,6.50902048e-09,39493.6632,2.33454755e-18,2.27161788e-16,4351.91744,0.1674,0.59221844,0.998868886,-56.7682028,182.163572,130.996266,-319.062131,80.1303553,2.81480733,2.47230559,-0.0792632606,1.02502593,0,False,0.999657552,0.03,548.089492,False,True,False,False,neither,False,False
LHS00443,LHS,,False,-7.01074361,66.8435289,0.590309812,24.7854327,-91.1136285,-97.9130461,20.1437274,0.0353539842,0.302280784,10.9203287,0.0428175657,0.041198195,5.29322304,0.84109891,0.158897915,3.17513507e-06,33749.9425,8.61189244e-18,6.00462304e-22,0.0301395795,0.1674,0.0112304083,0.674712086,-81.7961763,234.966174,82.3989466,-349.509907,32.7475572,-2.42335752,-2.40661374,1.8237293,1.49756823,0.0770588198,False,0.0771445888,0.0115716883,79.4802242,True,True,False,True,neither,False,False
LHS00448,LHS,,False,-18.2627921,38.5609098,6.72837826,42.5161657,67.2458021,-38.8762897,1.10089984,3.28080454,12.4035879,0.0447591448,0.0546513118,25.4079898,3.83702911,0.793261529,0.206713091,2.53795481e-05,32089.271,2.55617482e-22,6.40005202e-26,3547.51286,0.1674,0.0618924058,0.99822483,-110.778958,65.3546947,65.0088296,-308.203884,132.070231,2.75408853,0.0867188108,-1.05179952,1.00539462,0,False,0.999197813,0.03,543.970662,False,True,False,False,neither,False,False
LHS00462,LHS,,False,-14.9879578,56.8343735,62.9447857,47.4517959,43.931058,33.6265608,18.1462053,0.208650246,0.0326194599,26.4040196,0.109956446,0.0820082613,1.16286475,0.537650239,0.462307067,4.26937818e-05,25127.9881,1.09687932e-21,5.91868682e-26,0.0129883153,0.1674,0.0937977166,0.495363116,-112.439754,91.9442732,12.0672566,-240.636664,36.2526367,-2.50781244,-2.38044935,2.74530905,1.15801346,0,False,0.0564623121,0.00846934682,25.4243871,True,True,False,True,neither,False,False
LHS00479,LHS,,False,-23.0970594,34.3266643,45.8055234,24.1436694,-53.2546431,-35.0716023,0.25484959,21.1109723,1.22158071,0.524125441,0.80086528,18.4053714,2.46059072,0.711031994,0.288953117,1.48890566e-05,29762.9168,7.96914168e-18,3.45999353e-22,192.344376,0.1674,0.209510338,0.977299584,-97.2407288,181.020873,21.0974173,-286.0267,7.76509876,1.54550934,0.184124226,-0.680638228,1.04972151,0,False,0.993451207,0.03,439.092644,False,True,False,False,neither,False,False
LHS00490,LHS,,False,-73.8727189,62.0455346,54.1730627,42.7239736,-2.76436248,-20.0121984,0.511333708,0.0627477973,14.1134411,9.19538173,0.440966407,17.2461394,0.977030663,0.494190951,0.483741823,0.0220672263,21977.417,1.28498656e-19,5.03054819e-24,10.4902019,0.1674,0.195033675,0.732659265,-166.596693,79.7549324,-38.0457817,-289.5476,43.1959755,0.27312213,-1.31916426,-1.44092849,1.11311872,0,False,0.935789915,0.03,326.973638,False,True,False,False,neither,False,False
LHS00495,LHS,,False,-12.4209446,12.9269375,67.5288716,38.4818711,-9.88489841,89.5862555,1.969337,6.3330402,1.49681031,7.63739238,26.879554,0.0356990219,12.2596715,0.92458335,0.074990062,0.000426587724,36041.1515,2.54689287e-17,2.44130725e-21,0.013286697,0.1674,0.623855195,0.7628882,-100.902816,148.327243,10.0501837,-175.707044,-73.5230143,-2.33028879,0.546476955,0.119153273,1.25822865,0.00256127279,False,0.11386892,0.017080338,5.14295388,True,True,False,False,neither,False,False
LHS00501,LHS,,False,1.61101071,63.980026,-69.9702729,33.7491141,4.38419045,-83.5799361,18.8685478,1.84910572,7.13800651,20.7901705,11.5935862,3.77887063,0.259988518,0.206341974,0.793657986,4.04725414e-08,15417.5481,4.08988953e-19,1.16771097e-23,1.40648109,0.1674,0.599842835,0.534698201,-82.1381034,148.090109,161.581284,-344.140479,113.912266,-0.740496026,-0.253640254,0.422161536,1.0905062,0,False,0.828154016,0.03,323.678396,False,True,False,False,neither,False,False
LHS00503,LHS,,False,-35.2545358,5.2523039,41.6294585,-6.88981467,-70.3046154,-45.349417,11.4982637,9.23590425,3.56660992,0.147801873,2.19556809,17.9324135,0.453352586,0.311935721,0.686480359,0.00158392041,19532.6784,1.70322109e-17,4.85330273e-22,587.40041,0.1674,0.340981899,0.992184138,-78.3647212,185.913368,13.1160056,-265.271031,0.992941167,2.08395881,1.17186697,0.508376651,1.03068878,0,False,0.997627312,0.03,501.099424,False,True,False,False,neither,False,False
LHS00520,LHS,,False,-6.27004792,11.0199219,-73.4458632,51.2603345,25.3685575,-86.9620847,7.40804868,2.84336081,8.45822555,0.0950730862,0.116235238,16.0366525,13.5171955,0.931116172,0.0688837094,1.18992641e-07,36198.8044,1.03616667e-20,1.81409942e-24,1477.8703,0.1674,0.0841596089,0.996426828,-107.530382,119.224684,157.175815,-365.033848,138.278782,2.22705613,0.0872802177,-0.0575754345,1.00858774,0,False,0.998466616,0.03,569.828697,False,True,False,False,neither,False,False
LHS00532,LHS,,False,93.4104108,-25.5180083,1.71877606,39.9986325,-9.14107697,-25.9331154,1.6575219,0.0571131657,0.0978924586,0.18491167,0.0461704668,29.6033967,99749089,0.99999999,9.97436883e-09,5.07852854e-11,39493.6694,5.9139476e-20,1.35173963e-17,912.621024,0.1674,0.0263135715,0.992597674,3.41177834,253.414777,181.691635,-292.743176,42.740178,2.20437722,-0.602600056,1.22871004,1.17819625,0,False,0.9972792,0.03,481.256407,False,True,False,False,neither,False,False
LHS00537,LHS,,False,28.1795639,-29.1142345,-64.8325741,85.1501639,-44.0660355,24.1128591,0.497293115,0.295478181,3.85568931,23.136878,0.101445875,0.183734563,580187.844,0.999998276,1.72303425e-06,5.42498049e-10,39493.5107,1.36815522e-18,2.33268954e-18,0.0439704648,0.1674,0.0402009567,0.583627461,-106.9706,223.108888,183.012138,-287.848733,-42.230755,-2.1001139,-2.35807037,-0.889489584,1.30061634,0.0157549904,False,0.121170798,0.0181756196,78.403106,True,True,False,True,neither,False,False
LHS00574,LHS,,False,1.41995881,59.1331977,-0.391424222,89.1622288,-20.7962821,-99.6571187,19.5917813,1.09867185,10.0407047,4.7686732,1.91915135,16.3565305,0.601566526,0.375611326,0.624366369,2.23058362e-05,20948.528,7.51880369e-19,2.26267773e-23,40.599791,0.1674,0.396392757,0.874450609,-137.74227,173.07953,91.811383,-415.630776,104.808976,0.535293627,-0.395288335,0.290309732,1.00505979,0,False,0.98122161,0.03,468.75659,False,True,False,False,neither,False,False
LHS00577,LHS,,False,-0.735855837,-66.9976721,-44.1245297,38.4202542,49.3814842,-94.1994219,2.50016311,0.11315261,0.0311131171,0.073307048,13.1063784,27.0322771,598030.287,0.999998328,1.67117551e-06,9.77808004e-10,39493.5051,3.39398353e-19,2.70132613e-17,3124.99876,0.1674,0.62019059,0.997024514,-89.15611,100.745949,133.388674,-359.431105,169.529046,2.5667369,2.25233697,1.90502482,1.05668195,0,False,0.99959924,0.03,616.329921,False,True,False,False,neither,False,False
LHS00585,LHS,,False,-94.6643851,-33.1249429,11.7880287,44.6566872,-66.2038969,-55.4289891,0.941632246,0.795922898,12.2748069,0.180751955,6.2323093,5.14686735,10.9567752,0.916365409,0.0710594951,0.0125750959,36058.3998,2.89079305e-16,3.3551991e-20,198.867831,0.1674,0.497194393,0.992959278,-189.321072,122.402801,-16.4524138,-326.897105,15.1732317,1.45445997,1.53756599,-1.11513335,1.01783614,0,False,0.995214663,0.03,449.751143,False,True,False,False,neither,False,False
LHS00598,LHS,,False,53.2188665,16.0738143,-48.1592392,58.1177683,98.5755644,-9.88807113,1.39093347,9.21944839,14.8317312,1.95996465,6.50098437,29.3174001,1425.04008,0.999298757,0.000701239488,3.07681281e-09,39437.3405,1.39880371e-20,1.14627918e-20,86.3268954,0.1674,0.61336222,0.933730501,-54.8989018,105.506591,191.378106,-294.817268,134.411775,1.17487722,0.520730884,-1.02788549,1.09674081,0,False,0.992734678,0.03,383.174878,False,True,False,False,neither,False,False
