growth_mode,G0_nm,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,rho1,G1_nm,T_lower_density_C,T_upper_no_growth_C,T_success_lower_C,T_success_upper_C,window_width_C,n_success_T2,minimum_required_growth_tolerance
baseline,75.0,1350.0,0.8,0.9,0.05,True,0.8008388918974452,136.4583438016257,1250.0,1100.0,nan,nan,nan,0,1.9193865523952245
baseline,75.0,1350.0,0.8,0.9,0.1,True,0.8008388918974452,136.4583438016257,1250.0,1125.0,nan,nan,nan,0,1.9193865523952245
baseline,75.0,1350.0,0.85,0.9,0.05,True,0.8501322014119017,178.02983107899894,1250.0,1100.0,nan,nan,nan,0,1.3528679934649361
baseline,75.0,1350.0,0.85,0.9,0.1,True,0.8501322014119017,178.02983107899894,1250.0,1125.0,nan,nan,nan,0,1.3528679934649361
baseline,100.0,1250.0,0.75,0.9,0.05,True,0.7502125395474387,109.69098120627397,1250.0,1100.0,nan,nan,nan,0,2.5153535330588577
baseline,100.0,1250.0,0.75,0.9,0.1,True,0.7502125395474387,109.69098120627397,1250.0,1125.0,nan,nan,nan,0,2.5153535330588577
baseline,100.0,1250.0,0.8,0.9,0.05,True,0.8003887416242906,124.85442233297705,1250.0,1100.0,nan,nan,nan,0,2.167718561210179
baseline,100.0,1250.0,0.8,0.9,0.1,True,0.8003887416242906,124.85442233297705,1250.0,1125.0,nan,nan,nan,0,2.167718561210179
baseline,100.0,1250.0,0.85,0.9,0.05,True,0.8500768634616691,158.46889253096035,1250.0,1075.0,nan,nan,nan,0,1.6064863899882318
baseline,100.0,1250.0,0.85,0.9,0.1,True,0.8500768634616691,158.46889253096035,1250.0,1100.0,nan,nan,nan,0,1.6064863899882318
baseline,100.0,1300.0,0.75,0.9,0.05,True,0.7509999999999999,113.552278484342,1250.0,1125.0,nan,nan,nan,0,2.4039712884342666
baseline,100.0,1300.0,0.75,0.9,0.1,True,0.7509999999999999,113.552278484342,1250.0,1125.0,nan,nan,nan,0,2.4039712884342666
baseline,100.0,1300.0,0.8,0.9,0.05,True,0.8009043116717128,131.5830414535283,1250.0,1100.0,nan,nan,nan,0,2.018154481958535
baseline,100.0,1300.0,0.8,0.9,0.1,True,0.8009043116717128,131.5830414535283,1250.0,1125.0,nan,nan,nan,0,2.018154481958535
baseline,100.0,1300.0,0.85,0.9,0.05,True,0.8501652773966923,167.8471463648692,1250.0,1100.0,nan,nan,nan,0,1.4767518889779963
baseline,100.0,1300.0,0.85,0.9,0.1,True,0.8501652773966923,167.8471463648692,1250.0,1125.0,nan,nan,nan,0,1.4767518889779963
baseline,100.0,1350.0,0.75,0.9,0.05,True,0.7500000000000001,118.23444864010156,1250.0,1125.0,nan,nan,nan,0,2.2776324622964363
baseline,100.0,1350.0,0.75,0.9,0.1,True,0.7500000000000001,118.23444864010156,1250.0,1125.0,nan,nan,nan,0,2.2776324622964363
baseline,100.0,1350.0,0.8,0.9,0.05,True,0.8000000000000003,139.38575909271603,1250.0,1100.0,nan,nan,nan,0,1.862820693175192
baseline,100.0,1350.0,0.8,0.9,0.1,True,0.8000000000000003,139.38575909271603,1250.0,1125.0,nan,nan,nan,0,1.862820693175192
baseline,100.0,1350.0,0.85,0.9,0.05,True,0.8503427495591834,179.28996269749408,1250.0,1100.0,nan,nan,nan,0,1.338873707215975
baseline,100.0,1350.0,0.85,0.9,0.1,True,0.8503427495591834,179.28996269749408,1250.0,1125.0,nan,nan,nan,0,1.338873707215975
baseline,150.0,1250.0,0.75,0.9,0.05,True,0.7505647623515718,152.37603235736918,1250.0,1125.0,nan,nan,nan,0,1.6065915677861151
baseline,150.0,1250.0,0.75,0.9,0.1,True,0.7505647623515718,152.37603235736918,1250.0,1150.0,nan,nan,nan,0,1.6065915677861151
baseline,150.0,1250.0,0.8,0.9,0.05,True,0.8000033737058193,156.9118668690733,1250.0,1125.0,nan,nan,nan,0,1.5755523857474065
baseline,150.0,1250.0,0.8,0.9,0.1,True,0.8000033737058193,156.9118668690733,1250.0,1125.0,nan,nan,nan,0,1.5755523857474065
baseline,150.0,1250.0,0.85,0.9,0.05,True,0.8500024273743993,173.51660288909815,1250.0,1100.0,nan,nan,nan,0,1.4059362453319304
baseline,150.0,1250.0,0.85,0.9,0.1,True,0.8500024273743993,173.51660288909815,1250.0,1125.0,nan,nan,nan,0,1.4059362453319304
baseline,150.0,1300.0,0.75,0.9,0.05,True,0.7500000000000003,153.36841569623724,1250.0,1125.0,nan,nan,nan,0,1.5912269515497357
baseline,150.0,1300.0,0.75,0.9,0.1,True,0.7500000000000003,153.36841569623724,1250.0,1150.0,nan,nan,nan,0,1.5912269515497357
baseline,150.0,1300.0,0.8,0.9,0.05,True,0.8000000000000002,159.59256636829468,1250.0,1125.0,nan,nan,nan,0,1.537139696239876
baseline,150.0,1300.0,0.8,0.9,0.1,True,0.8000000000000002,159.59256636829468,1250.0,1125.0,nan,nan,nan,0,1.537139696239876
baseline,150.0,1300.0,0.85,0.9,0.05,True,0.8501813109785359,180.19865351713094,1250.0,1100.0,nan,nan,nan,0,1.3285162015762642
baseline,150.0,1300.0,0.85,0.9,0.1,True,0.8501813109785359,180.19865351713094,1250.0,1125.0,nan,nan,nan,0,1.3285162015762642
baseline,150.0,1350.0,0.75,0.9,0.05,True,0.75,154.99171395429892,1250.0,1125.0,nan,nan,nan,0,1.5674206166148072
baseline,150.0,1350.0,0.75,0.9,0.1,True,0.75,154.99171395429892,1250.0,1150.0,nan,nan,nan,0,1.5674206166148072
baseline,150.0,1350.0,0.8,0.9,0.05,True,0.8,163.60329445195416,1250.0,1125.0,nan,nan,nan,0,1.4826723387067415
baseline,150.0,1350.0,0.8,0.9,0.1,True,0.8,163.60329445195416,1250.0,1125.0,nan,nan,nan,0,1.4826723387067415
baseline,150.0,1350.0,0.85,0.9,0.05,True,0.850849074286033,189.561472663148,1250.0,1100.0,nan,nan,nan,0,1.2309172461697082
baseline,150.0,1350.0,0.85,0.9,0.1,True,0.850849074286033,189.561472663148,1250.0,1125.0,nan,nan,nan,0,1.2309172461697082
baseline,225.0,1250.0,0.75,0.9,0.05,True,0.7509364548647699,225.91652028597795,1250.0,1150.0,nan,nan,nan,0,0.8837791385375928
baseline,225.0,1250.0,0.75,0.9,0.1,True,0.7509364548647699,225.91652028597795,1250.0,1150.0,nan,nan,nan,0,0.8837791385375928
baseline,225.0,1250.0,0.8,0.9,0.05,True,0.8004764086838001,227.4441605342794,1250.0,1125.0,nan,nan,nan,0,0.8940088561247643
baseline,225.0,1250.0,0.8,0.9,0.1,True,0.8004764086838001,227.4441605342794,1250.0,1150.0,nan,nan,nan,0,0.8940088561247643
baseline,225.0,1250.0,0.85,0.9,0.05,True,0.850045768998098,232.09064650981517,1250.0,1125.0,nan,nan,nan,0,0.8930449412488851
baseline,225.0,1250.0,0.85,0.9,0.1,True,0.850045768998098,232.09064650981517,1250.0,1150.0,nan,nan,nan,0,0.8930449412488851
baseline,225.0,1300.0,0.75,0.9,0.05,True,0.7500000000000003,226.21112968862613,1250.0,1150.0,nan,nan,nan,0,0.8814913264037196
baseline,225.0,1300.0,0.75,0.9,0.1,True,0.7500000000000003,226.21112968862613,1250.0,1150.0,nan,nan,nan,0,0.8814913264037196
baseline,225.0,1300.0,0.8,0.9,0.05,True,0.8000000000000003,228.19418982004981,1250.0,1125.0,nan,nan,nan,0,0.8888675434200848
baseline,225.0,1300.0,0.8,0.9,0.1,True,0.8000000000000003,228.19418982004981,1250.0,1150.0,nan,nan,nan,0,0.8888675434200848
baseline,225.0,1300.0,0.85,0.9,0.05,True,0.8506065475725965,234.28532930300682,1250.0,1125.0,nan,nan,nan,0,0.8796861287820852
baseline,225.0,1300.0,0.85,0.9,0.1,True,0.8506065475725965,234.28532930300682,1250.0,1150.0,nan,nan,nan,0,0.8796861287820852
baseline,225.0,1350.0,0.75,0.9,0.05,True,0.7500000000000003,226.72655705913405,1250.0,1150.0,nan,nan,nan,0,0.8782452723674641
baseline,225.0,1350.0,0.75,0.9,0.1,True,0.7500000000000003,226.72655705913405,1250.0,1150.0,nan,nan,nan,0,0.8782452723674641
baseline,225.0,1350.0,0.8,0.9,0.05,True,0.8000000000000004,229.44188304632658,1250.0,1125.0,nan,nan,nan,0,0.8810267731625373
baseline,225.0,1350.0,0.8,0.9,0.1,True,0.8000000000000004,229.44188304632658,1250.0,1150.0,nan,nan,nan,0,0.8810267731625373
baseline,225.0,1350.0,0.85,0.9,0.05,True,0.8500000000000005,237.30527197774168,1250.0,1125.0,nan,nan,nan,0,0.8608952513448572
baseline,225.0,1350.0,0.85,0.9,0.1,True,0.8500000000000005,237.30527197774168,1250.0,1150.0,nan,nan,nan,0,0.8608952513448572
baseline,300.0,1250.0,0.75,0.9,0.05,True,0.7509999999999998,300.5558311692738,1225.0,1150.0,nan,nan,nan,0,0.3260836380830721
baseline,300.0,1250.0,0.75,0.9,0.1,True,0.7509999999999998,300.5558311692738,1225.0,1175.0,nan,nan,nan,0,0.3260836380830721
baseline,300.0,1250.0,0.8,0.9,0.05,True,0.800766633825585,301.5212810578569,1225.0,1150.0,nan,nan,nan,0,0.33838224305526654
baseline,300.0,1250.0,0.8,0.9,0.1,True,0.800766633825585,301.5212810578569,1225.0,1175.0,nan,nan,nan,0,0.33838224305526654
baseline,300.0,1250.0,0.85,0.9,0.05,True,0.8501577702921137,304.1569722751656,1225.0,1125.0,nan,nan,nan,0,0.3509151147934104
baseline,300.0,1250.0,0.85,0.9,0.1,True,0.8501577702921137,304.1569722751656,1225.0,1150.0,nan,nan,nan,0,0.3509151147934104
baseline,300.0,1300.0,0.75,0.9,0.05,True,0.7509999999999997,300.71309691706597,1225.0,1150.0,nan,nan,nan,0,0.3257265566640968
baseline,300.0,1300.0,0.75,0.9,0.1,True,0.7509999999999997,300.71309691706597,1225.0,1175.0,nan,nan,nan,0,0.3257265566640968
baseline,300.0,1300.0,0.8,0.9,0.05,True,0.8009999999999996,301.89299864639713,1225.0,1150.0,nan,nan,nan,0,0.3376086825581034
baseline,300.0,1300.0,0.8,0.9,0.1,True,0.8009999999999996,301.89299864639713,1225.0,1175.0,nan,nan,nan,0,0.3376086825581034
baseline,300.0,1300.0,0.85,0.9,0.05,True,0.8503901636298666,304.97928154018854,1225.0,1125.0,nan,nan,nan,0,0.3491902876652376
baseline,300.0,1300.0,0.85,0.9,0.1,True,0.8503901636298666,304.97928154018854,1225.0,1150.0,nan,nan,nan,0,0.3491902876652376
baseline,300.0,1350.0,0.75,0.9,0.05,True,0.7500000000000001,300.94881031032713,1225.0,1150.0,nan,nan,nan,0,0.32499009853264965
baseline,300.0,1350.0,0.75,0.9,0.1,True,0.7500000000000001,300.94881031032713,1225.0,1175.0,nan,nan,nan,0,0.32499009853264965
baseline,300.0,1350.0,0.8,0.9,0.05,True,0.8009999999999997,302.4928605906584,1225.0,1150.0,nan,nan,nan,0,0.3363612894610642
baseline,300.0,1350.0,0.8,0.9,0.1,True,0.8009999999999997,302.4928605906584,1225.0,1175.0,nan,nan,nan,0,0.3363612894610642
baseline,300.0,1350.0,0.85,0.9,0.05,True,0.8509999999999996,306.39670049645173,1225.0,1125.0,nan,nan,nan,0,0.3464522003168706
baseline,300.0,1350.0,0.85,0.9,0.1,True,0.8509999999999996,306.39670049645173,1225.0,1150.0,nan,nan,nan,0,0.3464522003168706
