growth_mode,G0_nm,T1_C,rho_switch,rho0,first_step_attained,rho1,G1_nm,first_connected_coverage,first_fine_fraction,first_isolation,first_growth_mobility_factor,first_step_budget_h,second_step_budget_h,T2_C,rho2,G2_nm,density_gain,growth_fraction,second_initial_rho_dot,second_initial_dGdt_nm_s,second_final_rho_dot,second_final_dGdt_nm_s,median_E_G,initial_growth_mobility_factor,final_growth_mobility_factor,initial_junction_time_ratio,initial_pinning_time_ratio,final_pinning_time_ratio,initial_pore_junction_occupancy,final_pore_junction_occupancy,initial_pore_line_density_m2,initial_connected_pinning_coverage,initial_migration_drive_ratio,final_connected_coverage,final_mean_radius_nm,final_fine_fraction,final_isolation
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1050.0,0.7513255280076245,100.28967588582535,0.0005355937690255663,0.002157720859316219,1.3493080945030967e-09,1.9116659957554376e-07,1.6947676408650597e-09,1.1836173889633816e-06,0.2639975411088108,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.6492694315983212,318325962571376.2,0.367050565201901,inf,0.2323994518769135,71.1478007582229,0.17454096120818838,0.00025867151231738316
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1075.0,0.7528881282802139,100.84832359761442,0.0020981940416149314,0.00774008128340592,5.412180771788685e-09,8.05955939984368e-07,6.528270514967749e-09,3.979512847546916e-06,0.28372148156609456,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.6838361643661088,318325962571376.2,0.367050565201901,inf,0.24116319619871904,68.31399517441928,0.19090606987946257,0.0002821239834570207
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1100.0,0.7581804071107382,102.57737372717483,0.007390472872139231,0.02501784115037811,2.0093679644658364e-08,3.2097080624140426e-06,2.217963792276008e-08,1.1678010083786925e-05,0.3038524581432789,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.7352351824292773,318325962571376.2,0.367050565201901,inf,0.25336124570232144,64.4391900003279,0.21761597745139347,0.0003785187827798584
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1125.0,0.77347826649361,107.45428871582983,0.02268833225501099,0.07375105288614274,6.729991338753067e-08,1.1768936949423076e-05,6.49463468025052e-08,3.0962621870499275e-05,0.31494085774790936,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.8050864544452555,318325962571376.2,0.367050565201901,inf,0.2665064939994848,59.63854487944403,0.2604965846197669,0.0008850462690122874
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1150.0,0.8121784808790115,122.45309644830833,0.06138854664041249,0.2236286034916503,1.9615966487874295e-07,3.8308618719591626e-05,1.7608136694708665e-07,9.893277637513075e-05,0.29938958152340067,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.8946905752553513,318325962571376.2,0.367050565201901,inf,0.2639891503242707,54.15464653540448,0.33300509301628173,0.007547421240244535
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1175.0,0.8593311340317852,162.89326177604542,0.10854119979318622,0.6277322518288664,4.824244330638251e-07,0.00010722633040006182,1.312386861048511e-07,0.0002231010303360374,0.21633327198606267,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.9621668587153093,318325962571376.2,0.367050565201901,inf,0.1917494741168916,53.16439489828873,0.365543264217781,0.09454330719089991
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1200.0,0.8803973701487557,221.38255756698663,0.12960743591015678,1.2121942001479216,9.987912656438383e-07,0.0002571137179071782,7.78915532815222e-08,0.00032875714872064625,0.10518750455480119,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.9934800079295728,318325962571376.2,0.367050565201901,inf,0.14621458992475392,54.29791200485462,0.3577486361355005,0.25180003929353856
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1225.0,0.892271401001293,294.37616156876,0.14148146676269402,1.9415923478396482,1.7943314842314655e-06,0.0005434191701612552,5.7158732866489357e-08,0.00043609295115570114,0.060076454712826896,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.9995263673135358,318325962571376.2,0.367050565201901,inf,0.12397146659340469,55.643322923290725,0.34166627780204006,0.3942775891417135
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1250.0,0.9006869719748508,383.5905219598783,0.14989703773625185,2.833078528124745,2.916128390299275e-06,0.0010532381087571625,4.645967213491201e-08,0.0005553836203713299,0.04301048980649182,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.9999892079128389,318325962571376.2,0.367050565201901,inf,0.1106865367455499,56.88987570398394,0.3260974690707537,0.5095401194644916
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1275.0,0.907277371875479,490.81326269725025,0.15648743763688,3.9045158075111597,4.434530545330434e-06,0.0019320243555614207,3.9905369115127184e-08,0.0006895105136356573,0.03491748946660589,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.9999999470427503,318325962571376.2,0.367050565201901,inf,0.1016085056044728,58.003936950938225,0.3125239298315375,0.5997199664214959
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,1300.0,0.9127078120366289,617.3225155931714,0.1619178777980299,5.168676085525481,6.4465991316246e-06,0.00341940802897085,3.5413770392843506e-08,0.0008382414576310774,0.030416839520233732,1.0,1.0,0.0,0.0,0.0,0.9587439011439064,0.9999999999627253,318325962571376.2,0.367050565201901,inf,0.09475594735650292,59.0066214813222,0.3007670294542124,0.6695143938259667
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,900.0,0.8002769734769336,117.61644675923884,4.4123737441559285e-08,1.5882781026682964e-07,1.2280468593483473e-13,3.237770178207473e-11,1.3286627753502066e-13,7.967086547039994e-11,0.2827327760396545,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.8539453735332032,230597079649471.2,0.32091385803794703,inf,0.2612881750508527,57.39665288042356,0.29012068217683695,0.003910514528199706
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,925.0,0.8002771840813087,117.61653239223317,2.5472811249205307e-07,8.868978233297419e-07,7.0497210104706e-13,1.7553177728218121e-10,7.705968786547484e-13,4.5208697060281483e-10,0.2928283986625176,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.8456168898198648,230597079649471.2,0.32091385803794703,inf,0.25817021260962747,58.10299842228395,0.28175727724241706,0.003910560103513136
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,950.0,0.800278310842288,117.61697587635273,1.3814890917895895e-06,4.657494557160253e-06,3.802881507442675e-12,9.057419048393406e-10,4.1970895848526274e-12,2.39604586975689e-09,0.30275628390311626,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.8398435640077665,230597079649471.2,0.32091385803794703,inf,0.2560711181537745,58.58881871928544,0.27622001522095946,0.00391080394639437
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,975.0,0.8002839826115289,117.61913724718273,7.053258332723189e-06,2.303393112576e-05,1.9328573184834613e-11,4.465619839115021e-09,2.1502318323340766e-11,1.1864430041842982e-08,0.31261472668711254,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.8373132942026627,230597079649471.2,0.32091385803794703,inf,0.2551610036056537,58.80111474824469,0.27385378092353313,0.003912031606693425
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1000.0,0.8003108397253609,117.62904652991942,3.391037216471382e-05,0.00010728477004831321,9.267545482291475e-11,2.108974196388362e-08,1.0356850708691993e-10,5.480410537668545e-08,0.32237395997424534,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.8387423332485651,230597079649471.2,0.32091385803794703,inf,0.2556427020037321,58.682478587124315,0.27517495854553814,0.003917850071136091
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1025.0,0.8004300949173777,117.67166885002297,0.00015316556418154548,0.00046966884172839653,4.186478909064194e-10,9.540263934817629e-08,4.67480269803984e-10,2.3519880658264418e-07,0.3318336982069049,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.8449948953400512,230597079649471.2,0.32091385803794703,inf,0.2577814947192749,58.16097169469528,0.28110271234091455,0.0039437904257007385
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1050.0,0.800923226833492,117.84291000650707,0.0006462974802958765,0.001925597739431705,1.7713359794133036e-09,4.114347763634066e-07,1.9668867578123294e-09,9.333343346598021e-07,0.3403499168165559,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.8572980233169993,230597079649471.2,0.32091385803794703,inf,0.2618837715017749,57.130622044020264,0.29344486178380275,0.0040528850390265485
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1075.0,0.8028042022057861,118.48635142311656,0.0025272728525899124,0.007396274133210278,6.922776670409537e-09,1.6698266862387455e-06,7.696029851205207e-09,3.4465820059068894e-06,0.34556542193825024,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.8773671607219329,230597079649471.2,0.32091385803794703,inf,0.2679107018471937,55.43380956967445,0.3158463992296323,0.004497318243569524
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1100.0,0.8093471867129151,120.81637241889825,0.009070257359718892,0.02720661044292202,2.4357860658704704e-08,6.2203552184474805e-06,2.814089056495147e-08,1.2525691785999807e-05,0.3391169628823515,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.9058824020720845,230597079649471.2,0.32091385803794703,inf,0.27285708994346025,52.99559775828013,0.3538313554137232,0.006456006498201153
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1125.0,0.8280177468552473,129.27035481930966,0.02774081750205115,0.0990841749849307,7.44305894865377e-08,2.052256528742185e-05,8.013243157437044e-08,4.743820282054081e-05,0.2979636187821837,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.9348074169605712,230597079649471.2,0.32091385803794703,inf,0.2576193809991421,50.967927659362836,0.39585400230320095,0.01800363254552525
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1150.0,0.8538318044237566,151.48854372099856,0.05355487507056045,0.28798796389156117,1.9148154353627872e-07,5.812467725359257e-05,9.296824457012332e-08,0.00012020795784664789,0.20578071375738305,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.9589863597314073,230597079649471.2,0.32091385803794703,inf,0.2067880594873132,51.52206164677707,0.3967262026677823,0.07143186150838694
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1175.0,0.8720155374414189,188.24357465820196,0.07173860808822274,0.6004870895466843,4.1359427432799586e-07,0.00014084227628880817,7.44353050927614e-08,0.0002080478996271138,0.12157874005562898,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.9834758669739919,230597079649471.2,0.32091385803794703,inf,0.16412812120279976,53.04589880147576,0.3769516509257289,0.1744095779054093
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1200.0,0.8845422188176052,239.89340900732412,0.08426528946440903,1.0396250160501062,7.72766052098052e-07,0.00030048562682918114,6.000985723860053e-08,0.00030664686071558007,0.07524848424404991,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.9966105373582698,230597079649471.2,0.32091385803794703,inf,0.13760795116506847,54.5347034565128,0.3566305579950864,0.2975973072525681
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1225.0,0.8939927841268238,307.9636593050549,0.09371585477362765,1.6183728271323399,1.3018209032347705e-06,0.0005874652241124414,5.0162688613025984e-08,0.0004166170009813272,0.05243843388335895,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.9997193615139035,230597079649471.2,0.32091385803794703,inf,0.12068338866637247,55.86718147486237,0.33894172162106473,0.41733230945288335
baseline,25.0,1250.0,0.8,0.7,True,0.8002769293531962,117.61642807847912,0.32091385803794703,0.48107670390531604,0.003910504979779613,1.0,96.0,96.0,1250.0,0.9015186056234284,393.86623532958674,0.10124167627023228,2.348734881378824,2.045334208780855e-06,0.0010866790367168523,4.324638016686782e-08,0.0005395622161644676,0.04069842002915121,1.0,1.0,0.0,0.0,0.0,0.9588278544793319,0.9999930300587883,230597079649471.2,0.32091385803794703,inf,0.10919191581076029,57.0542774950367,0.32384007406496346,0.5210792431223302
