candidate_id,exact_reconfirmed,tier,rejection_reason,median_reduction,span20,lower_bracketed,upper_bracketed
29177,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
118801,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
59080,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
133365,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
57429,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
107842,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
217307,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
110261,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
86476,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
140744,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
12144,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
89188,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
59036,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
7492,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
97849,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
167294,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
148462,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
15213,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
7911,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
119010,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
39064,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
178066,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
17238,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
219830,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
29182,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
167876,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
36589,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
22214,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
70095,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
156895,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
244818,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
177960,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
38702,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
218,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
93623,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
151356,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
220002,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
151789,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
11319,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
151428,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
81407,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
112299,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
103551,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
114787,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
198325,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
207290,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
156642,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
16362,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
193194,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
108099,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
235303,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
120714,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
151946,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
4708,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
228656,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
206653,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
152513,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
159828,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
141998,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
53500,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
203965,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
23053,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
59978,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
77126,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
6147,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
147686,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
129701,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
36757,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
97101,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
62284,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
241452,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
206891,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
13443,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
244379,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
80494,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
24416,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
131495,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
52671,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
80309,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
174806,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
75157,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
204949,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
13407,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
4860,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
74798,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
